-3.15057 11.9023 | 2.54022 4.93406 | 4817.54 -2915.22
36.4496 26.3896 | -1.97249 1.2977 | 127.511 -9726.96
36.8942 26.6174 | -3.67633 2.55242 | 2869.96 7875.21
37.3467 26.8372 | -1.21119 1.60043 | -1583.03 2681.91
37.8046 27.0463 | 1.21666 1.59756 | -2086.63 -1691.55
38.2707 27.2316 | 1.29756 3.60991 | 2497.49 -1382.89
38.7489 27.3838 | -0.255852 5.08866 | -6196.31 -5034.11
39.2324 27.4994 | 2.09559 2.25176 | 1309.89 5701.79
39.7219 27.5909 | 3.16779 3.59845 | 2191.17 -2170.82


6.12315 -45.0496 | -0.790273 -1.15691 | 4156.05 -1614.28
6.62704 -45.0816 | -0.0986994 -0.18827 | 5143.66 915.216
7.1345 -45.0709 | -1.96888 -0.970972 | -6801.24 1845.58
7.63492 -45.0152 | -4.20286 -1.5566 | 840.01 -353.179
8.12898 -44.9199 | -1.85939 -3.60146 | -1927.41 1146.31
8.61328 -44.7885 | 0.402226 -1.33389 | -3577.53 -72.3704
9.08778 -44.6303 | -0.577828 0.578657 | 6101.11 4402.42
9.56194 -44.4554 | 0.167413 -0.185157 | 6147.63 -3252.66
10.0419 -44.2844 | -0.63659 1.00616 | 3434.09 -4118.53
10.5257 -44.1194 | -1.31694 0.259871 | -4439.2 4105.65
11.0034 -43.9456 | -0.333229 1.24284 | -10303.3 -2063.06
11.4715 -43.7682 | 1.38104 2.26151 | -1057.9 -1317.16
11.939 -43.5945 | 0.751835 0.974295 | 3299.25 1244.92
12.4119 -43.4292 | -1.75238 3.10186 | 2315.82 -3950.9
12.8911 -43.2789 | -2.5109 4.94979 | -532.37 5206.37
13.373 -43.1333 | 0.284372 0.0537427 | 1197.97 3190.14
13.861 -43.0013 | -0.485232 0.685487 | 5917.44 -6240.16
14.3601 -42.903 | -1.63867 3.22216 | -282.949 -958.333
14.8644 -42.8326 | -1.51107 0.252589 | -486.623 2581.73
15.3711 -42.7812 | -1.09191 -0.248132 | 767.097 2410.55
15.88 -42.7515 | 0.259917 0.665754 | -902.013 -6426.7
16.3896 -42.7565 | -1.14106 -1.2582 | 3723.57 1550.23
16.9002 -42.786 | -3.01784 -1.04098 | -3457.01 2245.79
17.406 -42.8372 | -2.22147 0.219467 | -8704.05 -5506.13
17.9022 -42.916 | -2.00232 -0.0793025 | 1204.52 6738.13
18.3957 -43.0039 | -0.51963 1.29202 | -756.85 2316.32
18.8851 -43.1088 | 0.380448 -0.563285 | 486.151 -6324.09
19.3679 -43.2468 | -1.24044 1.16159 | 3024.74 887.635
19.8448 -43.4096 | -0.22727 2.20744 | -333.914 1810.93
20.3121 -43.595 | -0.589904 1.44102 | -5291.93 3510
20.7629 -43.8056 | -0.911389 1.32192 | -7307.55 1496.86
