-3.15057 11.9023 | 2.54022 4.93406 | 4817.54 -2915.22
-56.2964 -45.2676 | -3.72643 2.52438 | -3233.5 2561.81
-55.9301 -45.6039 | -3.64651 0.120328 | 3929.83 -149.86
-55.5535 -45.932 | -0.849042 0.61563 | 2547.63 -5346.77
-55.1664 -46.2538 | 1.99645 5.88813 | 3889.61 3379.6
-54.7667 -46.5603 | 1.34317 2.65111 | -12476 -2103.07
-54.3673 -46.8572 | 3.05323 2.50649 | -628.447 694.35
-53.9513 -47.1272 | 0.989587 0.427369 | 4369.06 5182.24
-53.5083 -47.3512 | 0.0372253 -3.82263 | 473.012 1290.77
-53.0457 -47.5329 | 2.13603 -3.93397 | 3364.48 -1011.77
-52.5701 -47.6849 | 1.3399 -3.41799 | -5449.25 -8043.08
-52.0916 -47.8208 | 1.69289 0.62099 | -178.662 5002.32
-51.6063 -47.9207 | 3.75975 1.24452 | -4412.58 1891.2
-51.1189 -47.9845 | 6.44341 0.0842066 | -6189.68 -4510.07
-50.6321 -48.0198 | 4.42563 2.98387 | 10976.9 -3397.61
-50.1372 -48.017 | 1.41746 3.55742 | 1099.56 5734.82
-49.6444 -47.9571 | 3.44576 4.52684 | -5436.36 5133.54
-49.1618 -47.8469 | 7.34341 3.83332 | 8992.4 -7610.59
-48.6792 -47.7166 | 8.04357 -1.46587 | 2848.06 732.18
-48.2012 -47.5614 | 3.94676 0.693381 | -241.432 1037.66
-47.734 -47.3768 | -0.356169 3.06107 | -5171.67 1378.67
-47.283 -47.1625 | -0.906158 4.53182 | -1956.55 -803.814
-46.8436 -46.9282 | 2.18961 3.51521 | 2165.04 2661.06
-46.4073 -46.6827 | 2.05386 6.44244 | 6371.36 -2630.49
-45.9648 -46.4406 | -1.77973 6.69965 | 1603.66 4010.26
-45.5185 -46.1983 | -2.42524 1.81943 | 2228.71 2379.65
-45.0656 -45.9621 | -0.975759 0.315984 | 2966.1 1716.6
-44.6019 -45.7428 | 1.32585 0.671591 | -1607.3 -5231.12
-44.1279 -45.556 | 1.78617 2.01435 | -8705.57 -2209.29
-43.6497 -45.4038 | 1.22514 1.76143 | -8346.1 -4311.48
-43.1685 -45.2909 | -1.21512 2.97305 | -75.4702 -908.162
-42.6816 -45.2118 | -3.34653 6.09889 | 1098.24 12610.5
-42.1893 -45.1564 | -1.57727 -0.581073 | 6729.47 -6904.23
-41.69 -45.1623 | 0.770762 -4.15839 | -4072.99 -11681.8
-41.1976 -45.2364 | -1.17901 -2.08317 | -2121.03 14270.5
-40.7122 -45.3365 | -1.57291 -0.631421 | 5593.44 -1518.68
-40.2322 -45.4748 | -0.22171 -0.667898 | 733.699 -8148.25
-39.7646 -45.6596 | -0.0864549 -1.84791 | 3999.03 4860.23
-39.3062 -45.8707 | -0.448753 -0.815804 | 275.409 -1937.6
-38.8615 -46.1107 | -0.799288 2.14572 | -495.026 6312.72
-38.4338 -46.3756 | -1.08211 4.08832 | 1836.53 -3335.29
-38.0336 -46.6824 | -2.00276 1.11341 | -10165.6 -11207.1
-37.676 -47.0368 | -2.23257 -1.6706 | -1397.55 13220
-37.3371 -47.3997 | -2.88383 -1.23554 | 2552.79 1968.57
-37.0042 -47.7669 | -4.35765 -1.25931 | -2918.2 -4552.72
-36.6769 -48.1394 | -6.02516 -2.64768 | 120.571 4235.52
-36.3415 -48.5009 | -2.7577 -1.58647 | -3315.83 3841.53
-35.9929 -48.8439 | 0.0395622 0.255348 | -2146.06 409.152
-35.6251 -49.1656 | 0.513098 3.20205 | 13711.9 -3790.7
-35.2272 -49.465 | 0.868003 3.28256 | 1903.75 650.479
-34.8162 -49.7503 | 1.15542 2.02631 | -7628.99 -5258.08
-34.4088 -50.0385 | 0.195459 0.804865 | 3614.07 -3870.5
-33.9948 -50.3229 | 0.922825 1.51606 | 1378.37 6885.84
-33.5692 -50.5884 | -0.983248 0.978009 | 1625.59 -7599.72
-33.1348 -50.8456 | -2.27137 -0.170513 | 455.84 5347.79
-32.6899 -51.0817 | -0.283187 1.25481 | -2993.98 -2088.66
-32.2386 -51.3028 | 0.977453 1.4313 | 1572.64 -3760.57
-31.7774 -51.5046 | 2.19097 2.42738 | -3986.45 9577.13
-31.307 -51.6688 | 3.06066 4.92315 | -5867.42 -5270.82
-30.8325 -51.8086 | 2.57603 2.28726 | 6737.43 1060.46


39.0487 54.6215 | 3.68004 1.42443 | 5282.74 -2459.27
39.5101 54.4141 | 1.28397 1.88014 | 895.673 -1767.75
39.9806 54.2269 | 4.68371 3.9509 | 53.2669 7756.07
40.459 54.0713 | 5.34989 6.40808 | -15416.9 478.406
40.9317 53.9321 | 1.3671 2.8229 | 3525.82 2766.79
41.4085 53.8036 | 2.33174 3.04674 | 6560.19 -11162.1
41.8909 53.6674 | 0.0910976 0.958073 | 10055.6 203.153
42.3827 53.5419 | -0.336004 2.57961 | -15296.9 4676.62
42.8702 53.4371 | -2.56073 3.6246 | 6905.28 -2855.39
43.3647 53.3526 | -2.65129 1.55863 | -2237.85 -5027.03
43.8619 53.297 | -0.600402 4.26523 | -6727.77 6343.12
44.3581 53.2992 | -0.230265 2.99854 | 11404.4 7625.59
44.8575 53.3623 | -0.044022 -4.80455 | -2780.28 -6743.29
45.3492 53.4601 | -0.57251 -1.63406 | -10206.8 -468.731
45.8276 53.591 | -0.659141 1.35972 | 17456.5 8480.05
46.3081 53.7505 | 2.76707 -5.85023 | -9287.27 -20198.4
46.7771 53.9121 | 0.517776 -1.08872 | -15803 7090.14
47.2197 54.1154 | 1.86564 -3.54055 | 6249.86 6705.82
47.6499 54.355 | 0.674691 -3.53419 | 9043.9 -6367.76
48.08 54.6065 | -2.17954 0.606771 | 11079.4 11349
48.5067 54.8823 | 0.0458536 -0.528956 | -11275.7 -3663.85
48.9158 55.1699 | -1.66716 3.80204 | -14422.5 -9533.66
49.3129 55.4549 | -1.71014 3.84206 | 11563.4 7777.26
49.7234 55.7339 | -2.95425 3.12878 | 2718.14 -1823.88
50.1512 55.9908 | -1.53352 2.63601 | 2401.52 2352.72
50.5971 56.2222 | 0.206355 0.701297 | 5430.48 179.816
51.0629 56.4215 | -0.639949 2.70648 | 3515.42 -1262.14
51.5443 56.5876 | -0.473415 1.59926 | -2227.05 458.151
52.0331 56.7264 | -1.81866 -1.04387 | -2605.13 2386.84
52.526 56.8399 | -0.264069 1.70455 | -6140.22 -10454.7
53.0213 56.9173 | 1.58976 2.131 | 8444.3 14048.7
53.5246 56.9855 | 0.14221 0.789049 | 4739.2 -1317.91
54.0344 57.0184 | -2.47458 1.15981 | -8960.22 -3382.66
54.538 56.9956 | -2.14884 -4.89183 | -3104.58 3177.77
55.03 56.908 | 3.48839 -2.23145 | -2903.23 -9503.69
55.498 56.7362 | 0.538346 -1.1063 | -1228.95 6482.1
55.9362 56.5026 | -1.36457 -1.25511 | -619.456 -6184.38
56.3398 56.2086 | -2.73308 0.641746 | 4301.18 -3374.47
56.7183 55.8754 | -5.25192 2.22932 | 4051.16 682.15
57.0822 55.5233 | -1.79336 1.58329 | 1740 7612.07
57.4337 55.163 | -0.684902 2.51801 | -12916.8 -6705.72
57.7593 54.784 | -0.416222 2.12963 | 5185.72 8915.72
58.0881 54.4122 | 0.651749 -0.329165 | -4872.22 2465.12
58.4206 54.0474 | -1.01582 -1.72881 | 10332.9 -5813.09
58.7691 53.6871 | 2.55238 2.95485 | 8670.02 3460.91
59.1249 53.3304 | 0.747706 0.785945 | -18320.9 -3410.65
59.4522 52.956 | -0.120042 -1.23363 | 1348.91 3590.75
59.7699 52.5754 | -2.47336 -2.84634 | 5988.56 -1102.56
60.0885 52.1904 | -1.65417 -2.39711 | 7521.13 -7701.14
60.4048 51.7946 | 0.967736 -3.96651 | -15765.2 -1423.02
60.7031 51.3904 | -1.62145 -5.26641 | 7725.22 3182
61.0191 50.9991 | 0.206653 -2.87069 | 10010.7 5326.32
61.3584 50.6286 | -3.01114 -1.16043 | -25053.3 7192.25
61.6854 50.2664 | -2.63794 -0.0462518 | 9675.63 1802.48
62.0257 49.9135 | -0.678364 2.12286 | 3992.39 -9414.66
62.3727 49.5562 | 0.0709318 -0.145512 | 786.897 -11964.4
62.7256 49.1954 | 2.34833 -0.403415 | -151.278 9750.25
63.097 48.861 | 1.47875 -0.507564 | -10753.9 8187.06
63.4836 48.5582 | -0.328097 1.78197 | 7703.79 -11063.7
63.8973 48.2814 | 0.0902015 -0.705649 | 1686.47 7108
64.3381 48.0527 | 0.31002 -3.65624 | -9002.31 -2480.38
64.7938 47.866 | -3.08573 -2.81611 | 8264.34 4652.33
65.2717 47.7295 | -1.85239 -1.12463 | 5422.94 -6040.77
65.7636 47.6242 | 0.686316 2.28846 | 4634.07 337.408
66.2642 47.5481 | 0.381913 1.47047 | -5989.02 210.991
66.7639 47.495 | -1.11379 -1.00589 | -4243.95 1447.29
67.2626 47.46 | -3.76617 0.667768 | 9348.87 -1992.3
67.7672 47.4332 | -5.04379 4.07737 | -6238.46 -2961.38
68.2696 47.4112 | -0.12459 1.39389 | 7654.27 -426.529
68.7766 47.4028 | 0.300162 1.73044 | -4539.14 1.40255
69.2801 47.4182 | -0.118156 -0.933204 | -6813.83 7059.62
69.7774 47.4683 | -3.28882 -3.12371 | 8505.83 5687.45
70.2784 47.5352 | -4.46118 3.15279 | -396.22 -12105.9
70.781 47.5812 | -2.48094 -0.302933 | -2244.14 2525.06
71.2821 47.616 | -1.8988 -2.98514 | -8628.47 2191.22
71.7771 47.6383 | -2.03793 -2.58304 | -5551.92 2340.01
72.269 47.6372 | -2.22921 -0.119753 | 12655.1 -9982.16
72.7669 47.593 | -0.763242 1.67915 | -4327.03 7453.92
73.2607 47.5261 | -1.94036 -1.745 | 4736.51 -545.835
73.7519 47.429 | -3.2287 2.46538 | -2684.51 2690.64
74.2316 47.2954 | -4.31397 0.450437 | -8434.5 256.1
74.6898 47.1127 | 0.882286 -0.834177 | 12093.8 -2570.79
75.1312 46.876 | 3.12105 1.28993 | -2045.14 -12038.8
75.54 46.5798 | 1.9506 0.706256 | -3295.84 14186
75.9224 46.2586 | 0.133849 1.42776 | 6857.11 -12400.9
76.2831 45.9022 | 0.183899 -2.60115 | -2777.85 5884.12
76.6217 45.5286 | 0.99905 -2.51876 | 430.171 219.409
76.942 45.1396 | 2.62128 2.27012 | 2128.5 353.772
77.2454 44.7366 | -2.81481 1.11733 | -2245.57 -2372.33
77.5258 44.3179 | -4.53481 1.73314 | -4371.74 7446.55
77.785 43.8928 | -0.903132 0.12092 | 2887.71 2793.38
78.0297 43.4612 | -0.645662 -1.23828 | -2984.09 -3002.87
78.2522 43.0176 | -4.0236 0.791876 | -4330.74 3492.13
78.4578 42.5689 | -1.70327 -0.895124 | 8490.17 -929.572
78.6657 42.1176 | 2.71599 -2.47207 | 3300.61 -5931.94
78.8669 41.657 | -2.00602 -2.57654 | -4060.44 -6856.65
79.0486 41.184 | -3.47873 0.134426 | -2301.78 -496.494
79.22 40.7075 | -3.91513 0.273978 | 3765.34 9045.83
79.3988 40.2388 | -0.664717 -1.05322 | -2975.38 -3373.3
79.581 39.7707 | 1.24128 -1.03671 | 338.244 2771.09


64.8458 75.6246 | -1.74785 2.80759 | -4560.48 -1495.73
64.8581 75.1228 | -3.43852 -2.28506 | 14679.9 -3864.6
64.9263 74.6226 | 3.21085 -4.65919 | -23948.7 4429.72
65.0123 74.1294 | -0.478986 -4.83639 | 29336.4 -2109.52
65.1708 73.6482 | 1.91469 -4.29421 | -14970.9 -5930.87
65.3467 73.17 | -3.98867 1.3836 | 97.9848 -12412.8
65.5503 72.6951 | -1.04951 7.51011 | 5376.65 9638.36
65.802 72.2496 | 6.78825 2.99066 | -5236.16 14009.2
66.0956 71.8424 | -1.38465 0.584843 | 9727.49 -2164.76
66.4272 71.4596 | 0.157386 1.49484 | 2093.52 -5409.27
66.7687 71.0802 | 0.330008 1.02219 | -16909.5 -14071.4
67.0956 70.6911 | -4.4057 6.50726 | -467.475 31377.1
67.4425 70.3415 | -2.16549 2.54017 | -2894.87 -5939.83
67.8033 70.0022 | 0.0193359 4.86435 | 23060.2 -30088.8
68.1915 69.6595 | -7.68591 4.82136 | -9136.87 25145.5
68.596 69.359 | 1.40333 -1.93597 | -16287 10829.2
69.0015 69.083 | 3.62569 2.75528 | 10441.4 -16292.2
69.414 68.8014 | 1.52396 5.27602 | -6653.86 8153.2
69.8281 68.5288 | 3.93061 -1.69007 | 11720.8 -11124.5
70.2526 68.255 | -1.61755 -4.04412 | -2682.78 6587.95
70.6817 67.9937 | 1.50109 -3.35993 | 4145.5 14555.8
71.1124 67.739 | -0.684351 -3.07676 | -6534.2 -26508.4
71.5147 67.4328 | -4.764 -4.52166 | 9765.06 20589.3
71.9007 67.1115 | 1.24215 6.94854 | -25139.4 -19752.1
72.2324 66.739 | -7.30795 -0.40956 | 16715.3 18935.1
72.5634 66.3673 | 0.208484 1.40304 | 3299.71 -12967.9
72.8797 65.9732 | -4.55035 -2.21434 | -180.908 6178.48
73.1727 65.5639 | -1.47429 1.34973 | -8017.27 -9816.7
73.4295 65.129 | 7.40493 4.10479 | 7527.18 9509.38
73.6725 64.6909 | 1.18504 -5.42698 | -110.503 12172.7
73.8878 64.2478 | -0.822877 -2.70554 | -12258.2 -3234.91
74.0457 63.7819 | -4.14495 3.33724 | 3052.35 -16929.8
74.1678 63.2927 | -0.950852 1.82664 | 17678.2 667.313
74.2791 62.7979 | 0.596303 2.76722 | -23158.6 3674.92
74.3378 62.3018 | -4.48207 1.87806 | 23014.3 28461.5
74.3901 61.8229 | -1.19291 -4.67451 | -22328.1 -7078.2
74.3818 61.3371 | 2.91458 -1.62543 | 11776.1 -32105.9
74.3564 60.832 | 0.0832416 -4.32 | 1313.78 28704.1
74.3086 60.3432 | 3.5143 -0.540934 | -12526.2 -14020
74.2334 59.8488 | 2.79677 6.6344 | 21128.8 -8716.09
74.1721 59.3469 | -0.46632 -0.190127 | -25194.1 2699.73
74.0789 58.8484 | 1.71101 -3.73237 | 7066.86 -6367.47
74.0063 58.3474 | -0.642004 0.869535 | 8548.24 39091.7
73.9796 57.8681 | -0.333808 -0.645101 | -7128.34 -9925.99
73.9978 57.3842 | -1.18081 -9.88426 | 14642.5 -14632.5
74.0819 56.8941 | 1.38416 -5.30111 | -7100.41 -6311.61
74.1951 56.4025 | -2.78743 -0.460675 | 9102.07 -11699.7
74.3339 55.91 | 3.65164 -0.364559 | -24347.3 21485.5
74.4662 55.4341 | -4.19402 -1.81101 | 1331.35 5657.02
74.6363 54.9755 | 1.19833 -0.587912 | 22426.8 -11765
74.874 54.5341 | -0.172841 -3.69888 | -16250.8 1933.65
75.1366 54.1115 | 4.98112 7.66619 | 2204.93 -1807.51
75.438 53.7119 | 0.503221 -0.977018 | 21931.1 -5951.14
75.7887 53.3384 | 3.47806 -1.04607 | -24370 -323.356
76.1448 52.9809 | -4.61501 1.85944 | 17085.8 -3358.31
76.5377 52.6525 | -1.9211 -1.32496 | -3544.76 4726.17
76.9537 52.3623 | 1.17838 4.61609 | -23301.1 7860.77
77.3783 52.113 | -3.26861 3.43225 | 26757.2 416.656
77.8402 51.9084 | 0.832185 2.22298 | -7095.56 4737.45
78.3077 51.7258 | -0.278757 -0.968273 | -5576.87 -17129.7
78.7687 51.5267 | -2.01028 3.43609 | 4997.9 14518.8
79.2341 51.3401 | -4.23723 -0.00798278 | -8253.9 -17770.2
79.6918 51.1382 | 3.67091 -1.81624 | 6981.19 15666.6
80.158 50.9656 | 4.51619 3.79923 | -32807.3 -612.225
80.6081 50.8088 | -3.9922 -1.33463 | 7352.53 12364.5
81.0719 50.6834 | 4.62312 4.36946 | 42491.6 -13694.2
81.5632 50.545 | -0.914021 -2.144 | -17480.1 -18627.8
82.0408 50.3725 | -2.38107 -1.33713 | 8867.65 25927.9
82.5233 50.2198 | 2.14719 -4.76279 | -15701.8 -11142.9
82.9875 50.041 | -4.27681 -1.30697 | -8586.62 3504.61
83.4391 49.8469 | 3.60821 1.87693 | 18880.2 3222.77
83.8977 49.6429 | 2.19091 2.65407 | -2665.03 -15947
84.3443 49.4056 | -4.07022 2.96059 | 1817.91 20757.9
84.7846 49.1687 | -2.57744 -9.86893 | -19648.3 -21039.4
85.1968 48.8949 | 3.21016 -1.79029 | 16921.1 26482.1
85.6224 48.6415 | 2.38864 1.67473 | 3883.46 -13910.8
86.0367 48.3574 | 1.80271 -2.16016 | -7273.04 -1564.42
86.4193 48.0359 | -1.27823 -3.4584 | 7172.06 12376.6
86.7711 47.6841 | 8.33404 -1.81885 | -19276.4 -28385.7
87.0557 47.2689 | 5.53632 -5.42733 | 19627.4 15307.5
87.3314 46.8509 | 5.4532 -2.9387 | -31644.7 13104.6
87.5765 46.4362 | 7.91497 -4.49106 | 36717.1 17840.4
87.8594 46.0406 | -1.04088 0.0929718 | -6523.06 -47177.3
88.1033 45.591 | -5.68924 -3.35719 | 1911.96 6572.87
88.3095 45.1231 | 2.35365 2.24447 | -10762.3 5991.92
88.471 44.6455 | -1.267 1.84787 | 3289.23 6774.42
88.6123 44.1667 | 3.65632 -7.39738 | -1011.09 289.046
88.739 43.6859 | -2.97325 3.19604 | 1554.87 8384.61
88.859 43.2083 | -8.76794 3.13798 | -1771.51 -9801.84
88.9695 42.7242 | 3.37771 -6.58704 | -1356.37 10798.1
89.0793 42.2467 | 4.94406 -2.19985 | 10117.8 2307.04
89.1966 41.7718 | 6.68263 1.77837 | -7580.33 -6240.88
89.288 41.2883 | -1.89628 3.87681 | -17400.3 -4226.21
89.3548 40.7987 | 5.06714 6.32189 | 19927.8 380.792
89.4704 40.3156 | 2.47007 -4.01662 | -7514.21 -3736.82
89.6278 39.8418 | 0.767825 -2.75865 | 15841.4 -6837.69
89.8513 39.387 | 4.86753 1.3819 | -4674.43 13647.4
90.1132 38.9613 | 3.61965 3.89203 | -2708.65 -8110.65
90.3925 38.543 | 0.664916 1.24122 | -2293.88 -6479.02
90.6866 38.1311 | 0.461564 -7.64369 | -525.905 8190.9


4.1391 -22.2471 | 2.03206 -5.38314 | -2001.87 -324.507
4.60105 -22.0582 | 1.50084 -2.57461 | 7218.71 -679.525
5.07252 -21.8819 | 0.766922 -0.307892 | -3360.32 4524.98
5.54652 -21.7138 | -0.649419 0.442824 | -8.3273 388.651
6.0275 -21.5679 | -1.24107 0.283368 | 967.921 -10136.3
6.51726 -21.4609 | -0.353283 -1.24657 | -3241.26 6561.19
7.0089 -21.3701 | 0.225173 -1.26691 | -428.501 6313.32
7.50402 -21.2997 | 0.322737 -1.82847 | 1379.32 -7912.26
8.00425 -21.2788 | -0.321566 -0.907979 | 2000.3 -3079.41
8.50599 -21.3045 | -1.42475 0.744037 | 433.061 553.597
9.00567 -21.361 | -4.07615 0.736795 | -1143.79 4255.34
9.50192 -21.435 | -4.76567 1.2131 | 695.929 1829.45
9.99428 -21.5294 | -2.38104 1.69666 | -4779.81 545.528
10.477 -21.6533 | -0.972259 0.656175 | 1966.65 -5288.28
10.951 -21.8148 | -1.70477 -0.178829 | 6216.95 2523.9
11.4187 -22.0032 | -4.15574 -2.35751 | -6242.71 -5073.01
11.8708 -22.2222 | -3.6779 -1.93749 | 4022.84 6526.35
12.3176 -22.4532 | -1.71187 -0.111978 | 1358.77 -4077.32
12.7558 -22.7047 | -1.78201 2.43364 | -2598.13 -7750.79
13.1846 -22.9737 | -1.37684 2.62106 | 2051.74 12697.9
13.6178 -23.229 | -0.407266 -0.0106221 | -2640.67 837.212
14.0499 -23.4824 | -1.83932 -2.60216 | 1361.38 -6619.7
14.4792 -23.7451 | -2.13203 -0.909691 | 1433.14 8461.06
14.9064 -24.0065 | -1.72421 -0.765216 | -9179.63 -4048.4
15.3183 -24.2845 | 0.450722 0.02507 | 794.947 -3865.7
15.7255 -24.5727 | 0.35229 1.24481 | 6777.1 3600.12
16.1418 -24.8532 | -0.0199689 1.33922 | 2365.52 -2868.22
16.564 -25.1296 | 1.94376 0.413998 | -4658.09 -2063.24
16.9885 -25.3999 | 0.11466 -3.12489 | 216.633 -81.9552
17.4249 -25.6509 | -1.55214 -1.85789 | 5120.3 1731.63
17.8814 -25.8682 | -0.432298 1.47743 | -1777.38 979.085
18.3527 -26.0471 | -0.0740118 0.630262 | -3205.03 1842.86
18.8349 -26.1839 | -0.0805263 1.41561 | -2445.59 -2912.92
19.3255 -26.2781 | 0.128692 5.1669 | 390.348 6669
19.8239 -26.3166 | 0.593803 3.92475 | 7733.23 -519.97
20.3291 -26.3135 | -0.412251 0.171029 | -729.227 -4067.89
20.8323 -26.2818 | -1.92381 -1.34666 | -11741.3 -909.488
21.3241 -26.2192 | -1.54111 -2.98488 | -1259.94 515.487
21.8088 -26.1235 | -1.72122 -1.56357 | 2923.05 -2830.38
22.2885 -25.9973 | -1.71461 -0.263026 | 5807.56 7320.48
22.7623 -25.8311 | -1.08645 -0.837114 | 4258.16 -708.852
23.2291 -25.6388 | -1.43488 0.0180824 | -4334.13 -6359.95
23.6829 -25.4274 | 0.311953 1.5423 | -1851.94 1841.68
24.1191 -25.1858 | 0.592498 3.37434 | -5496.96 931.174
24.533 -24.9145 | 0.313419 2.63009 | -3489.51 -2938.27
24.9313 -24.6262 | 2.06674 -0.4794 | 4242.32 -1411.7
25.3252 -24.3295 | 1.23624 0.714596 | 1136.9 1663.91
25.7151 -24.0241 | 0.471276 2.86668 | 2625.41 2797.54
26.1035 -23.7116 | -0.0334223 2.24568 | 2090.2 711.104
26.4932 -23.3971 | -2.25235 2.76343 | 167.488 3394.43
26.8858 -23.0825 | -2.17133 3.41181 | 5023.25 -2018.68
27.2892 -22.7778 | -1.17769 1.91406 | 1363.61 383.137
27.6988 -22.4795 | -1.67664 3.40695 | -1313.81 1544.98
28.1093 -22.1824 | -1.71958 4.45088 | -2365.4 2090.66
28.5205 -21.8872 | 0.242529 -0.114032 | -3076.12 2465.63
28.9393 -21.6043 | 0.132428 0.576817 | 6245.64 -5952.05
29.381 -21.3572 | 0.659054 2.11849 | -3534.55 -2289.79
29.8374 -21.1456 | 2.59534 0.952821 | -4785.73 2839.61
30.3044 -20.9662 | 1.84286 3.28714 | 717.281 -3689.81
30.7855 -20.8314 | 1.65927 1.55144 | 2785.24 -154.392
31.2785 -20.7393 | 1.77462 0.0965599 | -265.546 2917.09
31.7775 -20.6851 | 1.03896 0.257444 | -1276.62 -5467.76
32.2791 -20.6747 | 1.09127 -2.33477 | 6508.61 3325.83
32.7847 -20.6927 | 2.4728 -1.25578 | -1241.32 1399.45
33.2878 -20.7367 | 2.62073 2.2191 | -5939.86 384.533
33.7837 -20.81 | 2.3421 2.59543 | 3738.12 -871.561
34.2759 -20.9158 | 0.366452 0.305476 | 1385.73 -2418.27
34.7616 -21.0558 | -1.20544 -0.728487 | 1092.89 -3513.75
35.2402 -21.2243 | -1.12717 -0.533606 | 3660.44 4509.22
35.7152 -21.4056 | -2.31557 -1.00739 | -6247.03 1461.62
36.1793 -21.6034 | -1.21597 -1.11135 | 1101.69 -4788.97
36.6356 -21.8223 | 0.0848142 -2.11318 | 2092.97 -681.67
37.0887 -22.051 | -0.840582 -1.7017 | -1637.64 2878.65
37.5403 -22.2789 | -1.83514 0.186411 | 345.952 708.256
37.9926 -22.5035 | -3.92009 2.26433 | -4218.74 1865.95
38.4436 -22.7238 | -3.787 2.21331 | -373.768 -1638.98
38.897 -22.9405 | -2.63366 -1.60998 | 7994.26 -3341.01
39.3604 -23.1491 | -2.64594 -1.13151 | -2025.98 2775.23
39.8293 -23.3403 | -2.62054 0.136878 | -5313.75 1492.77
40.3004 -23.513 | -1.82675 0.432448 | -3968.43 -98.8919
40.7748 -23.665 | -1.07445 1.17482 | -2624.74 172.489
41.2546 -23.7895 | -1.05697 0.582913 | 698.392 919.755
41.742 -23.8781 | -1.50795 1.83705 | -2195.63 -133.511
42.2332 -23.9277 | 0.0204548 1.40587 | -561.483 1636.86
42.7266 -23.9361 | 1.22108 -0.715039 | 2276.2 222.005
43.2211 -23.9102 | -0.409299 -2.48515 | 2185.29 -1914.9
43.7154 -23.8599 | 1.13264 -3.49694 | -813.007 -3887.22
44.2063 -23.7886 | 2.78522 -4.17218 | -1206.52 3148.67
44.6911 -23.6857 | 2.17025 -5.69607 | 1716.68 -3345.58
45.1695 -23.5554 | 1.049 -4.60192 | -136.487 -2825.92
45.6356 -23.39 | 0.883097 -4.96935 | -3423.61 1169.88
46.0782 -23.175 | -0.00785915 -3.45632 | -1711.82 2848.55
46.4912 -22.908 | -1.75541 -0.0594466 | 2494.76 -3437.72
46.8776 -22.6025 | -1.10463 -0.257655 | 5213.37 3587.68
47.2364 -22.2581 | 1.00595 -1.03905 | -455.471 4773.41
47.562 -21.878 | 0.189707 -0.330798 | 464.217 881.414
47.861 -21.4754 | -0.388062 -1.29883 | 1641.01 -4418.98
48.1419 -21.0624 | -0.423057 -3.93279 | -6769.76 -1113
48.4024 -20.6399 | -2.1918 -4.85656 | 3994.79 733.747
48.6609 -20.2147 | -1.43431 -4.13993 | 1600.77 1376.36


-30.1619 -88.3965 | -0.0867641 1.73876 | 2913.33 6353.95
-29.8439 -88.0018 | -3.76479 4.41097 | 5936.52 -3925.94
-29.5003 -87.6284 | -4.89567 4.71535 | -2021.27 2049.4
-29.1448 -87.2671 | -2.50606 2.08045 | -6493.97 -3336.48
-28.7839 -86.9182 | -0.526766 -0.440458 | 1180.77 -2179.92
-28.4117 -86.5819 | -1.37002 -0.534124 | 3787.63 6378.2
-28.0278 -86.2509 | -2.25327 -0.207783 | 2660.6 3758.65
-27.6307 -85.9293 | -1.73989 -1.18723 | 1927.39 -525.804
-27.2177 -85.6267 | -0.719478 -3.90869 | -3897.89 -1886.29
-26.7908 -85.3497 | -3.05516 -2.12036 | 102.301 -2921.59
-26.3464 -85.1058 | -2.24079 -1.31114 | -2938.98 -503.153
-25.8878 -84.8967 | 0.632505 -2.49704 | -5850.36 -100.557
-25.4169 -84.7279 | -0.215163 -0.870997 | 8551.14 -10373.2
-24.9268 -84.6111 | -1.526 2.77368 | 2938 9931.56
-24.4292 -84.5121 | -1.17805 1.81817 | -4940.55 -2235.11
-23.9316 -84.4331 | -0.410626 3.23354 | -2845.72 -4508.42
-23.4354 -84.3695 | -0.101967 2.65458 | -6967.26 8900.26
-22.944 -84.3009 | -1.23058 -0.420969 | 5157 -8910.17
-22.449 -84.2445 | -0.594882 1.26166 | -15.7488 4179.85
-21.9543 -84.1806 | -0.313897 5.15093 | -2403.41 5590.9
-21.4619 -84.1058 | -2.60399 4.70487 | 2637.91 -5866.29
-20.9674 -84.0395 | -2.51098 1.98604 | -1679.56 325.57
-20.473 -83.9772 | 1.59407 1.64019 | 3614.27 524.544
-19.9768 -83.9158 | 4.755 2.44117 | -6433.08 1494.83
-19.4843 -83.8539 | 3.19806 1.07964 | 2598.36 -7900.47
-18.9898 -83.7979 | 1.15525 -2.51524 | 6610.71 4955.35
-18.4929 -83.7219 | 2.1378 -1.40007 | -3682.77 8128.17
-18.0013 -83.6179 | 3.41854 -0.164229 | 6333.42 -8021.81
-17.5074 -83.51 | 3.60091 -2.75121 | 168.648 -1584.17
-17.0172 -83.3881 | 3.57627 -0.824396 | -6055.42 4612.64
-16.5392 -83.2366 | 3.80945 0.709309 | -3312.62 -4903.65
-16.0736 -83.0628 | 4.39469 -2.53458 | -6505.92 -467.674
-15.6234 -82.861 | 1.41252 -2.53747 | 8187.36 4378.68
-15.1794 -82.6303 | -0.0190013 -2.75052 | 10742 2154.71
-14.7388 -82.3752 | -0.505073 -1.65077 | 996.526 5396.03
-14.3111 -82.092 | -0.763849 -1.29214 | 1244.12 -1515.15
-13.8979 -81.7896 | -0.521383 -2.24442 | -9479.6 -8267.79
