58.2734 17.3937 | 4.12066 -1.74494 | -1039.73 -1038.1
58.77 17.4243 | 1.90791 3.0732 | 1526.56 3329.39
59.2643 17.4856 | 1.66877 -0.259265 | -3026.33 -3446.93
59.7522 17.57 | 1.14622 -1.46462 | -5513.67 -2342.7
60.2307 17.6805 | -1.83241 0.876425 | 1725.35 10194.2
60.7036 17.8247 | -1.78396 2.79133 | 11278.2 -10219.7
61.1815 17.9711 | 1.77005 4.06086 | -5068.08 3804.33
61.652 18.1352 | 1.77583 6.1454 | 1832.87 938.052


-58.3497 -80.5324 | -6.37183 -0.274059 | 5857.45 8670.62
-57.8625 -80.3864 | -1.58408 -4.37053 | 14936.4 -19989.7
-57.362 -80.2806 | -1.14464 1.0738 | -36351.8 8163.26
-56.8856 -80.1638 | 8.50977 0.128448 | 14129.6 9409.17
-56.4052 -80.0351 | -0.0959789 2.67513 | -1513.64 -12960.9
-55.9235 -79.9254 | -2.53228 0.0523912 | -18095.1 11839
-55.4507 -79.8153 | -2.3714 -3.81582 | 20812.6 -848.638
-54.9592 -79.7412 | -11.3825 -5.29561 | -6388.31 -587.599
-54.4637 -79.7254 | 5.85661 0.989594 | 14877.4 -21156.6
-53.9616 -79.7853 | 8.72655 0.218853 | -6913.41 18858.1
-53.4671 -79.8547 | -3.57005 1.65409 | -14847.5 5783.87
-52.9874 -79.938 | 0.297838 1.91925 | -6506.29 1020.97
-52.5212 -80.0529 | 1.38412 -2.49112 | -1543.66 1707.87
-52.068 -80.2114 | -3.01678 1.00224 | 21606.7 -5500.41
-51.6208 -80.4251 | 3.75054 2.78949 | -202.098 -12123.6
-51.2011 -80.7007 | -0.557621 -3.96115 | 5688.03 4212.51
-50.8041 -81.0082 | -9.09379 -0.496316 | -22118.9 15930.8
-50.4448 -81.3337 | 1.76047 0.503369 | 7861.37 -2027.84
-50.1011 -81.6819 | 7.70392 2.44578 | 15122.5 -16849.5
-49.7671 -82.0608 | -1.9181 -8.34756 | -13851.2 -4886.41
-49.4532 -82.4567 | 0.302113 0.997519 | 25069.7 3672.18
-49.1132 -82.8382 | -9.4107 7.74793 | -29292.1 13596.9
