36.6729 21.894 | -0.552268 1.64863 | -427.565 -3701.04
37.1752 21.9246 | 0.413854 2.22718 | 6186.43 6682.25
37.6824 21.9184 | -0.382927 -1.72362 | -2617.71 -1965.89
38.1846 21.8612 | -1.02523 0.433064 | -6880.84 -13514.9
38.6732 21.7464 | -1.03513 -0.450699 | -817.402 9171.97
39.1565 21.6224 | -2.09537 -4.50875 | 456.989 12379.7
39.6392 21.5033 | 0.453197 -1.69898 | 744.266 -6977.3
40.1155 21.3559 | -0.793297 -3.01799 | 361.127 -2107.09


7.9119 -45.9242 | -5.16757 3.38075 | 3480.44 5194.84
8.41432 -45.947 | -6.56232 0.658915 | -559.479 -7905.53
8.9165 -45.9536 | -5.94103 -1.2779 | -4264.3 -1133.6
9.41522 -45.9337 | -4.875 -0.779089 | 75.2508 4708.52
9.91017 -45.8735 | -5.20421 -0.897512 | -1868.68 694.225
10.3982 -45.7789 | -4.41301 -2.53653 | -685.029 -4164.45
10.8792 -45.661 | -2.31222 -0.899353 | -4431.95 577.984
11.3495 -45.5169 | -1.76933 1.36875 | -3391.93 -2336.98
11.8107 -45.3515 | -1.43257 -0.377231 | 8479.57 7652.11
12.2718 -45.1641 | -1.42881 -2.10508 | 9229.13 -4255.2
12.7383 -44.9744 | -0.472354 -0.557891 | -2484.74 235.787
13.2007 -44.7765 | 0.821211 0.215858 | -2212.45 4944.69
13.6571 -44.5672 | 0.894649 0.0756762 | -4022.23 -4288.41
14.1117 -44.3641 | 0.658384 -0.738778 | -2923.87 -408.39
14.5695 -44.1744 | -1.67796 0.390024 | 4699.33 -734.101
15.0385 -44.0072 | -2.11165 3.07252 | -657.766 -2962.95
15.5152 -43.8652 | 0.171584 1.93768 | -1787.33 5682.15
15.9965 -43.7391 | 0.699073 0.966328 | 3464.44 -3667.74
16.4867 -43.6417 | 1.06904 2.50176 | 2014.85 1723.37
16.9837 -43.5692 | 2.26062 1.57993 | 3778.84 3457.84
17.4872 -43.5227 | 2.38064 0.654338 | 1745.14 -8350.1
17.9941 -43.5159 | 1.71768 1.63065 | -1536.25 4416.8
18.4996 -43.5303 | -0.50082 -0.844148 | -2834.06 2103.02
19.0015 -43.5651 | -2.82221 -1.92758 | -3209.93 -4120.99
19.4979 -43.6275 | -2.4908 0.364106 | -1649.3 8789.24
19.9887 -43.7067 | -1.99297 0.436266 | -6436.83 -3631.2
20.4671 -43.8243 | -2.20068 -0.550323 | -653.178 1341.49
20.9334 -43.9814 | -2.9985 -1.8842 | 7181.37 -1517.65
21.3888 -44.1809 | -3.16876 -0.517947 | -1213.86 -7073.35
21.8252 -44.4246 | -1.85901 0.688083 | 5673 6742.38
22.2508 -44.6897 | 0.889825 -0.748121 | 1058.67 -868.924
22.6583 -44.9836 | 1.35142 -0.685669 | -3854.11 -4812.5
23.0385 -45.3119 | -0.892625 0.780453 | 533.731 4903.76
23.3976 -45.6606 | -0.889385 1.4057 | -454.37 -2846.91
23.7353 -46.0311 | -1.39559 1.64713 | 312.326 221.294
24.056 -46.4161 | -2.22909 1.63252 | 2266.59 6686.18
24.3627 -46.8088 | 2.07883 4.2455 | -2912.42 -2104.36
24.6427 -47.2205 | 4.21348 4.16417 | -4012.51 -5279.75
24.8948 -47.6522 | 0.1579 0.293348 | 5819.81 315.118
25.1387 -48.0913 | -0.182653 0.363475 | -2594.58 -2740.33
25.3762 -48.5356 | -0.296881 1.48191 | 2699.9 109.819
25.6216 -48.9766 | -0.466141 2.3283 | 636.518 284.205
25.8806 -49.4093 | 0.00290608 2.79742 | -2463.06 4153.21
26.1555 -49.8283 | 0.642337 1.6383 | 1326.64 336.032
26.4514 -50.2333 | -0.275918 -0.429561 | 1732.34 -6723.32
26.769 -50.6261 | 2.12277 1.52906 | -3331.63 4950.42
27.1108 -50.9926 | 2.77873 2.05638 | -704.313 5524.77
27.4816 -51.3243 | 1.8159 1.01493 | -840.741 -930.006
27.879 -51.6231 | 0.810044 -0.403913 | 1677.3 -1998.2
28.3034 -51.8866 | -0.662211 -1.67883 | 4406.56 -2775.77
28.7552 -52.1096 | -1.13261 1.65796 | 5869.54 3154.65
29.231 -52.2838 | -0.296354 4.96327 | -6976.87 -1009.17
29.7153 -52.4177 | -1.22004 1.42205 | -4050.62 1267.63
30.2059 -52.5111 | -1.04709 1.02837 | 2935.67 115.963
30.7041 -52.5658 | -0.0778902 4.09692 | 4457.32 -1319.11
31.2077 -52.5857 | 1.09703 4.74928 | -3965.85 1001.52
31.708 -52.5707 | 0.731858 3.81237 | -9573.33 -4634.78
32.199 -52.5254 | -1.00768 4.24025 | -1311.48 3723.61
32.6829 -52.4386 | -1.59425 3.93901 | 3734.21 1228.47
33.1619 -52.3177 | -1.18954 4.29592 | -1157.96 930.863
33.6345 -52.175 | -0.242058 3.38572 | -1749.29 -1719.85
34.1043 -52.0281 | -0.442813 4.93607 | 3019.44 -5975.06
34.5775 -51.8897 | -2.09013 5.03068 | -372.644 4839.64
35.0508 -51.7473 | -0.909949 -0.0267951 | 2976.73 429.2
35.5268 -51.6067 | 0.345437 -1.37071 | -1322.36 827.626
36.0042 -51.4731 | -0.761474 -0.245722 | -2545.17 -1535.13
36.4846 -51.3554 | -0.069145 -1.1944 | 7315.2 -3719.98
36.9744 -51.2572 | 0.874314 -0.988584 | 6430.46 3740.8
37.4703 -51.1621 | 1.26563 -0.575021 | -1759.86 1553.86
37.9652 -51.0644 | 1.74953 -3.12124 | -3322.45 1336.1
38.4572 -50.9641 | 0.362767 -3.17786 | -414.887 -140.634
38.949 -50.8678 | -0.690796 -1.68708 | -2181.88 -2930.03
39.4402 -50.782 | -0.552106 -3.2772 | -3553.31 -97.8151
39.9297 -50.7026 | 0.27998 -3.37508 | -374.784 3465.7
40.4197 -50.6266 | 2.4056 -1.57594 | 3103.32 3577.3
40.9143 -50.5642 | 2.28181 -1.34304 | 697.948 -2103.4
41.4125 -50.5385 | 1.12997 1.40818 | -2983.95 -5146.32
41.9092 -50.5623 | 0.196893 -0.837461 | 3121.09 -1291.47
42.4044 -50.6265 | -1.01211 -1.36514 | 1484.1 2020.01
42.8965 -50.7166 | 1.85332 1.24481 | -3176.01 -2093.54
43.3826 -50.826 | 1.74727 -0.855228 | -679.954 7789.47
43.8666 -50.9374 | -1.71651 -2.99533 | 3537.14 797.857
44.349 -51.0632 | -2.82323 -1.79745 | -1660.66 -4093.98
44.8219 -51.2195 | -1.6516 1.8952 | -3688.68 -563.766
45.2821 -51.4044 | -1.12435 1.71328 | 136.393 -719.941
45.7338 -51.6097 | -2.77469 -0.294718 | 4645.66 4055.45
46.1833 -51.8246 | -3.21719 -0.0571758 | -972.528 -7568.94
46.6257 -52.0573 | -1.33671 -1.28294 | -2829.41 -780.56
47.0671 -52.2889 | 1.79712 -0.101182 | 76.1751 5804.09
47.5194 -52.4942 | 2.39998 1.16606 | 5310.1 1078.26
47.9879 -52.6691 | -0.927576 -0.257431 | 4345.94 1385.47
48.4681 -52.8184 | -0.999855 0.693105 | -8116.18 -6381.69
48.948 -52.9563 | 1.44392 -0.274208 | 759.81 5033.56
49.4348 -53.0674 | 1.41904 -1.08073 | 7918.79 862.84
49.9314 -53.1562 | -0.184219 -0.158141 | -927.749 -6312.14
50.4303 -53.2351 | -0.803554 1.2569 | -3821.95 2611.32
50.9298 -53.2919 | 0.29045 2.47666 | 2012.86 -2587.99
51.4328 -53.323 | 1.79545 1.66552 | 2604.34 1931
51.9386 -53.3147 | 0.147819 2.29031 | -4.63313 4470.62
52.4422 -53.2602 | -2.28702 1.9983 | -6291.79 -3411.14


-32.656 -45.9411 | -0.0229442 -0.981871 | -1739.3 -1544.45
-32.1692 -45.8378 | -0.812361 3.54984 | -1890.24 -3450.81
-31.6905 -45.7067 | 1.73102 0.0495837 | 4214.66 4121.19
-31.2206 -45.5355 | 2.25807 -0.18378 | 785.924 11124.9
-30.7627 -45.3251 | 1.42597 4.24182 | 2463.24 -11144.3
-30.3067 -45.114 | 2.01413 2.52043 | -3586.91 -3649.09
-29.8572 -44.8989 | 0.826898 2.13254 | -4849.32 2881.62
-29.4193 -44.6688 | 1.81174 1.24744 | -5022.77 -1868.14
-28.9911 -44.431 | 2.31512 -0.711146 | -7184.03 -2482.49
-28.5678 -44.1952 | 2.63115 0.681601 | 5345.37 1732.54
-28.134 -43.9714 | 0.891552 1.59298 | 7264.05 222.124
-27.6845 -43.7685 | -3.82332 1.34726 | -3843.92 2288.69
-27.2269 -43.586 | -3.64781 0.466379 | 3984.15 -309.372
-26.7559 -43.4318 | -1.72161 -0.852301 | 5192.4 -4821.33
-26.2726 -43.3073 | -1.14159 -0.960853 | 1126.33 8597.41
-25.785 -43.1892 | -1.35434 0.996524 | 85.8958 -1437.22
-25.294 -43.0853 | -2.30734 3.43342 | -1757.21 -1579.34
-24.8014 -42.9972 | -2.03737 1.85492 | -21.9111 -767.622
-24.3072 -42.9205 | -2.47578 -0.8521 | -228.897 2326.7
-23.8115 -42.8477 | -0.772587 -3.50191 | 9160.9 -732.347
-23.3094 -42.7797 | 2.45252 -3.99649 | -4709.04 8415.32
-22.81 -42.7108 | 1.46515 -1.58395 | -10585.9 -1834.05
-22.3154 -42.6686 | 1.46505 -1.05875 | 2050.65 -6833.64
-21.8193 -42.6771 | 2.70244 -1.79143 | 1.7956 3.06291
-21.3264 -42.731 | 3.53252 -0.910326 | -3222.69 1449.49
-20.8413 -42.8227 | 2.12436 -1.03432 | 1755.63 919.375
-20.3633 -42.9475 | -1.4736 -1.5999 | -2459 550.126
-19.896 -43.1036 | -0.611387 -1.41158 | 3635.45 1794.62
-19.4375 -43.2879 | 1.39485 -2.31085 | -2207.51 -1970.36
-18.9936 -43.505 | 1.0156 -3.94659 | 5601.68 877.193
-18.5601 -43.7498 | 1.47809 -4.32802 | 4042.07 -5504.46
-18.1411 -44.027 | 0.977408 -2.96568 | -7940.35 -4010.51
-17.7405 -44.3287 | 0.192717 -1.20149 | 10593.6 -110.417
-17.3329 -44.6297 | 0.494011 0.593827 | -1102.4 6193.29
-16.9188 -44.9166 | -0.291661 -1.32728 | -6792.26 1782.54
-16.5034 -45.1936 | -0.377603 -3.90711 | 3253.8 -2184.45
-16.0799 -45.4619 | -1.14711 -3.38821 | -1593.25 -4419.29
-15.6476 -45.7184 | -0.936203 -2.57016 | 6065.64 5269.23
-15.196 -45.9445 | 0.0910568 -0.913627 | 3480.17 -1356.13
-14.7309 -46.1462 | -2.2478 -1.04322 | -9525.15 -1737.56
-14.264 -46.3274 | -2.29413 -1.28394 | -5957.51 6252.58
-13.7928 -46.4759 | -0.994822 -1.69594 | -4269.85 1267.67
-13.3173 -46.5965 | 0.715547 -3.57498 | 5774.67 -613.227
-12.8329 -46.697 | 2.06092 -0.434315 | 7140.62 -201.271
-12.3417 -46.7882 | 1.97746 1.5651 | -5625.96 -8369.45
-11.8534 -46.8851 | 2.91394 -1.143 | 1537.81 3339.09
-11.3619 -46.969 | 1.31897 -0.179926 | 1183.97 3369.66
-10.8666 -47.0352 | -0.550221 0.0647073 | 3406.75 -5445.97
-10.3669 -47.0935 | 1.15035 1.32945 | 4105.71 -7157.05
-9.86258 -47.1343 | 1.78239 2.15005 | -6384.8 10129.6
-9.36134 -47.1204 | -0.115683 0.514078 | -898.479 1583.41
-8.86526 -47.0543 | -1.75599 1.07995 | 3853.02 -6610.87
-8.37535 -46.9447 | 0.0398736 -0.670411 | -890.463 10703.7
-7.90182 -46.7736 | 1.33985 -1.99698 | -1594.41 764.022
-7.44483 -46.5627 | -0.952573 -1.37884 | -493.467 -7387.25
-6.99706 -46.3361 | -0.511466 -1.53036 | 4705.11 7930.61
-6.55351 -46.0899 | 0.602162 -0.886599 | 5784.46 -2011.63
-6.10864 -45.8412 | -0.0851907 0.220671 | -9225.61 -6009.4
-5.67155 -45.5943 | 0.509363 -2.00169 | -7987.98 3856.47
-5.2412 -45.3443 | -0.256518 -2.74911 | 4008.7 1268.68
-4.79975 -45.1103 | 1.09863 -2.0836 | 4278.79 -6996.47
-4.33982 -44.9129 | 2.49057 -3.12411 | -1746.66 2399.1
-3.86895 -44.7433 | 0.00353122 0.261835 | -1532.72 2184.33
-3.38812 -44.6024 | 0.106985 -0.0916574 | 11046.4 -3680.2
-2.89077 -44.4992 | 1.60397 -0.508338 | 914.963 4734.8
-2.38762 -44.4221 | 3.75473 1.03003 | -11993.6 -3695.87
-1.88861 -44.3784 | 3.16718 -1.34657 | 2302.33 -9258.29
-1.38804 -44.3646 | -1.26876 -3.39542 | 1077.01 15070.5
-0.887078 -44.3405 | -1.09837 -4.8375 | -1779.77 737.058
-0.386458 -44.3252 | 1.58478 -3.55776 | 892.914 -6358.8
0.11449 -44.3404 | 2.40335 -2.07158 | -1784.77 3699.12
0.612846 -44.3821 | 1.71892 -2.70009 | 786.431 -2489.26
1.1081 -44.4601 | 0.557127 -1.73874 | 6417.01 78.2279
1.601 -44.5749 | -0.945787 -1.11573 | 3087.09 -2364.18
2.0848 -44.731 | -1.59824 -1.77621 | -7676.31 -2194.16
2.54868 -44.927 | -0.981889 -1.37228 | -7104.46 5081
2.99523 -45.147 | -0.171586 -1.22999 | 5912.33 -1678.25
3.43594 -45.3868 | 1.41372 2.16893 | 3581.27 -8872.75
3.87325 -45.6431 | 2.19263 4.30571 | 489.048 8049.53
4.31427 -45.8876 | 1.23247 1.95313 | -4238.9 9115.88
4.75619 -46.1184 | 1.23747 1.4648 | -2545.52 -4731.25
5.19235 -46.3586 | -0.237338 0.257088 | 542.659 -3990.55
5.62369 -46.6109 | -1.38035 -1.28629 | 4835.93 3672.28
6.05549 -46.8655 | 0.887935 0.746015 | -4012.94 -3628.96
6.47915 -47.1303 | 2.60678 1.4381 | -4338.93 4289.47
6.89678 -47.3961 | 2.24241 1.72524 | -2343.72 2066.82
7.31231 -47.6611 | 2.92152 1.58538 | 2946.65 -6297.01
7.73165 -47.927 | 4.15247 -0.450959 | 2585.01 2275.75
8.1609 -48.1782 | 4.54513 -0.502783 | -3561.73 1959.86
8.59742 -48.4106 | 2.52214 -0.547201 | -2300.32 200.377
9.04211 -48.6233 | -0.369998 -2.88743 | 2400.89 -1445.66
9.49841 -48.8142 | -1.55677 -5.26182 | 1143.6 -125.693
9.96537 -48.9798 | 0.0321693 -0.591058 | -3485.06 -1282.14
10.4395 -49.1187 | -0.120308 -0.908643 | 4977.57 2157.89
10.9251 -49.2244 | -0.377395 -2.80356 | 393.36 -4458.35
11.4172 -49.3032 | -1.75164 -1.19702 | 825.909 -2254.3
11.914 -49.3463 | -2.0173 2.31631 | -2787.59 6429.94
12.4105 -49.3372 | -0.758311 2.25742 | -1628.27 -504.211
12.9036 -49.2868 | 0.292735 -0.202745 | 3776.36 -2702.96
13.3947 -49.2059 | 1.73955 -0.423049 | 1563.88 937.311


-25.5597 62.147 | 0.313707 -1.59983 | -2020.67 -1248.16
-25.0777 62.2732 | -2.2475 -1.44999 | 1547.24 524.932
-24.6058 62.4383 | -2.75558 -0.643952 | 7807.79 51.1519
-24.1454 62.6445 | -0.511678 -0.510486 | -6203.99 540.196
-23.7133 62.8997 | -1.10532 0.483478 | 160.472 4238.64
-23.3124 63.2039 | -1.8916 -0.875805 | 3489.13 1237.25
-22.9404 63.5445 | -1.43519 -2.08405 | -7891.71 -11662.9
-22.6044 63.9076 | -1.00071 -1.40588 | -5337.4 -525.07
-22.306 64.2978 | -1.45234 -0.0758964 | 1880.91 4958.9
-22.032 64.7109 | -3.78892 0.852144 | 6383.26 7235.53
-21.7637 65.1372 | -1.75812 -1.82404 | 9061.02 3406.57
-21.4896 65.5667 | -0.133642 -3.8136 | -8076.7 -3941.34
-21.2206 65.9945 | -2.61262 -2.39835 | 784.035 -437.975
-20.9446 66.4173 | -0.771861 -1.71913 | 5323.05 -310.665
-20.653 66.8318 | 2.28394 -1.94538 | -688.909 -144.98
-20.3537 67.2417 | 1.94936 -0.327853 | 4633.33 3229.88
-20.05 67.6525 | 2.51584 0.504603 | -5653.52 2320.06
-19.7554 68.0682 | 2.63862 -0.143193 | -1766.64 -7026.85
-19.4651 68.4795 | 1.96989 -0.252418 | -8545.25 -4296.5
-19.1811 68.8864 | 0.752796 -1.00654 | -2093.92 -5387.42
-18.8886 69.2818 | 2.85102 -2.9759 | 7545.04 1114.63
-18.576 69.6656 | 1.23282 -1.91177 | -3683.86 5782.21
-18.2542 70.0448 | 1.68327 -2.48343 | -640.539 1412.12
-17.9149 70.4102 | 4.03602 -3.39186 | 4920.11 2738.59
-17.5451 70.7505 | 1.57098 -1.15919 | 3841.85 -5668.8
-17.1425 71.0531 | 2.45321 -0.711094 | 5056.08 5020.03
-16.7163 71.3306 | 2.97856 1.52611 | -1419.71 2984.95
-16.2777 71.5876 | 1.84799 3.52844 | -10543.4 -4037.15
-15.8323 71.8165 | 1.41077 2.7869 | -671.386 1420.67
-15.3716 72.0101 | 3.12659 -2.10104 | 5608.16 -2005.37
-14.8897 72.1532 | 3.79748 -5.34168 | 3248.97 409.842
-14.3924 72.2428 | 2.67317 -2.86803 | -856.602 -4499.08
-13.8889 72.2758 | 1.35137 -1.89894 | -3569.81 37.5446
