-76.1968 0.869383 | -0.52265 -4.55778 | 2524.34 3744
-36.5222 -6.46203 | 0.710411 0.411432 | 4151.83 826.435
-36.0612 -6.25368 | -0.489069 -2.52723 | -1998.9 -2628.64
-35.6014 -6.04789 | -1.01058 -3.30566 | -2737.43 -10578.4
-35.1403 -5.85556 | 1.04485 -3.62147 | 1521.84 10862.5
-34.68 -5.65218 | 3.05213 -2.48653 | 5471.12 443.493
-34.2158 -5.45101 | 1.88034 -1.92177 | -8743.31 -7951.01
-33.7545 -5.26276 | -3.08802 -0.825036 | -7698.46 2971.96
-33.2969 -5.07831 | -3.3825 0.630307 | 5143.91 889.664
-32.8311 -4.90769 | -1.80404 2.30036 | 82.7106 49.2734
-32.3569 -4.76018 | -3.49481 2.81018 | 1769.79 -2532.23
-31.8731 -4.64374 | -1.48299 1.61378 | 586.481 2040.87
-31.3827 -4.55411 | -2.88986 1.76722 | 1189.39 558.11


-57.5563 -35.162 | -3.87745 -1.04243 | -5335.94 2533.22
-57.0917 -35.3335 | -3.71133 1.70569 | 6505.26 1542.32
-56.6312 -35.5274 | -1.54931 4.0023 | 5148.04 -6631.07
-56.1807 -35.7554 | -0.285008 0.955427 | -3733.3 -628.079
-55.7471 -36.0117 | -1.50454 -0.643841 | 473.939 2401.11
-55.3268 -36.2865 | -1.27924 1.63309 | -6714.58 -400.431
-54.9221 -36.5775 | -1.33183 1.33534 | 1110.29 3092.44
-54.5209 -36.8725 | 0.201876 0.724596 | 5570.18 -3645.09
-54.1164 -37.1705 | 0.96854 0.99909 | -824.791 435.986
-53.7105 -37.4666 | -0.0363105 3.28865 | -2775.91 -2273.97
-53.301 -37.758 | -0.748304 1.17329 | 8212.25 -1560.83
-52.8751 -38.0325 | -0.172743 -0.981811 | -6935.25 4869.18
-52.4403 -38.2801 | 0.709283 0.522605 | -9034.08 5001.68
-51.9977 -38.4975 | 3.30557 1.92142 | 6317.72 -427.931
-51.5393 -38.688 | 2.62859 0.720985 | 3827.26 -4840.87
-51.0702 -38.8602 | 2.39206 1.77793 | -6797 2002.01
-50.5991 -39.0096 | 3.84323 4.35506 | -9299.95 2854.97
-50.1285 -39.1342 | 3.75971 5.06328 | -129.776 -1745.34
-49.653 -39.2373 | 1.59183 1.89152 | 6306.07 -4727.53
-49.1678 -39.317 | -1.43264 1.12794 | 2934.89 2980.38
-48.6756 -39.3588 | -1.36042 4.47134 | -1191.27 -1955.59
-48.1825 -39.3644 | -1.42893 2.09835 | -4045.58 -1886.13
-47.693 -39.3306 | -3.31213 0.781795 | 2187.15 4636.32
-47.2066 -39.2502 | -2.11508 0.206986 | 8429.61 2004.39
-46.7204 -39.1366 | -2.2075 -1.27813 | -1083.07 -4885.27
-46.2385 -39.0077 | -0.863005 -3.32429 | -1474.47 -2740.05
-45.7616 -38.8633 | 1.10367 -0.419472 | 6629.66 7767.12
-45.2866 -38.6928 | 1.97363 1.06112 | 4509.16 -634.186
-44.812 -38.5089 | 3.7792 -1.39725 | 5532.92 -3557.89
-44.3386 -38.3151 | 2.48612 -0.00215946 | -8496.22 7660.03
-43.8795 -38.0969 | -0.18971 4.07723 | -2170.25 -5442.04
-43.4263 -37.8734 | -0.353944 2.7271 | 4605.41 526.352
-42.9725 -37.6467 | -2.30785 2.52162 | -4515.44 436.23
-42.5229 -37.4174 | -1.30173 4.26455 | -2305.24 42.2684
-42.0735 -37.1918 | -0.510084 3.0729 | 1065.45 -1652.55
-41.618 -36.98 | -2.19138 3.21507 | -2739.7 216.309
-41.1564 -36.7864 | -2.93968 2.52632 | -329.501 137.737
-40.6857 -36.6198 | -4.27053 0.495554 | -5771.59 206.329
-40.2071 -36.4906 | -1.593 2.45741 | 5192.12 -2410.47
-39.7144 -36.4139 | 1.39752 1.65804 | 4235.93 -4438.72
