-76.1968 0.869383 | -0.52265 -4.55778 | 2524.34 3744
-81.8778 -40.1329 | -6.09462 3.63915 | -1970.59 -10698.7
-81.3871 -40.2475 | 2.38256 1.81668 | -18104.8 -5534.33
-80.929 -40.4333 | -0.55052 -7.84687 | 4513.55 -4210.27
-80.4866 -40.6597 | 0.334636 -4.48916 | 10215.3 23850.2
-80.0456 -40.8836 | -0.258265 -1.04283 | -24518 -12742
-79.641 -41.1516 | 5.79331 1.82241 | 12631.6 3315.83
-79.2411 -41.4358 | 4.89473 -2.16738 | 8667.69 920.323
-78.8437 -41.7342 | 4.27491 -3.21311 | 7464.65 -11388.7
-78.4607 -42.0621 | -1.46191 -6.76528 | -12704.4 25790.9
-78.1116 -42.4053 | 3.78793 3.28401 | -2812.51 -37176.2
-77.8087 -42.8101 | -2.52739 -8.77225 | 15174 594.752
-77.509 -43.2237 | -2.35214 -4.41881 | -17050.6 36821.2
-77.2141 -43.614 | -3.62741 -1.79587 | 23407.9 -33690.4
-76.9088 -44.0274 | -3.78219 -2.81506 | 493.845 -4811.87
-76.6136 -44.4538 | -0.769479 -4.50529 | -17130 11042.8
-76.3409 -44.8795 | 1.54353 -1.11978 | 2073.25 9452.74
-76.0641 -45.2932 | -2.94236 -4.41114 | -217.822 11345.7
-75.7823 -45.6952 | -3.89818 -6.07638 | -7203.62 -12426.6
-75.5096 -46.1085 | 1.78191 -0.00701301 | 9466.51 -8830.54
-75.2211 -46.5205 | -2.29671 2.86725 | -14621.7 7754.71
-74.913 -46.9083 | -4.47718 1.04993 | 36056.8 9848.86
-74.5433 -47.2537 | -0.441768 1.22734 | -24078.6 -19955.6
-74.1846 -47.6097 | -2.63705 1.13481 | -399.251 8285.98
-73.8141 -47.951 | -4.85626 -8.18496 | 22810.3 -8474.28
-73.4129 -48.2785 | -4.77225 -4.49812 | -14094.7 -811.178
-73.0093 -48.5947 | 7.00253 -2.07494 | 620.876 4603.67
-72.5911 -48.887 | -2.14057 -3.44808 | 1381.31 -3176.36
-72.1569 -49.152 | -8.93681 -4.07582 | -23829.1 8781.92
-71.7164 -49.3697 | 0.479995 1.62111 | 10467 9053.91
-71.2483 -49.521 | -4.2519 -5.49061 | -10516.6 -10471.3
-70.7719 -49.6284 | -2.29169 -2.35754 | 9001.54 6036.76
-70.2799 -49.6735 | 1.53434 -3.54344 | 6953.25 -3155.82
-69.7786 -49.6705 | 0.196255 -0.479816 | 10702.2 186.694
-69.2719 -49.6238 | 2.71445 -1.70067 | -8918.92 -3348
-68.7759 -49.5376 | 1.13355 -2.00964 | -2464 11576.8
-68.2919 -49.4043 | -1.53782 -0.21028 | -5641.38 -10886.9
-67.8156 -49.2636 | 0.184765 -1.37091 | 7281.7 -8365.3
-67.3383 -49.1166 | -4.82714 -1.58106 | 2629.65 18186.9
-66.871 -48.9285 | 3.34522 0.839407 | -11621.8 -10545.2
-66.4191 -48.7317 | -1.74775 0.983848 | -19857.7 -9240.75
-65.9801 -48.5333 | 3.03774 -4.19401 | 44495.7 25482.5
-65.5124 -48.3215 | -2.83279 4.65384 | -1588.81 -19942.1
-65.0367 -48.1344 | -5.0898 0.520528 | -21908.5 19779
-64.575 -47.9363 | -3.59323 -0.592291 | 14834.3 -14014.1
-64.0945 -47.7831 | 4.32074 -1.36197 | -21287.1 -17491.7
-63.6167 -47.6737 | 3.0947 1.7349 | 14005 24195.8
-63.1309 -47.5502 | 0.900736 -2.18201 | 5998.94 -500.961
-62.6385 -47.4418 | -3.29732 5.76418 | -24696.9 -19153.8
-62.1555 -47.3723 | 1.47748 -1.02701 | 13525.9 21916.4
-61.6623 -47.2988 | 2.64918 0.311433 | 23114.7 -13423.3
-61.1513 -47.2617 | -1.26897 -1.72378 | -26490.4 3573.22
-60.6544 -47.241 | -2.53698 0.567142 | 11019.8 5146.04
-60.155 -47.234 | -2.12927 2.8993 | -27940.4 5637.57
-59.6738 -47.2568 | -1.19086 -3.70449 | 10849.6 -9814.68
-59.1942 -47.3443 | 0.583318 -2.83867 | 6501.03 591.905
-58.7209 -47.4871 | 2.7893 -2.22721 | 13715.2 -4835.85
-58.2557 -47.6798 | 2.79983 -5.48793 | -19827.3 3934.67
-57.8192 -47.9076 | -1.21197 -1.09138 | 5530.66 -715.207
-57.3899 -48.152 | -0.298042 2.32413 | 3674.58 7816.46
-56.9597 -48.3953 | -0.466187 -1.50677 | -253.747 -3523.72
-56.5346 -48.651 | -1.46183 -1.85193 | 4934.64 -11923.7
-56.1132 -48.9213 | 0.0624526 4.78244 | -16983.4 22056.7
-55.6966 -49.1698 | -1.27503 0.893399 | 6076.64 -6605.23
-55.271 -49.4165 | 1.56578 4.4131 | 25246.8 -16347.8
-54.8246 -49.6694 | -1.31695 -1.20511 | -1340.6 86.8402
-54.3735 -49.9127 | 0.129972 -3.5699 | -19791.9 20530.7
-53.9292 -50.1277 | 0.512314 -0.278278 | -11757.2 -5643.64
-53.4919 -50.3431 | -1.09076 2.13131 | 18497.8 -6216.94
-53.0369 -50.5539 | -3.60824 1.84877 | 16258.6 -5317.57
-52.5636 -50.7541 | -1.17541 3.90726 | -10009.5 6430.67
-52.0902 -50.9366 | -2.87827 -2.73664 | -4806.14 2839.27
-51.6196 -51.109 | -4.73602 -8.30167 | -16345.6 -5646.13
-51.1576 -51.2825 | 2.67355 3.5775 | 27148.1 756.456
-50.674 -51.4339 | 1.20397 5.00485 | -25173.7 -987.194
-50.1984 -51.561 | 3.23241 8.46347 | -4978.09 1293.8
-49.7171 -51.6424 | 3.79642 -2.62301 | 25207.3 15509.6
-49.216 -51.6609 | -5.55824 4.04837 | -23387.7 -20577.4
-48.7275 -51.6707 | 4.49829 -1.49104 | 14213.8 7642.55


-47.3902 -18.922 | -3.39054 0.613867 | -3728.16 -1689.21
-47.0075 -18.6065 | 0.890283 1.65784 | -2442.75 1221.75
-46.6335 -18.2815 | 1.96975 0.946956 | 4728.81 -2257.6
-46.254 -17.9599 | 0.728012 -0.0917712 | 3041.59 3164.5
-45.868 -17.6404 | -1.02205 -1.61328 | 2424.23 2677.84
-45.4753 -17.3254 | -3.07706 -1.50693 | -2780.71 -6138.06
-45.0784 -17.0225 | -4.39796 2.92609 | -5540.49 -1200.98
-44.682 -16.7251 | -0.150708 1.08333 | 2205.06 3580.02
-44.2802 -16.4306 | -0.874667 -0.690108 | 3952.47 3776.21
-43.8678 -16.1445 | -4.0736 -1.14676 | -25.5819 -5211.01
-43.4442 -15.8788 | 0.150484 -2.85789 | -4721.75 -2430.88
-43.0152 -15.6287 | 2.309 -1.7394 | -3865.34 13600
-42.5795 -15.3862 | -1.26946 -2.0058 | 10882.9 -10514.8
-42.1153 -15.1943 | -0.630471 -1.2004 | -119.875 -2352.78
-41.6336 -15.0484 | 0.536622 1.20948 | 3381.45 3269.67
-41.1405 -14.9329 | -0.227234 -1.32706 | 194.987 6052.72
-40.6412 -14.8422 | -1.53482 -0.469392 | -3573.23 -2875.87
-40.1386 -14.7944 | -2.59224 -3.46775 | 913.421 -8660.6
-39.6337 -14.7989 | -1.93161 -3.29991 | -158.716 4332.98
-39.1302 -14.8325 | -0.172417 -2.01746 | 661.387 7301.99
-38.6293 -14.8902 | -0.913387 -1.66401 | -4300.86 -7634.22
-38.1385 -14.9961 | -1.19508 -0.539499 | -931.202 -6062.69
-37.6578 -15.143 | -1.34543 1.69029 | 5004.52 2853.49
-37.1785 -15.3009 | -0.0911583 1.51762 | -4715.57 3840.8
-36.7011 -15.4541 | 0.668474 0.226136 | 4676.1 4340.1
-36.2198 -15.5975 | 1.59547 3.05577 | -4670.81 327.424
-35.7438 -15.7441 | 0.800233 1.0238 | -15919.8 -4348.99
-35.2809 -15.9023 | -0.0141106 -2.05935 | 11268.3 3796.77
-34.8089 -16.0512 | 1.56879 -0.602676 | 8449.58 2970
-34.3288 -16.1936 | 1.30308 -2.54177 | -2975.54 -14115.1
-33.853 -16.3505 | 0.418895 -2.58718 | -11852.1 11849.8
-33.3815 -16.4868 | 0.963101 1.52776 | -3384.67 382.518
-32.9064 -16.6032 | -0.22331 -0.458864 | 21515.4 -2901.44
-32.4135 -16.7017 | -1.53221 -0.178476 | -8896.47 710.313
-31.9226 -16.7849 | -1.56063 -1.23993 | -7718.55 1372.73
-31.4362 -16.856 | -1.61013 -0.624272 | -2334.74 -8540.63
-30.951 -16.9202 | -1.77351 0.805538 | -2914.65 7271.29
-30.4641 -16.9481 | 0.408669 -0.1501 | 11687.6 5058.41
-29.9692 -16.9421 | 3.26361 0.360546 | -5828.84 -5749.41
-29.477 -16.9283 | 3.49229 -2.38742 | 3947.84 -2780.37
-28.9827 -16.9112 | 3.06535 -1.21544 | 2159.28 -2784.9
-28.4888 -16.8845 | 3.16008 -0.434847 | -15476.5 -0.969176
-28.0073 -16.8327 | 3.63693 -0.10278 | 754.829 2694.34
-27.5313 -16.7466 | 3.01598 1.91223 | 1904.59 -1435.31
-27.0588 -16.6325 | 0.9229 -1.56845 | 11308.4 -2986.43
-26.5845 -16.4922 | -1.10737 -0.965448 | 8817.59 12345.8
-26.1163 -16.3094 | -1.32152 1.66778 | -12822.1 -9780.83
-25.6657 -16.1089 | 0.314336 -1.41514 | -689.893 -2692.62
-25.2253 -15.8916 | -1.00232 0.608741 | 3701.72 2743.07
-24.7924 -15.6522 | -2.44308 0.585525 | 6726.54 4005.13
-24.3662 -15.3913 | -0.00888316 -4.62332 | -4157.53 -684.719
-23.9538 -15.116 | -2.1766 -3.10607 | -18655.1 -8582.06
-23.5581 -14.84 | -1.09234 -3.7731 | 14451.3 -2989.2
-23.1497 -14.5731 | 0.765741 -4.65382 | 2933.61 3197.01
-22.741 -14.2991 | 1.21839 -4.37126 | -5515.55 9218.48
-22.3419 -14.0064 | 3.27156 -2.84489 | 13775 3630.02
-21.9302 -13.7149 | 2.7971 -2.35739 | 5038.77 -7305.3
-21.5075 -13.4365 | 0.427419 -4.03759 | -6539.92 10913
-21.0895 -13.1504 | -0.0519845 -2.25719 | 69.5744 -6978.53
-20.6655 -12.8785 | 1.28079 0.741024 | -693.953 -2562.25
-20.2341 -12.6212 | 2.53626 1.64696 | -1564.79 10689.1
-19.7959 -12.3719 | 2.35463 0.0649297 | -1220.62 -9368.11
-19.3408 -12.1636 | 1.2572 1.18728 | 1450.35 843.772
-18.8679 -11.9994 | 1.29836 2.8114 | -4148.49 1619.88
-18.3831 -11.8855 | 1.35721 0.774261 | 88.3646 -8529.47
-17.8882 -11.8366 | -0.500864 -1.23722 | 4658.4 1656.34
-17.3876 -11.8318 | -1.10298 2.82226 | -3354.38 8748.24
-16.889 -11.8545 | -0.689237 4.59339 | 2276.01 -11194.2
-16.3924 -11.9223 | -1.84139 1.8098 | 1703.5 9509.35
-15.8981 -12.008 | -0.907524 1.39183 | -2143.69 -5293.49
-15.4103 -12.1224 | 1.49246 2.35307 | 1721.63 974.476
-14.927 -12.2544 | 0.365408 0.75692 | -6605.91 7851.22
-14.4515 -12.3961 | -0.867134 2.27387 | 6011.28 -7654.7
-13.9805 -12.5655 | -0.26371 1.22711 | 204.36 2756.7
-13.5177 -12.7543 | 2.35417 -0.0374046 | -10912.9 533.941
-13.0704 -12.9636 | 4.28362 -0.0702652 | 8604.1 -7787.08
-12.623 -13.1863 | 3.41329 -0.366092 | 171.653 6383.79
-12.1711 -13.3953 | 1.00829 -2.04969 | -6807.52 8133.88
-11.7176 -13.5848 | 1.03429 -1.14566 | -521.626 -5880.51
-11.2625 -13.7717 | 1.68594 2.47969 | 1769.74 -2811.1
-10.8023 -13.9507 | 0.858214 0.878936 | 1222.16 1795.91
-10.3344 -14.1078 | -1.12692 -1.80936 | -6823.02 4242.85
-9.86338 -14.2375 | -0.822671 1.78684 | -1863.91 -1678.8
-9.3865 -14.3472 | -0.492734 0.348607 | 19830.3 -2872.42
-8.89127 -14.4405 | -0.727774 -2.1496 | 4818.2 -9394.74
-8.38759 -14.5218 | 1.53083 2.46887 | -2517.92 8227
-7.881 -14.5626 | 2.11635 2.67637 | -4002.75 6983.69
-7.37608 -14.564 | 1.2923 -0.788648 | -2394.95 -9762.45
-6.87338 -14.5531 | 2.49572 1.05857 | 1535.14 -788.662
-6.37142 -14.5181 | 2.01522 1.29505 | -3228 4508.56
-5.87526 -14.4439 | 2.13527 1.15073 | 2043.38 1698.07
-5.38391 -14.3341 | 2.52148 -2.32917 | 4836.27 -6586.88
-4.89681 -14.1974 | 0.332972 -4.30649 | -1895.08 8349.14
-4.42426 -14.0137 | -2.60705 0.241327 | -1199.25 4896.1
-3.96634 -13.7939 | -2.0813 -1.28779 | 7281.02 -9210.01
-3.51276 -13.5644 | 0.739142 -2.36403 | -9762.14 -4572.06
-3.07999 -13.3144 | 1.12164 -0.487307 | -11611.3 -1613.49
-2.67714 -13.0321 | -2.32856 -0.381709 | 5786.64 3918.94
-2.2932 -12.7177 | -0.836859 -0.977055 | 5913.59 4076.84
-1.92468 -12.3771 | -2.97737 1.33594 | -2050.93 -2412.78


51.8107 -49.2687 | 2.049 -0.957429 | -1297.98 1149
52.3047 -49.3442 | -0.35229 -1.1331 | 6034.44 -11431.2
52.7968 -49.4558 | -0.51889 -2.29906 | -2432.46 18057.8
53.2859 -49.5637 | -2.89121 -3.4333 | -2362.23 -6285.21
53.7677 -49.6967 | -1.53207 -0.967488 | -3927.73 -10213.5
54.241 -49.8563 | 2.54871 0.137448 | 7623.29 15596.1
54.7211 -50.0036 | 0.497123 -3.70261 | 8338.58 -8782.91
55.2037 -50.165 | -0.136939 -0.325004 | -12008.9 -6466.06
55.6755 -50.3398 | -0.629727 4.05711 | -502.048 14592.9
56.1505 -50.4943 | -0.337823 3.75423 | 7141.97 -5472.58
56.6305 -50.6486 | -0.255156 -0.521906 | -7253.11 -8245.25
57.1067 -50.8061 | -0.564186 -2.95269 | -1457.11 9730.21
57.5882 -50.9344 | 0.95828 -1.94026 | 2801.8 1247.36
58.0774 -51.036 | 1.10427 2.66662 | -674.693 -7270.08
58.5702 -51.1203 | -0.4781 1.84451 | -3796.11 3691.98
59.0656 -51.1678 | 0.488619 1.1072 | 5946.55 2061.52
59.5668 -51.1729 | -0.588824 1.23703 | 319.755 -2110.51
60.0673 -51.1381 | -0.88877 0.502071 | -2811.99 6767.05
60.5599 -51.0569 | -1.20679 1.85985 | -7470.4 -10553.1
61.0404 -50.9513 | -2.77808 -0.337839 | -6642.01 633.579
61.5058 -50.8087 | -1.37721 -0.177267 | 2021.67 6644.61
61.9603 -50.6279 | 0.320093 -0.657557 | 4358.23 -6691.01
62.4113 -50.4344 | 2.60744 -2.9559 | 501.455 2638.46
62.8577 -50.2253 | 2.90466 -3.16365 | 10443.1 -4934.12
63.3047 -50.0058 | -1.29263 -1.87907 | -5137.3 1050.96
63.7331 -49.7547 | 1.4939 -2.30334 | 2883.17 7142.89
64.1379 -49.46 | 1.00082 -2.33062 | 1220.89 64.3146
64.5168 -49.1305 | -0.987089 -1.43403 | 856.318 -1820.72
64.8678 -48.7718 | -0.773234 -0.0687694 | -5917.09 5935.91
65.1854 -48.3827 | -3.42419 1.83363 | 4925.89 -3426.19
65.4898 -47.9834 | -1.57894 3.30933 | -2494.27 -4025.32
65.7818 -47.5799 | 1.66817 2.74216 | -6300.42 -2492.75
66.0636 -47.1749 | 2.81459 -1.43626 | 7952.09 -5556.66
66.3526 -46.7756 | 0.104483 -0.773813 | -4696.93 2758.23
66.6319 -46.3695 | -1.23932 -0.896604 | 674.535 2999.01
66.9046 -45.9551 | -0.865874 -0.71455 | 8152.63 6131.6
67.1786 -45.5325 | -1.33569 2.085 | 935.347 6880.62
67.4458 -45.1007 | 2.17823 1.46702 | -8453.7 -8074.1
67.7031 -44.6716 | 5.8982 -0.677605 | -722.002 -4609.28
67.9648 -44.2498 | 1.48313 -3.13918 | 1934.75 -295.871
68.2393 -43.8355 | 3.09014 -3.00271 | 1666.28 6362.34
68.528 -43.4261 | 2.7971 1.17517 | -1279.05 -598.385
68.8343 -43.0308 | -2.38386 1.01067 | 37.0873 -5293.73
69.1628 -42.6596 | -3.06818 -0.989684 | -8167.45 -8329.42
69.5057 -42.3142 | 0.498147 -3.05179 | -7994.55 -525.87
69.8614 -41.9869 | 0.775953 -0.526243 | 15734.2 11084.1
70.2491 -41.6764 | -0.616297 0.504348 | 5628.03 7063.08
70.6634 -41.3894 | -3.5912 0.278647 | -3664.6 -10549.6
71.0975 -41.1424 | -2.9407 -3.73577 | -766.024 4422.33
71.5443 -40.9185 | -2.05156 0.939958 | -61.4809 1862.73
72.002 -40.7167 | -2.35462 2.70063 | 52.1568 -5883.73
72.47 -40.5423 | -0.532987 0.36427 | 2726.28 12185.1
72.9457 -40.3772 | -2.12734 1.86965 | -2873.2 -6623.77
73.4296 -40.2467 | -2.30038 -0.192395 | 5912.07 -6571.49
73.9243 -40.1521 | -1.71875 -3.05716 | -3153.01 9058.89
74.4198 -40.0666 | 0.577015 -3.31806 | -2744.16 -1994.24
74.9163 -39.9995 | 2.48033 -1.97925 | 5288.43 -3714.02
75.4175 -39.9532 | 1.53315 -2.54696 | -7090.03 4671.84
75.9153 -39.9147 | -1.67832 -0.655561 | 1341.25 -4690
76.4147 -39.8904 | -1.52211 -1.5833 | 7708.47 3625.64
76.9178 -39.8681 | 0.56427 -1.41969 | -15414.1 2724.92
77.4112 -39.8492 | 0.596951 -0.752628 | -374.036 -8439.86
77.9036 -39.8479 | -0.296714 -2.60598 | 5805.31 2049.35
78.3999 -39.8438 | -1.51209 -0.895528 | 2526.14 2594.64
78.8974 -39.8247 | 0.528387 -0.0294704 | -7822.35 -2798.45
79.3887 -39.7897 | 1.88461 -1.10018 | -3488.75 98.3146
79.8757 -39.7289 | -2.25128 3.39038 | 13368.7 2396.55
80.367 -39.6353 | -3.24435 4.90898 | 2827.44 -3148.73
80.8533 -39.507 | -2.40018 2.17621 | 1234.41 6741.51
81.3245 -39.3283 | -0.466214 -0.537954 | -12363.3 -4663
81.7676 -39.1097 | -0.0667878 -0.360376 | -6417.28 -11508.6
82.1849 -38.8604 | -0.811217 -2.30628 | 5077.97 11486.9
82.5772 -38.5617 | -1.99509 -0.37153 | 6062.14 4769.3
82.9506 -38.2287 | -0.950419 0.0387028 | 7953.3 -5455.28
83.3125 -37.8775 | -0.303921 2.45449 | 2704.29 14262.3
83.6498 -37.4919 | -0.41521 1.81633 | -2195.26 -6937.22
83.9593 -37.0893 | -1.50906 0.804982 | -5651.39 -7416.38
84.2354 -36.6717 | -0.995464 2.28161 | -748.697 266.324
84.4771 -36.2352 | 0.876596 0.802839 | 913.294 -5147
84.6835 -35.7824 | -0.139067 0.642735 | 3982.53 17554.1
84.8482 -35.3003 | 4.58366 -0.233817 | -9885.69 4375.73
84.9656 -34.8018 | 2.90851 -0.919786 | 9596.28 -9811.94
85.0701 -34.3042 | -2.16836 -0.890915 | -8116.98 11019.2
85.1544 -33.7983 | 1.18458 -2.35005 | 4341.28 -11424.1
85.245 -33.3015 | -0.364188 -2.12569 | -220.303 -10915.4
85.3466 -32.816 | -2.14395 -0.895346 | -1735.81 -3824.78
85.4576 -32.3357 | 1.06108 -1.81501 | 5303.55 7786.05
85.5803 -31.8516 | 2.19545 -1.40874 | -3340.7 10541.3
85.7017 -31.3602 | 1.83485 2.4873 | -2138.51 -6977.81
85.8283 -30.8738 | -0.898114 2.84697 | 7822.63 -1384.18
85.9712 -30.3912 | 1.69118 -0.60866 | -12609.5 14012.9
86.1119 -29.902 | -3.75489 -0.303401 | 5261.46 -12905.5
86.2869 -29.4314 | -0.0589539 0.166905 | 2487.34 -4661.24
86.5033 -28.9817 | 2.79309 -1.92482 | -1699.8 5244.08
86.7527 -28.5484 | 0.0499212 1.32591 | -2157.01 -11037
87.0344 -28.1437 | 1.1332 2.11897 | -5834.65 5663.33
87.3403 -27.7574 | 0.330184 -0.394083 | 590.012 -2580.45
87.6825 -27.4024 | -1.35868 -1.44007 | 16082.4 2764.13
88.0685 -27.0798 | -2.30631 1.34119 | -5279.83 10511.6
88.4706 -26.772 | -1.82328 1.26728 | -3464.82 -7527.82


-20.7736 -15.1546 | 2.07371 2.47598 | -5298.19 2320.64
-20.3602 -14.8811 | -1.21745 2.79165 | -2331.04 -12305.2
-19.9266 -14.6495 | -0.868398 2.51677 | 11022.6 4798.19
-19.4727 -14.4399 | 0.0534043 0.769586 | 141.872 12381
-19.011 -14.2349 | -0.713813 2.3294 | 4355.62 -5314.1
-18.5363 -14.0574 | -2.18114 1.69837 | -4644.72 -3433.42
-18.0555 -13.907 | -2.40708 1.42657 | 646.979 9598.64
-17.5674 -13.7741 | -0.467119 0.306965 | 6543.4 -4918.29
-17.067 -13.6859 | -1.1011 -3.15856 | -11224 -8603.3
-16.5688 -13.6492 | -0.858207 0.216097 | -5281.17 6450.51
-16.0743 -13.6407 | 3.37648 2.31962 | -3196.51 -924.583
-15.5829 -13.6626 | 1.9671 1.83145 | 4737.61 1384.72
-15.0915 -13.7118 | -0.699168 3.73331 | -6835.05 -2008.6
-14.6074 -13.7888 | -1.06296 -1.01113 | 2446.7 5128.69
-14.1244 -13.8818 | 1.03914 0.090264 | 12175 1788.17
-13.6392 -14.0001 | 2.79879 5.27935 | -2836.17 -10664.5
-13.1681 -14.1645 | -0.279647 1.51837 | -14608.9 11905.7
-12.7175 -14.3514 | 0.593799 -0.0573016 | 4394.34 -11014.1
-12.2753 -14.5678 | 2.83524 0.0118566 | 7496.13 3072.83
-11.8281 -14.7825 | 0.000399852 -3.19596 | -1928.15 8213.59
-11.379 -14.9833 | -1.9803 -2.54632 | -11917.2 1931.43
-10.9387 -15.1843 | -3.27944 -3.75988 | 3208.01 -7839.75
-10.4988 -15.3941 | 0.0762624 -5.9081 | 4340.51 2165.47
-10.0511 -15.5949 | -0.939949 -7.30084 | 3600.03 -2375.31
-9.59374 -15.7835 | -2.81545 -1.53517 | 3480.08 402.702
-9.12527 -15.9548 | -2.07392 -0.129868 | 8076.16 -6953.83
-8.64336 -16.1113 | -0.159207 1.27028 | 5720.9 -4367.89
-8.14887 -16.238 | -0.119378 2.14594 | -14611.6 12462.1
-7.65331 -16.3051 | -4.36031 0.178345 | 4961.26 51.524
-7.15159 -16.3232 | -2.37227 -0.401995 | 914.766 -4649.15
-6.64957 -16.3037 | 1.35886 0.353851 | -7645.22 5961.22
-6.15528 -16.2399 | -0.275371 -3.32502 | 6845.86 692.032
-5.6613 -16.1508 | 0.127344 -4.5468 | -2135.23 -10462.4
-5.17063 -16.056 | 0.285901 -0.765816 | -1436.09 880.844
-4.68627 -15.9354 | 0.0661267 1.12919 | 3551.13 5810.17
-4.21039 -15.7745 | -0.451621 0.723789 | -2578.43 3600.37
-3.74755 -15.5786 | -1.29671 0.143464 | 7078.75 -7966.83
-3.28936 -15.3665 | -0.750809 1.72937 | 1036.21 3067.12
-2.84715 -15.1216 | 1.16887 1.15509 | -11735.2 1401.12
-2.43599 -14.8389 | -1.28356 2.57432 | -106.825 -5566.77
-2.04571 -14.5325 | -4.47301 2.22938 | 2289.64 3667.18
-1.67298 -14.2 | -2.78532 1.3684 | 6912.52 4688.62
-1.31279 -13.8459 | -0.191237 3.25914 | -6694.34 644.84
-0.970774 -13.4774 | -2.00749 4.88534 | -550.293 -6758.35
-0.63202 -13.1104 | -2.02114 3.52671 | 6222.88 2461.42
-0.288097 -12.743 | 2.70698 1.83466 | -3980.5 6811.31
0.0547845 -12.3725 | 0.187595 3.05693 | -534.975 -4866.22
0.410508 -12.0185 | 0.473268 2.03259 | 1734.83 -7599
0.786542 -11.6904 | 1.01186 -2.41883 | -1940.49 4271.94
1.17466 -11.3757 | 0.16333 0.232899 | 216.73 -546.359
1.57644 -11.0764 | 0.973635 2.47121 | 7422.5 6153.11
1.99649 -10.7897 | 1.35742 1.60133 | 5457.45 5893.71
2.4345 -10.5205 | 1.24339 3.55775 | -3416.71 -7371.48
2.88666 -10.2865 | 0.712097 2.21005 | -11295.9 -4380.79
3.34561 -10.0879 | -1.66545 0.788989 | -1263.3 874.377
3.81667 -9.92363 | -4.368 -4.3336 | 8428.8 5184.84
4.30525 -9.79808 | -4.81684 -3.49445 | -2775.91 -3363.49
4.80255 -9.73 | -2.32384 2.31332 | -7529.71 -4758.96
5.2993 -9.72641 | -4.0197 4.18627 | 4633.93 3542.53
5.79598 -9.77556 | -4.56648 1.52022 | 899.344 1278.78
6.28486 -9.87858 | -0.993011 -4.38915 | -3642.28 -3847.75
6.75651 -10.0403 | -0.25206 0.880168 | 4532.48 -3.77609
7.21324 -10.248 | 2.52227 2.49614 | -894.417 -3986.14
7.65264 -10.4933 | 0.772152 -0.103866 | 4801.69 4415.73
8.08315 -10.7557 | 3.58862 0.250215 | -5898.14 3689.88
8.49834 -11.0345 | 5.23718 0.853041 | -204.003 -7536.28
8.9015 -11.3348 | 0.560051 3.92486 | 8772.52 1111.3
9.30607 -11.6388 | -2.07948 1.06941 | -8001.72 11428.6
9.70164 -11.9404 | -0.0816634 2.88191 | -6006.14 -6155.58
10.0823 -12.2586 | -1.20534 3.34345 | 3035.32 -4138.62
10.4622 -12.5837 | -2.56978 -0.726092 | 7584.43 -3636.61
10.8561 -12.9002 | 1.53219 0.585222 | 150.434 10762
11.2636 -13.1902 | 0.512617 -1.40116 | -15789.6 3689.97
11.6682 -13.4669 | -3.58974 -2.3305 | 7605.21 -397.883
12.083 -13.7354 | -0.276024 -1.83534 | 3475.6 -12214.5
12.504 -14.0085 | 4.51503 -5.14145 | 2511.9 -3864.72
12.939 -14.2671 | 1.76986 -3.10782 | 5970.6 4514.1
13.3982 -14.4846 | -3.8785 0.129428 | -2436.71 7096.61
13.8738 -14.6533 | -3.57982 2.5805 | -8172.82 -1752.59
14.3555 -14.7879 | -2.93615 0.0889117 | 8630.38 -2214.92
14.8501 -14.8904 | -1.91126 -0.279191 | -2511.35 -400.131
15.349 -14.9584 | -1.04342 -0.857047 | -6586.45 -471.677
15.8467 -14.9871 | 1.14001 -0.543725 | -1445.58 7571.61
16.3434 -14.9683 | -1.27796 2.8987 | 2448.9 -7233.75
16.8397 -14.9252 | -4.81973 0.274056 | 704.455 -655.947
17.3332 -14.8529 | -2.34854 0.623888 | -413.967 -3601.58
17.8193 -14.7445 | 0.153686 3.13008 | 55.5942 7506.99
18.2917 -14.5813 | 3.3226 -1.47785 | 5274.25 -982.643
18.7502 -14.3732 | 1.75112 -1.70209 | -3291.38 12811.2
19.1884 -14.1212 | -0.593373 -1.15677 | 1492.11 -18030.2
19.6219 -13.8719 | -0.120268 -4.09086 | -4844.61 1723.39
20.0441 -13.6102 | -1.04162 -0.157203 | -4347.07 382.55
20.4549 -13.3356 | -0.961976 2.27996 | 4643.56 -647.689
20.8643 -13.0551 | -0.644639 1.13233 | 1816.07 1693.75
21.2707 -12.7684 | -0.553779 -1.7457 | -5977.61 -5287.44
21.6697 -12.4796 | -1.18964 1.42822 | 2169.81 -257.757
22.065 -12.1829 | 1.11551 2.4098 | 9725.13 8738.38
22.4574 -11.8683 | 2.22926 -1.51972 | -6722.78 4757.15
22.8378 -11.5381 | -2.03974 -0.0686812 | 5130.25 -369.241
23.2251 -11.2119 | -2.87009 -2.80495 | -4016.03 -6154.03


12.5091 -12.4 | -1.35843 -3.58599 | 3388.34 345.896
13.0074 -12.3268 | -2.50587 -1.50782 | 1855.21 -1318.61
13.5023 -12.2273 | 0.604634 -5.53779 | 1053.5 3031.36
13.9905 -12.0977 | 1.74502 -2.38582 | -6315.59 -1970.76
14.4666 -11.9453 | 1.3878 -2.0465 | -7839.53 -1401.69
14.9309 -11.7753 | 0.824338 -4.08408 | 6957.62 -3019.39
15.3945 -11.5946 | 0.272278 -1.43439 | 5025.32 254.625
15.854 -11.3935 | 0.731234 0.80191 | 321.464 11152.1
