76.7475 -55.9395 | -5.50444 0.451213 | 22046.4 10430.6
77.2343 -55.8185 | -0.534733 -0.48745 | -30030.9 10245.4
77.6978 -55.6615 | 2.46042 -12.0999 | 32258.2 -1789.85
78.1743 -55.489 | 1.44391 -0.0206209 | -10413.9 6831.19
78.6361 -55.2917 | 3.98097 5.21585 | -23319.8 -14411.7
79.0786 -55.0943 | 0.435057 4.00758 | 14451.1 -753.803
79.527 -54.8919 | 3.38369 8.16671 | 9093.25 13628.1
79.9754 -54.6645 | 0.566057 -6.88704 | 3196.59 -7364.49
80.4199 -54.429 | -5.66652 -4.02132 | -10392.1 -940.377
80.8456 -54.1729 | -3.61498e-05 -0.270227 | 4447.61 1911.93


-34.9136 30.9221 | -1.36486 -2.78327 | -49.0287 6055.87
-34.4543 30.732 | -2.13439 -7.87824 | -5980.89 -7484.04
-34.0215 30.4889 | -1.27755 -6.38089 | 5464.62 -2817.65
-33.6068 30.2078 | -0.0662873 -3.6536 | 4686.41 2959.89
-33.2053 29.9051 | 1.38319 1.73089 | -5141.62 -1250.48
-32.8229 29.5805 | -1.8547 -1.68969 | 5690.03 -200.833
-32.4491 29.2423 | -3.12431 -4.128 | 1994.47 3203.55
-32.0879 28.8919 | 0.529498 0.817554 | -8864.23 1394.3
-31.7542 28.5217 | 1.19806 -0.41359 | 985.147 -4099.53
-31.4406 28.1317 | 1.0065 -3.43055 | 4063.04 1986.46
-31.1378 27.7323 | -2.0975 -4.59985 | -4545.24 -1203.34
-30.8504 27.3229 | -1.52005 -4.55729 | 3007.8 -1002.05
-30.5664 26.9104 | -0.629426 -1.70124 | -8907.71 6142.64
-30.2848 26.5037 | -0.0165685 -0.941987 | 8568.65 425.486
-29.9829 26.1079 | 0.472285 -0.816852 | 1921.99 -9954.52
-29.6657 25.7158 | -2.62186 -0.0711169 | -937.961 1168.53
-29.3299 25.3398 | -0.705641 1.01099 | 3792.8 6213.41
-28.9697 24.9895 | 0.791282 1.8927 | -8347.29 -5406
-28.5983 24.6545 | -0.835367 2.23955 | -1759.5 6489.36
-28.2032 24.3527 | 1.54518 0.893289 | 11474.5 -2070.16
-27.776 24.0844 | 4.4969 -0.788153 | 2249.51 -3093.9
-27.3298 23.8413 | 3.77731 -0.772419 | -4739.77 -7523.23
