-4.61057 12.4943 | 3.31514 3.07073 | 4595.37 -3630
47.0774 -13.7007 | -0.265015 -1.00693 | 5808.54 1783.27
47.1854 -13.2104 | -3.33515 -0.50609 | -239.86 2257.5
47.2952 -12.7186 | -1.92212 1.57811 | -2552.8 -3904.86


-28.1946 -87.6133 | -3.14395 1.34714 | -308.33 -5225.23
-27.952 -87.181 | -0.456161 -0.380801 | -3025.94 3334.88
-27.6971 -86.7538 | 0.999919 -2.10575 | 3155.43 7264.35
-27.4188 -86.3354 | 1.84733 -2.48456 | 2671.07 -7926.21
-27.1094 -85.9427 | 0.355044 -1.64227 | -768.017 139.284
-26.778 -85.5686 | 0.83262 -1.58328 | -2220.63 5974.8
-26.4313 -85.2066 | 0.679722 -2.25156 | -3777.92 -915.663
-26.0633 -84.8692 | -0.350119 -3.14931 | 7596.05 -5092
-25.6613 -84.5723 | -0.263454 -1.35442 | -7910.99 -1177.83
-25.2424 -84.3092 | 0.118469 -1.79357 | -7429.62 5100.25
-24.8089 -84.0776 | 0.425153 -2.10416 | 7460.76 -3179.11
-24.3468 -83.9008 | 0.807462 1.14257 | 2513.72 245.795
-23.864 -83.781 | 0.91023 2.18151 | 2881.04 3007.27
-23.3677 -83.7149 | 1.55809 -0.337591 | 2350.1 -6162.94
-22.8643 -83.7072 | 1.17869 -0.784735 | 5925.65 3146.32
-22.3564 -83.737 | 1.13464 -1.64317 | 5180.66 2413.95
-21.8478 -83.7974 | 1.91421 -0.0397244 | -6564.84 -7610.84
-21.3487 -83.894 | -0.202899 -3.4404 | -4695.27 5819.58
-20.8576 -84.0021 | -1.39556 -3.79933 | -6325.15 6445.29
-20.3747 -84.116 | -0.769178 -0.201645 | -5975.93 -6003.47
-19.9008 -84.25 | -0.595597 2.2949 | 4170.98 4628.3
-19.4269 -84.3897 | -0.0526216 2.42372 | 2417.04 -2157.49
-18.954 -84.541 | -0.661106 0.814479 | 2371.62 -2911.66
-18.4833 -84.7035 | -0.448213 1.05829 | -8363.98 1255.05
-18.0196 -84.8668 | 0.696835 0.24899 | -7366.92 1311.47
-17.5582 -85.0177 | 1.36362 -0.0751399 | 1148.65 3795.68
-17.0901 -85.1411 | 1.19725 -0.477981 | -2730.48 3488.97
-16.6175 -85.239 | 1.98053 2.11437 | 5908.14 -7886.62
-16.1375 -85.3294 | 2.44409 2.56416 | 8390.38 -4700.88
-15.6481 -85.4047 | 2.14336 -1.02753 | -3645.2 5729.91
-15.1561 -85.4444 | 2.38981 -1.49455 | 1692.65 -1379.17
-14.6613 -85.4528 | 2.00591 0.296152 | 2920.93 -5399.72
-14.1648 -85.4306 | 1.22955 0.182062 | 1413.21 1505.15
-13.6724 -85.3587 | 2.08147 -1.14079 | -3105.53 -582.338
-13.1952 -85.2266 | 1.91077 -1.64732 | -978.217 -779.208
-12.7431 -85.027 | 0.175587 0.273369 | 5984.27 6668.42
-12.3244 -84.7549 | -1.43298 1.11298 | -3752.11 -2254.47
-11.9518 -84.4261 | -2.97111 -0.0730249 | -6103.33 -3696.64
-11.6275 -84.0549 | -1.28569 -1.84566 | 3575.59 4739.46
-11.3359 -83.6526 | 0.339057 -2.52245 | 7101.18 -4380.39
-11.0627 -83.2365 | 0.999506 -3.40969 | -1663.3 187.262
-10.8179 -82.8037 | 2.46268 -2.84821 | 893.917 -669.328
-10.6054 -82.3547 | 1.92544 -3.85358 | -1824.43 364.926
-10.432 -81.8893 | -0.95751 -4.82304 | -1998.06 3656.8
-10.296 -81.4094 | -0.754201 -3.27663 | -1653.01 292.203
-10.1836 -80.9225 | -1.27065 -0.492749 | -887.73 3174.26
-10.0727 -80.433 | -1.43216 1.72208 | 6144.98 514.646
-9.93579 -79.949 | 1.04717 -0.232351 | 1057.93 -3143.31
-9.76821 -79.4766 | -0.437421 0.110317 | 238.657 -2082.33
-9.57172 -79.0175 | -0.803886 1.66325 | -2971.57 -3297.52
-9.35208 -78.5722 | 2.80106 -1.67779 | 1415.19 673.919
-9.10877 -78.1386 | 1.92395 -1.22505 | 1040.8 2411.85
-8.8463 -77.7141 | 0.850278 1.6436 | -2058.71 358.013
-8.57017 -77.2991 | 3.17951 0.769913 | -931.533 -4026.84
-8.27962 -76.8969 | 0.974861 1.00948 | -2648.4 5146.53
-7.97599 -76.5019 | -2.91433 -0.237367 | 999.627 8521.75
-7.64571 -76.1225 | -5.90782 1.75625 | 6197.19 -7754.08
-7.26993 -75.7886 | -4.87023 4.5268 | 1590.25 -3487.42
-6.85726 -75.502 | -2.7412 2.09639 | -3124.34 6303.05
-6.42201 -75.2499 | -3.11546 -1.01525 | 398.476 -3162.62
-5.96386 -75.0433 | -4.39575 -0.153716 | 3232.69 1981.19
-5.48587 -74.8817 | -1.87505 0.130653 | -2203.19 -2921.26
-4.99637 -74.7697 | 1.44258 -1.55668 | -6363.2 -1299.18
-4.50379 -74.7027 | 1.02627 -2.46516 | -2745.94 2331.21
-4.00978 -74.6733 | 0.7529 -1.49206 | 1464.64 -3035.83
-3.51341 -74.6826 | 1.21962 0.154162 | 8137.02 2923.18
-3.01236 -74.7181 | 1.53967 0.259951 | 1737.85 1076.24
-2.51263 -74.7792 | 1.63439 -1.58155 | -6440.59 1577.71
-2.0224 -74.8697 | 1.08082 -0.987436 | -3173.86 -551.047
-1.54353 -74.9967 | 0.758767 -2.91186 | -1126.21 -3699.48
-1.07651 -75.1614 | -0.226701 -3.89347 | 1218.95 681.838
-0.616752 -75.3486 | -0.385442 -0.0468017 | 2644.02 331.143
-0.15893 -75.547 | -0.265632 -0.0465324 | 6590.44 328.705
0.301649 -75.7506 | -0.00447272 1.38347 | 583.604 -4850.59
0.760449 -75.9623 | -0.0404013 4.09853 | -7074.73 2472.24
1.21657 -76.1687 | -0.449173 5.64606 | 793.104 -948.178
1.68 -76.3589 | -1.29387 4.55377 | 6209.94 5101.92
2.15735 -76.5178 | -1.22088 3.98783 | -4750.9 1589.3
2.63816 -76.6538 | -1.40718 4.3536 | -5333.89 -4620.09
3.11875 -76.7785 | -0.51351 3.169 | 269.844 1138.45
3.60448 -76.882 | 1.77072 1.78022 | 5779.18 -490.309
4.09897 -76.9596 | 0.739308 -0.977581 | 0.2035 50.8363
4.59742 -77.0082 | 0.86757 2.7942 | -4520.72 -2261.15
5.09566 -77.0261 | 1.54198 5.90612 | 6982.52 -3791.54
5.59763 -77.0021 | 1.75891 1.35769 | 123.552 9198.99
6.09246 -76.9107 | 1.60764 -0.762925 | -6508.35 4873.52
6.57027 -76.7631 | -0.390759 -2.63686 | 442.242 -10368.2
7.03847 -76.5926 | 1.01753 -3.20452 | 4714.29 -2720.98
7.49798 -76.3933 | 2.5852 0.233432 | 3504.3 10754.8
7.93921 -76.1454 | 3.19059 0.234828 | -3390.92 -404.866
8.35655 -75.863 | 3.13137 -0.324482 | -6361.66 -8437.88
8.75193 -75.5617 | 2.27164 1.27643 | -10.8505 2871.82
9.13162 -75.239 | 2.05826 0.904269 | 6493.89 6958.63
9.50652 -74.9004 | 0.578655 0.244583 | 2287.39 1485.23
9.883 -74.5607 | -0.187189 -0.335366 | -7148.2 -5017.49
10.2647 -74.2357 | -1.81776 0.822024 | 4137.68 -4390.64
10.6673 -73.9365 | -2.30787 1.17696 | 6229.06 3813.51
11.0897 -73.6572 | -1.9214 0.843594 | -5328.75 2739.03
11.522 -73.397 | -2.91608 3.42107 | 329.959 -10963.6
11.9691 -73.171 | 0.13124 -0.584626 | -3421.01 5918.81


-52.1848 39.9983 | 3.26427 3.75709 | 1880.95 151.95
-51.6828 40.0256 | 0.815295 7.51612 | 5459.33 -2094.37
-51.1766 40.0237 | -0.525383 3.89577 | -2214.59 6634.37
-50.6721 39.9975 | 2.90272 1.83302 | 202.512 -4646.87
-50.1718 39.925 | 2.38146 1.93255 | 2.62362 -6514.84
-49.6801 39.8017 | -0.119626 1.90015 | 5111.93 6028.59
-49.1949 39.646 | 0.161374 1.07648 | 189.498 -3716.66
-48.7247 39.4479 | 0.447542 3.23854 | -6438.3 -86.8322
-48.2778 39.2101 | 1.42761 2.22167 | 1350.5 4647.41
-47.8514 38.9402 | 1.40932 1.63135 | 719.426 -1541.09
-47.4544 38.6296 | -0.0208556 1.46704 | -8924.37 2202.85
-47.1018 38.278 | -0.326534 -0.66052 | -4235.1 544.14
-46.7909 37.8929 | 0.0226385 -0.865058 | 4502.54 3073.21
-46.5066 37.488 | 0.103109 -0.077858 | -3335.6 -2331.65
-46.2501 37.0653 | -0.967592 1.33562 | -2908.39 1884.57
-46.0075 36.6373 | 1.8518 3.04837 | 11656.7 9052.97
-45.7561 36.2163 | 2.49859 1.16298 | -5703.18 -4709.1
-45.5242 35.7846 | 5.1679 1.27381 | -11904.5 2334.83
-45.3162 35.3456 | 5.17362 1.77074 | 17363.4 2961.18
-45.0943 34.9093 | 3.47825 1.90956 | 611.877 -9987.48
-44.8844 34.4597 | 1.09754 -2.34241 | -10335.7 -5745.89
-44.7021 33.9964 | 1.66656 -2.47978 | 1728.37 4178.69
-44.5184 33.5363 | -1.59133 1.64117 | 315.511 6338.52
-44.3154 33.0892 | -2.62108 -0.364097 | -3939.5 -2085.28
-44.0853 32.6561 | 2.42677 -0.140241 | 7607.43 1373.81
-43.8081 32.2485 | 1.90915 -0.909589 | 2321.94 -5665.75
-43.4936 31.863 | -1.11247 0.819806 | -1083.94 463.69
-43.1514 31.5025 | -2.10539 6.3117 | -8435.83 -455.444
-42.7897 31.1682 | -3.27592 1.9447 | -1295.95 2188.27
-42.3976 30.8745 | -0.721555 0.928624 | 2725.55 5367.38
-41.9723 30.6324 | -1.71493 3.57696 | -2857.38 -8461.49
-41.5262 30.427 | -2.06384 1.1887 | 6267.32 -2640.47
-41.0558 30.2705 | -2.14725 0.0620182 | 715.161 3205.64
-40.5687 30.1757 | -2.4191 0.0987849 | -2083.34 -1032.51
-40.0744 30.1382 | -1.6935 0.434807 | 3181.46 3190.27
-39.5754 30.1553 | 0.550432 -1.22676 | 10231 640.068
-39.0716 30.2093 | 1.54516 -4.06282 | -1769.35 -4579.09
-38.5716 30.2823 | -0.826593 -2.15332 | -8572.41 -6101.6
-38.081 30.3733 | -2.05117 0.761796 | 1273.03 8948.69
-37.597 30.5016 | -1.39268 -0.115208 | 4423.89 760.332
-37.1154 30.6523 | -0.932931 -0.421146 | 6663.54 -8678.63
-36.6331 30.812 | -1.81564 0.198044 | -572.384 14118.4
-36.1608 31.0063 | -3.67338 -0.218258 | -2623.34 -9208.68
-35.6975 31.2102 | -2.85481 0.606551 | -6181.7 -4539.36
-35.2483 31.4289 | 0.553127 -0.271241 | -5986.9 5470.29
-34.8169 31.6756 | 0.731174 0.773306 | 5911.53 -2966.44
-34.3916 31.9367 | -1.57288 3.94424 | -4036.46 5845.41
-33.9768 32.2144 | -0.278516 1.44549 | -786.98 -3861.17
-33.5602 32.4885 | 1.23114 1.22224 | 11818.1 1799.8
-33.1288 32.7522 | -0.702457 -1.27843 | -6355.45 3211.62
-32.6938 33.0063 | -5.01869 -3.09918 | -2198.42 -961.364
-32.2474 33.2353 | -1.74457 -1.91807 | 1077.64 -218.343
-31.7821 33.4224 | 1.19409 -0.680163 | -679.902 -5401.18
-31.2978 33.5505 | 2.45523 0.0921058 | 10266.3 -684.007
-30.7951 33.6229 | 1.31053 -0.111969 | 432.694 -2206.45
-30.2876 33.6503 | -0.786679 0.776099 | -10579.4 6812.19
-29.7871 33.6517 | 0.616124 2.67288 | -6824.71 -2173.91
-29.293 33.6181 | -0.0363578 4.33484 | 6058.17 894.609
-28.7993 33.5505 | 1.43903 4.2054 | 1115.13 -314.163
-28.312 33.4466 | 3.46728 0.00587533 | -7823.94 10467.3
-27.8418 33.3071 | 0.341004 -2.08673 | -9096.2 -9099.8
-27.3996 33.1022 | 1.36786 -1.92911 | 13998.7 -10068.8
-26.9692 32.8485 | 5.1895 0.96194 | 10315.4 10937.4
-26.5429 32.5814 | 4.59991 -0.725793 | -8541.8 -2809.98
-26.1403 32.2859 | 4.70088 -1.74529 | -6770.79 -1616.58
-25.7593 31.9672 | 1.66358 1.18779 | 8058.29 656.636
-25.3778 31.6432 | 0.734666 2.88011 | 4508.26 -2719.66
-24.9931 31.3185 | -0.0973898 1.76883 | -4515.7 11926.5
-24.6112 31.0017 | -2.46046 0.404643 | -5142.98 -1432.39
-24.2429 30.6727 | 1.25648 1.47195 | 4876.48 -9334.77
-23.8844 30.3233 | 2.94559 3.59272 | 2715.93 -784.626
-23.5316 29.965 | 1.12682 2.53324 | -3721.74 1182.4
-23.1844 29.6051 | -2.30493 0.689951 | -5500.71 6800.74
-22.8362 29.2543 | -3.11557 0.480037 | 1763.41 -3731.26
-22.4752 28.9127 | -1.9464 -5.93713 | 5898.51 -7968.01
-22.0898 28.5883 | -1.1076 -5.62425 | 2807.44 4030.18
-21.6733 28.3036 | -0.458871 -0.701045 | 4088.77 5769.69
-21.229 28.0649 | -1.30863 2.35482 | -10560.2 -4753.21
-20.776 27.856 | -1.69379 3.61098 | -5156.01 4919.9
-20.3111 27.6887 | 1.09397 0.618795 | 6756.33 1149.42
-19.8296 27.5616 | 1.29134 -0.452505 | 3354.65 -8208.92
-19.3379 27.4621 | 1.12604 1.18817 | -3071.55 3163.4
-18.843 27.406 | 1.86908 0.908647 | -13191 7763.79
-18.3545 27.3967 | -0.393328 -2.75631 | 40.1266 -13431.7
-17.866 27.4063 | 1.7965 -1.48219 | 14023.3 7999.05
-17.3702 27.4593 | 1.50971 1.57218 | 194.559 936.234
-16.8773 27.5478 | 0.555296 0.338876 | 1358.87 -1132.9
-16.3883 27.6603 | 1.00065 -0.489274 | -801.54 2478.55
-15.9045 27.7902 | -1.48373 0.96068 | -5232.34 -7728.2
-15.4257 27.9201 | -1.52858 -0.85162 | -102.792 4623.26
-14.9491 28.058 | -1.40234 -0.331928 | 2272.55 -4135.04
-14.4709 28.1934 | -2.67222 0.154484 | 1375.75 -69.0639
-13.9937 28.3328 | -2.80307 2.50875 | -7235.23 3649.09
-13.5251 28.4827 | -3.35409 1.40142 | -11300.3 -5672.79
-13.0634 28.6283 | -1.268 -0.136569 | 12437 3724.99
-12.5916 28.7682 | -1.24045 2.44227 | 4324.39 -1283.18
-12.1123 28.8961 | -1.58518 -2.26925 | -3742.98 2098.09
-11.6309 29.0157 | -0.820253 -4.98781 | 11539.6 2310.33
-11.138 29.1226 | -1.2838 -1.85466 | 3009.19 -316.521
-10.6379 29.2105 | 0.384963 -3.82232 | -8531.68 -1003.19


66.0213 32.9893 | 2.32269 -1.87253 | -2163.78 -1652.18
66.1228 32.4978 | -2.39629 -0.00187979 | 6836.58 -4126.77
66.2479 32.0087 | -1.19432 -3.64044 | -4727.87 6573.11
66.3866 31.5284 | 1.95402 -5.05444 | -3849.65 3053.63
66.5424 31.0555 | -2.83822 -2.38195 | 9509.99 -10489.8
66.7317 30.5851 | -4.23781 -2.04394 | 3292.47 -4319.6
66.9458 30.1203 | -4.35508 -3.37814 | -8828.59 1283.52
67.1711 29.6643 | -5.34026 -3.90925 | 1753.24 4994.72
67.4241 29.2265 | -1.35287 -1.30447 | 2567.4 1053.66
67.7087 28.8089 | -0.227174 -2.88513 | -4358.69 -2379.04
68.019 28.4111 | -2.05434 -2.59122 | 4518.4 4917.63
68.3644 28.0454 | -4.99472 -3.8492 | -4609.89 7684.48
68.7324 27.7098 | -1.45147 -0.402543 | -1114.45 -14433.5
69.1161 27.3835 | -2.10466 -0.0795001 | 10013.1 4345.24
69.5298 27.0893 | 1.82724 1.35594 | -4326.9 862.812
69.9598 26.8235 | 3.63857 2.02862 | -1366.09 -385.231
70.4036 26.5843 | 3.07658 1.39032 | 2670.84 4139.46
70.8604 26.3741 | 2.0489 -1.05013 | -13181.5 985.157
71.3149 26.1805 | 3.28691 -0.923035 | -2413.34 -309.024
71.7726 26.0009 | 3.50084 -3.32531 | 5439.91 640.432
72.24 25.8367 | 0.984144 -3.78079 | 4907.42 -4001.26
72.715 25.6807 | -1.89642 -0.222519 | 1915.6 947.859
73.1941 25.5352 | -2.47128 -2.74607 | -10225.5 6229.43
73.6681 25.3974 | -2.50226 -2.5568 | 3131.22 -7335.57
74.1421 25.2475 | -1.9249 0.0515486 | 12226.1 -1521.84
74.6223 25.0912 | -2.82473 1.35778 | -7145.46 4762.64
75.0959 24.9309 | -4.7686 0.421412 | -3417.15 6473.85
75.5592 24.7567 | -1.58861 -1.38068 | -7552.08 -14288.7
76.0023 24.5404 | -1.23791 -4.93462 | 1119.62 7834.83
76.4395 24.3166 | 1.2046 0.51498 | 793.13 3897.51
76.8756 24.0919 | 0.593973 -0.809237 | 10149 3231.55
77.311 23.8583 | -3.27456 -1.19002 | -19046 -1660.95
77.7165 23.5907 | -1.54577 3.08474 | 11001.8 -6581.93
78.1106 23.2922 | -1.55179 3.03372 | 11413.9 -2948.42
78.4988 22.973 | -2.13025 0.791124 | -2523.56 4013.95
78.8677 22.636 | 3.13272 1.87863 | -5478.42 6362.3
79.2055 22.2773 | 2.8186 0.702315 | -9204.89 1509.21
79.5027 21.89 | 0.226227 -0.9586 | 9821.33 -9399.47
79.7774 21.4774 | 0.619314 1.65093 | -2130.82 9384.97
80.0298 21.0556 | 2.10737 -0.267317 | 8707.92 -2438.52
80.262 20.618 | -3.58475 -3.03775 | -10354.1 -9117.68
80.4491 20.1566 | -5.60202 2.93425 | 4668.17 10180.3
80.6144 19.6915 | -4.71729 1.61279 | -1561.64 -5381.68
80.7584 19.2168 | -1.9017 -2.02988 | 3166.67 1779.12
80.8921 18.7391 | -2.85497 -1.10257 | 896.287 -850.214
81.0148 18.2572 | -2.07315 0.537495 | -3465.78 -4839.26
81.1239 17.7687 | 2.87699 -0.9415 | 7909.91 -2993.38
81.2343 17.278 | 3.77705 -2.56942 | -4744.16 9706
81.3316 16.7917 | 1.88232 -2.94287 | -11146.1 3322.32
81.4147 16.3049 | 2.34606 0.131575 | 17695.6 -17790.8
81.526 15.8082 | -1.1457 -0.818737 | 3423.45 -13978.1
81.6497 15.3044 | -0.538679 -3.2327 | -19090.7 20325.6
81.7654 14.8135 | 0.0605921 -0.901261 | 16251.3 455.37
81.9148 14.331 | -0.764539 0.341975 | 1312.26 -4527.86
82.0765 13.8486 | 4.29528 -0.6151 | -6713.57 -6827.91
82.2297 13.3603 | -0.5008 -2.40908 | -3835.81 2405.13
82.3824 12.875 | -1.47815 -1.24616 | 5586.45 13139.9
82.5535 12.4043 | -0.141363 1.35815 | -5982.84 590.123
82.7292 11.9374 | -0.787465 2.18996 | -3952.35 -12778.1
82.9177 11.4681 | 5.31249 -0.0789855 | 13364.3 6281.07
83.1519 11.0187 | 3.7422 -0.831824 | -5835.81 -3973.09
83.4132 10.5841 | 3.39304 3.25513 | 2799.26 5177.68
83.708 10.1739 | -1.54366 2.05234 | -2514.15 513.946
84.028 9.78447 | -5.4725 -3.30148 | 4967.23 -5277.56
84.3732 9.41333 | -0.0490414 0.743136 | -12827.9 8174.83
84.7318 9.07021 | -2.3107 -0.930293 | -6123.06 3350.43
85.1125 8.76201 | -0.348498 -1.19275 | 5278.4 2804.39
85.5264 8.4986 | 0.478606 -1.8143 | 1673.68 2061.49
85.9636 8.27271 | -0.655672 -1.69168 | 5033.79 -5653.99
86.4128 8.06149 | -1.76715 -5.79552 | -11461.6 -3000.18
86.8595 7.8548 | -0.0787892 -1.14619 | 11937.3 1208.17
87.319 7.66135 | -2.24747 -2.92415 | 879.192 973.02
87.7823 7.47395 | -0.652055 -4.62313 | -5934.81 -2968.06
88.2412 7.27923 | 1.71187 0.599707 | 17185.4 1048.23
88.7069 7.07755 | 0.614106 -3.31483 | -16391 -9140.62
89.1545 6.85092 | 1.2705 -2.27382 | 3133.6 5123.44
89.6027 6.62709 | 1.24381 1.66377 | 5941.68 8078.13
90.0566 6.41415 | 0.482902 -0.520843 | -11268 -2697.46
90.4984 6.18789 | 0.749454 -0.791027 | 6171.48 -7130.28
90.9368 5.94437 | 0.477036 -3.0536 | 6473.37 12203.9
91.3745 5.69844 | -0.419391 -1.14867 | -7148.86 -11960.4
91.7895 5.41625 | 1.21313 0.785283 | 94.3701 5585.98
92.1863 5.11311 | 2.163 4.00196 | -3729.27 4262.37
92.5617 4.7881 | 1.33733 6.52739 | 6941.21 -11561
92.9188 4.43092 | 0.815291 3.91339 | 5081.58 2425.81
93.258 4.05426 | -1.00204 1.61356 | -11712.7 641.764
93.5644 3.65644 | 1.26151 2.81892 | 1938.17 -3713.77
93.8575 3.24686 | 3.13043 2.77662 | 6692.34 8981.25
94.1552 2.84204 | -0.919301 0.65891 | 10064.1 -3101.94
94.4459 2.42649 | -2.39959 2.05444 | -15375.7 -137.406
94.6868 1.98581 | -1.1606 0.796493 | 1194.75 1304.05
94.8842 1.52426 | -2.8209 -3.35204 | 851.04 -11167.5
95.0389 1.04076 | -1.98387 -3.33947 | -3295.88 15213.8
95.1564 0.556291 | -0.419654 -1.3977 | 7960.86 -855.265
95.2456 0.0649456 | 1.64576 1.2934 | -8355.74 -10710.3
95.2844 -0.439047 | -0.0965741 -2.63997 | -1328.74 2398.72
95.2869 -0.943279 | 2.02044 -3.41023 | 1746.16 5509.11
95.2717 -1.44159 | -0.0297132 1.2095 | 6038.98 19242.5
95.2506 -1.92803 | -1.16412 -3.31827 | -8404.75 -23200.4
95.2132 -2.42737 | 4.53984 -4.29658 | 4078.14 3956.29


-3.31804 57.4152 | 0.758062 -0.193988 | -4805.3 3346.79
-3.04725 57.8355 | 3.68295 0.35035 | 8364.26 -5272.13
-2.77628 58.2555 | 3.27125 -1.46779 | 791.08 -2354.12
-2.51628 58.6802 | 1.39508 -1.43036 | -7652.67 -2343.58
-2.28553 59.117 | 1.39188 -0.738036 | -3037.39 4970.8
-2.0786 59.5682 | 1.8672 0.816052 | 9317.37 3840.52
-1.87241 60.0246 | -1.0763 2.82515 | -5683.96 -6038.7
-1.67322 60.4789 | 2.24375 2.01716 | 528.17 -3982.45
-1.47234 60.9298 | 3.28488 3.04884 | 2039.56 7233.92
-1.26718 61.3835 | 1.378 2.71034 | -2951.68 81.5031
-1.05636 61.8333 | 1.48535 -0.130924 | -2755.33 -9286.81
-0.829632 62.2672 | 0.594011 -0.842581 | 345.946 -5221.58
-0.580278 62.6848 | -2.70184 1.69577 | 895.114 8874.22
-0.311573 63.0965 | -0.55003 0.253987 | 2453.54 1786.98
-0.0208214 63.4962 | 1.43434 -2.53414 | 567.112 -4033.18
0.288594 63.8797 | 0.141562 -2.3926 | -5551.31 4594.43
0.606597 64.2567 | 4.40998 -2.07757 | 3975.37 3577.22
0.945843 64.6203 | 6.17855 -1.79956 | 5671.85 -1236.24
1.31152 64.9607 | 4.6056 -0.468291 | -5576.57 42.7193
1.69161 65.2809 | 4.94199 -1.36004 | -2269.93 1251.51
2.08827 65.5783 | 2.14797 -2.176 | -142.601 -1486.35
2.50711 65.8425 | 1.30962 -1.65491 | 1615.14 4054.64
2.95032 66.0688 | 0.766252 1.69426 | 6777.61 -5838.9
3.42001 66.2421 | -0.729483 0.778564 | -472.311 -1334.02
3.90212 66.3772 | -2.78965 0.846447 | -3262.49 4170.82
4.38727 66.4962 | -1.38741 -2.03112 | 1103.67 -1052.2
4.87613 66.604 | -0.359974 0.117689 | 5393.44 2966.11
5.36977 66.7111 | -1.84775 4.02937 | 3023.51 723.971
5.86554 66.8202 | -1.70817 1.30263 | -4422.48 1686.77
6.35841 66.9341 | -0.316771 -0.106889 | 3753.87 3396.44
6.85354 67.0477 | 0.400918 1.89612 | -3416.71 -5426.89
7.34887 67.1441 | 0.595383 -0.487685 | -5553.56 1830.98
7.84297 67.2248 | 0.646482 -0.175713 | 2599.48 -4889.85
8.3415 67.2808 | 0.617601 2.41246 | 4171.15 -3367.25
8.84439 67.323 | 2.32079 -1.79531 | -593.438 5752.15
9.34667 67.3765 | 3.58868 1.31366 | 395.94 -1571.25
9.84702 67.4439 | 3.07428 1.31211 | -3581.77 2335.69
10.3409 67.5336 | 3.07252 -0.751449 | -3764.98 -1920.08
10.8262 67.6432 | 2.40899 1.39292 | -7715.69 -4040.09
11.2987 67.7735 | 1.79408 1.99461 | -10021.6 4172.28
11.756 67.9322 | 4.6691 0.183197 | 7832.15 -3378.46
12.2143 68.1003 | 6.67291 0.538518 | 8271.62 -1000.3
12.6761 68.278 | 6.38738 0.863454 | 7404.8 -391.573
13.1349 68.4775 | 5.33106 1.20484 | -4502.53 7798.27
13.5729 68.7184 | 3.50065 -0.365009 | -4684.73 -6837.32
13.9885 68.9865 | 0.508256 -0.525525 | -297.841 -2454.19
14.3829 69.2835 | 0.562169 -0.551103 | 4992.99 7727.7
14.7553 69.6168 | -0.35111 0.274696 | 2984.46 1431.99
15.1055 69.9775 | -3.3134 2.2946 | -4092.48 -1528.09
15.4305 70.3586 | -2.96955 2.92956 | -1546.15 5310.57
15.7399 70.7546 | -1.57048 1.7055 | 7703.93 -7163.31
16.0552 71.1456 | 0.494811 -0.538241 | -2960.68 2292.13
16.3672 71.5393 | 1.25249 -1.16517 | -4479.41 3357.17
16.6786 71.9343 | 0.276542 0.656165 | 11102.9 1008.05
17.0118 72.3173 | 2.57446 -1.91164 | -4471.82 314.417
17.3584 72.6855 | 0.388135 -1.59158 | -4639.46 -9333.33
17.7228 73.0268 | -2.17647 0.434555 | 7665.74 -57.5227
18.1098 73.3476 | 0.179235 -0.48212 | -2843.93 5830.14
18.5032 73.6627 | 0.205508 1.38985 | -4714.53 311.551
18.9021 73.9664 | -0.281294 0.26535 | -1060.89 -3704.34
19.3158 74.2452 | -1.83967 1.78771 | 2027.93 9.94958
19.7493 74.4943 | -0.784798 2.79753 | 1497.07 2289.4
20.2013 74.7107 | 2.46568 -2.32189 | -2902.6 -5067.93
20.6685 74.8848 | 1.37797 -1.42877 | 1392.4 2411.06
21.1486 75.0235 | 0.485785 1.95942 | 376.455 3131.44
21.6376 75.1262 | 1.00853 -0.0680739 | -6845.51 -6589.51
22.1293 75.1807 | 0.758966 -0.991437 | 493.764 1999.67
22.624 75.1999 | -0.0679531 -1.85831 | 6160.79 5456.26
23.1234 75.1905 | -0.21849 -1.17269 | -351.241 -5619.49
23.6211 75.1387 | 0.0566768 0.585505 | 1014.88 -948.424
24.1156 75.0542 | -0.59909 -1.63248 | 3021.13 7989.11
24.6075 74.95 | -1.00017 0.532855 | 1154.92 -7774.73
25.0904 74.8065 | -0.718964 -0.398017 | -10086.3 2453.17
25.5546 74.6328 | 0.007302 -3.80264 | -9285.61 7617.87
26.0013 74.4388 | 3.09304 -0.704809 | 3688.59 -1412.04
26.4383 74.218 | 3.10652 -0.764818 | 8985.31 -7211.25
26.869 73.967 | 3.09604 0.355647 | 6066.53 -1804.81
27.2932 73.6962 | 4.79652 0.158064 | -6654.68 2273.1
27.7043 73.4131 | 4.47046 0.660156 | -2225.65 4039.75
28.1088 73.1257 | 1.35277 1.42244 | 6776.33 -553.056
28.5129 72.8325 | 1.11132 0.903863 | -6137.01 -5867.79
28.906 72.5269 | 1.97967 -0.765436 | -4227.75 9502.85
29.2973 72.2299 | 0.912151 -3.3417 | 436.307 3990.68
29.6926 71.9396 | 0.194632 -3.48163 | 4412.42 -14711.4
30.0925 71.6404 | 3.48376 1.2251 | 8903.67 -2756.67
30.5088 71.354 | 3.59208 -0.125431 | -8685.39 9970.05
30.9359 71.1002 | 1.34869 0.399438 | -6893.58 396.528
31.3734 70.8769 | 0.45048 2.67105 | 341.567 -473.915
31.8273 70.6903 | -0.111985 -1.01569 | 1766.81 933.812
32.2978 70.5469 | -1.18672 -1.1389 | 2612.05 2658.58
32.7805 70.4443 | -0.365102 -2.89306 | -1284.95 -3808.43
33.2674 70.3643 | -1.39273 -5.62839 | -2247.28 -3521.01
