76.2496 -55.1735 | -2.67488 1.58123 | 17215.1 -13140.8
76.7581 -55.2223 | -0.984996 0.629402 | -33871.4 -7073.85
77.24 -55.3169 | 2.04496 2.33933 | -1567.93 16325.9
77.7193 -55.4079 | 1.31327 6.57548 | 27986.5 -395.043
78.214 -55.51 | 1.94639 -5.14463 | -11412.7 -11982.4
78.6991 -55.6492 | 9.90369 1.13618 | 25850.3 -5870.68
79.1927 -55.8046 | 3.90837 1.7786 | -39707.3 26435.8
79.6586 -55.9479 | 3.7696 -3.59842 | -15008.6 -16564.5
80.1056 -56.1221 | 3.22906 -0.46169 | 30334 869.424
80.5751 -56.2884 | -0.71018 -0.740177 | 485.98 -809.502
81.054 -56.4373 | 2.41942 -0.199569 | -2189.01 1319.33


-24.579 28.3303 | -6.3254 1.82698 | -3401.4 -3498.09
-24.0975 28.2043 | -5.14006 2.26158 | 3696.27 8949.72
-23.6208 28.0588 | -3.07697 4.68892 | -2089.48 -1554.21
-23.1577 27.875 | -2.54032 4.74795 | 4724.37 -4997.02
-22.7111 27.6425 | -2.52336 2.72115 | 6969.5 -7560.79
-22.2837 27.3623 | -3.60566 0.69078 | -2258.48 -1169.97
-21.8802 27.0485 | -2.86546 2.2227 | -2289.52 3788.74
-21.4956 26.7167 | -4.64335 -0.012744 | -3232.59 2331.86
-21.1257 26.374 | -4.31933 1.28412 | 4658.53 7385.42
-20.7637 26.0265 | -0.668274 0.605824 | -9315.05 459.251
-20.4291 25.6586 | 1.01809 -1.98364 | 388.176 -8568.03
-20.117 25.2657 | 0.572175 0.0251795 | 11430.6 1279.2
-19.8113 24.8632 | 1.07622 1.87674 | -16271.3 -695.027
-19.5325 24.4497 | -4.11266 -0.632773 | -239.03 13566.2
-19.2516 24.0475 | -4.63639 -1.27477 | 5112.5 -2281.49
-18.9577 23.6513 | -2.02707 0.227822 | -5509.58 -14374.7
-18.6545 23.2559 | -1.9223 2.60836 | 6716.51 14790.4
-18.3134 22.8984 | -1.13263 1.40498 | -1040.93 1819.35
-17.9459 22.5692 | -0.0651324 -0.0378002 | -906.973 -11251
-17.562 22.2508 | -2.83537 -0.341099 | 10141.9 1358.88
-17.1531 21.9571 | -3.05607 0.502352 | -11296 -1694.67
-16.7362 21.6841 | -1.71254 -0.168028 | -126.386 9038.49
-16.3013 21.4459 | -1.46344 -3.85354 | 10535.1 -6480.44
-15.8471 21.2252 | -1.81225 -0.81873 | 6029.25 -17738.5
-15.38 21.0132 | -1.97251 1.18917 | -14539.6 17806.4
-14.9045 20.8583 | -2.29835 -1.53668 | -247.039 10354.3
-14.4174 20.7585 | -3.72087 -3.62205 | 6180.98 -9189.85
-13.9224 20.6724 | -2.47583 -0.744193 | 2460.38 -6050.08
-13.4246 20.5904 | -1.36358 -0.169293 | -7576.15 3127.49
-12.9298 20.5243 | -1.27858 -0.15069 | -4504.28 -3145.07
-12.4368 20.4763 | -1.25925 1.09077 | 750.733 3901.35
