30.2572 43.7433 | 0.261786 -5.10145 | 7881.41 -467.986
30.7258 43.9386 | -1.32881 -2.11475 | -4940.82 28.0557
31.2065 44.0935 | -2.14507 -0.312684 | -4501.39 -2270.07
31.6921 44.217 | 0.280516 -3.87976 | -2438.9 3419.42
32.1798 44.323 | 1.29959 -2.10956 | -2022.45 -3694.53
32.6696 44.4104 | 0.629974 2.09322 | 5133.37 2763.23
33.1643 44.492 | 0.28203 1.51033 | 2147.98 2470.26
33.6616 44.5725 | -3.13888 5.36229 | -3968 -2608.43


20.5711 -48.0111 | -0.346369 1.2604 | 2530.56 -604.62
21.0426 -47.8367 | -1.65442 2.10313 | 2180.66 3321.58
21.5084 -47.6407 | -0.524328 -0.242652 | 3469.55 -774.473
21.9702 -47.4299 | 0.693898 0.702229 | -351.136 3222.19
22.4244 -47.2037 | 1.07838 -0.485479 | -7511.93 -8134.03
22.8682 -46.9739 | 0.69611 -0.0382345 | -4311.97 -691.879
23.3017 -46.7334 | -2.47088 1.32607 | -3770.41 7576.05
23.7285 -46.4796 | -3.52949 -0.691069 | 11165.1 498.657
24.1703 -46.2392 | 0.598652 -1.10777 | -1299.99 -2559.98
24.6251 -46.0286 | 3.21853 -0.260118 | -9633.57 -2522.79
25.0884 -45.8578 | 1.27884 0.0028969 | 911.474 -6365.98
25.5654 -45.7367 | 1.10532 -2.0709 | -1446.72 6472.88
26.05 -45.649 | 0.714424 -2.28877 | 2334.12 1056.81
26.5427 -45.6014 | 0.72722 -2.28616 | 8789.68 -7292.43
27.0435 -45.6013 | -0.930387 -0.682741 | -6074.55 8447.75
27.541 -45.6236 | -1.33641 -0.118954 | 3045.37 -2039.04
28.0379 -45.676 | 0.585652 -0.901917 | -493.776 -1331.84
28.531 -45.7577 | -1.08687 0.896807 | 73.6752 70.2238
29.0202 -45.8619 | -3.34951 1.46265 | 4712.12 3228.39
29.5078 -45.9821 | -1.01349 -1.0037 | -6517.3 469.039
29.9847 -46.1254 | 0.744812 -1.15868 | -749.233 153.377
30.4512 -46.2958 | -2.53102 -3.49011 | 744.837 793.72
30.9055 -46.4949 | -2.08995 -3.7481 | -6857.95 902.812
31.3411 -46.7248 | 0.521127 -2.20343 | 8094.83 -3298.7
31.767 -46.9837 | -0.181439 -2.54941 | 4855.43 -985.127
32.1818 -47.2675 | -0.609632 -2.0076 | -1802.6 -1888.89
32.5792 -47.5765 | 0.687137 -1.14013 | 239.925 -7498.68
32.9629 -47.906 | 0.924351 -0.653005 | -2860.87 12514.8
33.3441 -48.2285 | 1.02651 1.19234 | 2760.1 3178.6
33.726 -48.5499 | 0.402905 -0.127754 | -810.798 -11617.1
34.1001 -48.8878 | 2.84564 -1.20169 | 4140.99 1627.16
34.476 -49.2272 | 3.58206 -0.601482 | 297.734 -3482.91
34.8536 -49.5653 | 1.79625 -0.505544 | -7723.17 10797.9
35.2329 -49.8868 | 3.31205 -1.31681 | -6021.69 3740.18
35.6153 -50.1943 | 3.62554 -1.30112 | -2251.38 -624.855
36.0054 -50.4892 | 3.94224 -0.905809 | 3450.2 85.6675
36.4106 -50.7672 | 2.76134 -2.01354 | 3288.02 -4043.6
36.8303 -51.0307 | 0.367785 -0.304816 | 3209.51 -1691.2
37.2646 -51.2767 | 1.55439 0.808119 | 3107.57 -797.237
37.7118 -51.5033 | 0.904926 -0.326288 | -5563.36 -1861.88
38.1655 -51.7104 | -1.49562 -4.27653 | -1551.96 1514.99
38.6306 -51.8865 | 0.843661 -1.00057 | 4810.54 996.291
