-36.9097 -3.29412 | 2.47223 -1.16918 | -2629.55 182.775
-36.4069 -3.28907 | 1.6449 -1.61134 | 3376.03 3889.14
-35.9038 -3.24806 | 1.1359 -1.72377 | -1733.48 3753.83
-35.4049 -3.17578 | 0.280348 -0.701124 | -1638.68 -5949.74
-34.9089 -3.09181 | 0.824618 3.13046 | 7581.59 -1311.04
-34.4104 -2.99217 | 2.02467 2.08812 | 3379.25 2694.39
-33.9152 -2.86371 | 2.90809 -0.335411 | -906.676 394.594
-33.4317 -2.70039 | 2.72194 0.531557 | -7365.37 -4085.07
-32.9706 -2.49773 | 1.93491 3.35437 | -4538.48 2319.82
-32.5396 -2.24353 | 0.262207 4.11359 | -2818.35 7481.73
-32.1405 -1.9406 | 0.0226246 0.236172 | 690.913 -7599.8
-31.7593 -1.61913 | -1.48731 0.836374 | 821.064 -851.596
-31.3905 -1.28415 | -3.67691 5.07691 | 1217.8 1424.55


-59.7387 -36.3711 | -0.863011 5.20784 | 3164.19 -5794.57
-59.2407 -36.4423 | -0.972442 3.78169 | -2909.16 5298.51
-58.7483 -36.5274 | -0.326467 3.2101 | -5023.24 1961.8
-58.263 -36.6247 | 0.729465 2.40531 | -4766.18 1641.19
-57.785 -36.7362 | 0.81025 3.48789 | 524.738 679.315
-57.3115 -36.866 | -0.363682 2.76047 | 5430.62 1975.56
-56.8418 -37.0191 | -1.26253 0.519227 | -702.001 -2572.34
-56.3857 -37.2096 | -0.433608 0.320512 | -4059.62 -2751.99
-55.9495 -37.4388 | 0.669429 0.376792 | 1173.32 4711.83
-55.527 -37.6914 | 1.16843 1.26655 | 5210.49 -1429.62
-55.1163 -37.9691 | 2.52781 4.219 | 4027.58 -603.143
-54.723 -38.2743 | 2.38989 3.23696 | -8085.02 1409.36
-54.362 -38.6095 | 1.38268 0.574272 | -4820.76 3244.72
-54.0297 -38.9681 | 1.73321 0.244666 | 5058.6 -2492.58
-53.711 -39.3445 | 0.933586 1.41335 | 6590.36 -8099.71
-53.3975 -39.7361 | -2.44959 1.5428 | 4829.56 -2021.76
-53.0854 -40.1334 | -2.38216 2.12288 | -3997.3 5006.8
-52.7805 -40.5307 | -0.17649 3.00747 | -6785.83 1581.86
-52.4837 -40.9285 | 0.805396 2.39382 | 777.556 1415.91
-52.1796 -41.3191 | 1.94706 1.2369 | 2491.25 2963.04
-51.8596 -41.6967 | 3.66779 1.76777 | 354.958 -5098.67
-51.5266 -42.0668 | 2.93548 2.12971 | 1251.06 -1356.6
-51.1774 -42.4241 | 0.241346 1.33185 | 983.626 108.389
-50.81 -42.7629 | -1.65504 0.140927 | -4364.03 2027.36
-50.4274 -43.0782 | 0.483206 2.19202 | -4531.17 4878.34
-50.0276 -43.3637 | 1.6935 3.43909 | 3369.13 -1623.35
-49.6075 -43.6227 | 2.38005 1.78146 | 2467.7 -4353.88
-49.1699 -43.859 | 3.56015 -0.385443 | 2085.54 -2948.51
-48.7156 -44.0682 | 2.56933 -0.505357 | 721.681 -1009.58
-48.2455 -44.2395 | 0.826128 2.00113 | -4935.63 5037.42
-47.7643 -44.3592 | -1.31183 0.679838 | -985.686 -1296.51
-47.2749 -44.4304 | -2.02393 -0.599843 | -944.693 -2802.16
-46.7816 -44.4523 | -1.62146 -0.397505 | -1037.91 1731.88
-46.2891 -44.4163 | -0.119325 0.263435 | 7503.67 3427.54
-45.7975 -44.3239 | 1.8873 0.880577 | 5685.7 1317.25
-45.3097 -44.1891 | 2.27922 -0.148003 | 4175.13 779.597
-44.8272 -44.0253 | 1.11879 -0.490115 | -1256.63 -4051.62
-44.3535 -43.8437 | 0.262906 1.24277 | -8595.71 -1524.06
-43.8951 -43.6418 | 0.063109 2.24628 | -2669.12 3053.27
-43.4479 -43.4202 | 0.205054 1.49306 | 369.667 -3451.27
-43.0037 -43.1944 | -0.0343421 1.43358 | 3136.84 57.444
-42.5572 -42.9675 | 0.983869 2.28679 | 4327.22 4935.04
-42.1069 -42.7382 | 2.19427 1.483 | 717.264 -2932.87
-41.6525 -42.5168 | 1.48174 -0.448907 | -2213.73 1740.49
-41.1968 -42.3023 | -0.651195 0.886672 | -6651.74 -701.99
-40.7396 -42.1038 | -0.913237 2.82379 | -3879.32 -4697.81
-40.274 -41.9373 | 0.775563 1.52915 | 6318.33 -1424.08
-39.7929 -41.8076 | 1.42489 0.687591 | 4579.96 -3752.74
-39.3009 -41.712 | 1.11113 -0.560894 | -2353.83 3833.61
-38.8071 -41.6315 | 1.24027 -2.65546 | -3387.32 1200.18
-38.3132 -41.5638 | 1.45665 -3.61283 | 3048.95 -3063.95
-37.8147 -41.5133 | 0.924227 -1.05737 | 8161.69 5201.86
-37.3091 -41.4712 | 1.55378 1.2062 | 720.163 1729.21
-36.801 -41.447 | 2.0927 1.74532 | -2695.47 -4392.65
-36.2947 -41.4575 | 1.09855 2.91705 | -3007.38 -1482.71
-35.7936 -41.5032 | -0.185017 1.40829 | -7299.97 1535.79
-35.3026 -41.5791 | -0.790344 -1.28476 | -4907.84 1188.86
-34.8211 -41.6827 | 0.320894 0.356804 | 2591.76 6539.78
-34.3451 -41.8116 | 0.525634 0.146207 | 5375.18 -4613.66
-33.8796 -41.9885 | -0.146382 -2.87326 | 1610.02 -11761.4
-33.4336 -42.2208 | 0.664812 -1.38166 | -1113.66 6273.55
-33.0033 -42.4763 | 1.42615 0.86746 | -3275.28 5785.62
-32.5856 -42.7441 | 0.578477 0.455442 | 189.072 -995.572
-32.1785 -43.0272 | 1.99317 0.577085 | -396.03 959.409
-31.7814 -43.3233 | 4.60745 0.919789 | 217.685 -1174.95
-31.3929 -43.6326 | 5.68919 1.01644 | 1819.45 -6279.33
-31.0076 -43.9532 | 7.94851 4.4339 | 4464.76 -1965.91
-30.6133 -44.2695 | 7.73321 4.79258 | 4516.26 -1360.15
-30.2016 -44.5689 | 4.98068 1.63413 | 1051.9 3369.6
-29.7714 -44.8402 | 3.46736 2.24118 | -1386.52 1318
-29.3262 -45.0826 | 2.53696 2.63768 | -4627.1 -1118.86
-28.8697 -45.2955 | 1.84546 1.4403 | -2505.22 4766.05
-28.399 -45.4672 | 1.15274 0.982216 | 5954.59 2005.48
-27.9119 -45.5995 | 0.651353 1.9194 | 3033.43 -7366.39
-27.4154 -45.7066 | 0.338834 2.26718 | -4141.29 2688.17
-26.9161 -45.7756 | -0.137237 1.35789 | -9040.75 3660.4
-26.4202 -45.8014 | -0.918287 -0.404697 | -5181.13 -3468.38
-25.9277 -45.7912 | -1.74531 -2.18868 | 5545.48 781.909
-25.4341 -45.7399 | -1.12356 -3.52876 | 4746.46 3243.14
-24.9426 -45.6464 | -0.718748 -1.61688 | -632.306 -3140.8
