69.8167 -65.8434 | 3.52205 4.17063 | -4082.63 836.198
70.3179 -65.8061 | 1.37085 2.03049 | -7012.19 3155.82
70.814 -65.7739 | 0.28984 2.06904 | -2764.02 -2846.26
71.3086 -65.756 | 2.38211 1.23548 | 6552.73 2775.7
71.807 -65.7503 | 2.57845 1.57753 | -3489.65 -2619.78
72.3027 -65.7649 | 2.65631 -0.289614 | -7573.88 66.9968
72.7925 -65.7965 | 1.42627 0.886613 | 3491.8 765.383
73.2841 -65.84 | -0.00641268 0.236903 | 10206.6 -3210.41
73.7817 -65.8937 | 1.22892 -1.08759 | -4018.91 2812.68
74.2775 -65.9453 | 3.32403 -1.00895 | -3178.06 -2021.31
74.7714 -65.9933 | 1.96547 0.51936 | 4531.12 1148.32


20.711 12.0639 | 1.69346 -2.33853 | 1083.51 -112.516
21.2063 12.1426 | 0.457534 0.500075 | 2334.51 -198.947
21.7078 12.1864 | -0.0485492 1.0781 | 1942.75 -3150.81
22.2132 12.1964 | -0.349508 1.01552 | 4555.46 279.789
22.7217 12.1861 | -0.0707708 -0.0864819 | -835.66 2123.2
23.2288 12.1677 | -0.402336 -2.31575 | -7197.99 -815.753
23.7298 12.1457 | -1.1047 -3.6446 | -5352.15 6491.45
24.2262 12.1296 | -0.66102 -2.87372 | -2052.53 1948.07
24.7206 12.1035 | 0.0448482 -1.66633 | 3515.14 -6056.32
25.2147 12.0449 | 0.466116 -2.86081 | 1230.03 -2447.92
25.7055 11.9559 | 0.543136 -2.61048 | -2379.42 3234.42
26.1908 11.8485 | 0.198656 -1.63285 | -703.77 -1905.36
26.6718 11.7241 | -0.124668 -1.8021 | 1540.3 1441.47
27.1519 11.5926 | -1.55468 -3.31932 | 3659.44 1092.87
27.6335 11.4569 | -2.2543 -3.99216 | -192.028 -2955.11
28.1136 11.3133 | -0.656838 -1.38322 | -1252.26 277.45
28.5933 11.1691 | 1.54025 2.22555 | 4017.12 -1100.38
29.078 11.0308 | 2.51787 2.81849 | 2705.28 112.14
29.5684 10.906 | 1.25633 0.81393 | -684.265 3379.09
30.0621 10.8005 | -0.286738 -1.08082 | -4074.02 -1217.51
30.5551 10.7078 | -1.42653 -2.31006 | -4315.64 1075.43
31.0467 10.6288 | -2.98782 -3.25861 | 150.141 3753.65
31.5388 10.5626 | -3.52074 -2.77959 | -2911.31 -2697.6
32.0281 10.493 | -3.31259 -3.22275 | -1654.4 -3412.28
32.5153 10.4155 | -2.46024 -3.38447 | 2222.62 -1768.37
33.0044 10.3398 | -1.63364 -1.33184 | -1675.86 136.795
33.4948 10.2815 | -2.55865 -1.11516 | -885.921 5246.93
33.9869 10.2547 | -2.79384 -2.1751 | -248.836 -1116.57
34.4795 10.2509 | -1.8947 -1.53253 | 627.988 -4653.41
34.9725 10.2641 | -1.11551 -0.319364 | 1949.94 1678.93
35.4657 10.3054 | -0.909685 0.174805 | 665.237 -558.256
35.9564 10.3776 | -1.41958 0.47373 | 3865.86 691.974
36.4439 10.4846 | -1.36765 0.889808 | 1932 2383.47
36.9238 10.6282 | -1.36624 2.12144 | -2744.12 -747.275
37.3918 10.8016 | -2.07714 3.08005 | -1739.85 -1420.95
37.8486 10.9982 | -2.4176 3.43653 | -464.986 151.597
38.2964 11.2141 | -1.84295 2.96004 | 2311.64 1379.18
38.7395 11.444 | -0.237587 2.17835 | 1744.93 526.378
39.1807 11.6807 | 1.50942 1.17159 | -1231.39 1576.26
39.622 11.9173 | 1.70502 0.606013 | 1890.86 -1681.23
40.0708 12.141 | 1.29103 -0.533402 | 1925.15 -2599.54
40.529 12.3463 | 0.265505 -1.81998 | -614.839 2044.39
40.9931 12.5389 | -0.691796 -1.35378 | -783.722 1471.14
41.4633 12.7165 | -0.168791 0.263672 | 953.715 -58.3155
41.9427 12.8708 | 0.633294 1.25923 | 4899.02 -610.16
42.4345 12.9943 | 0.468088 0.735471 | 1317.6 -2121.15
42.9343 13.0844 | -0.223226 -0.841904 | -3755.63 920.018
43.4359 13.1464 | 0.123839 -1.74056 | -2069.31 1449.56
43.9383 13.1793 | 1.23781 -2.36469 | -547.399 -933.348
44.4409 13.1754 | 0.948403 -4.11869 | -1088.27 57.4405
44.94 13.1301 | 0.131083 -4.62451 | -3455.55 -2081.78
45.4304 13.0392 | 0.772157 -3.51088 | -2035.13 90.2876
45.9106 12.9092 | 1.65761 -2.82339 | 3591.45 1178.28
46.3837 12.7481 | 2.19783 -1.00016 | 3008.03 -1063.47
46.8484 12.557 | 2.08448 0.21135 | 410.632 381.066
47.3011 12.3381 | 1.17451 -0.757697 | -472.032 1662.16
47.7385 12.0919 | 0.982641 -1.1678 | -1556.87 -590.788
48.1555 11.814 | -0.27234 -2.87381 | -111.281 -439.993
48.5501 11.5048 | -2.60293 -4.72116 | 1778.8 -1684.36
48.9224 11.1654 | -3.35565 -3.28737 | 2080.78 -4614.25
49.2721 10.7974 | -4.99622 -3.03507 | 2461.26 -1168.53
49.6019 10.4087 | -5.21465 -3.37773 | -1113.66 1376.89
49.9099 10.004 | -1.53137 -1.68717 | -2237.18 1043.65
50.1949 9.58518 | 1.90051 -0.426301 | 459.11 2159.54
50.4593 9.15494 | 4.75437 0.945119 | -4101.09 -1111.06
50.6994 8.71213 | 5.49573 2.26049 | -353.099 1203.58
50.9251 8.26338 | 3.76885 2.85115 | 2739.17 4789.49
51.1452 7.8148 | 3.03648 2.795 | -4819.87 230.196
51.3525 7.36253 | 4.40294 2.37537 | -433.144 472.556
51.5558 6.90925 | 5.05096 2.21972 | 2063.59 1285.23
51.7642 6.45855 | 4.14525 2.34953 | -3261.39 -2091.47
51.9777 6.00967 | 2.05245 1.43132 | 858.106 -1363.94
52.2097 5.56866 | -0.164111 -0.249312 | 4450.62 991.003
52.4712 5.14337 | -0.199017 -0.3574 | -1854.47 217.123
52.7562 4.7345 | 0.229426 0.774639 | -2385.05 1343.26
53.0631 4.34421 | -0.341232 1.41542 | 1912.24 1712.27
53.3946 3.9748 | -0.367968 1.26964 | 531.64 -966.924
53.7438 3.62137 | -0.885022 -0.341206 | -3080.14 -2062.97
54.1037 3.27935 | -1.6228 -1.69385 | -30.2595 731.489
54.4776 2.95266 | -2.16485 -1.8958 | 1530.44 -2947.9
54.868 2.64187 | -3.41115 -2.25736 | 3511.93 -670.217
55.2778 2.35273 | -3.64194 -1.3169 | 1870.8 2439.58
55.7037 2.08706 | -1.95891 1.01899 | -3840.12 -2584.71
56.1363 1.83523 | 0.20672 2.49579 | -1222.77 500.745
56.577 1.60014 | 2.59931 4.59419 | 2600.04 2382.6
57.0285 1.38449 | 3.65057 4.96317 | -487.462 -3321.67
57.4856 1.17953 | 3.13049 2.7402 | -1464.39 -209.255
57.9479 0.988219 | 2.05861 0.930323 | 862.796 1468.8
58.4178 0.815281 | 0.677772 -0.10422 | 2625.03 -278.973
58.8956 0.658874 | 0.141599 0.285206 | 3225.75 1356.4
59.38 0.515371 | 0.612835 -0.277084 | 728.573 517.121
59.8658 0.373067 | 0.852729 -2.8385 | 37.6946 -5140.87
60.3491 0.216962 | 0.556897 -4.07316 | 3162.37 -3570.75
60.8323 0.0498751 | 0.293872 -1.81166 | 2787.5 4738.89
61.3169 -0.115941 | -0.155416 0.754133 | -2261.74 216.629
61.7978 -0.288173 | -1.17297 0.252076 | -1225.58 -1101.86
62.2733 -0.473758 | -2.39543 -0.600845 | 2799.27 468.848
62.7438 -0.675346 | -2.68903 0.848476 | -246.804 -1932.66
63.2036 -0.900545 | -1.65395 1.71759 | -4902.02 2026.35
63.6464 -1.15043 | -1.36577 -0.881966 | -6721.2 3430.37


-24.123 -43.9392 | -0.870181 -5.28425 | 2930.01 -299.017
-23.6443 -44.0928 | -0.904883 -4.57963 | -487.657 -231.905
-23.1665 -44.2478 | -0.865521 -3.07004 | -1250.14 60.5931
-22.6889 -44.4008 | -0.22758 -0.700957 | 164.293 653.451
-22.2093 -44.547 | 0.773459 0.718869 | 563.463 341.512
-21.7267 -44.6847 | 1.97041 1.58246 | 975.105 -1594.21
-21.2403 -44.8138 | 3.29559 4.14886 | 1971.45 -1685.37
-20.7485 -44.9293 | 3.94386 6.49419 | 1333.2 -280.128
-20.2506 -45.021 | 3.34439 5.0491 | 286.701 854.107
-19.7474 -45.0781 | 2.22177 1.48248 | -925.81 2974.02
-19.2422 -45.0915 | 1.36489 -1.82036 | -1950.46 3265.66
-18.739 -45.063 | 0.774498 -3.00832 | -795.797 297.516
-18.2391 -45.0065 | 0.0423333 -1.10535 | -78.9589 -1973.37
-17.7415 -44.937 | -0.284307 1.10955 | -1184.6 -3008.19
-17.2463 -44.8622 | -0.0285756 1.95289 | -2131.6 -3106.95
-16.7548 -44.7793 | 0.113522 2.59258 | -2630.3 -1283.48
-16.2701 -44.6754 | 0.132066 1.58818 | -2809.63 -501.096
-15.7974 -44.5358 | 0.470387 -0.210382 | -1879.64 58.5665
-15.3429 -44.3499 | 0.627856 -0.342728 | 753.133 1635.16
-14.9115 -44.1132 | 0.283092 0.535878 | 2084.01 2462.63
-14.5056 -43.8303 | -0.0762878 1.37511 | 1341.72 2134.4
-14.1232 -43.5122 | -0.464252 2.33256 | 1237 1059.96
-13.7572 -43.1728 | -0.562642 2.63696 | 1891.76 -479.5
-13.3978 -42.825 | -0.321244 1.81267 | 891.815 -1618.52
-13.0393 -42.4768 | -1.18836 1.51473 | -1751.93 -432.51
-12.6803 -42.1311 | -1.73169 1.10682 | -1111.53 -399.35
-12.316 -41.7924 | -0.615991 -0.60043 | 322.27 -868.764
-11.9405 -41.4669 | 0.159248 -1.61681 | -1186.15 1118.84
-11.5512 -41.1583 | 0.552989 -1.54062 | 504.134 -89.6196
-11.1426 -40.8757 | 1.14943 -1.59493 | 1604.53 -1185.18
-10.712 -40.6268 | 1.26024 -1.52318 | -809.46 536.565
-10.2631 -40.4132 | 1.17333 -1.76689 | -666.642 -1104.14
-9.79834 -40.2382 | 0.986481 -1.86402 | 902.992 44.2988
