77.3968 -57.0912 | 0.436446 -2.21688 | 11917.1 25389.8
77.9053 -57.0688 | -4.893 -0.851363 | -10311.5 -45842.9
78.4068 -57.099 | 2.98458 -1.00715 | -9668.04 24589
78.902 -57.0813 | -2.29763 -1.51091 | 17139.2 17616.2
79.4036 -57.0139 | 2.48652 2.10871 | -15812.6 -15052.6
79.8962 -56.962 | 0.846741 -4.39766 | -5480.32 -6390.13
80.3875 -56.9355 | 1.94409 -4.91919 | 23018.7 -10284.3
80.8934 -56.9185 | 4.21266 2.77722 | -6912.6 18758.4
81.3925 -56.8517 | -5.64963 5.59287 | -10423.1 -3734.58
81.8784 -56.751 | 1.85878 -6.53738 | 6057.46 -1482.67


-37.5882 24.4549 | -0.855588 -6.7355 | -5690.05 -7663.28
-37.0952 24.4927 | -4.24172 -3.03893 | 3407.75 15085.5
-36.5983 24.523 | -3.40367 -3.50967 | 5605.16 -8265.11
-36.0974 24.5166 | -1.23979 -2.62501 | -9623.17 3306.61
-35.6048 24.4788 | 0.684804 -2.3523 | -5660.29 6762.5
-35.1207 24.4049 | -2.63752 -3.55836 | 10356.3 -16432.3
-34.642 24.2675 | -3.08715 -0.493587 | -1252.32 2835.74
-34.1723 24.1011 | 1.20002 -3.25257 | -3271.53 5103.93
-33.7061 23.9292 | 1.91128 -2.80426 | 14897.9 -3976.51
-33.2287 23.7565 | 2.04534 0.602608 | 4287.74 -2373.4
-32.7447 23.589 | 2.41536 0.852854 | -4483.64 2382.1
-32.2578 23.4373 | 2.11581 0.979098 | 6450.13 4898.19
-31.7624 23.3068 | 1.49964 -1.92275 | -6370.33 57.3376
-31.2694 23.1829 | -0.416141 -0.826489 | -3912.04 1375.76
-30.7801 23.0552 | 0.399471 3.04866 | 6809.11 -10576.1
-30.2897 22.91 | -0.875792 -4.11484 | 548.916 2253.03
-29.7985 22.7684 | -2.73796 -6.4993 | -9318.46 5268.48
-29.311 22.6429 | 0.339235 0.545818 | -6447.69 -2361.5
-28.8245 22.5333 | -0.875352 1.26597 | 6966.11 10257.2
-28.3297 22.4537 | -2.77814 -0.163568 | -1273.12 -9610.43
-27.835 22.3747 | 0.675241 3.96483 | -7877.54 -80.449
-27.3431 22.3047 | 0.634607 1.71785 | 9731.09 2290.02
-26.8423 22.2547 | -0.00526957 -3.35539 | 7965.34 -3908.64
-26.3352 22.2236 | 2.47077 -3.76537 | -16127.6 8946.3
-25.8381 22.2237 | 2.40053 -1.87832 | -4939.23 -7979.46
-25.3454 22.2321 | 0.591571 1.53952 | 9582.68 144.482
