13.1704 -61.9239 | -2.46497 -2.78137 | 6539.73 -8208.82
13.6759 -61.9582 | 1.69835 -2.251 | -17483.5 -4795.47
14.1614 -62.0582 | 0.479379 -4.78221 | -2533.3 2217.43
14.6334 -62.202 | 0.369104 -3.30863 | 11841.2 3576.33
15.1029 -62.3731 | -0.267436 -0.964845 | -825.029 2322.65
15.559 -62.5766 | -1.41284 -2.58222 | -987.491 -2868.99
15.9918 -62.8245 | -0.879265 -5.51398 | -8653.73 -1920.23
16.3931 -63.1142 | 0.0492038 -3.802 | 6174.17 5879.27
16.7789 -63.4267 | -1.61274 -4.11182 | 5551.45 -10724.7
17.1473 -63.7702 | 0.761211 2.15319 | -3231.26 5046.11
17.4967 -64.1288 | -0.62201 2.67291 | -2167.1 2295.38
17.8306 -64.4984 | 1.88772 2.32871 | 2012.47 -1690.93


-36.0394 56.251 | -0.121543 2.06578 | 6685.85 -290.707
-35.5332 56.2698 | -0.621617 0.226683 | -1492.71 1110.51
-35.0304 56.3239 | -0.894682 -4.96434 | 3581.27 -4032.36
-34.5314 56.4145 | -0.459986 -2.85066 | -4838.49 4890.92
-34.0473 56.56 | -1.49782 -1.02806 | 5081.2 4262.51
-33.5788 56.7593 | -3.34945 -3.16404 | -1899.26 -1519.84
-33.1329 57.0015 | -3.16192 -1.39609 | -6435.35 -5754.31
-32.7154 57.2802 | -1.61736 -1.47979 | 832.584 10027.9
-32.3252 57.602 | -1.46974 -2.29382 | 1489.49 -2744.67
-31.9524 57.9438 | -2.63658 -2.05943 | 3368.74 -6032.07
-31.5907 58.2956 | -1.45376 -2.8101 | 22.9179 781.77
-31.2514 58.6679 | -1.82805 -1.83869 | -10080.2 -1051.34
-30.9492 59.0647 | -5.26461 0.0641316 | 3869.94 298.755
-30.671 59.4791 | -4.44264 -0.225582 | -4854.3 -1380.01
-30.417 59.9053 | -0.156209 -2.1313 | -5688.38 -3924.49
-30.173 60.3327 | 0.0222521 -1.58897 | 12916 3065.95
-29.9092 60.7539 | -0.50382 -1.53255 | -4744.1 -5276.56
-29.6382 61.1657 | 0.689399 -1.15492 | -4576.17 -1258.9
-29.3624 61.573 | 0.668112 -1.68659 | 8631.57 13776.9
-29.0693 61.9812 | 3.79422 -1.12103 | 3065.7 -2176.68
-28.7568 62.3759 | 3.13342 -2.37591 | -6061.22 -6169.41
-28.4329 62.7534 | 0.514338 -2.96557 | -2254.55 -2161.97
-28.097 63.1165 | -0.380692 -1.90724 | -1316.31 5803.47
-27.748 63.4683 | -1.87342 -1.36117 | -1035.32 -8400.73
-27.3778 63.7917 | -0.458193 -3.45087 | -2723.42 4527.52
-26.9883 64.0936 | 1.625 -2.04554 | 10866.2 4321.46
-26.5683 64.3663 | -1.28164 1.63358 | 1222.38 1313.27
-26.1259 64.6047 | -2.00146 0.0890986 | -5834.4 -2915.96
-25.6691 64.8021 | -2.72709 -1.77459 | -5778.99 109.607
-25.2009 64.9563 | -0.661405 0.443163 | -3013.98 -3380.63
-24.7199 65.0601 | 2.61926 -3.30673 | 20604.6 5431.7
-24.2174 65.1212 | -0.181768 -0.883632 | -785.377 -6234.43
-23.7113 65.1364 | 0.64208 -0.200768 | -12229 7491.77
-23.2139 65.1279 | 0.571951 -3.8403 | -5584.6 2950.25
-22.723 65.0883 | 0.0872668 -4.73689 | 3229.08 -8112.38
-22.2357 65.0007 | 1.04987 -3.68932 | 6161.46 1864.76
-21.7509 64.8818 | 0.225417 -0.546714 | -867.466 3180.12
-21.2743 64.7385 | 2.24517 -0.0237739 | -9657.54 -999.287
-20.8132 64.5683 | 0.344582 -1.1618 | 3219.35 4486.22
-20.359 64.3814 | -0.179864 1.52799 | -4742.94 -8684.82
-19.9156 64.172 | 2.30352 -2.36188 | 315.808 4137.14
-19.4697 63.9716 | 0.430689 2.89681 | 3077.9 15231.7
-19.0141 63.7973 | -0.914513 1.76402 | 632.052 -19368.2
-18.5597 63.6042 | 1.10881 -2.69236 | 8903.65 3761.96
-18.0974 63.4177 | 1.32196 1.87357 | -4872.86 9221.94
-17.6361 63.2407 | 3.44887 0.68137 | -1417.87 -14558.9
-17.1813 63.0447 | 2.14395 0.846997 | -6410.74 4272.36
-16.7281 62.8583 | -0.0226814 0.0800424 | -2361.79 9010.42
-16.2671 62.7009 | -0.539445 -2.15541 | 10114 -9996.81
-15.7919 62.5578 | -3.61118 -3.86526 | 8881.3 -1001.32
-15.3019 62.442 | -0.157846 -1.38938 | -204.646 3965.47
-14.8055 62.3623 | 0.709477 1.07329 | -11917.3 2751.05
-14.3139 62.3118 | -1.78744 1.99804 | -3705.03 -6853.24
-13.823 62.2756 | -0.00271313 0.732818 | 12988 1724.23
-13.3219 62.267 | 0.155076 -2.67603 | 4819.17 2808.11
-12.8171 62.2897 | -0.571183 -2.25471 | -3292.97 363.988
-12.3172 62.3356 | -1.47622 -0.0631425 | -14954 -5978.56
-11.83 62.3936 | -0.123407 2.01771 | -2127.19 -2756.62
-11.3475 62.4705 | 1.66236 4.84727 | 14557.9 4847.42
-10.8632 62.5823 | 1.48002 0.298708 | -14425 220.919
-10.3961 62.7287 | -0.392765 2.44227 | 3497.21 -2442.92
-9.93561 62.8977 | 0.934786 1.54704 | 5336.45 2613.24
-9.47877 63.0873 | 1.99755 -0.108937 | -3318.62 910.091
-9.02789 63.2893 | 1.2003 1.71941 | 6316.74 104.19
-8.57269 63.4905 | 0.557474 1.48614 | 84.7421 -5415.47
-8.11422 63.6832 | 1.49636 -1.3445 | 1608.86 5048.48
-7.65565 63.8804 | 2.86126 -1.97211 | -2375.77 -4428.76
-7.20005 64.0774 | 2.13304 0.782693 | -3916.38 -1538.78
-6.7513 64.2827 | 1.62225 2.43599 | 1563.49 11207
-6.30798 64.5055 | 1.26034 2.87333 | -5510.57 -12387
-5.86463 64.715 | 1.71757 1.46755 | 3388.68 4476.38
-5.41542 64.9197 | 1.34353 1.53537 | 4124.73 10856.8
-4.95616 65.1164 | 1.4467 -0.95019 | 4562.83 -15164.2
-4.47919 65.2679 | 2.03222 -0.614383 | 2464.39 6789.5
-3.99279 65.3988 | 3.46532 3.4212 | -4343.95 3390.75
-3.50157 65.5109 | 2.50077 2.16384 | 17936.4 407.769
-2.99288 65.5917 | -0.0534986 0.897267 | -6342.66 -2986.8
-2.48272 65.6335 | -0.944351 2.15037 | -5367.86 1205.72
-1.97468 65.6367 | 0.393951 -0.676074 | 6009.97 -5685.78
-1.46666 65.5937 | 0.845327 -0.108164 | -14864.6 9667.62
-0.973341 65.5172 | 1.79232 -1.77196 | -2889.09 -8376.62
-0.49288 65.3866 | 1.30056 -4.35393 | 11277.3 -2936.09
-0.0173596 65.2162 | 0.449213 -3.27628 | -4153.56 8359.66
0.446021 65.023 | 0.312692 -2.48307 | 2937.62 -6182.39
0.895536 64.7953 | 3.97808 0.658279 | -9867.24 4788.24
1.32406 64.5435 | 2.19218 -0.144553 | 4075.71 122.882
1.74119 64.2716 | -2.20773 -0.385554 | 857.945 3324.03
2.14402 63.9817 | 0.170831 0.868711 | -9563.73 2808.35
2.52134 63.6674 | -0.493208 0.242468 | 10404.9 -8116.83
2.88455 63.3258 | -0.207365 -0.945988 | -4194.8 1344.52
3.22776 62.9667 | -1.65401 -3.80245 | -4434.23 4628.88
3.558 62.5999 | 1.21622 -2.65976 | 12253.7 -7384.04
3.8921 62.2264 | 4.71991 -0.218681 | -6438.82 6733.67
4.21847 61.8538 | 2.69427 -0.849181 | -6408.43 2034.1
4.53604 61.4802 | -4.29188 -4.01854 | -1777.83 932.508
4.85648 61.1111 | -1.80431 0.0415198 | 3585.52 -1930.67
5.19407 60.7526 | 2.71768 1.97839 | 8774.82 -9712.92
