-7.95361 -40.6831 | -1.36518 4.21372 | 1268.29 1828.73
-7.46211 -40.5303 | -0.871302 4.54121 | -81.2229 1663.11
-6.98165 -40.344 | -0.292683 3.89727 | -903.935 712.88
-6.51218 -40.1325 | 0.46454 2.77546 | -960.138 440.119
-6.05123 -39.9043 | 1.27633 1.84168 | 67.2446 -944.933
-5.59437 -39.6691 | 1.89326 1.24544 | 591.16 -2149.42
-5.13869 -39.4328 | 1.89046 1.25199 | -627.376 -1052.83
-4.68553 -39.1938 | 1.3805 1.67354 | -2147.64 276.064
-4.23771 -38.9486 | 0.924735 2.00787 | -2894.85 -251.161
-3.79603 -38.6976 | 0.72124 2.19125 | -2882.22 -1602.9
-3.35884 -38.445 | 0.770498 2.13579 | -2276.89 -1875.1
-2.92345 -38.194 | 1.11971 1.62505 | -1949.15 -443.954


-34.7334 51.0593 | 6.45104 0.115065 | 934.108 -1592.66
-34.3219 50.772 | 7.38609 1.97328 | 1420.36 469.459
-33.9307 50.4567 | 7.91059 3.20448 | 109.602 -122.756
-33.5634 50.1134 | 7.35186 3.04499 | 648.886 -594.904
-33.2237 49.7418 | 5.64845 1.52566 | 241.682 -1934.5
-32.9157 49.342 | 3.96826 0.189041 | -1511.05 -701.534
-32.6423 48.9182 | 2.02986 -0.704779 | -837.822 2384.08
-32.401 48.4775 | 0.15208 -1.14223 | -26.9647 1838.87
-32.1896 48.0232 | -0.178581 -1.08576 | 995.257 150.496
-32.0083 47.5561 | 0.065936 -1.19391 | -722.589 -2322.52
-31.8606 47.0756 | 0.399945 -1.31751 | -1633.37 -3007.14
-31.7453 46.584 | 0.893177 -1.1452 | 1017.66 -1240.5
-31.6526 46.0864 | 1.39422 -0.910783 | 681.266 672.982
-31.5762 45.5864 | 1.08361 -0.885518 | -299.974 2414.26
-31.5132 45.0865 | 0.110682 -0.656208 | -1406.01 966.981
-31.4612 44.5864 | -1.22648 -0.298731 | 622.98 -629.203
-31.4127 44.0855 | -1.05104 -0.0693946 | -611.338 -402.21
-31.3628 43.5847 | -0.612355 -0.0597483 | -870.201 600.719
-31.304 43.0854 | -1.10863 -0.317599 | 121.048 1789.91
-31.2262 42.5904 | -1.12486 -0.652444 | -1601.01 700.949
-31.1204 42.1017 | -1.51812 -1.14828 | 640.132 588.345
-30.973 41.625 | -1.80144 -1.96982 | 1209.12 1695.88
-30.775 41.1685 | -1.1484 -2.70771 | -1092.54 1626.18
-30.5265 40.7398 | -0.465827 -3.07678 | -2157.43 2587.96
-30.2296 40.3466 | -0.430166 -3.2969 | -1456.68 1669.74
-29.8881 39.994 | -0.166184 -3.31248 | -604.259 -1090.55
-29.5084 39.6829 | 0.981853 -2.54502 | -588.671 -879.891
-29.0976 39.4139 | 1.82259 -1.29623 | -1101.64 -449.821
-28.6628 39.1869 | 1.02335 -1.59989 | -2061.6 -1480.44
-28.2101 39 | -0.101047 -2.46798 | 795.769 1291.38
-27.742 38.8545 | -0.810295 -3.42478 | 2867.75 -382.374
-27.2623 38.7413 | -0.898499 -5.27127 | 2337.82 -3079.68
-26.7758 38.647 | -0.206142 -5.60024 | 1915.76 -2318.57
-26.2846 38.5666 | 0.525734 -4.40893 | 245.631 -1527.57
-25.7905 38.5016 | 0.976844 -4.07837 | 33.935 879.107
-25.2939 38.4585 | 1.18938 -3.00451 | 680.246 1528.88
-24.7953 38.4397 | 1.11808 -2.1861 | 511.948 1854.74
-24.2957 38.4409 | 1.10954 -2.54582 | 1485.19 -513.534
-23.795 38.4498 | 0.981477 -2.2176 | 861.62 -1064.55
-23.2935 38.4559 | 0.629055 -1.36291 | -709.419 -1370.57
-22.7926 38.4533 | 0.28292 -0.47488 | -1019.22 -630.54
-22.2929 38.4411 | 0.235746 -0.242335 | -2248.42 1587.84
-21.7953 38.4214 | 0.445132 -1.56486 | -1851.99 -208.036
-21.2999 38.3901 | 0.625437 -3.2425 | 516.646 -581.435
-20.8051 38.3452 | 0.845828 -3.50316 | 2134.18 1557.99
-20.31 38.2869 | 0.904646 -3.10707 | 1938.87 632.334
-19.8161 38.2095 | 0.93095 -2.7829 | -546.438 -1549.64
-19.3273 38.1044 | 1.27137 -2.29275 | -953.438 -1343.67
-18.8461 37.9703 | 1.50543 -1.25569 | 273.758 1097.8
-18.3726 37.8119 | 1.28058 0.138182 | -69.3153 2230.61
-17.908 37.6306 | 0.855189 0.227136 | -239.221 -188.11
-17.4559 37.4207 | 0.85021 -0.907349 | -629.087 -848.152
-17.0205 37.1789 | 0.902804 -2.49559 | -1578.6 -115.753
-16.6042 36.9073 | 0.550247 -3.65532 | -405.19 1000.94
-16.2056 36.6116 | 0.623112 -3.53437 | 1455.19 1379.67
-15.8226 36.2957 | 1.33894 -2.77606 | 1153.42 -13.1576
-15.4573 35.9588 | 2.23513 -1.88321 | -1827.26 -818.37
-15.1146 35.5999 | 2.68581 -1.1116 | -2227.19 689.823
-14.7927 35.2244 | 2.42217 -1.16311 | -135.547 1484.81
-14.4834 34.8398 | 2.08877 -2.15642 | 946.831 1236.82
-14.1796 34.4515 | 2.38565 -2.89347 | 893.176 47.7105
