37.396 37.2191 | -0.0952501 1.20632 | -643.059 -1897.82
37.7412 37.5808 | -0.31575 3.02271 | 1868.23 767.153
38.1043 37.9266 | -2.0752 2.00145 | 2762.63 1256.94
38.4857 38.2563 | 0.239457 -0.984907 | 2944.8 4245.03
38.8829 38.5718 | -0.502076 -1.17113 | -1858.97 -6428.16
39.2913 38.866 | -0.306169 -0.891548 | -8711.28 95.8077
39.7019 39.1485 | 0.798261 -1.30743 | 5535.91 838.966
40.1248 39.4172 | 3.66062 -1.79403 | -1134.94 -1240.05


18.6888 -44.8433 | 1.3012 1.03593 | 9191.15 -4219.07
19.1924 -44.9053 | 2.17568 0.336277 | -10833.1 4718.2
19.6902 -44.9282 | 2.20242 -0.448852 | -11082.4 1797.4
20.1802 -44.9181 | 1.15825 -1.19976 | 5250.42 -7154.16
20.6718 -44.889 | 2.56602 -0.389168 | 4380.59 9240.25
21.1643 -44.8273 | 3.20061 0.759155 | -872.705 -3303.36
21.6552 -44.7568 | 1.76655 -2.45062 | -1291.3 -2470.81
22.1452 -44.6887 | 1.57317 -1.90613 | -2006.09 814.197
22.6348 -44.6249 | 3.09561 1.50062 | 4787.95 -967.733
23.1288 -44.571 | 2.38827 2.18497 | 1555.47 2036.71
23.6254 -44.5267 | 2.42983 0.742754 | -777.476 -3905.4
24.1222 -44.4991 | 2.93338 0.0466247 | -4213.66 5289.76
24.6166 -44.4792 | 3.09859 -0.280387 | 310.479 5063.84
25.1112 -44.4792 | 1.26361 -2.49918 | -753.529 -13852.6
25.6042 -44.5305 | 0.256738 -1.4587 | 9109.62 7411.79
26.1011 -44.607 | 2.38927 2.78297 | 10557.8 -223.851
26.5995 -44.716 | 0.781673 -1.01309 | -6087.09 -2267.1
27.0825 -44.8689 | -0.687661 0.211484 | -7236.44 1819.63
27.5425 -45.0658 | 1.15063 2.62984 | -5847.08 3145.04
27.9762 -45.305 | 1.64497 -1.02512 | 3521.28 -3523.7
28.3864 -45.5876 | 1.93491 0.0332634 | 4843.96 1450.29
28.7727 -45.905 | -0.426729 2.49097 | -6926.22 407.827
29.1221 -46.2578 | -2.04472 2.6027 | 584.666 2295.1
29.4406 -46.6372 | -1.3176 2.98872 | 4236.42 -1388.48
29.7312 -47.0404 | -1.13785 3.95051 | -4686.94 3383.22
29.9852 -47.4625 | 1.74343 5.0244 | -3819.36 6655.24
30.2062 -47.8967 | 1.48188 4.36774 | 581.801 -1530.82
30.4052 -48.343 | 2.88196 3.18683 | 8028.03 -7763.11
30.5965 -48.8013 | 2.48735 0.749583 | -1806.18 -6183.59
30.776 -49.2695 | 2.73621 3.45939 | -1040.95 1061.24
30.9546 -49.7382 | 2.13729 3.91633 | 3534.56 -3301.48
31.1482 -50.2037 | 0.88883 1.08165 | 5680.04 5085.3
31.3631 -50.6583 | 0.0921231 -1.8449 | -8988.18 -1404.73
31.5808 -51.1089 | 1.2413 -2.71177 | 870.716 3941.56
31.815 -51.5482 | 0.264692 1.37746 | 1326.79 4327.71
32.0703 -51.9743 | -1.08056 2.27786 | 3350.56 -13154
32.3434 -52.3992 | 2.74499 0.788237 | 109.729 3513.48
32.6347 -52.8101 | 3.36873 -0.862206 | 1038.84 10520.1
32.9413 -53.2034 | 1.34836 -2.54758 | -6150.83 -11160.6
33.2445 -53.6026 | 1.55626 0.889796 | -20.7855 -1215.54
33.5573 -53.9955 | 0.260416 -0.502339 | 3698.25 6235.41
