-27.9562 87.1972 | 5.00903 3.91099 | 1469.78 1523.69
-27.5257 87.4578 | 3.30428 2.9546 | 11597 -1298.19
-27.1015 87.7369 | -2.13863 4.17686 | -15993.1 5814.12
-26.7089 88.0463 | -0.96991 -0.691966 | -13231.8 -18978.6
-26.3347 88.3568 | 7.49945 1.39309 | 19725.9 11822.5
-25.9538 88.6814 | -2.41461 2.77354 | 2248.95 11421.5
-25.5764 89.0224 | -1.12268 -4.46451 | -274.053 -8324.95
-25.197 89.3582 | 2.52854 -2.33232 | 3668.55 3611.29
-24.8148 89.6948 | -2.37799 -0.7111 | -2188.8 -2576.15
-24.4353 90.0311 | -3.39928 0.140032 | -7782.19 4729.59
-24.0621 90.3711 | 2.47849 -1.05189 | 6236.73 -6100.91
-23.6752 90.6936 | -0.684513 -3.32153 | -9957.51 -7093.33
-23.2834 90.9984 | -1.83757 -0.68109 | 2716.64 10942.8
-22.8779 91.2958 | 1.30642 2.8598 | 15872.3 593.81
-22.4416 91.566 | 0.954747 5.09089 | 563.565 6969.86
-21.9861 91.8085 | 1.75128 -3.02411 | -9984.35 -10250.1
-21.516 91.9978 | 0.726413 -6.25921 | 222.204 -7963.54
-21.03 92.1301 | 2.0139 -8.53112 | -1388.11 8270.13
-20.537 92.2281 | 1.81809 0.875453 | -10453.3 -7212.54
-20.0442 92.2809 | 1.44093 5.13003 | 8291.62 3049.68
-19.5438 92.3031 | 2.83721 1.13849 | 3510.24 -2098.48
-19.0393 92.2989 | 1.51525 -2.65914 | 6148.67 1671.3
-18.5324 92.2817 | -1.79923 1.1022 | -14883.7 20020.1
-18.0375 92.259 | -1.35275 -2.57602 | -16524.1 -24565.5
-17.5598 92.1614 | 4.82824 0.312886 | 32506 2038.48
-17.0714 92.026 | 0.482003 0.269174 | -5866.78 3704.51
-16.5952 91.8642 | -5.48668 -0.20371 | -27654.3 10032.9
-16.1454 91.6784 | 2.70805 0.24843 | 32941 -20964.7
-15.6857 91.454 | 6.75306 -1.71197 | 11814.9 -2093.78
-15.22 91.2189 | -1.5848 -2.72892 | -10947.7 9210.91
-14.7624 90.9916 | -0.075555 0.221372 | -21799.6 10501.1
-14.3206 90.7732 | -4.4666 -2.22764 | 2281.5 4256.67
-13.8808 90.5551 | -1.59414 -0.981918 | 1846.53 -16482.7
-13.4445 90.3148 | -3.20059 1.35574 | 9959.63 3775.91
-12.9951 90.0835 | -4.80541 -2.3994 | 13081.9 -3703.18
-12.5304 89.864 | 2.72426 1.63962 | -13455 2714.15
-12.0695 89.6595 | 0.587194 -2.60509 | -17534 3593.68
-11.6133 89.4779 | 0.983785 2.55973 | 5207.55 1848.64
-11.1429 89.3337 | -0.901021 -1.14044 | 4614.26 -7829.21
-10.6594 89.2307 | 0.0806042 1.90539 | -13626.1 19992.3
-10.1755 89.1982 | 0.386818 5.15544 | 7146.65 -17363.8
-9.68668 89.1842 | 1.55592 0.753218 | -2023.17 2168.6
-9.19853 89.2029 | 0.787632 0.925753 | -562.633 1307.39
-8.71175 89.2558 | -1.06852 -2.89006 | 16612.8 -13312.8
-8.2196 89.3369 | -2.72618 -2.36665 | -9138.2 16761.3
-7.74865 89.495 | -0.444642 -4.46433 | -1853.2 3097.81
-7.29801 89.7066 | -4.2506 0.876593 | 16036.6 -13870
-6.85047 89.9371 | -1.87429 -4.32089 | -10543.8 16428.1
-6.43235 90.2167 | -1.02111 -0.97131 | 179.932 -11821.6
-6.02934 90.5088 | -2.56549 -3.87571 | -201.771 -12323.9
-5.64233 90.8135 | -6.13185 -2.90249 | -3305.11 18493.4
-5.28929 91.1651 | -3.21945 -3.90251 | 1104.04 2332.09
-4.95619 91.5381 | 0.144361 -0.432052 | -1036.22 -13846.9
-4.62578 91.9034 | -0.524612 0.149253 | -1964.62 -3216.37
-4.29581 92.2658 | -1.49209 -0.515116 | 4480.07 10036
-3.9631 92.636 | -7.10942 2.9134 | 10997 -2920.15
-3.62208 93.0063 | -0.318583 1.45056 | -11809.8 18752.7
-3.29567 93.3974 | -2.8153 -1.46883 | 21753.5 -7426.69
-2.94441 93.7742 | -2.02241 -2.24618 | -14035.6 583.217
-2.59926 94.146 | -0.872536 0.46808 | -16786.4 -16355.1
-2.25672 94.4981 | 1.43922 2.96434 | 10730.6 2923.07
-1.89132 94.8335 | -0.193012 3.77398 | 365.83 11747.6
-1.50767 95.1578 | -4.53156 4.61883 | 2868.23 -4794.02
-1.09444 95.4454 | -5.59825 7.6783 | 14894.7 -5009.75
-0.649512 95.6914 | 1.8242 4.17376 | -26251.8 -1308.61
-0.211581 95.9215 | 0.961856 7.22304 | 8794.25 13437
0.239323 96.142 | 0.287454 5.62976 | 2819.95 -7230.11
0.711505 96.3173 | -1.73922 -4.68011 | 11756.7 -3174.9
1.20554 96.4418 | -1.82464 0.406848 | -12159 6032.72
1.69838 96.529 | 2.33142 0.448199 | -29054.8 -6414.43
2.18045 96.5618 | 2.9049 0.729535 | 40473.9 -2203.07
2.68825 96.5424 | 1.74727 -3.71278 | 2723.65 909.363
3.19747 96.4846 | -0.890965 4.63223 | -18709 2188.65
3.69163 96.3973 | -0.670882 0.540237 | 14595.1 -1094.47
4.18782 96.2854 | 0.826995 0.0409358 | -14196.2 28.471
