12.0813 -62.2497 | -0.695583 1.61713 | 6783.69 2125.48
12.5787 -62.1876 | 0.443566 -0.734759 | -4409.2 -7464.36
13.077 -62.1616 | -0.428667 -2.7194 | 4789.31 8836.83
13.5789 -62.1477 | 2.55124 -1.98193 | -13.9647 2297.74
14.081 -62.1569 | 4.3765 1.12764 | -5339.04 -11774.1
14.5785 -62.2095 | -0.43866 -1.69619 | 10152.4 4329.63
15.0804 -62.2793 | -1.95132 -2.31195 | 4245.48 5093.71
15.5829 -62.361 | -1.30644 1.01699 | -8532.9 -3092.34
16.0741 -62.4706 | -0.630083 -1.69609 | -8333.3 4.33909
16.5518 -62.6076 | 1.23645 -0.239898 | 1733.88 498.497
17.024 -62.7657 | 1.40839 3.86231 | 7788.98 -3296.26
17.4962 -62.9413 | 2.11489 1.61016 | -4642.42 2481.56


-35.225 53.3113 | 2.19465 -7.59538 | -3608.18 335.575
-34.7315 53.3768 | 2.02042 0.288097 | 9352.49 -119.878
-34.2379 53.4742 | 0.707505 -0.536676 | -8401.39 3248.01
-33.7569 53.6064 | 3.43119 1.79136 | 53.8734 -11546.9
-33.2846 53.7582 | 0.314683 -0.733044 | 1775.57 6865.74
-32.8277 53.9565 | -1.97506 -2.0016 | -4834.98 5316.75
-32.3941 54.2011 | 1.65541 0.192441 | 10605.7 -7417.22
-31.9713 54.4695 | 1.02963 -2.31903 | -7970.53 2350.25
-31.5776 54.7738 | 0.377064 1.27832 | -706.387 181.108
-31.2098 55.1084 | 0.579898 -0.682744 | 3006.07 1543.82
-30.8617 55.4653 | 0.582579 -1.93749 | -4366.7 -4106.61
-30.5328 55.8344 | 1.62323 1.70384 | -5404.04 -2503.7
-30.2156 56.2092 | -0.61587 1.23345 | 13341.4 1434.15
-29.8878 56.5839 | 3.76424 0.61198 | -2835.39 8064.82
-29.5633 56.968 | 2.97906 1.22317 | 7124.71 3400.13
-29.2317 57.3528 | -2.27964 1.78616 | 2135.33 -7364.31
-28.8971 57.7317 | -2.4009 -0.369277 | -11639.7 3544.98
-28.578 58.1195 | 0.745063 -5.6414 | 6419.81 -1204.78
-28.2562 58.5066 | -0.955601 -0.229829 | -836.491 -1759.36
-27.9351 58.8929 | -2.63653 3.0743 | -1574.27 773.52
-27.6181 59.2817 | -0.327701 -0.825147 | -4714.77 2526.76
-27.3037 59.6716 | 0.427902 0.00769079 | 1276.73 -1739.24
-26.9743 60.0485 | 1.65859 -1.36753 | 4313.37 -2388.99
-26.6196 60.4028 | 0.167857 0.20471 | -1873.31 3836.24
-26.2443 60.737 | -0.855853 0.683148 | 695.748 2202.45
-25.8431 61.0409 | -0.748382 0.312634 | 4879.58 -15734.5
-25.4129 61.2961 | 0.411745 -1.84121 | -12017.9 16989.9
-24.9784 61.5415 | -1.06028 -1.86049 | 5878.02 -3990.38
-24.5209 61.746 | -3.99102 -0.47378 | 6578.07 -2992.28
-24.0407 61.8973 | -2.55358 -1.52671 | -11048.7 1048.51
-23.5558 61.9991 | -0.215014 -1.45602 | -12148.8 -3959.76
-23.0714 62.0452 | 1.45607 -0.483576 | 7465.27 1088.62
-22.58 62.0437 | -1.73208 0.376841 | 10157.1 3094.19
-22.0831 62.0036 | -2.1905 2.57719 | -6285.16 -2228.96
-21.594 61.9232 | 1.76177 1.36131 | -454.873 184.685
-21.1113 61.8131 | 2.8478 1.36361 | 1738.85 5999.1
-20.6317 61.685 | -0.0907611 0.131656 | 8586.09 -9094.95
-20.1539 61.5259 | -1.12631 0.168246 | -773.83 6476.35
-19.6828 61.3513 | 1.38879 1.84473 | -4558.17 -2017.17
-19.2239 61.1527 | 0.17872 -3.33267 | -655.934 -3339.74
