24.9055 95.9799 | -2.9377 3.17648 | -1811.65 -394.666
25.3919 95.8593 | -2.89716 3.04489 | -1136.25 190.759
25.8761 95.7343 | -2.91529 2.81712 | -225.394 644.236
26.3609 95.6135 | -3.03852 2.68407 | 196.821 -113.196
26.8483 95.5033 | -3.08368 3.16514 | 396.841 536.226


-4.94128 54.1541 | -0.0149315 2.59096 | -2156.78 -761.352
-4.59086 53.799 | 0.610533 2.99246 | 563.785 1514.72
-4.22602 53.4593 | 1.17287 3.18076 | 2058.64 2023.99
-3.84274 53.1403 | 1.60448 3.00083 | 1278.75 24.5472
-3.44509 52.8378 | 1.87987 2.46365 | 16.8109 -1594.98
-3.0393 52.5448 | 2.29441 1.94916 | -371.825 -1339.75
-2.62858 52.258 | 3.03577 1.76748 | -120.501 -819.818
-2.213 51.9775 | 3.52287 1.3712 | 104.162 -957.752
-1.79103 51.7058 | 3.29235 0.402298 | -107.082 -826.398
-1.3603 51.4475 | 2.92566 -0.00201198 | -693.273 -500.715
-0.917906 51.2105 | 2.80421 0.608111 | -651.801 330.844
-0.460656 51.0054 | 2.80706 1.49791 | 57.4342 1259.26
0.0129666 50.8433 | 2.52029 1.2775 | 634.085 1445.33
0.500894 50.7309 | 1.95603 -0.7721 | 829.285 562.658
0.998475 50.6686 | 1.62249 -2.82595 | 1419.84 9.75365
1.50119 50.6533 | 1.55901 -2.98626 | 2239.15 296.242
2.00555 50.6813 | 1.49814 -1.75859 | 2424.25 1268.28
2.50858 50.7485 | 1.38001 -0.62826 | 1666.02 823.334
3.00797 50.8481 | 1.23787 0.243292 | 330.384 -330.635
3.50215 50.9722 | 0.96046 1.48428 | -775.486 -826.11
3.98999 51.1165 | 0.727869 2.50094 | -1322.55 -51.5386
4.4705 51.2801 | 0.916856 2.66518 | -1322.68 1033.48
4.94346 51.4618 | 1.54989 2.20684 | -648.962 606.736
5.41073 51.6566 | 2.40998 1.31289 | -82.2378 -731.296
5.87523 51.8568 | 3.13639 0.205668 | -550.972 -758.964
6.33869 52.0573 | 3.3638 -0.644417 | -1121.43 -602.039
6.80202 52.2551 | 3.16048 -1.14769 | -1148.66 -808.044
7.26612 52.4475 | 2.79939 -1.59018 | -1265.98 -433.499
7.73146 52.6332 | 2.35109 -2.17056 | -1487.95 -399.82
8.19836 52.8108 | 1.79735 -2.82311 | -1707.94 106.606
8.66732 52.9784 | 1.28309 -3.41666 | -1455.88 469.69
9.13971 53.1323 | 0.916935 -3.43711 | -826.563 -419.871
9.61732 53.2655 | 0.869753 -3.18839 | -559.167 -965.282
10.1006 53.3729 | 1.14699 -3.37411 | -603.178 -166.834
10.5885 53.4536 | 1.42941 -3.39646 | -324.962 407.905
11.0797 53.5086 | 1.53436 -2.82822 | 185.821 462.874
11.5733 53.539 | 1.49729 -1.81347 | 656.018 -91.166
12.0684 53.5459 | 1.52255 -0.647096 | 1033.47 -74.7733
12.5643 53.5323 | 1.78181 0.217533 | 1446.09 820.285
13.0609 53.5027 | 2.2541 0.819762 | 1515.54 745.676
13.5577 53.4592 | 2.75081 1.53893 | 702.09 248.01
14.0538 53.401 | 3.04196 2.20176 | -287.656 -417.714
14.5477 53.3272 | 3.03931 2.68348 | -128.762 -933.49
15.0395 53.2388 | 2.69605 2.81557 | 1104.8 -383.154
15.5306 53.1409 | 2.06058 2.63585 | 1952.45 -22.2536
16.0227 53.0395 | 1.43121 2.34007 | 1847.54 -130.073
16.5169 52.9395 | 1.10823 1.74349 | 1360.42 125.797
17.0135 52.8455 | 1.14949 0.849791 | 834.959 315.949
17.5127 52.7609 | 1.31381 0.0620239 | 211.893 426.587
18.0139 52.6878 | 1.32054 -0.364777 | -324.353 543.23
18.5165 52.6273 | 1.14917 -0.359595 | -616.971 201.505
19.0199 52.5791 | 0.984568 0.286013 | -595.671 145.158
19.5237 52.5425 | 0.88939 1.24672 | -465.204 -72.0436
20.0277 52.517 | 0.77629 2.09531 | -700.35 -990.879
20.5314 52.5024 | 0.587522 2.20933 | -1006.27 -861.562
21.0344 52.5028 | 0.444562 1.00409 | -984.741 61.4346
21.536 52.5255 | 0.448651 -0.255101 | -711.853 196.499
22.0346 52.5776 | 0.413483 -0.386584 | -208.191 86.3419
22.5279 52.6649 | 0.215147 -0.0810096 | -78.0444 -189.03
23.0121 52.7923 | 0.0322413 -0.418452 | -715.51 -394.733
23.4814 52.964 | -0.143519 -0.668386 | -1370.4 135.1
23.9288 53.1838 | -0.372445 -0.188206 | -1306.81 658.882
24.3486 53.4513 | -0.209112 0.118481 | -770.741 611.386
24.7383 53.7606 | 0.42042 -0.0994429 | -325.717 -133.808
25.1002 54.1018 | 0.719118 -0.0731498 | 8.99808 -1374.72
25.4394 54.4644 | 0.166311 0.659923 | 445.699 -2374.22
25.7605 54.8412 | -0.498439 1.49608 | 355.033 -2310.04
26.0646 55.23 | -0.307168 1.67885 | -592.821 -1359.7
26.3482 55.6322 | 0.748875 1.10653 | -1120.46 -704.083
26.6083 56.0486 | 1.84083 0.247438 | -593.401 -340.111
26.8456 56.4778 | 2.41652 -0.509599 | 699.461 469.382
27.0645 56.9176 | 2.40781 -0.969022 | 1205.68 1911.43
27.2699 57.3663 | 1.62775 -0.899501 | 520.631 3241.58
27.4667 57.822 | -0.0599046 -0.246572 | 462.212 3483.39
27.6637 58.2812 | -1.80327 0.461523 | 1715.62 2669.5
27.8728 58.7383 | -2.4383 0.556988 | 2659.31 1560.93
28.1044 59.1871 | -1.97567 -0.0631137 | 2496.09 627.334
28.3627 59.6232 | -1.01437 -1.05662 | 1479.48 326.848
28.6462 60.0449 | -0.170563 -1.89204 | -538.286 900.114
28.9509 60.4519 | -0.00342942 -2.10634 | -1924.07 712.742
29.2769 60.8412 | -0.313167 -1.92846 | -1642.82 -1057.28
29.6304 61.203 | -0.628603 -1.85345 | -296.312 -3151.76
