58.4556 15.2848 | 0.264357 -1.6207 | -17714.8 -5305.17
58.9448 15.2522 | 0.714749 4.19757 | 2949.18 1064.11
59.4358 15.2475 | -1.46664 3.11856 | 6815.69 2758.28
59.9312 15.2693 | -0.781553 -2.3682 | -983.961 -8170.3
60.426 15.3039 | 0.775485 0.714747 | 3926.3 -187.617
60.9204 15.3691 | 0.795894 1.00571 | -907.914 9726.55
61.4081 15.4835 | 1.01468 -1.42835 | 10465.8 3053.94
61.8961 15.628 | -1.45856 -4.22761 | -9371.23 -6941.23


-57.4477 -77.6835 | -0.566844 2.2081 | 18572.6 -2938.5
-56.9348 -77.7608 | 0.567427 3.22093 | 35.0035 -5472.35
-56.4262 -77.8605 | -4.49431 -3.05746 | -6205.38 12608.1
-55.9257 -77.9664 | 0.70787 -4.79895 | -12534 -14115
-55.4389 -78.1071 | 7.9073 -6.78464 | 27856 15784.7
-54.9407 -78.2535 | 2.54089 2.2175 | -18924.2 -15176.7
-54.4703 -78.4526 | 2.53038 -8.86184 | -20706.3 8127.09
-54.0276 -78.6825 | 2.37852 3.59641 | 45310 -6365.24
-53.571 -78.9375 | -2.4955 -1.6792 | -30067.7 3311.48
-53.1565 -79.2322 | 2.92973 -8.39203 | -2943.3 -9693.41
-52.7732 -79.5654 | -2.48188 -3.43089 | -104.632 8831.75
-52.3991 -79.9003 | -4.33459 -1.62601 | -3059.86 14366.8
-52.0255 -80.2223 | -0.751163 1.18704 | 3263.84 3263.2
-51.6585 -80.5502 | 2.57015 4.53769 | -5979.89 -8510.3
-51.3228 -80.9108 | 4.78162 4.08501 | -9709.99 -5037.32
-51.0166 -81.2944 | -4.33717 5.18853 | 9913.92 10985.3
-50.6992 -81.6659 | 0.211707 -0.338478 | 3363.74 13235.5
-50.3747 -82.0302 | -4.85407 -1.5519 | 14521.2 -44611.9
-50.0657 -82.4415 | 0.441265 -3.54434 | -15448.9 25453.3
-49.7858 -82.8566 | 1.11405 -1.66691 | 5051.93 -17640
-49.5184 -83.2911 | 1.31908 0.658033 | 7037.83 4944.77
-49.2476 -83.7222 | 6.36176 -1.57446 | -23120.8 11621.4
-48.9867 -84.1437 | -5.26938 6.08177 | 31323.5 -1263.45
-48.6854 -84.5502 | -3.7504 0.994376 | -17372.3 -6164.84
-48.3955 -84.9649 | -2.31319 -3.07289 | 1066.14 -18817.1
-48.0991 -85.3875 | -2.65249 2.96455 | 16550.4 20895.4
-47.761 -85.7738 | -7.62605 0.283771 | -9683.99 -7939.35
-47.4148 -86.1506 | 4.00501 1.30706 | -10343 2258.28
-47.0589 -86.5089 | 2.65179 14.5418 | 5518.63 11789.8
-46.6698 -86.8267 | -4.37744 -3.20895 | 11164 -15982.8
-46.2535 -87.1206 | 6.53897 -3.4127 | -42850.2 26725.1
-45.838 -87.3614 | 2.439 -4.00759 | 33368 -13295.2
-45.3813 -87.5643 | 1.5092 0.463856 | -3033.51 8097.61
-44.9062 -87.7295 | -4.60516 -3.80266 | 27959.6 -23022.9
-44.4087 -87.8954 | 1.27521 6.75941 | -15324.5 -3131.77
-43.9144 -88.0375 | 1.10708 -10.9439 | -34656 27346.8
-43.4309 -88.1065 | 5.74815 -1.43843 | 30075.9 -1347.28
-42.9284 -88.1389 | 4.54333 -1.70898 | -19000.7 -20530.4
-42.4328 -88.1731 | 4.05727 -0.762521 | 26241 7833.8
-41.9211 -88.1646 | 10.3221 -1.82658 | -4547.75 18923
-41.4187 -88.1007 | 4.64686 -6.77978 | -56650.8 -27126.6
-40.9511 -88.0449 | 0.431035 3.97865 | 49360 11402
-40.4565 -87.9679 | 0.803104 -2.89134 | 11882.2 2630.64
-39.9542 -87.8701 | -2.03913 3.10263 | -22934.1 -6042.14
-39.467 -87.7561 | 3.51121 -5.1091 | 24425.5 14451.3
-38.9695 -87.6149 | 5.62305 -1.10559 | 3593.63 -8989.73
-38.4695 -87.4748 | 6.24958 0.816339 | -8608.49 -10036.1
-37.9806 -87.3264 | 3.45152 -0.505517 | -10231.8 27159.3
-37.5133 -87.1278 | -0.511511 -4.91588 | -12177.2 -23132.3
-37.0509 -86.946 | -1.34498 6.33226 | 20712.4 15188.3
-36.5688 -86.7729 | -8.13507 6.07009 | 9273.04 -9957.82
-36.0686 -86.6406 | -4.80626 -3.46976 | -6912.05 -10292.9
-35.5687 -86.5389 | 1.41885 3.68234 | -19549.7 20668.2
-35.0853 -86.4248 | -4.60254 0.0382634 | -23024.8 -7340.72
-34.6097 -86.3477 | -6.24139 -2.19512 | 42245.4 -25406.8
-34.105 -86.3388 | -1.39005 5.91194 | -27344.9 38764.6
-33.6093 -86.315 | 2.68982 -0.813708 | 48798.5 -30205.4
-33.0846 -86.3494 | 5.20866 3.89756 | -16101.3 8228.8
-32.5722 -86.3995 | 2.96323 2.70448 | -43544.2 14866.7
-32.0889 -86.4499 | -3.11899 -2.6274 | 31655.3 -3119.31
-31.5931 -86.5345 | -6.44453 0.81069 | 816.872 -22128
-31.1079 -86.6836 | -6.3401 5.19388 | -20699 12212.9
-30.6396 -86.8432 | -4.58761 2.24976 | 29732.3 10869.2
-30.1558 -86.9941 | -0.880486 -3.04296 | -23580.5 6547.47
-29.6982 -87.174 | -2.04121 -2.09131 | -11235.4 -20280.7
-29.2759 -87.4237 | -0.552467 5.28891 | 26153.8 415.498
-28.8531 -87.6969 | -3.88206 0.793203 | -18719 16490.6
-28.4518 -87.9763 | -3.12728 -1.72326 | 2398.96 85.7668
-28.0656 -88.2774 | -2.33965 -1.75579 | 9732.9 -19219.9
-27.6952 -88.6158 | 0.514811 2.76993 | 2693.91 19457
-27.3415 -88.9606 | 2.81096 -0.0307899 | -34379.3 -10418.1
-27.038 -89.3368 | 0.36329 2.57838 | 20084.1 6463.91
-26.7044 -89.694 | -4.13803 -0.479551 | 30389 9380.9
-26.3303 -90.0258 | -1.60273 -10.159 | -35398.7 -29038.9
-25.9952 -90.3971 | 2.85841 -6.90844 | 25512 5750.95
-25.6364 -90.7571 | -4.62793 -3.40202 | -11531.2 9482.55
