48.9452 29.2293 | -1.4644 -2.65093 | 8701.03 1746.31
49.3901 28.9891 | -2.19784 -4.21717 | 433.738 2692.77
49.8566 28.7946 | -0.407685 -1.99627 | -7148.88 -2236.35
50.3338 28.6418 | 2.59588 1.79327 | -1534.41 6519.09
50.8219 28.5422 | 3.17769 3.38608 | -588.914 -408.648
51.3165 28.4832 | 1.6692 3.18317 | 2805.45 -5339.29
51.8159 28.4527 | 0.347772 2.06793 | -795.761 1466.85


-44.5338 -89.422 | 2.22168 -2.62302 | 7736.25 3481.38
-44.0282 -89.4469 | 4.5546 -2.63549 | -5476.48 -10338.8
-43.5272 -89.4559 | -1.34561 -2.94074 | -15986.9 6899.04
-43.0371 -89.4256 | 6.95556 3.87427 | 15776.1 -7183.76
-42.541 -89.3619 | 1.36525 -3.16336 | 5398.97 20438.2
-42.0489 -89.2394 | -0.788841 -4.75216 | -7835.84 -12602.8
-41.5641 -89.1089 | 6.74745 -0.465295 | 7425.96 -1188.87
-41.0761 -88.9753 | 3.10711 0.0300088 | 5212.31 5934.77
-40.5883 -88.8344 | 1.53174 3.64824 | -29374 -6274.39
-40.1189 -88.7041 | -2.7372 -0.0218552 | -1411.78 -2406.95
-39.6477 -88.5994 | -2.48388 -2.32 | 5492.72 -13000
-39.1673 -88.5268 | 4.32436 -4.51641 | 5282.79 24045.5
-38.6811 -88.4344 | -1.61215 -0.986337 | 22301.6 4228.27
-38.1768 -88.3622 | -3.59733 5.90629 | -15833.3 -41127.9
-37.6774 -88.3575 | 4.84727 -2.94248 | 3588.25 46271
-37.1792 -88.3074 | -0.470836 -0.446173 | -8423.15 -16697.3
-36.6868 -88.2835 | 1.2935 -1.45275 | -18388.3 -5769.16
-36.2048 -88.291 | 1.82198 -3.46776 | 21844.8 9674.3
-35.7079 -88.3107 | 0.363373 -1.10179 | 17886.1 -11888.8
-35.1974 -88.3636 | 2.94972 -0.740553 | 9212.11 9071.77
-34.6819 -88.4284 | 1.58168 3.36986 | -16188.6 5417.93
-34.1821 -88.5217 | 1.96556 0.0805838 | -2332.44 -5855.92
-33.702 -88.6761 | 0.465556 -2.17914 | -16063.9 -16068.5
-33.2554 -88.898 | -1.83448 3.40726 | 14731.5 23119.5
-32.8089 -89.1232 | -2.59741 0.379767 | -9232.48 -18299.5
-32.3806 -89.3833 | 5.75352 -0.0697685 | 12920.7 13798.1
-31.9467 -89.6389 | -1.01544 -4.79618 | -2717.17 -1406.76
-31.5258 -89.9105 | -0.116798 -0.519264 | -30565.5 -8253.06
-31.1363 -90.2049 | -5.83924 -4.95326 | 40038 25083.7
-30.7124 -90.468 | -2.81905 0.746868 | -18392.9 -21059.4
-30.3151 -90.7719 | -6.44749 -1.71519 | 9658.81 -7318.31
-29.9301 -91.1049 | -3.6352 -1.58688 | 4729.04 -1417.06
-29.5528 -91.4501 | -1.45032 5.06449 | -16384.8 13780.9
-29.191 -91.7916 | -1.90095 -0.603366 | 12751.1 6756.72
-28.8268 -92.1315 | 0.690321 0.2652 | -14494.7 -17357.5
-28.4918 -92.5009 | -2.4319 6.64926 | -1641.3 12931.3
-28.1579 -92.8626 | -2.91887 4.00726 | 3650.79 -1045.54
-27.8076 -93.2125 | 2.47919 2.08236 | 10049.8 -9254.26
