23.8748 12.3565 | 0.911106 3.79682 | -3681.73 5581.88
24.2211 12.7151 | 1.61741 2.77803 | -2568.31 4527.04
24.5688 13.0749 | 0.801675 3.54215 | 8025.4 -1951.52
24.9388 13.4167 | 1.50643 1.39153 | 4120.45 -1445.01
25.3293 13.7383 | 1.11154 -0.802831 | -4009.93 4198.97
25.7289 14.0479 | -0.574399 -0.963656 | -3034.66 -387.563
26.1409 14.3361 | -0.224327 -2.53407 | -2142.99 -5851.92
26.5714 14.588 | 0.239379 -4.08715 | -429.315 -2353.03
27.0199 14.8026 | -2.0257 -1.46113 | 1743.91 3717.1


14.7049 -37.5864 | 4.53585 1.46998 | -5269.04 1457.86
15.0776 -37.9115 | 2.66818 -0.510689 | 510.082 5028.26
15.471 -38.208 | 1.06047 -1.96387 | -1717.47 -1180.45
15.8808 -38.4804 | -0.245214 -1.99437 | 1228.62 -1944.04
16.3068 -38.7293 | -0.676204 0.309883 | -820.714 460.611
16.7465 -38.9519 | -0.820682 1.69445 | -1363.63 -180.756
17.1979 -39.1484 | -0.920888 -0.103761 | 2091.66 -961.851
17.6617 -39.3195 | -1.24503 -1.38352 | 1673.24 -5046.1
18.137 -39.4668 | -1.75947 -0.279583 | 6575.51 1808.25
18.6273 -39.5768 | -1.89902 0.337588 | 4347.92 4037.35
19.128 -39.6489 | -1.1784 0.127983 | -807.422 -8472.77
19.6312 -39.7009 | 0.0949519 -2.05867 | -4056.72 2545.24
20.1332 -39.7162 | 1.15459 -2.33587 | -5714.41 6853.79
20.63 -39.6865 | 1.45559 -1.91309 | 246.406 -3357
21.1239 -39.6316 | 1.79566 -1.88229 | -1510.45 -315.913
21.6142 -39.559 | 1.67687 -1.01521 | -714.237 -235.222
22.1026 -39.4761 | 1.44358 -2.06203 | 4433.44 -2203.54
22.5933 -39.3902 | 1.9181 -5.35382 | 181.662 1525.24
23.0837 -39.2981 | 2.22519 -4.30453 | 604.511 -4692.03
23.5731 -39.2028 | 2.45665 -1.23682 | -646.813 -80.1574
24.0577 -39.0886 | 2.15961 0.168713 | -1844.22 7244.37
24.5329 -38.9408 | 2.16603 0.368395 | 867.955 -936.56
25.0021 -38.7739 | 2.50339 1.57439 | -3385.97 -711.997
25.4666 -38.5986 | 1.32747 3.8394 | 3741.78 2350.09
25.9359 -38.4247 | 0.761353 2.56207 | 11277.6 -305.134
26.4185 -38.2665 | 0.491009 -0.868565 | -2645.71 419.135
