-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
-39.5121 -4.40723 | -0.292009 4.28267 | -9093.97 -3465.74
-39.101 -4.12033 | -0.236639 0.486698 | -10602.6 -1513.88
-38.6974 -3.83588 | 3.07411 0.275029 | 3622.75 -3287.85
-38.2862 -3.56289 | -1.4005 2.78547 | 3547.69 -2157.09
-37.8685 -3.29795 | -3.37419 0.369731 | -3442.17 3073.6
-37.4555 -3.02643 | -1.46027 -0.943154 | 736.917 4593.8
-37.045 -2.74664 | -0.248988 -0.379662 | 1015.39 2137.73
-36.6298 -2.47 | 0.354711 1.45209 | 6702.31 -7642.37
-36.2007 -2.21198 | 1.19466 -1.69611 | -2620.52 11988.1
-35.7687 -1.95308 | -0.150792 -0.928578 | 2459.85 -3860.85
-35.3247 -1.7154 | 2.5446 -1.37062 | -5820.95 -2634.66
-34.8716 -1.5064 | 2.11613 -0.709893 | 47.5172 -1535.87
-34.4055 -1.33104 | 2.30952 -2.92491 | 1994.57 1352.8


-58.5549 -34.1448 | -2.15322 -1.74664 | 5887.49 -2883.77
-58.3472 -34.6045 | -3.64569 -0.653425 | -3778.39 1955.7
-58.1636 -35.072 | -0.374406 2.49171 | -1117.64 -3400.75
-58.0051 -35.5497 | -2.1794 1.7474 | -500.211 3763.53
-57.8671 -36.0312 | -0.769217 0.484084 | -4492.27 -2002.52
-57.7458 -36.517 | 2.23558 0.578822 | -215.755 3430.42
-57.6203 -36.9983 | 2.16059 -1.10717 | 685.304 9287.93
-57.4722 -37.4672 | 0.771187 -1.15527 | -157.833 -9026
-57.2941 -37.9299 | 1.84125 -0.21616 | -1232.03 4560.2
-57.0743 -38.3719 | 0.592718 0.0971419 | 3154.62 -3771.72
-56.8031 -38.7879 | -0.555779 -1.13165 | 446.835 -408.35
-56.4808 -39.1681 | 0.312402 -0.68847 | 7209.82 111.706
-56.1077 -39.5071 | -1.82197 0.623871 | 6610.19 -14912.5
-55.697 -39.8165 | -2.39623 -0.112807 | -1543.3 10537.3
-55.2557 -40.0727 | 0.0688106 0.0945678 | -6813.13 2447.3
-54.7967 -40.2823 | -1.2927 1.03245 | -1850.16 2466.41
-54.3239 -40.4498 | -2.25687 -1.90511 | -3421.5 -1101.72
-53.843 -40.5857 | -1.29284 -3.00224 | 3598.52 -7079.97
-53.3525 -40.694 | -1.09412 -1.11776 | -3382.25 2312.19
-52.8567 -40.7532 | -1.29769 -3.50688 | -4176.76 7080.41
-52.36 -40.7498 | -0.51922 -3.89945 | 8957.93 -6432.64
-51.8602 -40.6994 | -0.745967 -2.76588 | -1443.15 15295.6
-51.368 -40.5919 | -2.3794 -1.23592 | 147.567 -9660.47
-50.8798 -40.4765 | -0.76686 -1.3626 | -7980.59 -12102.7
-50.3975 -40.3658 | 0.137105 -1.5042 | 233.013 12521.1
-49.9189 -40.2303 | -1.64041 -1.69706 | 15177.2 -1411.17
-49.4322 -40.0888 | -2.10434 -1.08119 | -4265.34 -9415.33
-48.9503 -39.9441 | -1.23119 1.29124 | -7621.51 12293.2
-48.4829 -39.7659 | -0.955782 4.78768 | -678.116 3381.39
-48.0199 -39.5761 | 0.0717656 3.74094 | 6359.79 -17814.6
-47.5481 -39.4099 | -0.381993 -0.246275 | -3684.84 13193.2
-47.0805 -39.2315 | 0.363911 -2.21367 | -2159.61 667.358
-46.6132 -39.0567 | 0.654952 0.00916317 | -1752.9 -10464.6
-46.1415 -38.9068 | -0.337938 1.98876 | -3433.04 5568.88
-45.6685 -38.7649 | 0.218238 2.29475 | 2611.96 1445.03
-45.1879 -38.6378 | 1.45363 1.01379 | 12061.1 3048.53
-44.6922 -38.5338 | 2.16559 -1.4465 | 2344.59 -1675.39
-44.1871 -38.4655 | 0.813706 -0.612758 | 3787.62 -8435.97
-43.6758 -38.4378 | -0.112684 -2.2282 | -1694.94 7432.72
-43.1656 -38.4233 | 3.18147 0.223662 | -8920.72 4942.1
-42.6616 -38.4246 | 3.73475 -1.80254 | -1296.15 -8712.73
-42.1614 -38.4643 | 0.388667 -2.75557 | -3062.94 1139.62
-41.6663 -38.5307 | 0.716392 -0.666058 | 1931.26 5285.44
-41.1732 -38.6154 | 2.41543 -5.48802 | 4208.01 -3570.61
-40.6837 -38.731 | 1.34862 -5.03832 | -6446.14 -808.199
-40.2065 -38.8776 | 1.21497 -1.95586 | -1850.27 -961.831
-39.7388 -39.0475 | -0.3206 -3.63749 | 2670.3 4986.06
-39.275 -39.2267 | -0.435307 -0.220227 | -7159.37 -1658.92
-38.8205 -39.4207 | -1.21572 -1.10799 | 9317.87 -724.95
-38.3629 -39.6227 | -0.826554 -0.00244398 | 5362.73 -234.563
-37.9051 -39.8326 | -1.30803 -0.362793 | -9341.95 2027.19
-37.459 -40.0543 | -1.17061 0.875214 | -511.932 -5799.12
-37.0183 -40.2903 | 1.09334 0.806749 | 7831.66 -8888.53
-36.5683 -40.5234 | -1.0756 -2.72167 | 1041.44 13687
-36.1013 -40.713 | -2.23911 -0.883741 | -4245.89 5497.27
-35.624 -40.8666 | -0.659503 1.29191 | 9707.03 -11874.9
-35.1353 -41.0093 | -0.497392 0.346374 | -6216.12 1544.8
-34.6443 -41.1274 | -1.02689 0.704155 | -6030.32 9687.44
-34.1516 -41.2079 | -3.72708 -2.85854 | 704.111 1403.77
-33.6565 -41.272 | -3.27054 0.733612 | 3761.48 -15192.1
-33.1587 -41.3469 | -0.265851 2.87857 | 2868.15 -900.458
-32.6568 -41.4013 | -0.737794 -1.2305 | -9463.76 15538.8
-32.1586 -41.4018 | -4.00726 -2.80602 | -622.703 -7931.04
-31.6618 -41.3752 | -5.12443 -1.00338 | 8184.76 -6619.21
-31.1622 -41.3173 | -4.32202 0.427458 | 1832.63 13665.2
-30.6701 -41.1965 | -2.14334 4.6135 | 4257.44 -1966.48
-30.1888 -41.0318 | 0.0421856 3.65429 | -10566.4 -5209.09
