-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
-37.243 -31.7594 | 0.71378 0.321749 | 2574.67 -3968.32
-36.8464 -32.0783 | 1.52658 -2.33286 | 1355.74 2025.45
-36.4407 -32.3854 | 1.96727 -2.77804 | -7388.72 -1552.39
-36.0301 -32.6798 | -0.389579 0.0783017 | 5144.23 8052.52
-35.6015 -32.9451 | -1.0446 -0.438087 | -6821.02 -2567.62
-35.1658 -33.1933 | -0.855027 -0.300173 | 4537.07 266.082
-34.7162 -33.4205 | -1.65838 2.3989 | 1644.71 -222.719
-34.2553 -33.6282 | -1.82825 1.90154 | -722.165 -4242.14
-33.7861 -33.8194 | -0.00183866 0.0414114 | 3219.01 -411.822
-33.3043 -33.9816 | 2.31514 -0.228234 | -3498.77 4752.15
-32.8141 -34.1015 | 0.0201344 0.547895 | -5192.42 -541.206
-32.3199 -34.1795 | -3.5146 2.25071 | -2692.66 4227.79
-31.8228 -34.2104 | -2.4226 -0.683341 | 3276.79 -97.3169
-31.3225 -34.2054 | -1.72375 -0.650183 | 5716.13 -5842.07
-30.82 -34.1766 | -0.605818 0.0728042 | -11938.6 4514.9
-30.3279 -34.1131 | -2.30598 -0.118421 | 1050.45 -1943.93
-29.8393 -34.0257 | -2.54112 0.429444 | 8971.01 -4806.85
-29.3491 -33.9175 | -0.117067 -0.778631 | 321.082 3486.66
-28.8673 -33.7691 | -1.93891 0.304957 | 3286.86 11673.9
-28.3986 -33.5728 | -0.525047 -1.08793 | -7327.22 -8466.21
-27.9445 -33.3608 | 0.705037 -0.555891 | -6562.22 -7914.45
-27.5008 -33.1417 | -1.64875 1.19817 | 8201.5 7521.1
-27.0596 -32.9035 | -2.92573 1.84489 | 1233.57 1448.19
-26.623 -32.6525 | -2.2698 -0.971705 | 62.1907 -2051.5
-26.1896 -32.3967 | 0.869616 -2.12615 | 1191.51 1422.84
-25.7585 -32.1359 | -0.774246 0.661683 | -6977.22 -1798.07
-25.3326 -31.8749 | -3.08931 -0.355256 | 710.509 3084.28
-24.901 -31.6198 | -0.457762 -0.323907 | 10756.1 315.879
-24.4499 -31.3858 | 1.6038 1.03713 | 2494.97 983.915
-23.9848 -31.1772 | 1.56003 2.2312 | -9434.95 -8963.5
-23.5164 -31.0014 | -0.413377 2.71744 | -14100.2 498.875
-23.0512 -30.8442 | -1.02035 -0.204044 | 8375.19 332.096
-22.5746 -30.7054 | 1.14721 -2.72286 | 11183.2 4950.37
-22.0854 -30.5792 | 2.24683 0.594497 | -1767.4 3537.7
-21.5922 -30.4697 | 3.06948 2.05427 | -6988.07 -2409.82
-21.0984 -30.3945 | 1.8807 1.25992 | -5143.13 -4005.41
-20.6044 -30.366 | 0.277565 1.63631 | 1135.54 -6368.81
-20.1089 -30.381 | 0.399279 -0.244624 | 5941.52 8351.3
-19.6098 -30.4089 | -1.54082 0.707891 | 2825.69 2568.91
-19.1094 -30.4527 | -2.96988 2.86829 | -2025.65 -5113.94
-18.6134 -30.5254 | -2.23828 -1.14801 | -2277.75 215.019
-18.1231 -30.6184 | -1.99968 0.920225 | -4928.35 3281.67
-17.6388 -30.722 | 0.611929 -0.300802 | 5713.33 5380.41
-17.1547 -30.8364 | 0.88999 -0.650851 | -3447.74 -5849.38
-16.6812 -30.9841 | 0.619077 -0.0601613 | -2263.61 1205.86
-16.2206 -31.1608 | 0.901346 -1.21512 | -6552.18 3371.91
-15.7753 -31.362 | -0.398777 -0.0789783 | 4204.41 -4287.48
-15.3372 -31.5873 | 0.0837419 2.4837 | 8247.15 -1848.78
-14.8989 -31.8253 | 0.900044 2.89304 | -1792.44 487.528
-14.4636 -32.0678 | -0.306948 -0.581785 | -893.227 5170.99
-14.0286 -32.3076 | 0.119832 -2.29406 | 6139.93 -974.351
-13.5932 -32.5549 | 0.365258 -2.19359 | -990.815 -12103.1
-13.1667 -32.8242 | -1.8168 -1.45015 | -2110.23 8426.97
-12.7424 -33.0895 | -2.61253 -0.341424 | -107.67 4123.72
-12.3183 -33.3504 | -2.91104 -0.715891 | -7747.67 -8699.53
-11.9006 -33.6181 | -0.298857 2.24026 | 3144.73 4502.77
-11.4708 -33.865 | 0.648519 4.05726 | -1137.37 4724.86
-11.0267 -34.0807 | -0.70104 2.81847 | 2187.5 1704.07
-10.5705 -34.2712 | -1.1853 3.26328 | -3093.92 -8020.37
-10.1096 -34.4528 | -1.35329 2.89957 | 6083.24 126.415
-9.63533 -34.6118 | -0.0893959 -2.47818 | 6233.38 -113.707
-9.14734 -34.7417 | 1.42814 -2.50931 | -942.908 -44.859
-8.65225 -34.8413 | -1.41951 -2.20033 | 100.956 -190.625
-8.15275 -34.9091 | -2.90106 -2.07909 | -9861.35 2885.38
-7.65592 -34.9423 | 0.979519 0.740423 | 6188.14 -7523.32
-7.15351 -34.947 | 2.00688 -1.80817 | 11753.5 8330.14
-6.64529 -34.9 | 0.615471 2.26428 | -7509.73 5005.24
-6.1473 -34.8085 | -0.968772 2.94772 | -7367.74 -9331.06
-5.65951 -34.7009 | -1.12275 -2.277 | 420.655 6.84876
-5.17742 -34.5729 | -0.768578 -1.759 | 1152.23 2448.39
-4.70129 -34.4213 | -0.265121 0.198188 | -1245.55 -364.915
-4.23232 -34.2522 | 0.993715 -0.753262 | -3277.32 -5271.22
-3.77024 -34.0722 | 1.47134 3.42722 | 7483.69 5789.13
-3.31126 -33.8706 | 1.82913 0.91054 | -2560.78 22.2606
-2.86141 -33.6522 | 1.60882 -2.1698 | -4141.36 -2591.88
-2.42045 -33.4238 | -1.06846 -0.416433 | 1721.43 -1771.66
-1.98357 -33.1882 | -2.04267 -1.10282 | -1125.15 860.606
-1.55333 -32.9416 | -0.00488474 0.995306 | -2273.4 6711.47
-1.12881 -32.6845 | 1.0274 1.80152 | -2071.17 -8092.64
-0.698702 -32.4436 | -0.665107 1.04302 | 6885.44 -2415.27
-0.256263 -32.2197 | -1.04214 1.1687 | 93.5871 3747.9
0.187758 -31.9975 | 0.175308 0.433931 | -6983.6 -1453.47
0.625415 -31.7741 | 2.11295 1.29189 | -3234.58 -2290.31
1.05869 -31.549 | 0.84068 1.19569 | 1785.26 4870.44
1.4913 -31.3175 | -2.45045 -1.35954 | -259.484 1407.06
1.92759 -31.0889 | -0.862052 -2.81243 | 7169.75 5476.81
2.37762 -30.8738 | 1.46239 -4.57801 | 1421.34 -3954


-4.20251 -52.35 | -0.601888 -1.15696 | -5245.48 -6704.38
-3.75665 -52.1383 | 0.772122 1.17508 | 3260.49 12459.9
-3.30486 -51.9255 | 0.960256 -0.513209 | 3416.58 -9032.68
-2.83979 -51.7393 | 1.45062 1.1576 | 5844.53 6059.65
-2.3626 -51.5684 | 1.94783 0.773912 | 2400.64 3728.88
-1.8756 -51.4179 | 1.4659 -0.568087 | -1232.63 -6930.89
-1.38082 -51.3049 | -0.105633 0.366123 | -4792.8 2203.68
-0.88409 -51.2228 | -0.531398 0.500351 | -8790.51 -760.885
-0.387837 -51.1771 | 0.639781 1.6732 | 16081.8 -2981.4
0.119403 -51.1736 | 0.240227 -0.213452 | -9064.69 -1644.24
0.620357 -51.2047 | -0.0680588 -1.93485 | -7722.31 3419.96
1.11439 -51.2548 | 2.40887 0.486956 | 10574.7 3311.92
1.61185 -51.3205 | 1.565 1.70834 | -9305.29 -1459.8
2.10095 -51.4137 | 1.35056 1.09057 | 10493 -1776.89
2.59089 -51.5368 | 1.66797 0.685637 | 5737.67 -7325.64
3.07708 -51.6922 | 2.1126 -0.0196229 | -9042.16 3707.54
3.55287 -51.8589 | 1.15903 -1.37454 | -620.952 5182.07
4.02589 -52.0236 | -0.693412 -1.11461 | -5727.58 3695.45
4.49436 -52.1893 | -0.900434 -1.95988 | 6176.27 -4609.86
4.96348 -52.3681 | 1.61601 -2.64387 | 4937.46 -10359.1
5.43267 -52.5605 | 1.35802 -1.42471 | -6325.69 18953.6
5.90125 -52.7334 | -2.19098 -1.86435 | -2699.52 -11017.4
6.36539 -52.9175 | -3.78297 -4.07381 | 3469.92 -262.015
6.83114 -53.099 | -1.81188 -2.37178 | -11096.6 10351.7
7.29279 -53.2642 | -0.198481 1.8661 | -5400.53 -7629.56
7.7529 -53.428 | -1.52936 -1.01617 | 10414.2 -3494.74
8.22792 -53.5717 | -1.89411 -3.03081 | 12765.8 3353.23
8.72084 -53.6739 | -0.733531 2.13883 | -17245.5 6140.81
9.20969 -53.7339 | -0.431612 1.67911 | -3945.73 -4604.44
9.69868 -53.7705 | 1.30376 -0.576361 | 15293.1 -578.223
10.1997 -53.784 | 3.66515 0.0265385 | 7727.42 -7715.22
10.7065 -53.7756 | 3.21929 0.549853 | -8946.54 5447.25
11.2032 -53.7166 | 1.65555 0.735143 | -14191 247.503
11.6801 -53.6028 | 2.42494 1.85213 | 7024.94 -3558.25
12.1459 -53.4403 | 2.19085 0.945413 | 4542.25 8372.86
12.5937 -53.2209 | -1.51161 3.08617 | -4826.46 -212.219
13.0195 -52.9648 | -1.27772 1.43416 | 3781.35 -4649.49
13.4361 -52.6949 | 0.260593 0.971253 | -6522.16 -2695.73
13.8418 -52.4169 | -1.64215 2.98785 | 3235.49 -1038.62
14.2473 -52.1359 | -2.62188 1.22533 | 9197.85 2631.04
14.6562 -51.8486 | -0.397621 0.0587613 | -3158.14 -1723.83
15.0553 -51.5496 | -0.341659 -0.734454 | -603.504 6653.46
15.4403 -51.23 | 1.87809 -1.90303 | 460.556 -9072.55
15.8152 -50.904 | 1.86775 -0.578437 | -4715.04 3490.21
16.1719 -50.5589 | -1.17865 -1.92566 | 4381.25 6655.9
16.5198 -50.198 | -3.06268 0.624345 | -2151.25 -3281.47
16.8658 -49.8371 | -1.03873 0.246163 | 4855.75 1471.24
17.2224 -49.4825 | 1.23462 -1.64233 | -190.226 2497.45
17.5907 -49.138 | -0.884522 1.3456 | 88.821 -1739.22
17.9767 -48.8146 | -0.549957 0.159988 | 838.999 -1721.11
18.3825 -48.5181 | 0.174864 0.945936 | -537.478 -8361.96
18.8026 -48.2489 | 0.0678226 1.17053 | -5674.49 5384.84
19.2222 -47.9821 | 0.679988 -1.15619 | -2388.64 4310.9
19.6439 -47.7169 | 1.85656 -3.21857 | 5866.1 5276.65
20.0824 -47.4685 | -1.66296 -1.92934 | 7842.65 -2711.27
20.5464 -47.2625 | -3.40225 2.88946 | -7058.22 -5290.26
21.0252 -47.1088 | -0.0718009 0.842225 | 4477.28 -3704.56
21.5183 -47.0042 | 0.583819 -0.904503 | -6860.67 5394.55
22.0128 -46.9296 | 0.0760784 -0.285104 | -2026.78 -612.236
22.5095 -46.8898 | -0.65895 1.91401 | 1469.92 3476.91
23.0085 -46.8872 | -1.54448 1.02254 | 461.991 -6821.25
23.5064 -46.9371 | -0.183846 0.0517297 | 6983.14 944.914
24.0023 -47.0271 | 0.914367 0.604507 | -9649.65 5535.52
24.484 -47.1497 | 2.70379 -1.20265 | -3166.73 -1520.05
24.9504 -47.3127 | 3.39482 -0.837558 | 1763.08 -2684.07
25.4024 -47.5125 | 2.05214 -0.0302085 | -10701.7 6565.24
25.8363 -47.7331 | 2.50167 -0.0577631 | 7246.83 -3027.88
26.2669 -47.9702 | 2.54158 1.70978 | 8221.78 221.073
26.6985 -48.216 | -0.821172 -0.191402 | -5272.56 1939.14
27.1205 -48.4724 | -1.32254 0.679993 | 801.54 -2040.23
27.5341 -48.7425 | 0.924985 0.681509 | -3209.76 3865.46
27.9388 -49.0207 | 0.600004 -0.486141 | -2062.98 -5146.89
28.3373 -49.3098 | -1.39733 -1.18591 | 9833.66 926.141
28.7459 -49.5943 | 0.100764 -2.31495 | -1227.22 -3339.58
29.1592 -49.8756 | 2.13338 -1.46415 | 5456.21 -1801.91
29.5836 -50.1464 | 1.45364 -2.48621 | -4429.55 3510.58
30.0148 -50.3996 | 1.12362 -1.73305 | -2870.73 289.731
30.4543 -50.6348 | 0.294147 -0.475361 | 8022.38 -334.937
30.9092 -50.8499 | 1.43992 1.28814 | -1616.74 -2493
31.3712 -51.0497 | 2.72116 4.02298 | -3883.57 -2180.74
31.8392 -51.23 | 0.860373 1.15834 | 731.608 6201.08
32.319 -51.3742 | 2.52741 2.74142 | 5811.86 -4138.17
32.8117 -51.49 | 4.20132 2.87506 | 5652.96 -1503.99
33.3146 -51.573 | 4.21053 0.740689 | -8356.8 2103.23
33.8158 -51.6149 | 4.97569 1.50507 | -11062.3 -4749.09
34.3097 -51.6124 | 3.45038 -0.470708 | -2407.23 12198.7
34.7961 -51.5428 | 2.02591 -0.776758 | 710.708 -4912.46
35.2758 -51.4374 | 0.0540009 -0.45936 | -175.973 -2174.43
35.7495 -51.3108 | 1.08181 1.15114 | -524.138 -4750.98
36.218 -51.1714 | 2.08223 2.48423 | -3845.59 6838.98
36.6788 -51.012 | 1.92815 3.22485 | 3230.75 -10317.9
37.1412 -50.8564 | 2.0815 2.91481 | 7047.58 2250.54
37.6034 -50.6863 | 1.81886 -0.637175 | -5647.08 3903.35
38.0516 -50.4883 | 0.903328 -3.1931 | -6655.22 -3750.58
38.4859 -50.2716 | -0.43639 -5.00614 | 6706.95 3070.18
38.9185 -50.0397 | -1.0053 -2.46422 | 6600.23 5634.16
39.3549 -49.7994 | 0.709972 -2.36626 | 6894.89 -1607.71
39.8009 -49.5665 | -2.59799 -0.388212 | 4120.15 -3231.68
40.2526 -49.3408 | -1.39118 3.74931 | -10195.1 6251.6
40.6956 -49.1067 | 4.0284 1.90257 | 1667.06 -3488.36


-96.6881 17.6989 | 0.0308682 -3.80672 | 5833.48 -9394.57
-96.1861 17.7215 | -3.79912 3.77144 | -16521.3 15762.9
-95.6945 17.7504 | -4.48263 -4.39175 | 7905.76 1458.05
-95.1996 17.7613 | -1.43458 -3.26264 | -12605.8 -14669.7
-94.7122 17.7255 | 0.393777 -1.64511 | 15923.4 18887.5
-94.2176 17.6768 | -2.16135 -5.43305 | -3844.23 -26083.5
-93.7308 17.5715 | -6.42709 -3.89956 | -1230.52 16868.4
-93.2469 17.4717 | -0.902351 -7.07744 | -13743.9 -1718.7
-92.7693 17.3749 | 1.30968 -0.787011 | 25261.6 3986.01
-92.2733 17.2906 | -8.05825 0.56057 | 5760.74 -12917.4
-91.7741 17.2006 | 2.68067 -2.71678 | -35152 10306.6
-91.2933 17.1352 | 3.27997 -4.42432 | 18363.5 17.2359
-90.7996 17.0966 | -4.48838 -1.2348 | 7825.33 -8634.89
-90.2964 17.0808 | 0.0410995 1.70515 | 12701.1 15118.6
-89.7864 17.1163 | 3.7902 -1.05028 | -22464.1 -12245.3
-89.2934 17.1737 | 3.41988 -5.28124 | -6285.09 1265.69
-88.8097 17.2664 | -2.60002 -0.65673 | 22203.2 10812.2
-88.3188 17.3999 | 1.43446 3.73111 | 5737.44 -7293.77
-87.8295 17.5511 | -0.353318 4.45618 | -14997.6 1105.29
-87.3593 17.7295 | 3.57568 -2.80164 | 1592.34 -6786.85
-86.902 17.9286 | 6.90315 0.975493 | -18333.3 7341.63
-86.4728 18.1621 | 3.19294 -0.625212 | 502.593 -16036.9
-86.0478 18.3944 | 6.53972 0.530377 | 24674.8 -15.9739
-85.6189 18.6479 | 0.867569 0.220693 | -17204.2 24421.4
-85.2324 18.9684 | -0.506444 -5.60917 | 17546.8 755.596
-84.8535 19.3114 | -1.67583 3.90413 | 849.431 -19113.1
-84.4857 19.6564 | -3.37497 2.88699 | -13394 18321.6
-84.1568 20.0388 | -2.75812 -3.41015 | -5141.97 -15287.6
-83.8421 20.4215 | -0.600441 -2.09079 | 11730.7 6472.32
-83.5167 20.8044 | -2.59867 -0.819523 | 323.253 5107.92
-83.1842 21.1833 | 0.331685 2.31301 | -5951.91 -23754.6
-82.8447 21.5374 | 2.95688 2.26174 | 223.841 6646.04
-82.5117 21.9003 | -0.272761 3.80174 | -1432.34 9412.48
-82.195 22.2836 | 3.72828 3.68477 | -135.853 5148.22
-81.8849 22.6749 | -5.04424 3.18404 | 2464.12 -20813.2
-81.5657 23.0474 | 0.293533 -1.63646 | -7796.18 17753.6
-81.2541 23.4315 | 3.98456 1.99377 | 10006.3 -14970.5
-80.9252 23.7982 | 1.66848 2.78242 | -7877.47 13342.8
-80.5998 24.1733 | 3.44065 3.05537 | 9945.02 2652.87
-80.2569 24.5406 | -2.24857 -0.299706 | -6059.8 -3710.99
-79.9001 24.8908 | -1.69818 -0.604994 | 12261.8 3068.66
-79.5166 25.2217 | 1.75481 0.686296 | -4564.47 -5789.34
-79.1233 25.536 | -1.60644 -1.42425 | 5061.79 9423.91
-78.7264 25.8531 | -0.636118 3.60319 | -13424.3 240.489
-78.3378 26.1673 | 3.88944 0.621791 | -10626.2 -19639.5
-77.9436 26.4521 | 1.14338 -4.543 | 6642.53 17540.8
-77.5315 26.7269 | -0.436405 -5.84499 | 9934.68 893.53
-77.0888 26.9605 | -4.47023 3.39632 | -15302.7 -7475.67
-76.6283 27.1304 | -1.84968 -6.59323 | 13285.6 -12173.6
-76.1407 27.2305 | 3.14392 -4.84327 | 9631.29 31414.9
-75.6408 27.3151 | 4.23305 0.189545 | -16365 -26140.8
-75.1453 27.3218 | 1.93559 -2.52104 | -3520.06 4876.76
-74.6526 27.2893 | -3.06961 -1.06908 | 17676.9 14718.6
-74.1503 27.2381 | 3.67308 -2.60395 | 4313.61 -21098.4
-73.6526 27.1266 | -0.0899121 3.87108 | -12017.9 14181.2
-73.1711 26.9925 | 2.02468 -0.785609 | -15178.9 -883.441
-72.7078 26.8263 | 7.31509 -2.23208 | 33360.6 -10957.5
-72.2322 26.6318 | 1.56176 1.27847 | -6530.92 5762.44
-71.7651 26.4245 | -0.609909 -0.469865 | -11987.7 -7947.31
-71.3122 26.2009 | 0.836298 1.33068 | 510.777 9976.12
-70.8524 25.9978 | -0.768592 -2.33394 | 11126.3 -3332.22
-70.3759 25.8172 | -0.610299 2.11406 | -2256.68 486.95
-69.8918 25.665 | 2.7469 -1.64151 | -11369 7447.49
-69.4084 25.5497 | 3.98177 1.62203 | -10523.3 3895.23
-68.9289 25.4612 | 2.62754 -5.50042 | -9043.56 -20994.6
-68.4515 25.3794 | 4.96522 -5.64369 | 23128 27661.5
-67.9536 25.3711 | -3.88571 0.21324 | 6788.84 -2262.11
-67.4521 25.3816 | -2.91162 -3.5734 | -34185.7 -31299.1
-66.9706 25.3629 | -0.333303 -2.06957 | 23961.6 14872.4
-66.4772 25.3949 | -1.10207 -2.15202 | -7087.08 13079.4
-65.992 25.4939 | 2.18782 -6.01805 | 20017.7 -10928
-65.5021 25.6209 | -2.48082 -2.46871 | -6640.34 -2285.71
-65.0298 25.7895 | -2.90788 -4.01869 | -22647.1 13257
-64.5918 26.0152 | -0.0836703 0.189666 | 33603.8 -11961.9
-64.1421 26.2467 | 3.20561 2.25036 | -23105.3 -1436.73
-63.7203 26.5051 | 1.28952 -2.00575 | 3553.49 8639.14
-63.3145 26.7925 | 2.40599 -0.870114 | -1609.75 -2528.71
-62.915 27.083 | -1.15733 -1.96405 | -10327.8 -24687.4
-62.5139 27.3531 | -0.821744 1.18691 | 32635.6 43304.4
-62.0982 27.6564 | -0.535143 2.35451 | -9953.97 -21627.7
-61.6839 27.9437 | -1.01166 1.66116 | -12391.7 -16016.9
-61.2792 28.2257 | -1.28718 -0.452643 | 18831.2 39296.8
-60.8806 28.5518 | -3.07437 0.784678 | -14943.3 -24146.5
-60.491 28.8675 | -4.79572 1.47551 | 13916.8 -440.979
-60.0945 29.1806 | -2.64581 -1.347 | -17592 5954.98
-59.7187 29.5103 | 1.07728 4.19142 | 16084.1 -4741
-59.3378 29.8385 | -4.31986 2.27081 | -27818.7 93.8536
-58.9816 30.1742 | 2.07168 -6.95097 | 9105.11 -8257.53
-58.6078 30.4899 | -0.918329 6.96203 | 11956 4622.7
-58.2139 30.7914 | 2.48841 -1.59686 | -17387.6 -5335.07
-57.8244 31.0851 | 1.70733 -1.81634 | 15081.8 15448.1
-57.4206 31.3793 | -0.976824 1.16685 | -3629.41 -12945.7
-57.007 31.6488 | 2.59853 -1.25086 | -15792.7 2617.8
-56.595 31.9083 | 1.7373 2.28385 | 26490.6 3421.14
-56.1555 32.1471 | 0.559614 -1.0275 | -29432.5 4548.92
-55.7207 32.3701 | -4.00591 -0.167185 | 28579.7 -5996.91
-55.2488 32.5423 | -2.24272 -5.62461 | -2175.79 -3526.97
-54.7649 32.6757 | 1.18876 -0.512205 | -13386.1 11405.1
-54.2837 32.7987 | -3.78239 -0.0497393 | 15181 -3254.63
-53.7866 32.8888 | 1.97562 -3.75242 | -7137.03 -1642.44


-72.7497 12.3582 | 2.81001 -0.893573 | 672.455 -791.06
-72.2506 12.3957 | 0.656458 -1.66756 | 1641.14 -1297.37
-71.7505 12.3996 | 0.0458774 1.57511 | -11922.8 4592.9
-71.2593 12.3797 | -0.0979833 0.681245 | -4228.23 -231.674
-70.774 12.3299 | 0.561768 -2.08686 | 3426.12 3.18245
-70.289 12.2483 | -0.131875 2.32057 | 20554.3 849.433
-69.7968 12.1331 | -3.37739 2.77564 | -2703.76 -6136.22
-69.3187 11.9697 | -2.64091 -1.24888 | -17699.1 848.156
-68.8664 11.7681 | -3.91794 -1.30133 | 10923.2 4009.61
-68.4168 11.5496 | -1.27284 -2.93361 | 8602.39 -4444.38
-67.9716 11.3105 | 2.10764 -3.46647 | -14854.8 7815.75
-67.5476 11.0555 | 0.523056 -2.1809 | -5696.99 -8815.34
-67.1386 10.779 | 3.49635 1.66594 | 9552.91 4730.2
-66.7178 10.5134 | 1.54673 0.905154 | 6013.41 4392.05
-66.2842 10.2633 | -1.59466 -0.36935 | -773.467 -5869.22
-65.8504 10.0096 | 1.8123 0.115498 | -6459.62 -5859.93
-65.4194 9.75251 | 0.104115 -0.465417 | 7517.42 -1819.9
-64.9705 9.51676 | -1.13702 -1.45827 | 7367.16 10982
-64.4973 9.32643 | 0.304999 0.711988 | 1956.51 -6944.37
-64.0112 9.15953 | -2.1592 -0.568818 | 6417.82 2919.96
-63.5147 9.01785 | -0.709339 -2.69132 | -17365.2 -5086.6
-63.0261 8.89021 | 1.04748 -0.919226 | -10171.5 85.2315
-62.5382 8.79749 | 2.75944 -2.75837 | 7830.43 14109.2
-62.0396 8.76868 | 0.609435 -1.59416 | -15.7579 -10929.2
-61.5396 8.77375 | -0.582133 -1.78284 | -2681.1 3865
-61.0436 8.82488 | 1.54492 -2.46652 | 2968.64 135.387
-60.5521 8.91743 | -0.868599 -1.58473 | -1913.9 -5841.22
-60.0715 9.04594 | -2.61752 -2.73524 | -6113.85 5109.7
-59.6104 9.22435 | -1.47648 -2.70003 | 1832.08 2221.38
-59.1643 9.44005 | -0.363307 -0.573203 | 1222.09 -11003.2
-58.7287 9.67215 | -0.297309 1.06035 | 2945.79 7013.65
-58.3103 9.93906 | -4.86123 1.20284 | -7084.15 -6815.32
-57.9175 10.2342 | -2.59435 -3.04546 | 4450.1 11454.9
-57.5451 10.5653 | 0.610226 0.850685 | 2342.99 3366.57
-57.182 10.9112 | 0.923353 3.91113 | 1642.93 -13316.5
-56.8152 11.2465 | 0.924705 2.07003 | -699.359 5452.2
-56.4509 11.5869 | -1.22531 0.365776 | 239.078 2176.03
-56.0883 11.9301 | -0.927077 0.503937 | -4293.19 -4228.74
-55.7249 12.2673 | 0.881929 0.185655 | 2056.06 863.651
-55.3522 12.5962 | -0.0863368 -0.97522 | 6064.77 180.01
-54.9659 12.9153 | -2.05035 -1.07225 | 63.2251 7340.32
-54.5741 13.2326 | -0.195439 -1.14658 | -420.656 -8950.89
-54.1759 13.5346 | -0.463991 0.395909 | -9614.45 118.499
-53.7826 13.8336 | -0.585506 -0.304268 | -4536.73 10759.5
-53.3847 14.1276 | 0.866528 2.30226 | 8731.41 -15278.5
-52.955 14.3725 | 3.25773 3.24618 | 1631.02 4312.68
-52.5058 14.5856 | 4.41795 3.45439 | -3740.54 3173.3
-52.0453 14.7748 | 3.21476 0.70745 | 11275.9 7064.45
-51.5648 14.937 | 3.22991 0.708576 | 6627.79 -6076.67
-51.0672 15.053 | 3.66895 -0.398697 | -8589.55 210.252
-50.5681 15.1304 | 3.20073 -3.50197 | -6338.85 299.051
-50.07 15.1708 | 3.66329 -3.1792 | 320.389 -4482.69
-49.5716 15.172 | 2.5123 -2.95722 | -6717.12 4406.14
-49.0772 15.1503 | -1.18747 -3.61139 | 10635.5 -3670.8
-48.5768 15.1054 | -2.13495 1.33705 | 5801.39 6010.33
-48.0724 15.0498 | 0.632967 1.74195 | 2242.77 -4831.22
-47.5687 14.9705 | 0.766761 2.4653 | 556.874 9957.88
-47.0705 14.8719 | -1.27084 4.28933 | -16549.9 -13401.7
-46.595 14.7201 | -1.12868 5.26113 | 3978.26 -1380.53
-46.1266 14.5421 | -1.90656 0.436693 | 4252.77 10675.5
-45.6554 14.367 | -2.85841 2.6066 | 3676.08 -13207.1
-45.1827 14.1788 | -3.76075 1.03618 | 8119.39 7774.56
-44.7015 14.0057 | -5.70302 -5.43352 | -11477.1 9408.28
-44.227 13.8424 | -4.81672 -1.23022 | -6748.2 -12515.8
-43.7644 13.659 | -4.44708 -3.3653 | -7173.44 11743.6
-43.3079 13.4813 | -1.1288 1.01502 | 2798.02 14.0337
-42.8515 13.2991 | 1.90498 0.797374 | 11249.6 -4687.29
-42.3937 13.0999 | 1.48086 1.58132 | -10125.2 -9087.8
-41.9481 12.878 | 0.487159 0.8659 | 7731.75 3848.5
-41.4935 12.6661 | 0.790663 -0.473218 | 2485.72 1691.86
-41.0283 12.4763 | -0.926157 -0.514377 | -7309.42 179.6
-40.558 12.3116 | -1.20804 -1.502 | 3774.6 -2018.14
-40.0756 12.1803 | -2.653 -0.810469 | -2424.92 -1511.33
-39.5849 12.0966 | -2.51018 0.921012 | -3269.3 15265.7
-39.0914 12.0813 | 1.82205 0.673881 | -6813.99 -6063.24
-38.602 12.0918 | 1.56936 2.95074 | 4591.43 -8748.89
-38.1092 12.1082 | 0.764132 5.06462 | 12563.8 4805.31
-37.6087 12.1457 | -1.78774 -0.749496 | -5363.56 -3577.8
-37.1124 12.2007 | -3.97198 -2.56738 | -1161.52 -1106.86
-36.6212 12.2818 | -4.95178 -2.64807 | -1584.03 1717.45
-36.1387 12.4 | -2.30674 -3.55114 | -860.434 10677.9
-35.6663 12.5575 | 0.594115 -1.49123 | 1736.16 -11660
-35.1952 12.714 | 0.317499 0.155288 | -3415.97 -4406.4
-34.7268 12.8743 | -3.00099 -0.175371 | 10487.7 16029.8
-34.2555 13.0583 | -1.58378 3.11989 | 11183 -12847.5
-33.7766 13.2371 | 0.627941 2.56677 | -9337.21 12579.3
-33.31 13.4394 | -1.63437 2.26513 | -6228.12 7.45378
-32.8488 13.6409 | 0.844639 -0.0830346 | 796.347 -20432
-32.38 13.8093 | 3.30596 -0.582768 | -369.648 9581.12
-31.913 13.9864 | 6.22343 0.299675 | -3161.75 4830.87
-31.451 14.1773 | 2.85108 0.215919 | 10851.9 447.578
-30.9821 14.3683 | 0.351053 1.57786 | -4390.08 -295.137
-30.5149 14.5542 | 1.1128 1.23445 | -15209 -4605.28
-30.0534 14.7261 | -1.0772 -1.80807 | 9551.4 618.195
-29.5803 14.8787 | -1.42466 -1.06084 | 1140.97 -1352.98
-29.0995 15.0109 | 0.301701 -3.44091 | 626.887 3311.14
-28.6138 15.1299 | 0.118359 -1.44812 | 1585.24 324.646
-28.1228 15.2315 | 0.991484 0.0835609 | -521.089 -671.658
-27.6281 15.312 | -2.39621 -0.627813 | 567.654 3727.87
-27.1295 15.3703 | -2.25567 -4.99479 | -1746.16 -3790.37


-69.5154 5.75618 | 6.59908 0.855557 | 6291.48 1028.61
-69.0606 5.53984 | 3.30004 2.43978 | -10203.1 -1382.25
