66.1183 -69.3636 | -0.184578 0.96465 | -431.674 -787.955
66.3603 -69.8059 | -0.352707 1.35862 | -1381.83 -1104.61
66.5695 -70.2648 | -0.0496957 1.67225 | -1222.88 -930.08
66.7462 -70.7375 | 0.026772 1.45932 | -626.468 -416.977
66.8954 -71.2199 | 0.662948 1.33433 | -1282.64 -372.245
67.0244 -71.7082 | 1.36161 1.40965 | -777.4 35.5676
67.1451 -72.1984 | 1.85295 1.69588 | 1567.4 1453.74
67.2721 -72.686 | 2.14058 2.21495 | 1715.03 2405.44
67.413 -73.1683 | 1.2756 2.49416 | -1924.44 1637.87


20.4603 12.9467 | -1.37322 3.31842 | 1308.59 -1435.7
20.9495 13.0581 | -0.341043 1.17154 | 3211.82 316.221
21.4472 13.141 | 0.482487 -1.15688 | 4562.72 2527.77
21.9525 13.2011 | 1.08077 -2.52804 | 3795.97 1793.62
22.4637 13.236 | 1.01375 -1.26265 | 837.362 830.024
22.9768 13.2361 | 1.16972 0.101723 | -1600.38 -2909.81
23.4859 13.1862 | 1.31129 0.314362 | -3173.9 -4112.29
23.9837 13.0795 | 1.32507 2.49358 | -3446.03 -2189.22
24.4659 12.9235 | 1.78802 3.41168 | -2269.18 1885.04
24.9333 12.7345 | 1.56507 0.971999 | -2676 1411.65
25.3881 12.5231 | 2.31124 0.901033 | -1125.54 1028.14
25.8344 12.2977 | 4.08022 2.5228 | 57.5495 1327.94
26.2763 12.0654 | 4.37904 2.52892 | -675.683 952.334
26.7151 11.8293 | 4.59608 2.52955 | -784.987 627.958
27.1516 11.5907 | 4.50996 2.8574 | -449.512 -867.577
27.5872 11.3502 | 2.7816 2.05412 | 1513.27 279.536
28.0252 11.1119 | 1.01434 1.09078 | 1675.21 -1414.83
28.4671 10.8765 | -1.08485 -0.220857 | 1010.69 -2771.82
28.914 10.6469 | -3.17462 -2.65745 | 2455.72 3159.87
29.3696 10.4335 | -3.29793 -3.73176 | -1099.82 2147.53
29.8294 10.2338 | -2.63764 -3.23941 | -4705.68 -1489.37
30.2877 10.0388 | -1.97267 -2.99598 | -3689.45 249.906
30.7452 9.85022 | -0.386331 -1.3444 | -2543.97 -1821.66
31.2058 9.67341 | 0.989781 -0.252024 | 890.379 -233.437
31.6759 9.52284 | 1.1027 0.0247583 | 1993.56 4106.26
32.1576 9.41229 | 0.0535024 0.824546 | -418.233 677.75
32.6459 9.33601 | -0.67359 1.03884 | -339.249 -2743.96
33.1375 9.28308 | -0.873252 1.20303 | 1875.04 -1346.5
33.6327 9.2517 | -1.16325 0.495563 | 2886.27 1519.49
34.1311 9.2436 | -1.20984 -1.39637 | 403.888 -128.275
