-32.2896 -3.15217 | 0.139759 -0.627247 | 11490.9 -3307.4
-31.8676 -2.86892 | -0.530943 0.365683 | -5804.3 8186.1
-31.4751 -2.54578 | 1.53668 -2.08165 | -2816.47 -5408.37
-31.107 -2.20168 | 1.07909 0.834665 | -4938.69 -3402.69
-30.7595 -1.84405 | 2.6051 3.16911 | -2534.06 -4322.49
-30.4232 -1.4806 | 2.40907 2.72557 | 5159.26 2622.76
-30.0878 -1.11167 | -1.7081 3.15072 | -238.559 3306.79
-29.7539 -0.737927 | 1.01173 -0.107039 | 7424.73 -2594.15
-29.4143 -0.365782 | 2.68443 0.838371 | -6411.9 7133.96
-29.0837 0.0165527 | 0.161514 4.63917 | 2071.69 3562.31
-28.7478 0.397281 | -2.6975 4.0006 | 6429.81 -12021.6
-28.3945 0.756901 | -2.56413 2.15064 | -14507.9 2439.78
-28.0463 1.11299 | -0.830498 5.18286 | 5196.92 -235.038


-52.3533 -29.8614 | -1.06266 -3.92022 | -2031.3 3148.29
-52.0986 -30.2883 | -3.49383 -0.711473 | 5433.65 -2462.38
-51.8687 -30.7329 | -2.66342 1.93583 | -4375.05 -4021.96
-51.6749 -31.1964 | -0.323593 -0.479652 | -1114.89 -2219.26
-51.5077 -31.671 | -0.790276 -1.75243 | 6213.81 8207.03
-51.351 -32.1445 | -1.58282 0.86781 | -3824.85 5114.31
-51.2189 -32.6206 | 2.29333 1.14762 | -3747.05 -5120.03
-51.1149 -33.1056 | 1.45697 -0.791334 | -5378.3 213.734
-51.0245 -33.5929 | -2.14601 -1.64461 | 4678.92 258.021
-50.9109 -34.0757 | -0.675077 -1.18481 | 8443.75 238.67
-50.7568 -34.55 | 0.275712 0.815874 | -807.814 -8189.92
-50.5764 -35.0225 | 1.04285 0.165404 | 985.339 -10745
-50.3713 -35.493 | 2.00034 -0.700203 | 1717.8 6002.77
-50.1344 -35.9446 | 2.63721 -1.6917 | -1439.13 11122.9
-49.8694 -36.3711 | 0.279771 -4.03697 | -2908.03 2691.24
-49.5889 -36.7825 | -1.80369 -3.36702 | -8419.47 -2921.26
-49.3023 -37.1871 | -1.35342 -2.14257 | 5207.43 1565.45
-48.9911 -37.5741 | 0.650095 -0.647252 | 154.559 -1093.71
-48.6573 -37.9416 | 0.74414 1.47285 | -8870.75 2500.77
