45.0339 27.8515 | -1.73505 -2.1366 | -2640.07 3654.74
45.3418 27.4607 | -4.04604 -4.80891 | 2367.49 -1317.52
45.684 27.0987 | -3.63416 -3.5454 | 1454.91 7348
46.065 26.7799 | -2.14739 -1.32125 | 7320.27 -4068.21
46.4776 26.4931 | -0.887027 -0.440785 | -4118.48 -6075.9
46.9044 26.2277 | -1.19015 1.43574 | -7554.83 5239.47
47.3449 25.9961 | -2.47114 1.77465 | 9669.49 -5102.25
47.8096 25.8004 | -2.51499 -0.875755 | 3233.81 5098.72
48.2938 25.6523 | 0.0348838 -3.64486 | -7620.54 -1380.73


-45.6533 -88.7896 | 3.8078 -1.28314 | -1803.57 4186.12
-45.1576 -88.7162 | -1.89345 1.02105 | 17806.1 -6930.36
-44.6539 -88.6321 | 3.68043 -0.701918 | -14705.9 -2318.11
-44.1643 -88.5231 | 1.31204 -3.19611 | -4597.55 12011.1
-43.6885 -88.3721 | 1.50244 3.52278 | 721.515 -7770.4
-43.2164 -88.2126 | 2.94351 3.205 | 3905.61 8917.69
-42.7427 -88.0474 | 2.33926 -0.762381 | -4154.71 -9030.12
-42.2647 -87.9111 | -0.883062 -4.35176 | -1699.12 -3236.83
-41.7804 -87.8074 | -4.55511 0.644703 | 2644.77 3214.32
-41.2894 -87.7284 | 0.0706194 0.183843 | 2413.56 -5180.05
-40.7945 -87.6764 | -0.196203 -2.19465 | -13320.8 2273.54
-40.3075 -87.6323 | -1.4591 -1.32708 | -4428.13 16993.8
-39.8203 -87.5886 | 0.225626 -0.0280366 | 38550.2 -27413.5
-39.3087 -87.6066 | 3.65787 -2.53256 | -25657.1 15196.5
-38.813 -87.6349 | 2.83634 -0.913273 | -15825.4 2562.31
-38.33 -87.6782 | 5.60378 -1.0824 | 13683 -12640.4
-37.8399 -87.7477 | -6.64717 2.1608 | 19628.5 19362.5
-37.3357 -87.8079 | 0.279682 -5.10739 | -4613.19 -8738.65
-36.8391 -87.9059 | 8.43667 1.78628 | -17664.2 -11766
-36.3641 -88.0521 | -2.40064 6.92151 | 14631.4 26726.4
-35.8868 -88.2017 | -1.97016 -4.14003 | -643.215 -23958.9
-35.4315 -88.4203 | -1.78522 -3.87073 | -13464.7 -2135.12
-35.0051 -88.6834 | -0.473352 -1.56541 | 26099 13002.7
-34.5707 -88.9532 | 3.15455 1.04927 | -10848 -24402.2
-34.1605 -89.2659 | 1.90057 3.8204 | 3016.22 9156.3
-33.7499 -89.5734 | 0.884391 -0.77149 | 6305.85 22334.6
-33.3312 -89.8588 | 4.10058 -0.054525 | -19555.8 -15783.4
-32.9435 -90.176 | -1.71863 -2.19863 | 2521.11 11947
-32.5684 -90.5018 | 0.439176 -6.12932 | -3810.69 -9971.23
-32.2093 -90.8505 | -2.20743 -3.11615 | 12523 -6548.37
-31.843 -91.2069 | 2.97534 5.07677 | 18874.4 5800.36
-31.464 -91.558 | -1.53587 4.81537 | -38736.3 -4906.26
-31.1226 -91.9248 | -0.455684 5.57295 | 9884.84 9340.57
-30.7581 -92.2651 | -6.03967 -5.7106 | 19228.6 12428.4
-30.3555 -92.5661 | -1.52452 1.51161 | -16540.4 -16857
-29.9645 -92.8744 | 1.90197 4.73234 | -24692 26714.8
-29.584 -93.158 | 2.77061 -0.815352 | 10326.1 -9224.88
-29.189 -93.4365 | -3.27196 -4.50011 | 22947.4 -11654.4
-28.769 -93.7133 | 0.527746 4.15755 | -398.734 -16961.7
-28.3395 -93.9909 | -0.971426 3.60824 | 6834.58 20132.1
-27.8894 -94.222 | 1.86338 2.6512 | -40946.9 978.403
-27.4534 -94.4281 | 3.46405 1.62841 | 26693.7 14443.8
-26.9879 -94.5929 | -1.76561 -2.2852 | 16097 -35939
-26.5123 -94.7787 | -2.74126 0.0386162 | -34261.4 11163.2
-26.0474 -94.9311 | 0.43506 -6.56888 | 5971.59 -2794.2
-25.5641 -95.0112 | -3.22633 -1.41445 | 22262.7 18156.3
-25.0623 -94.9736 | -4.99519 1.73726 | -14008.2 322.125
-24.5794 -94.8543 | 2.65651 3.66134 | -7512.82 -6203.71
-24.114 -94.6958 | 0.327501 2.7801 | 6696.01 -1595.86
-23.6504 -94.5228 | 2.95367 -6.65512 | 7548.61 -14611.6
-23.1854 -94.3485 | 0.401123 4.54428 | -11293.6 16717.3
-22.742 -94.1267 | 1.88204 3.1441 | 16793.3 3089.91
-22.3007 -93.8809 | 0.751682 -1.20782 | -16510.6 -3096.64
-21.8741 -93.629 | 1.8345 1.61324 | 168.942 -9474.21
-21.4401 -93.3961 | 5.99661 -0.686722 | 13274.8 7166.09
-20.9881 -93.1733 | 1.2849 -0.674329 | 14699 7711.4
-20.5207 -92.96 | -0.394935 -10.3297 | -20161.4 -32616.3
-20.063 -92.7711 | 2.89584 -4.79993 | -5317.28 37157.4
-19.629 -92.522 | 2.1279 -2.27101 | 7952.97 -1741.17
-19.1911 -92.2683 | -6.77757 -3.16297 | 5913.87 -11025.9
-18.7342 -92.0472 | -4.2633 -1.91462 | 7322.53 -2051.55
-18.2619 -91.8515 | -3.93641 -0.0528176 | -8590.34 4937.91
-17.7926 -91.6609 | 3.60975 -0.554947 | -13566.4 4451.98
-17.3272 -91.4816 | 1.40955 -1.71342 | 8659.29 -17699.6
-16.8429 -91.3495 | 3.07301 0.180953 | 17786.4 20765.6
-16.3401 -91.2272 | 4.08533 5.02172 | 32.0918 -10258.7
-15.8295 -91.1446 | -5.81683 4.3631 | -12244.5 -412.81
-15.3236 -91.0949 | 1.66152 8.88342 | -2608.99 9241.91
-14.8199 -91.0757 | 4.54525 -4.49033 | -8709.07 -13289.9
-14.3261 -91.1241 | -6.19186 5.09006 | -10568 -198.935
-13.847 -91.2213 | -1.49189 -1.66346 | 6480.95 6515.14
