75.9095 -56.0397 | 5.09346 -2.45953 | 48092.1 -2562.78
76.378 -55.8135 | 2.26097 2.01963 | -18463.7 -21683.7
76.8546 -55.6437 | -2.75865 -3.22929 | -26523.5 17053.5
77.3107 -55.4594 | -4.90362 1.07443 | 10098.4 -1577.1
77.7723 -55.2783 | 2.65302 -4.42375 | 5028.31 -6747.02
78.2397 -55.106 | 3.16563 -1.83058 | -1160.9 -1752.59
78.701 -54.9174 | -0.463384 1.29199 | 4604 23289.2
79.1492 -54.6808 | 1.39701 -0.739671 | -5119.01 -14488.8
79.5887 -54.4426 | 3.61587 -0.81077 | -6322.72 -5180.94
80.0211 -54.2042 | 1.38248 -1.97398 | 5494.54 -283.105
80.4517 -53.9582 | 5.85663 -2.92559 | 1718.83 4212.93


-6.47871 19.3029 | 1.04315 1.1405 | 815.983 1303.67
-5.97767 19.318 | 0.0840567 -1.05499 | 2738.57 -6999.83
-5.47549 19.2903 | 0.0748024 -1.85342 | -2609.43 7326.27
-4.97652 19.2423 | -0.263314 -2.89548 | 1554.16 -5187.32
-4.48013 19.1683 | -1.03076 -3.97756 | -3022.62 8567.51
-3.98883 19.0831 | -1.60107 -1.14052 | -2953.64 526.014
-3.50589 18.9699 | -2.42641 -0.609349 | 127.681 -4720.54
-3.03487 18.8137 | -2.49912 -0.617537 | -2842.76 -1274.72
-2.57876 18.6198 | -2.36503 1.65622 | 4385.08 -4822.57
-2.12958 18.4007 | -3.03159 0.668467 | 3955.09 4711.2
-1.67959 18.1813 | -0.701206 0.00577838 | -5499.17 9115.44
-1.23267 17.9664 | -0.518862 0.338902 | 7346.6 -10314.1
-0.78824 17.7328 | -1.47152 -0.586666 | -2897.31 3035.62
-0.353118 17.4878 | -2.92355 -2.60422 | -8384.46 3354.29
0.0681779 17.2319 | -2.27632 -2.60067 | 1340.74 -2879.62
0.483067 16.9652 | -1.48738 -1.02997 | -3545.68 3516.59
0.895042 16.6993 | 0.545206 0.701516 | 1796.26 -1736.44
1.3121 16.4377 | -0.86658 -2.79453 | 1862.64 -7994.31
1.74113 16.1867 | -1.45843 -1.70074 | 11455.1 10335.5
2.19605 15.9747 | -2.81903 -2.22902 | 1793.15 -6286.7
2.66132 15.7796 | -1.17756 -0.181977 | -13651.9 -3633.08
3.1249 15.5991 | 1.10697 6.37526 | 4855.98 10345.6
3.60189 15.456 | -1.60064 7.40012 | 6467.47 -4772.1
4.08924 15.3308 | -3.0594 5.77796 | -3581.37 -8341.85
4.57975 15.2163 | -3.86657 3.1243 | 5435.92 4789.93
5.08119 15.1384 | -5.48495 1.94734 | 6476.9 -2043.78
5.59235 15.1026 | -5.6313 3.41076 | 900.443 1921.99
6.10457 15.1225 | -3.87168 1.16808 | -7107.54 7895.39
6.60483 15.2078 | -2.49968 -3.17841 | -9114.22 -4024.12
7.08846 15.3378 | -1.9799 -2.83723 | 5236.9 3039.95
7.56328 15.5039 | -0.706293 -2.6973 | -4074.64 -5285.23
8.02654 15.6884 | 0.782167 -1.49555 | -5283.89 -7380.71
8.47679 15.8882 | 2.62006 0.48075 | -4962.47 9125.1
8.91113 16.1192 | 0.927988 0.340037 | 3981.22 1882.37
9.34586 16.3583 | -1.50047 -0.578576 | 17710.3 -8228.07
9.79824 16.5833 | -2.2036 0.696277 | 54.9132 5919.44
10.2468 16.8212 | -0.0307073 1.87141 | -10138 -199.927
10.6776 17.0792 | 2.6348 1.9461 | -994.705 3310.39
11.0971 17.3547 | 0.712795 1.81985 | 1336.87 -1084.42
11.5157 17.6326 | -0.776053 1.50085 | 4722.66 -4346.91
11.9401 17.9027 | 0.131987 3.34319 | -8050.84 4598.53
12.3606 18.174 | -0.215475 1.80214 | 1720.83 -2412.61
12.7904 18.4314 | -0.659719 0.00966339 | 8381.33 1653.97
13.237 18.6698 | -1.3325 0.843433 | -2311.12 305.025
13.6928 18.8877 | 0.927167 -3.64049 | -3521.92 -5773.9
14.155 19.0797 | -0.313435 -5.25711 | -8353.21 1115.4
14.6183 19.2564 | -3.74574 -2.27193 | 7305.7 4222.74
15.0937 19.417 | -2.37676 -0.897483 | 11179.6 -656.631
15.585 19.5517 | -0.235083 -0.143104 | -7447.69 3097.24
16.0793 19.6618 | -1.84979 0.353819 | 4596.96 -7743.42
16.5818 19.7329 | -2.40283 -0.909526 | -4239.53 1275.6
17.0839 19.7806 | -3.11922 -1.73613 | -4202.8 2415.46
17.5829 19.8143 | -2.10229 2.34828 | -6750.84 3974.79
18.077 19.8331 | -1.62962 0.721184 | -4464.06 -6165.82
18.5676 19.8194 | -0.645349 1.3838 | 3480.72 1103.58
19.0582 19.7827 | 1.25697 0.331949 | -3057.27 8241.11
19.5442 19.7294 | -0.30094 -0.580004 | -7705.29 -1705.03
20.0206 19.6368 | -3.1292 0.888218 | 20489.4 -1453.08
20.4977 19.4952 | -0.588194 0.778465 | -7115.68 -8563.55
20.9524 19.2929 | 1.71571 -1.7958 | 1210.06 161.347
21.3917 19.0547 | 2.71192 1.66936 | 8151.01 -937.563
21.8281 18.8004 | 1.32241 2.95958 | -2352.88 3176.27
22.2613 18.5426 | 1.06618 0.356707 | 6409.08 -646.885
22.6971 18.2835 | 1.1666 -1.98655 | -9030.97 -1078.48
23.1261 18.0217 | 0.713736 0.00523745 | -824.444 990.55
23.5592 17.7693 | 1.33569 1.4652 | 9257.83 5849.35
24.0063 17.5373 | 0.165133 -2.32387 | -12623 -4381.66
24.4488 17.3088 | -3.0372 -2.67351 | 1634.04 1227.88
24.8982 17.0947 | -3.54543 -2.80903 | 2363.59 2539.67
25.3579 16.9014 | -0.508291 -1.37387 | -1889.76 -6627.53
25.8246 16.7231 | 0.315406 -1.4493 | 4743.15 4345.21
26.3048 16.5792 | 1.36942 -0.878528 | -6164.77 2006.55
26.7915 16.4692 | -0.350485 -4.41306 | 13563.1 -724.201
27.2928 16.3869 | -0.850745 -3.53975 | 3393.52 -5800.57
27.7997 16.3225 | -1.17406 0.506633 | -12342.8 -673.99
28.3014 16.2871 | -2.37402 -0.711798 | 849.435 11345.6
28.8027 16.2984 | -1.40186 -1.06335 | -5384.77 -10968.2
29.2987 16.3293 | -2.09828 -0.900405 | -1070.84 2486.18
29.7902 16.395 | -2.87771 0.936578 | 2558.78 1933.1
30.2761 16.4988 | -2.34053 4.38424 | -6088.88 -7353.59
30.7496 16.6349 | -1.72694 0.953848 | 5680.4 12732.1
31.2116 16.821 | -0.662746 -0.974956 | -629.292 -6004.84
31.6629 17.0286 | -0.602972 1.14711 | -2830.34 -5735.12
32.1041 17.2508 | -1.27217 1.418 | 5785.44 8132.22
32.5378 17.4978 | -3.03427 1.91841 | -339.326 -9662.67
32.9616 17.7561 | -5.44563 2.04901 | -47.2521 6222.62
33.3661 18.0449 | -3.16676 -0.0622486 | -7317.11 -2432.88
33.7443 18.3583 | -0.617187 1.89607 | -5119.8 -7488.25
34.1019 18.685 | 0.708895 4.63032 | -2454.03 5302.38
