77.1901 -56.8061 | 0.845393 0.46036 | -31021.6 9297.24
77.6753 -56.7428 | -1.78202 -1.96451 | -11898 -18948
78.1526 -56.6979 | 1.61053 2.95386 | 26544.5 10587.5
78.646 -56.643 | -1.18366 2.57261 | -3282.35 9543.26
79.1408 -56.5861 | -2.12158 1.40765 | 6828.64 -19647.8
79.6427 -56.5724 | 3.19001 3.93656 | 572.065 -6190.44
80.1472 -56.5674 | 2.63622 4.45595 | 7570.13 17558.9
80.6549 -56.5121 | 0.707459 2.61027 | -1004.75 13579.4
81.1584 -56.4138 | 2.40056 4.12309 | 5047.23 -24968.7
81.665 -56.329 | -1.74239 -3.29673 | -15710.2 7395.21


-36.0703 25.6502 | 3.08998 4.11769 | 8728.76 -188.208
-35.5651 25.5899 | 2.09183 -1.19927 | 1900.6 3225.46
-35.0664 25.4895 | 4.86394 -1.46361 | -4169.16 -7388.41
-34.5861 25.3324 | 4.78809 1.36889 | -14253.3 7486.8
-34.1339 25.1338 | 1.71245 2.37145 | -3137.46 -1161.81
-33.7034 24.8954 | 1.04476 1.62518 | 12844.7 -3170.92
-33.2797 24.628 | 1.28957 1.64584 | 2111.95 -3543.85
-32.867 24.3375 | 1.05088 1.18777 | -889.158 1852.36
-32.4645 24.0353 | 1.54752 1.71534 | -3255.51 6399.24
-32.0715 23.7285 | 1.18136 1.2373 | -2701.48 -999.747
-31.6898 23.4104 | 0.520408 0.160986 | 2025.25 -2382.72
-31.3151 23.0826 | 1.1522 -0.253411 | -4830.33 5002.14
-30.9476 22.754 | 0.632522 -2.5461 | -6517.76 -3912.46
-30.5827 22.4261 | 2.63495 -1.76373 | 2716.99 3569.19
-30.1969 22.1229 | 2.93145 -6.0587 | 8417.56 -1023.19
-29.7802 21.8527 | -0.874895 -3.54263 | 7553.67 -2181.45
-29.3386 21.6128 | -2.11977 0.178671 | -6680.36 -579.696
-28.8885 21.3962 | 0.665468 -0.328709 | -3933.09 956.388
-28.4309 21.2038 | -0.904992 2.4246 | 2337.56 -1026.76
-27.9627 21.037 | 0.16476 3.13802 | -4383.02 4376.7
-27.4888 20.8993 | 1.6399 1.55567 | -529.014 -6231.85
-27.0098 20.7793 | -0.799554 2.93983 | -2212.13 -2597.18
-26.5236 20.6891 | -1.07385 2.36801 | 17540.6 10098
-26.0198 20.6497 | 1.06936 -4.25059 | -494.687 -11248.8
-25.5145 20.6354 | 0.528906 -6.22464 | -17118.1 1876.92
-25.0204 20.6638 | -2.09633 -6.99994 | 9499.32 5543.66
