78.4962 -55.3877 | 1.81515 -0.318925 | -287.756 -16961.6
78.9914 -55.4101 | 2.47252 4.81793 | -9598.76 4753.66
79.4782 -55.4607 | -1.79821 1.55564 | 2587.02 10989.6
79.9645 -55.5227 | -1.00894 -2.23426 | 7775.42 -16908.3
80.4511 -55.6229 | -4.84679 6.25593 | -3604.89 -2345.45
80.9349 -55.7229 | -3.51587 1.20245 | -19943 20033.1
81.4141 -55.7732 | 2.18868 -2.6405 | 31944 -9858.6
81.9173 -55.8007 | -0.0140581 2.19193 | 13858.6 6428.66
82.4329 -55.801 | -2.68494 7.14965 | -12885 -11973.8
82.9418 -55.796 | -9.38884 -7.99819 | -7453.83 5564.75


-31.7266 27.8498 | -0.395961 -0.188155 | 339.9 408.214
-31.3073 27.5794 | 0.277243 1.18851 | -4060.7 6987.88
-30.9134 27.2808 | 1.27786 -0.660027 | 30.861 -6815.02
-30.5502 26.9418 | 0.805077 -1.0383 | 905.051 -3538.65
-30.2138 26.573 | -0.64887 -1.89303 | 114.32 3522.5
-29.8944 26.1913 | -1.02183 -0.594351 | 2178.1 4408.92
-29.5851 25.8042 | 0.847176 0.446677 | -6247.77 1246.41
-29.2923 25.4084 | 1.294 -0.823997 | 5973.97 1020.11
-29.0044 25.0063 | 0.41121 1.98425 | 1787.87 -9373.02
-28.7279 24.5893 | -0.832498 -0.464784 | 3311.89 4647.58
-28.4627 24.1672 | -0.290941 -1.0047 | -15511.4 5113.03
-28.2257 23.7381 | -2.80045 0.980891 | 1260.69 -1863.8
-27.9871 23.3083 | -0.203173 -0.0677382 | 17118.7 -2958.8
-27.7196 22.8866 | 2.3898 3.00598 | -4888.81 -1995.09
-27.4494 22.4665 | 0.579457 4.89384 | -6369.29 3039.05
-27.1831 22.0488 | -1.33604 2.57506 | -1873.29 1.72509
-26.9107 21.6354 | -1.27622 2.17924 | 8159.82 -2008.55
-26.6163 21.2306 | 0.0975458 -0.965814 | 5537.95 -12174.1
-26.3042 20.828 | 0.806302 -1.44582 | -10876.7 4290.62
-25.9799 20.4417 | 4.21554 1.53696 | 10337.1 1341.29
-25.6193 20.0859 | 8.06595 2.56601 | -2880.69 7912.49
-25.2334 19.7652 | 2.4436 0.346343 | -10887.4 -6123.87
-24.8352 19.4647 | 0.445509 2.99848 | 13638.7 1179.2
-24.4035 19.2014 | 1.70103 4.00509 | 1820.68 -1277.43
-23.95 18.9739 | 1.76512 2.95265 | -9625.94 2448.57
-23.4866 18.782 | 4.27564 1.2098 | 3536.9 -2025.2
-23.0079 18.626 | 3.96251 -1.43813 | 3935.24 -2346.15
-22.5155 18.5122 | 1.48818 -1.49982 | -9012.41 9611.06
-22.0204 18.4545 | -0.881639 -2.95892 | -2997.64 -9013.57
-21.5236 18.4327 | 0.0612783 -1.24238 | 12419.7 5984.02
-21.0189 18.4624 | 0.410889 -1.11295 | 3751.29 3023.23
-20.5161 18.5356 | -2.72747 0.83372 | -17910.9 -702.241
-20.0287 18.6341 | -0.955833 -0.879793 | 7048.51 -3544.15
-19.5388 18.7354 | 1.81554 1.04558 | 6327.7 -8612.72
-19.0447 18.8344 | -0.878731 1.28997 | -3211.55 15830.2
-18.5558 18.9625 | 2.01832 -2.42625 | 6132.82 -1313.13
-18.063 19.09 | 4.26851 2.61268 | -4245.81 -6090.57
-17.5676 19.1962 | 3.65051 0.778635 | 8967.48 2538.09
-17.0627 19.281 | 3.55904 -1.9465 | -2937.93 -5104.37
-16.5571 19.3363 | 0.85679 0.147276 | -16180.5 -171.947
-16.0612 19.3709 | 1.54458 1.03796 | -3549.68 1829.17
-15.5669 19.3901 | 1.28342 1.22707 | 17044.1 876.776
-15.061 19.3914 | -0.172682 -0.795318 | -794.126 337.71
-14.5542 19.3697 | -1.70549 -1.88296 | 754.587 -2258.04
-14.0497 19.3183 | -2.07757 -0.639354 | -7040.24 8010.71
-13.5544 19.2387 | -1.86588 -1.20538 | -209.269 -11080.3
-13.071 19.1035 | 0.957571 2.18276 | -735.146 634.756
-12.6015 18.929 | 0.8478 4.72917 | -1922.97 7351.4
-12.1462 18.7305 | -0.671465 4.12823 | -10207.6 2567.78
-11.7132 18.5016 | 0.533118 1.2289 | 9875.71 -481.612
-11.2939 18.2395 | 4.34879 2.44885 | 755.865 -2137.14
-10.9027 17.9369 | 5.79752 2.32945 | -20037.4 666.293
-10.555 17.599 | 0.199394 0.607452 | 13941.4 9920.17
-10.2099 17.2557 | 1.3929 -0.262997 | 10399.3 -8552.55
-9.87444 16.8898 | 1.36492 -0.91279 | -4193.98 -4626.8
-9.57128 16.4941 | 0.338396 -1.2878 | -4746.25 -2166.9
-9.2996 16.0755 | 1.24284 0.979523 | 3483 -4821.63
-9.03658 15.6469 | 1.33739 1.83439 | 8946.2 9173.85
-8.76349 15.2255 | 0.761235 0.353299 | -3344.36 -7653.29
-8.49855 14.7949 | 3.79622 0.307168 | 242.76 -6068.56
-8.23966 14.3578 | -1.54958 -2.9855 | -2307.4 16187.4
-7.98076 13.9331 | -3.18022 -4.04955 | -6059.24 6326.77
-7.72825 13.5114 | 0.597289 -0.0972872 | 6326.5 -11987.3
-7.47624 13.0777 | -2.04564 -0.736412 | 6784.83 -13617.1
-7.22336 12.6309 | 1.98809 -0.0579909 | -2070.29 -3209.94
-6.97196 12.1822 | 5.11538 1.84199 | -9317.23 18742
-6.71571 11.753 | 2.75697 2.6855 | -741.057 2854.08
-6.44012 11.3403 | 0.61289 2.93508 | 6671.31 -3254.71
-6.13604 10.9425 | -3.65055 -2.81869 | 1060.04 -6579.64
-5.81103 10.5564 | 0.649043 -2.2289 | -6123.89 3720.05
-5.46746 10.1926 | 0.959201 0.720139 | -331.294 5631.17
-5.09592 9.86049 | 1.68585 3.2852 | 10904.4 -9520.04
-4.6921 9.55297 | 1.3137 2.04481 | 487.695 2729.73
-4.26662 9.27774 | -1.57499 1.38272 | -12509.9 4852.74
-3.83429 9.03313 | -0.721746 0.319871 | -9195.24 -1829.09
-3.39391 8.81781 | -2.51343 -0.312137 | 2272.82 2831.73
-2.93272 8.64926 | -5.12836 -3.70504 | 12200.5 -3605.97
-2.44704 8.52961 | -3.059 -1.26529 | 4380.18 4122.05
-1.94766 8.4621 | -0.0428772 1.17339 | -5163.19 -6823.96
-1.44696 8.42978 | -2.09777 -0.672242 | 1223.79 3590.91
-0.944526 8.44386 | 0.579178 -2.29847 | 5585.4 4096.99
-0.441488 8.50244 | 4.86262 -0.844483 | -3483.05 -1492.55
0.0550305 8.59027 | 4.13449 0.238494 | -4746.22 -1788.57
0.544345 8.69803 | 2.82952 2.99429 | 5707.14 -2566.63
1.03288 8.82182 | 1.56064 4.63154 | 2706.28 511.446
1.51575 8.97103 | -0.997027 2.76043 | -9762.82 4620.42
1.98265 9.15515 | -0.619152 2.8887 | 12031.1 3249.77
2.44946 9.36175 | -2.19547 1.46326 | 4787.63 3144.49
2.9159 9.57978 | -2.37072 2.03183 | -9296.47 -3374.35
3.37827 9.79399 | 0.863649 3.95229 | 8107.29 -395.274
3.85046 9.99352 | -0.0478865 1.79375 | -5425.99 -4566.1
4.32498 10.1726 | 1.33703 -3.43996 | -13042.3 -455.603
4.79619 10.3351 | -0.294716 -0.937179 | 6230.8 2248.07
5.27736 10.4744 | -0.478413 -2.68498 | -4538.1 -1819.15
5.76506 10.5777 | 2.3362 -3.08185 | 6303.84 -1572.47
6.26322 10.6378 | 0.227335 -2.13497 | -4901.08 -236.001
6.7625 10.6559 | -0.609701 -0.279626 | 4858.72 -1034.87
7.26471 10.6347 | 0.925039 -0.39983 | 2998.83 1507.15
7.76485 10.5807 | -2.32844 -4.01656 | -18472 3831.26
8.24796 10.4957 | -1.7275 -3.73441 | 12230.8 -3190.53


-28.7843 -67.0852 | 1.14814 -2.88628 | -2903.05 281.069
-28.3299 -67.2853 | -1.19482 -3.26766 | -4592.85 3403.53
-27.8695 -67.4625 | -2.16923 -5.15371 | 3995.97 -3379.4
-27.3976 -67.618 | -2.87579 -0.486163 | 5668.59 -4201.25
-26.9125 -67.745 | -3.03892 1.23916 | -1932.42 1895.32
-26.4189 -67.8257 | -2.71913 0.172004 | -4921.9 6122.93
-25.9217 -67.8492 | -3.15772 3.00104 | 12740.8 2523.73
-25.4154 -67.8287 | -2.33351 1.11712 | 4170.32 -13656.6
-24.9072 -67.7874 | -2.35196 0.791182 | -6698.49 9486.35
-24.4094 -67.6937 | -1.83041 0.561331 | -828.646 3630.13
-23.9236 -67.5533 | -2.17206 -0.332625 | -476.803 -3514.48
-23.4491 -67.3857 | 0.602247 -1.57862 | -10309.7 -5453.36
-22.9911 -67.1988 | 4.30377 -2.88779 | -2602.81 -1298.94
-22.5452 -66.9918 | 0.640073 -0.687256 | 4787.37 -2465.08
-22.1066 -66.7641 | -0.587802 1.62505 | 5937.26 4486.7
-21.6813 -66.5029 | 0.43582 2.37784 | -3057.12 2589.64
-21.2814 -66.2051 | -0.139407 0.732971 | -4836.08 -4592.33
-20.9075 -65.8804 | 0.25995 -0.732975 | 5532.38 9988.42
-20.55 -65.5293 | -1.36129 -0.760943 | 2783.9 -10605.3
-20.2019 -65.1752 | 1.09041 1.57816 | -17053.1 -7779.38
-19.8799 -64.8128 | 1.54195 2.55337 | 8907.26 -280.844
-19.5628 -64.4409 | -3.17457 0.588243 | 6432.76 17012.4
-19.254 -64.0456 | -2.75149 2.07956 | -325.854 6830.82
-18.9486 -63.6413 | -0.14337 0.343607 | 4772.47 -11294.2
-18.6287 -63.2538 | 1.52346 -1.38741 | -6120.43 -6520.34
-18.3056 -62.8777 | 3.22555 -0.264976 | -4194.83 5407.28
-17.9828 -62.5008 | 2.60387 1.22946 | -1332.02 8928.91
-17.646 -62.1329 | 5.0256 -0.106343 | 7258.51 -22017.5
