-39.2931 -4.80629 | -0.30897 -3.46974 | 1160.88 -332.442
-38.854 -4.57058 | 0.695798 -5.11569 | 6133.89 -5096.1
-38.4038 -4.34906 | 1.04628 -0.514125 | 8107.15 1936.33
-37.9451 -4.12965 | -2.01948 -0.742912 | 1701.24 9836.17
-37.4885 -3.89645 | -2.95212 -0.189969 | -7326.31 -2106.9
-37.037 -3.66422 | -2.74412 0.958204 | -1445.73 -8147.05
-36.5822 -3.44803 | 1.65722 1.16358 | -676.895 2812.73
-36.1249 -3.23833 | 3.23527 1.48745 | -3463.64 4518.74
-35.6649 -3.0375 | 0.0427542 0.751358 | -457.666 -4202.59
-35.1931 -2.86803 | -1.68209 -0.0750865 | 11119 -3536.55
-34.7025 -2.73755 | 1.46209 -2.5455 | -544.72 -3701.29
-34.2069 -2.63297 | 0.295362 -5.59255 | -13625.8 14805.9
-33.7188 -2.52668 | -3.7255 -6.87978 | 3823.99 -8879.97


-60.5273 -35.2041 | -0.697515 -1.02686 | 4560.24 -1556.1
-60.1896 -35.5769 | -4.82598 0.201248 | -4053.72 4434.29
-59.8675 -35.9573 | -1.70504 -0.54098 | -4567.17 -782
-59.5637 -36.3486 | 0.397664 -3.95493 | -2397.87 5097.89
-59.2697 -36.7416 | -2.25085 -5.97171 | -1527.82 3954.9
-58.9778 -37.1332 | -1.17454 -2.50733 | 2929.01 -9145.81
-58.6801 -37.5283 | -1.17652 -0.473732 | 6339.33 -2812.77
-58.3656 -37.9148 | 0.171899 0.324422 | -6678.74 12198.5
-58.041 -38.2814 | 2.64471 0.673191 | -2992.36 68.4199
-57.7103 -38.6398 | 1.4615 -1.5129 | -783.096 -12405.6
-57.3702 -38.9978 | 0.93925 1.17068 | 8478.2 3621.61
-56.9997 -39.3299 | -0.2998 1.43573 | 6028.67 1324.9
-56.6031 -39.6363 | 0.813682 1.57024 | -4602.03 -9517.18
-56.1975 -39.9334 | -0.236734 0.659565 | -1351.13 4331.45
-55.7765 -40.204 | -1.08139 -3.32115 | -398.992 340.793
-55.3373 -40.443 | -0.18473 -4.55597 | 1679.06 866.361
-54.8783 -40.6449 | 0.890314 -1.32638 | 5969.41 -246.92
-54.4002 -40.8106 | 0.265218 0.962032 | 2527.99 -7915.88
-53.9094 -40.9465 | 0.0453672 0.466526 | -4119.63 10083.8
-53.4104 -41.0304 | 0.492462 -1.64394 | 4571.99 4048.8
-52.9037 -41.0755 | 1.05337 -1.38164 | 1303.77 -20555.7
-52.3945 -41.1107 | 1.36892 -0.85844 | -3322.5 18669.3
-51.8872 -41.0839 | -2.52072 -0.578306 | -2148.82 6819.98
-51.3846 -41.0135 | -3.33595 2.46638 | 5903.23 -8288.89
-50.8793 -40.9428 | 0.609511 0.851907 | -1491.25 -7892.37
-50.3745 -40.8807 | 0.45247 -2.46291 | -3866.27 -1406.5
-49.8746 -40.8064 | 0.647734 -0.611448 | -28.1517 5360.24
-49.3818 -40.6948 | 0.964901 2.83274 | -233.256 8394.57
-48.8995 -40.5408 | -0.0510206 1.16125 | -3542.64 -3878.22
-48.4254 -40.3698 | -0.655154 -0.0127139 | 4331.81 -3763.64
-47.9512 -40.1934 | -0.0754909 2.36213 | 2321.58 6582.05
-47.4783 -40.0054 | -0.930969 3.82796 | -5593.76 -974.172
-47.0074 -39.8209 | -1.38412 2.1511 | 4801.74 -4233.45
-46.5284 -39.6553 | -0.707123 0.586777 | -5851.92 3191.92
-46.0469 -39.507 | -0.14173 -1.35777 | 396.392 -4904.86
-45.5576 -39.3909 | -2.53251 -1.98549 | 3247.37 -6788.88
-45.0607 -39.3044 | -2.60265 -3.69455 | 2149.04 11574.1
-44.5615 -39.2163 | -0.194906 -0.759385 | -1375.67 -3065.53
-44.0629 -39.1393 | -0.878117 1.24765 | -14450.8 35.9095
-43.5725 -39.0745 | -2.73456 -0.522867 | 2574.72 -1992.74
-43.0797 -39.0282 | -2.82379 -1.92584 | 3825.49 47.8033
-42.583 -38.9983 | 0.055107 -1.45919 | -3385.93 2450.65
-42.086 -38.9809 | 0.182573 -0.29406 | 12761.7 1488.95
-41.5798 -38.9818 | -2.13941 0.79369 | 2050.64 -2093.92
-41.0721 -39.0117 | -3.56893 -0.138932 | -4062.13 -1761.77
-40.5701 -39.0736 | -1.62992 0.393911 | -2491.77 -2427.76
-40.0758 -39.1633 | -0.00400156 4.55212 | -13203.7 3136.88
-39.5942 -39.2648 | -2.15631 1.51659 | -901.318 7159.4
-39.1153 -39.3668 | -3.92881 -3.98634 | 5973.04 -926.832
-38.6359 -39.4846 | -0.954663 -0.0604617 | 890.443 -6368.54
-38.1617 -39.6319 | 1.15697 3.49514 | 2903.61 -3873.45
-37.6903 -39.7989 | -1.04781 1.07424 | 1283.59 -933.774
-37.2164 -39.9642 | 0.306207 0.139513 | 6260.03 9104.86
-36.7325 -40.105 | -0.40974 -2.61353 | -4926.46 -4830.83
-36.2487 -40.2369 | 0.853867 -0.713341 | -5611.35 2463.47
-35.7653 -40.3529 | 1.92075 0.527098 | 2749.67 953.646
-35.2773 -40.4519 | 0.97462 0.624874 | -512.997 -1228.06
-34.7878 -40.5377 | 0.03044 0.99065 | -8218.28 88.2145
-34.3014 -40.6094 | -0.111693 -0.900029 | 2788.41 3457.49
-33.8115 -40.6638 | 0.163082 -3.432 | 4726.19 -3577.27
-33.3175 -40.7131 | -0.0292044 -0.590711 | -468.515 -4441.86
-32.8229 -40.7578 | -3.14569 0.507501 | -5309.38 992.294
-32.3293 -40.7812 | -2.55118 -0.711704 | 10347.7 -793.683
-31.8284 -40.771 | -0.668692 -0.770731 | 2807.51 2265.1
-31.3288 -40.7128 | 2.63153 0.242767 | -9387.93 5965.96
-30.8434 -40.6021 | 4.42957 1.34087 | 2009.36 -10095.4
-30.3667 -40.4624 | 0.975218 2.54277 | -1332.96 5057.88
-29.9039 -40.2787 | 0.293222 3.56674 | 9939.38 -84.7631
-29.4514 -40.0565 | 0.495656 3.47812 | -884.293 1574.97
-29.0225 -39.7912 | -1.43559 1.55358 | -9094.31 3348.1
-28.6266 -39.4847 | -2.86797 2.97286 | 4755.43 -5761.44
-28.2471 -39.1592 | -1.72789 1.33313 | -1985.83 -1837.72
-27.8875 -38.815 | 1.2433 2.26549 | 273.315 -2562.62
-27.5486 -38.4513 | 1.19754 2.18051 | 4477.97 7503.08
-27.2342 -38.0598 | -1.80391 -0.721526 | -8338.74 -122.554
-26.9523 -37.6471 | 0.158102 -1.37785 | 2452.18 -2637.27
-26.6824 -37.2267 | 0.0457423 -0.0398521 | 7064.29 4863.56
-26.4132 -36.8005 | -0.917227 -1.55117 | -5090.94 -4912.65
-26.1518 -36.3752 | -0.0511638 -3.64639 | -5035.95 -5702.79
-25.8954 -35.9539 | -2.04584 -1.73302 | 1138.08 -3820.45
-25.6337 -35.5377 | -1.50814 2.62108 | 5619.81 10682.2
-25.3643 -35.1171 | 1.7903 1.46336 | -6206.36 4248.73
-25.0907 -34.699 | -0.140889 -0.668654 | 984.575 -12876.4
-24.7927 -34.3073 | -0.856647 -1.5126 | -1172.29 -5097.27
-24.473 -33.9385 | 0.826487 1.24248 | -5742.5 6662.61
-24.1422 -33.5793 | 2.44845 3.72192 | -1758.47 1996.97
-23.7881 -33.2416 | 0.365984 2.40356 | 8936.24 3766.6
-23.3931 -32.9418 | -0.871314 0.414138 | 4392.6 463.065
-22.9596 -32.693 | -0.628731 2.70982 | 1272.19 1539.46
-22.4974 -32.4998 | -1.81815 2.24152 | -4948.72 -5678.17
-22.0177 -32.3695 | -0.829973 1.77834 | -743.751 311.58
-21.5271 -32.2896 | 1.03687 2.10412 | 6618.17 6540.95
-21.0271 -32.2468 | -1.8802 2.73433 | -3123.01 -283.002
-20.5274 -32.2504 | -4.24331 1.67887 | -3598.35 -10131.6
-20.0336 -32.3078 | -3.83303 1.43785 | -2994.23 10366.3
-19.5461 -32.3834 | -2.35709 -0.285593 | -2761.78 4619.57
-19.0651 -32.4804 | -1.23015 -0.716255 | -587.269 -9899.74
-18.5916 -32.6166 | -0.693996 -3.66524 | 11885.9 6941.38
-18.115 -32.7696 | -1.14167 -3.27944 | 6644.16 -10121.9
-17.6412 -32.9536 | -3.60496 3.54891 | -8688.1 5949.17


-6.16082 -39.801 | 5.01714 -5.95525 | 5043.98 -3330.4
-5.68753 -39.6298 | 0.99739 -1.41499 | -2716.65 6651.8
-5.21888 -39.4488 | -1.41464 1.09505 | -3965.87 -1412.68
-4.75329 -39.2718 | -1.05808 4.27965 | -10253.3 -7861.16
-4.2901 -39.1128 | 0.843236 4.72136 | 5461.13 10050
-3.81978 -38.9653 | 2.31177 2.42153 | -3051.73 -12271.7
-3.34392 -38.8579 | 1.28059 -4.21941 | -14664.5 1721.71
-2.87316 -38.7718 | -0.299404 -0.541967 | 4683.43 9104.45
-2.39502 -38.6996 | -1.14788 6.75377 | 21396.7 -6451.48
-1.89757 -38.6658 | 0.107162 0.518789 | 422.73 4345.51
-1.39606 -38.6591 | -0.290953 -0.760371 | -961.268 2209.84
-0.895189 -38.6836 | 0.79767 2.2115 | 2077.57 -5509.72
-0.397347 -38.7514 | 1.07202 -1.73308 | -6392.43 5889.7
0.0903843 -38.8528 | 0.627905 -0.566464 | 3679.22 -5903.2
0.569629 -38.9977 | 0.840609 -1.32578 | -1443.49 3111.59
1.03745 -39.1747 | -0.332431 -2.02183 | 3904.51 -2823.49
1.49573 -39.3834 | -1.45849 -0.0699849 | 422.132 -5404.55
1.94388 -39.618 | -1.39251 -2.19325 | 440.563 8180.31
2.38926 -39.8557 | 0.712253 -0.318826 | 8469.04 -5772.86
2.83478 -40.1048 | 0.428418 0.411511 | -8533.09 3198.68
3.2688 -40.3613 | -3.78679 0.69698 | -7377.23 6858.65
3.6919 -40.6208 | -3.75531 -1.14407 | 850.321 -317.606
4.10748 -40.8906 | -1.40141 -0.961822 | -741.28 59.8896
4.51254 -41.1741 | -2.29243 2.51577 | -3317.86 1259.46
4.90427 -41.4723 | 0.0147298 2.53632 | -1280.2 -5499.43
5.28726 -41.7855 | -1.69662 -0.8849 | 14748.5 1957.55
5.67963 -42.0973 | -0.639791 0.0943326 | -11417.5 -3657.15
6.06061 -42.4156 | 0.157021 -0.00504587 | -10997.8 9132.82
