75.9079 -56.1332 | -0.383904 -0.322088 | -5795.13 -15252.6
76.3821 -55.9807 | 0.707952 2.88119 | 909.687 -5955.18
76.869 -55.8746 | -0.471732 -1.0582 | 3899.9 21933.5
77.3637 -55.7722 | -0.913204 3.83618 | 14240.4 -15306.6
77.8727 -55.7121 | 0.873842 -2.4174 | -13362.1 -3013.41
78.3753 -55.6698 | -0.983942 -3.75377 | -6042.04 13607.8
78.8726 -55.6129 | 3.52059 -2.07875 | 7162.47 -12525.2
79.3749 -55.5646 | 3.06882 -3.4987 | 9200.27 4845.72
79.8798 -55.4967 | -1.32602 3.47739 | -22100.9 4023.64
80.3659 -55.3975 | 2.16594 2.63244 | 7855.42 -3403.8


23.7375 13.5887 | -0.0800861 0.940464 | 1411.71 6117.07
24.2058 13.7715 | -0.665956 0.487835 | -800.23 -7490.82
24.6893 13.8981 | -0.778201 -3.66856 | -4241.19 -4511.44
25.1797 13.9728 | -0.903715 -4.4568 | -2721.04 4664.8
25.6724 14.0167 | -0.557519 -3.83052 | 3237.96 2264.23
26.1696 14.0336 | -0.897619 -2.65329 | 6151.7 -4094.04
26.6725 14.0198 | -2.25902 -1.17357 | 6830.84 2888.31
27.1802 13.9884 | -1.99448 -0.363246 | 784.295 -743.467
27.6876 13.9402 | -0.359848 3.33852 | -3523.22 -1283.85
28.191 13.8782 | -0.671123 4.07264 | -2380.51 5274.58
28.6915 13.8114 | -1.39132 2.74871 | 2422.22 2200.85
29.1901 13.7287 | -1.0098 0.838773 | -3025.83 -7066.06
29.6791 13.6098 | 0.446999 -0.399363 | -5482.4 9008.21
30.1537 13.4638 | 0.157211 -1.14185 | -5527.36 -3897.83
30.6069 13.2705 | -0.716046 -1.66933 | -112.256 -5203.29
31.0402 13.0327 | 0.124452 -1.76564 | 5195.32 4876.17
31.4636 12.7731 | -0.484249 -0.587501 | -881.766 -8236.3
31.8755 12.4903 | -1.03889 0.510392 | 1311.41 4511.22
32.2886 12.2096 | 0.486543 1.05106 | 4816.04 5786.93
32.7088 11.9387 | 1.07636 1.48004 | -6095.25 -9240.67
33.1249 11.6607 | 1.86612 1.97624 | 3667.01 2619.98
33.5514 11.3942 | 1.62574 4.9568 | 11277.8 -2130.78
33.9955 11.143 | -0.806571 4.03313 | -4371.9 -1650.21
34.4451 10.9049 | -3.14839 -0.265466 | -5082.08 3099.48
34.9002 10.6866 | -3.62425 0.514551 | -328.421 -6479.91
35.3664 10.4909 | -3.04681 0.99966 | 4804.86 4428.45
35.8523 10.3466 | -3.48456 -0.209398 | -2347.91 6623.27
36.3491 10.2652 | -4.3197 -0.474621 | -9703.2 -2484.23
36.8448 10.2357 | -4.36732 -0.463237 | -878.078 -505.469
37.3394 10.2588 | -5.06716 -1.65637 | 3029.86 3290.92
37.8305 10.3351 | -3.71636 0.0630424 | -1564.12 -5219.43
38.3129 10.4503 | -3.29004 0.427401 | 3151.95 -1304.26
38.7845 10.6082 | -3.89739 0.0320856 | -980.811 3495.27
39.2356 10.8171 | -1.87557 0.355522 | -5869.34 1494.18
39.6611 11.0691 | 2.28 -2.97045 | 3032.78 -2501.11
40.0729 11.3444 | 1.01201 -0.769741 | 50.6387 915.319
40.4758 11.6344 | -2.89029 1.96144 | 2550.04 5485.69
40.8795 11.9296 | -3.05816 0.681682 | 5517.4 -6343.83
41.2963 12.2073 | -1.45269 0.465018 | -3543.39 -2895.11
41.719 12.4713 | -1.75951 -0.347341 | 1615.78 2478.36
42.1456 12.7312 | -0.0617778 -1.96281 | -3493.43 -452.432
42.5714 12.9892 | 0.409185 -1.71674 | 1234.49 2383.95
42.9996 13.2456 | -1.62416 -2.34611 | 1570.32 -227.367
43.4332 13.4941 | -0.61314 -3.18196 | -6423.02 620.673
43.87 13.7303 | 0.418069 -2.31936 | 4603.43 220.723
44.3223 13.9415 | 1.05823 -1.55014 | 3550.11 -1960.1
44.7911 14.1188 | 2.35048 -1.97821 | -1486.67 2321.82
45.2707 14.2646 | 0.283637 -1.33155 | 1759.9 -4084.14
45.7604 14.3721 | -1.19848 -0.0263588 | -4655.13 79.5891
46.2527 14.4514 | -2.74939 0.910527 | 2197.14 7368.69
46.7495 14.511 | -3.27792 1.5188 | 1075.27 -2243.87
47.2498 14.5314 | -2.54674 -1.55268 | -3648.06 -4650.97
47.7473 14.5028 | -4.9431 -5.12898 | 1246.7 5079.65
48.2407 14.4352 | -5.46424 -5.36765 | -2385.35 116.149
48.723 14.32 | -3.54988 -5.58842 | -3295.67 -3663.45
49.1871 14.1522 | -2.59988 -3.56289 | -1226.07 9369.02
49.6319 13.9474 | -1.36118 0.122741 | 701.175 3684.09
50.0491 13.6926 | -4.36965 -0.0025637 | 2514.49 -16287.5
50.4251 13.3676 | -3.8569 -0.400121 | 5646.58 1589.51
50.7668 13.0023 | -2.59794 -2.04583 | -2408.03 7715.41
51.0712 12.6112 | -4.98758 -2.90684 | -656.607 381.092
51.3347 12.1922 | -3.33954 -1.73842 | -2049.46 -6780.3
51.5571 11.7446 | -2.5747 0.141793 | 4840.41 -9130.73
51.758 11.277 | -2.66728 2.85468 | 8114.16 -4157.69
51.9526 10.8003 | -0.235336 4.16696 | -6366.53 -503.933
52.1328 10.3192 | -2.11296 3.83369 | 630.64 5561.78
52.3132 9.84354 | -1.53835 2.61975 | -1776.5 12313.9
52.4982 9.38031 | 1.46226 2.70666 | -8973.08 2755.83
52.6852 8.92391 | -1.057 2.4876 | 4439.65 -164.57
52.8985 8.47896 | -1.72878 2.51839 | 3904.75 2396.66
53.1431 8.05036 | 0.660315 4.24142 | -4433.64 -2467.8
53.4061 7.63239 | 1.40095 2.74248 | 3806.82 -827.976
53.6924 7.22697 | 2.44712 1.28159 | 1234.89 -2944.56
53.9955 6.8305 | 2.29101 1.72309 | -1589.01 -3976.86
54.3105 6.44116 | 1.65163 1.86544 | -741.729 1792.83
54.6426 6.06708 | -0.197898 1.60573 | 1943.17 -1552.58
54.9972 5.71164 | -3.01146 -1.52102 | 1124.33 -3296.85
55.3764 5.37945 | -1.92605 -2.67024 | -1148.25 2659.67
55.7828 5.08338 | -0.99963 -3.07461 | 3696.55 5329.91
56.2185 4.83 | -0.829809 -0.634698 | 7707.96 -6359.24
56.6763 4.60237 | -1.75556 2.64489 | 305.407 -6424.61
57.1463 4.39525 | -2.10352 -0.888587 | -3311.47 8034.01
57.626 4.22599 | -0.0874599 -2.64807 | -9997.57 2475.18
58.1074 4.0893 | -1.19915 -2.20741 | -2394.96 -1039.43
58.5933 3.98026 | -3.38786 -0.668229 | 2849.47 3750.77
59.086 3.9004 | -3.4087 1.16139 | -55.6572 -3244.58
59.5818 3.83461 | -0.201927 -0.598628 | 3718.03 -3940.07
60.0823 3.77966 | 0.729729 -1.17117 | 4599.68 6084.4
60.5876 3.74639 | -1.76383 2.11487 | -4498.19 1438.6
61.0903 3.72078 | -2.25621 3.53257 | -2003.08 -4731.26
61.5904 3.68386 | -1.42494 2.37764 | -1608.74 -257.763
62.0874 3.6359 | -0.407571 2.69438 | -6235.6 -610.619
62.5791 3.57903 | 1.33187 2.44921 | 282.017 109.014
63.0709 3.51998 | 2.43767 -1.23119 | 9491.91 6547.9
63.5688 3.46489 | 1.42081 -1.55213 | -2184.18 -1259.7
64.0626 3.39139 | -0.236591 0.676089 | -10326.9 -3428.7
64.5431 3.28406 | -0.533238 0.00298284 | -1327.96 2950.34
65.0143 3.14819 | 0.675874 -0.989244 | 3519.18 -4506.94
65.4789 2.98123 | 2.24894 0.892684 | 4922.7 6570.42
65.939 2.79668 | 3.513 1.85987 | 2069.86 -4766.2


-22.1635 -61.8642 | -5.75384 2.70141 | -2953.98 -4784.94
-22.2079 -62.3682 | -1.45165 -0.937588 | -2200.97 -6626.64
-22.2366 -62.8773 | 1.51551 -2.55218 | 6620.86 3455.45
-22.2265 -63.3847 | 3.99565 -0.83937 | -1278.25 2291.29
-22.1782 -63.8873 | 2.35273 0.141367 | -2916.82 5270.93
-22.0867 -64.3796 | -0.493496 -1.89106 | 4027.23 -218.995
-21.9374 -64.8586 | 1.80879 -2.48128 | 3795.95 -8506.21
-21.7308 -65.3234 | 2.54836 -1.28302 | 1587.7 -69.8551
-21.4717 -65.7628 | 1.04173 0.714468 | 1593.5 3274.19
-21.1665 -66.1695 | 0.990989 0.987159 | -6297.11 3747.53
-20.8291 -66.5422 | 2.04716 -1.24891 | -6647.82 4075.24
-20.462 -66.8771 | 0.953488 -3.42215 | 4107.78 -1716.1
-20.0586 -67.1697 | -0.324766 -3.56476 | -1799.21 4429.66
-19.6264 -67.4132 | -1.01606 -3.21272 | -2163.69 -3239.44
-19.1736 -67.6166 | -1.78237 -3.49082 | 5955.81 -3132.27
-18.6989 -67.778 | -0.628379 -1.71886 | 3744.01 3103.32
-18.2075 -67.8917 | -0.533412 -0.145288 | 2857.42 -148.44
-17.7063 -67.9678 | -0.638031 -2.8331 | -2893.81 -7421.51
-17.2028 -68.0171 | 0.457955 -2.08859 | 1265.95 4745.5
-16.6963 -68.02 | -0.515338 -1.01468 | 2898.04 7637.97
-16.19 -67.9742 | -1.65567 -0.86626 | -5230.69 -6269.11
-15.6898 -67.9053 | 0.254886 -1.77337 | 2007.04 -1940.63
-15.1923 -67.8146 | 1.56399 -1.52281 | 1119.32 3188.32
-14.6995 -67.6944 | -1.01298 0.870713 | 3230.62 -58.7692
-14.2118 -67.5472 | -4.11456 1.66185 | -2203.41 9301.71
-13.7343 -67.3713 | -3.39106 -1.47999 | -10595.5 -8255.95
-13.2645 -67.2005 | -2.87159 -1.69053 | -1253.16 -8829.52
-12.7923 -67.0483 | -2.91925 -0.188443 | 3798.29 5304.55
-12.316 -66.8969 | -1.13077 -1.75754 | 4511.05 417.464
-11.8354 -66.7456 | -0.675907 -2.13017 | 5245.13 2279.53
-11.3524 -66.59 | 0.791597 -4.85116 | -7288.23 -742.733
-10.8758 -66.4297 | 2.05531 -3.73508 | -1873.04 -1479.79
-10.4028 -66.2659 | 0.576417 -1.88079 | 383.278 4396.23
-9.93127 -66.0967 | 0.5783 -5.05216 | -5017.91 -334.69
-9.45937 -65.9365 | 0.922099 -5.66597 | 4133.36 963.663
-8.97727 -65.8022 | 0.826985 -3.81381 | -1703.82 -2364.39
-8.48625 -65.7121 | 1.36967 -4.35517 | 2468.69 -7102.69
