29.9982 40.5395 | 0.802491 -0.755759 | -201.822 -175.002
30.2181 40.9958 | 0.40456 -1.41563 | -5276.87 -4073.05
30.4531 41.44 | -0.868701 -2.31739 | -1294.54 2733.61
30.7078 41.8728 | -1.04454 -2.43593 | 3554.24 -8662.57
30.9917 42.2829 | -2.32482 -2.13063 | -1125.94 3504.93
31.2927 42.6826 | -2.82436 -1.8637 | 2318.83 4696.31
31.6079 43.0761 | -0.0875279 -2.21488 | 4211.59 -3938.64
31.9342 43.461 | 2.14638 -2.60067 | -6603.57 -675.636


24.0734 -53.582 | -0.994227 5.37571 | -4961.02 801.956
24.5624 -53.4966 | 1.03237 5.1764 | 7827.36 -2653.17
25.0571 -53.4134 | -1.06499 3.01546 | 1731.21 -132.137
25.5526 -53.3287 | -1.57354 -0.0939641 | -8394.61 3429.64
26.0424 -53.2373 | -2.06186 0.987962 | 5303.17 -3706.81
26.536 -53.1507 | -1.42172 -1.23629 | 4856.87 1241.59
27.0325 -53.0635 | -0.862462 1.10051 | -7060.22 5556.72
27.5243 -52.9728 | -2.57716 -0.163361 | -3097.83 -8973.11
28.0154 -52.9001 | -2.28994 -0.391519 | -1522.88 6470.79
28.5072 -52.8331 | -2.70709 -0.343469 | 9254.47 -120.637
29.0077 -52.7852 | -4.39848 -0.831618 | 808.755 -4890.09
29.511 -52.7663 | -2.97218 -0.778539 | -5774.61 6728.12
30.0119 -52.7659 | -1.21209 0.936318 | 8893.49 -2262.26
30.5166 -52.8007 | -1.00509 -0.223442 | -3058.87 -6651.27
31.0143 -52.8795 | -1.51955 -0.483586 | -10881.5 11087.3
31.4987 -52.9831 | -1.99476 0.862795 | 1177.04 -6123.36
31.9734 -53.1302 | -3.54359 -1.42366 | 11337.9 -4445.69
32.4435 -53.3155 | -2.57076 1.47745 | 258.431 6628.75
32.9014 -53.5267 | 1.19319 4.7967 | -7879.59 -251.196
33.334 -53.7756 | -0.406316 -0.139195 | -3692.18 -7389.18
33.7413 -54.0629 | -0.985 2.9802 | 278.69 9416.96
34.1376 -54.3587 | -0.88054 -0.278001 | -2697.63 -898.818
34.526 -54.6622 | -0.171578 -4.53844 | 3688.4 1335.94
34.9161 -54.9648 | 1.36508 -1.7492 | -1464.56 3864.19
35.3056 -55.2652 | -1.79791 -5.57536 | 528.003 -6198.87
35.6921 -55.5727 | -1.39227 -4.89748 | -3795.44 4777.58
36.0773 -55.8761 | -0.0672995 0.282713 | 1793.32 3259.95
36.4671 -56.1743 | -1.73165 1.17811 | 8210.93 -11513.5
36.8615 -56.4812 | -0.903794 2.04475 | -4857.57 203.994
37.2557 -56.7858 | 3.30107 2.14263 | 1051.83 5544.85
