36.6225 35.7303 | -0.102876 1.07384 | -7090.35 -8952.3
36.9133 36.1361 | 1.37479 -2.63685 | -4553.02 -4597.75
37.2227 36.5211 | 2.04617 -0.489491 | 1052 1346.15
37.5542 36.8893 | 0.0402966 1.55656 | 9362.04 5034.42
37.9103 37.2448 | -0.427002 -0.368689 | 1096.25 5015
38.2778 37.5951 | -1.44328 3.81379 | 1394.13 2914.76
38.6521 37.941 | 1.04324 -1.43455 | -7034.04 -3461.8
39.0288 38.2773 | -1.88046 0.332986 | -599.57 -5133.42


16.1095 -46.5038 | -1.6694 3.18595 | 771.471 967.723
16.6094 -46.5155 | 1.11576 6.86889 | -4419.71 3798.61
17.1062 -46.5036 | 1.73799 4.96197 | -65.4352 -5931.65
17.603 -46.4911 | 0.551679 3.89168 | 4829.86 -1972.08
18.1028 -46.477 | -0.666816 4.54145 | -480.673 4288.06
18.6019 -46.453 | 0.535071 4.30593 | -6422.82 -3593.86
19.0968 -46.4281 | 1.41965 5.34871 | 1714.59 3239.99
19.593 -46.3979 | 0.797354 2.94851 | 9092.14 -4550.93
20.0958 -46.371 | -0.260979 1.80081 | 968.811 2673.87
20.5991 -46.3363 | -1.52909 1.2136 | -6224.29 6998.79
21.0974 -46.2929 | -1.46556 -3.21721 | -5146.99 -5185.38
21.5926 -46.2687 | 0.0743043 -2.34744 | 496.262 2760.58
22.0891 -46.272 | 0.817343 -1.58369 | 10348.3 -5542.57
22.5903 -46.3208 | 1.18684 -0.27159 | -2176.08 -4879.36
23.0852 -46.4123 | 1.53226 -0.17866 | -5518.12 11565.7
23.571 -46.5239 | 2.02464 -0.523943 | 2881.36 -7998.38
24.0485 -46.6753 | 3.02385 -1.56847 | -1254.88 -84.8398
24.5149 -46.8559 | 2.54706 2.29847 | -1388.79 5837.77
24.9718 -47.0534 | 1.82547 1.60745 | -1479.51 -3417.03
25.4178 -47.2748 | 2.17365 -1.76129 | 4043.16 935.766
25.8582 -47.5132 | 1.96425 -0.951185 | 5815.59 -1459.8
26.293 -47.7704 | -1.07834 -1.91948 | -1915.71 -3858.75
26.7142 -48.0506 | -2.27155 -2.58765 | -1383.14 4499.2
27.1234 -48.3442 | 0.499885 -2.0735 | 3887.23 1533.88
27.5209 -48.6547 | -1.12804 -4.26745 | -3255.34 6.87007
27.8925 -48.9925 | -0.748328 -1.77335 | -8252.42 -4144.73
28.2296 -49.3621 | -1.49187 -0.536283 | 2575.39 -828.448
28.5513 -49.7464 | 0.345018 1.85676 | 3575.5 6395.3
28.8715 -50.1294 | 2.58317 1.98489 | -4791.81 -660.226
29.1852 -50.5151 | -0.568329 -3.07695 | 242.705 1660.23
29.5013 -50.8979 | 1.3754 2.10618 | 4798.5 -1213.36
29.8263 -51.2769 | 0.181255 0.821982 | -2226.99 -4952.48
30.1549 -51.655 | 0.094437 -1.39835 | -788.8 6039.71
30.4941 -52.0191 | -0.56107 -0.84187 | 1596.38 341.277
30.8458 -52.3711 | -0.184807 -0.512938 | -2590.7 -779.923
31.2047 -52.714 | 0.640266 0.36544 | -3841.29 2718.82
31.5718 -53.0443 | 0.854449 1.35733 | 5237.49 -3888.06
31.9548 -53.3623 | 2.17243 1.6839 | 1335.35 522.134
