-37.7267 -6.35594 | -2.23461 3.39118 | -6130.38 -55.4915
-37.3053 -6.07665 | -0.734213 3.09016 | -3213.61 2920.96
-36.8983 -5.77976 | 0.338733 0.298389 | -1067.67 -7475.63
-36.4956 -5.48337 | 0.0765192 -0.575709 | -276.648 3117.68
-36.0944 -5.1843 | 0.416147 -1.41984 | 1566.57 -5907.34
-35.6901 -4.89116 | 0.457396 -1.65288 | -191.275 4662.08
-35.2872 -4.59117 | -0.275664 -0.230169 | 5734.51 12721.2
-34.8795 -4.28313 | -1.07602 3.36683 | 1649.81 -4783.13
-34.4574 -3.99625 | 0.424906 1.33392 | -3103.08 -7556
-34.0193 -3.74393 | 1.81081 -0.89653 | -963.232 1307.43
-33.5677 -3.52164 | 0.557901 1.03694 | -8134.86 -9841.63
-33.1087 -3.33472 | 1.91611 -0.334035 | -1028.73 9771.77
-32.644 -3.16111 | 4.18996 0.385234 | 4685.37 -1791.41


-55.599 -31.8224 | -2.97947 -2.32245 | -4744.56 4098.43
-55.3809 -32.2676 | -2.8635 -0.808531 | 4936.77 -6608.58
-55.1679 -32.7218 | -3.46817 -0.57054 | 1242.48 -2855.49
-54.9544 -33.1796 | -2.55427 -2.34125 | 433.466 -3867.29
-54.7341 -33.637 | -2.27928 -2.67511 | 2272.03 5247.85
-54.498 -34.0837 | -3.27862 -0.318472 | -1234.15 3699.73
-54.2505 -34.5211 | -2.00652 4.09022 | -1731.94 -4708.24
-53.9964 -34.9559 | -0.0233867 4.07313 | -6728.45 4052.37
-53.732 -35.3793 | 2.22701 -0.985185 | 5068.4 -134.942
-53.4361 -35.7826 | 0.781917 -3.17025 | 4477.57 4235.68
-53.1069 -36.1591 | -0.145268 -1.96336 | -3670.87 -1578.63
-52.7604 -36.5194 | -0.995404 -1.49018 | -2510.41 -8094.77
-52.3989 -36.8673 | 0.0130299 -1.13656 | 693.514 9398.27
-52.0107 -37.1791 | 0.531701 -5.03967 | -120.562 1432
-51.6002 -37.4581 | -0.36152 -6.94369 | -4760.53 -1065.44
-51.176 -37.7118 | 0.342397 -3.26409 | 324.474 804.085
-50.736 -37.94 | 2.15006 -0.122613 | 17285 -8073.95
-50.2737 -38.1497 | 1.1623 2.3465 | -10991.7 -1695.77
-49.8096 -38.3375 | -0.373325 3.28043 | -16860.7 13726.9
-49.3466 -38.4836 | -1.13027 2.98756 | -894.395 -2378.76
-48.8788 -38.6049 | -0.653958 4.3259 | 315.658 -9731.53
-48.4041 -38.7093 | 2.51489 3.66789 | 12400.2 8083.67
-47.9135 -38.77 | 1.08959 2.90538 | 5061.9 -7682.09
-47.4155 -38.8024 | -1.0889 1.38033 | -5669.09 -791.917
-46.9202 -38.7951 | -2.50097 -0.223016 | -2233.32 3872.46
-46.4306 -38.7353 | -3.50624 -1.81496 | -1080.6 -89.8817
-45.949 -38.629 | -1.33706 -3.77742 | 6595.98 4056.61
-45.4713 -38.4846 | -1.10261 -1.84417 | 4663.84 -1249.56
-44.9959 -38.3221 | 0.575286 -4.12324 | -4603.35 -2068.13
-44.5248 -38.152 | 1.25731 -3.94315 | 10310 1600.17
-44.0481 -37.9791 | 0.43601 -1.44073 | -1248.88 -2473.41
-43.5728 -37.8057 | 1.51757 -1.09707 | -6256.92 -814.798
-43.1053 -37.6257 | -0.318247 2.2478 | -4793.28 1131.29
-42.6461 -37.4368 | 1.18679 1.17719 | -5385.35 -3309.89
-42.192 -37.2468 | 3.54081 -1.34837 | 4190.31 3566.18
-41.7347 -37.0574 | -0.404995 -2.03597 | 629.009 -3533.12
-41.2727 -36.8801 | -1.53317 1.4934 | -2052.67 -608.341
-40.8078 -36.7115 | 1.10222 1.48544 | 10023.4 4493.83
-40.3345 -36.5457 | -0.00736977 0.0160918 | -5702.25 5767.49
-39.861 -36.3849 | -1.69823 -2.35517 | -574.836 -4578.87
-39.3801 -36.2556 | -0.813196 -2.33442 | -3657.62 -2085.86
-38.8929 -36.1683 | 1.12909 -0.369165 | 203.27 -3817.09
-38.3993 -36.1262 | 2.27003 -0.530664 | 9647.35 2256.26
-37.8975 -36.115 | 2.3502 0.392057 | -1753.71 5334.75
-37.3966 -36.1267 | 1.32453 -0.588781 | -7132.15 -4588.44
-36.9025 -36.1734 | 1.49265 0.411172 | -1120.59 -1520.57
-36.4122 -36.2467 | 3.19826 0.811765 | 8994.68 7740.86
-35.918 -36.3315 | 2.47246 1.98898 | 4165.82 -6371.72
-35.4262 -36.4464 | -2.25707 -0.149459 | -9526.91 -2529.33
-34.9467 -36.587 | -4.45683 -1.85059 | 1322.7 6933.41
-34.47 -36.7335 | -1.85585 1.5067 | 2551.21 348.81
-33.9956 -36.8926 | -1.87687 2.24026 | -304.853 -6807
-33.5271 -37.0741 | -4.19555 1.35139 | 5074.3 3864.08
-33.0585 -37.2635 | -4.56962 -2.63748 | 1341.7 -2465.49
-32.5931 -37.4661 | -2.36917 -3.86219 | 3478.59 1943.33
-32.1316 -37.6811 | -0.637914 -2.69163 | -5849.67 -7111.49
-31.683 -37.9189 | -1.99996 -1.20916 | -1352.73 154.408
-31.2383 -38.1606 | -4.04059 0.187018 | -3214.92 3480.18
-30.7893 -38.385 | -2.07424 -0.504315 | -2693.65 9630.18
-30.3305 -38.5768 | 0.29012 -1.35555 | 870.243 -4523.98
-29.8626 -38.7513 | -2.42396 -3.35137 | 7204.67 -5242.99
-29.3828 -38.909 | -2.82196 -1.16447 | -2210.15 4687.81
-28.8953 -39.037 | -1.15316 -0.378192 | 1203.73 -4414.61
-28.4007 -39.1393 | -0.107323 1.52171 | -465.843 2589.68
-27.9005 -39.2027 | 0.124189 -0.852167 | -2615.75 853.627
-27.3988 -39.223 | 0.597426 -2.39364 | -775.042 -1989.97
-26.8983 -39.1986 | -0.0197296 -1.11503 | -806.266 3824.83
-26.404 -39.1202 | -1.14549 -2.02044 | -1568.7 1673.09
-25.9203 -38.9945 | -1.69493 -3.69436 | 410.244 -2299.17
-25.4459 -38.8364 | -1.67425 -0.63528 | 2793.87 139.299
-24.9793 -38.6513 | 1.86588 -2.07793 | 2105.48 -4358.84
-24.5216 -38.4425 | 1.05997 0.256047 | 2404.81 6632.18
-24.0793 -38.1949 | -1.37041 2.24556 | -921.429 7706.95
-23.6559 -37.912 | -2.19907 1.3074 | -2502.33 -6105.23
-23.2424 -37.6216 | -1.37038 1.39547 | 238.574 -7405.47
-22.8307 -37.3345 | 0.508413 1.7197 | -784.822 1643.85
-22.425 -37.04 | 1.42946 1.65215 | -2572.08 969.677
-22.0285 -36.7357 | 2.0001 -0.924658 | 283.819 -5666.16
-21.6388 -36.4269 | 4.31229 -0.793482 | -4666.33 2179.47
-21.263 -36.1031 | 2.67869 3.67446 | 3771.15 6199.75
-20.8924 -35.7658 | 1.75421 1.9818 | 4480.67 3373.71
-20.5178 -35.4275 | 1.41887 -0.522576 | -4054.57 -8593.2
-20.1373 -35.1048 | 1.87435 -0.61281 | -2507.23 -4190.1
-19.7503 -34.7956 | 1.09365 -0.870736 | -547.358 6154.05
-19.3576 -34.4897 | -1.47699 1.1835 | 4335.86 3618.81
-18.9504 -34.1953 | -2.33018 2.71845 | 6900.09 210.436
-18.5232 -33.9246 | -2.72495 2.43683 | -7943.54 -9956.56
-18.0877 -33.6835 | -1.92694 -0.19819 | -8782.57 5782.54
-17.651 -33.4538 | -1.01612 -4.03323 | 4407.67 -1083
-17.2001 -33.248 | -1.8787 -1.59642 | 5014.71 -830.431
-16.7341 -33.0699 | 0.242465 3.4814 | -574.102 1566.7
-16.2602 -32.9139 | 2.56709 2.15452 | -4731.31 -2185.51
-15.7829 -32.7788 | -0.356899 1.74655 | 5225.58 2619.84
-15.2979 -32.6572 | -1.69343 2.33283 | 2627.07 3873.17
-14.8069 -32.5477 | -0.503565 3.44163 | 664.114 -659.582
-14.3106 -32.461 | 0.62336 -0.152174 | 20.089 -1529.28
-13.8101 -32.4046 | 0.8168 0.377577 | -2328.59 1847.92
-13.3087 -32.3801 | 0.386186 -0.126637 | 378.719 1268.44
-12.8069 -32.3973 | 0.0422956 -3.02711 | 2220.53 -11826.1
-12.3079 -32.471 | 1.15681 -1.21971 | -4107.99 7481.16


-9.7522 -40.9278 | 4.49179 -2.46562 | -4243.24 -8332.79
-9.30129 -40.7253 | -0.105694 1.62121 | 5597.08 11299
-8.85579 -40.4961 | 0.370326 0.543622 | 1206.28 3102.41
-8.4155 -40.2544 | -0.720029 0.16091 | -9603.75 -16791.6
-7.98048 -40.0241 | 1.37721 -1.87148 | 279.104 14671.2
-7.54758 -39.7806 | -1.65135 1.23673 | 15867.8 -4766.3
-7.09899 -39.5503 | -3.561 0.232792 | -14382.8 4185.11
-6.65419 -39.326 | 0.530066 -4.0562 | 3938.62 -7045.07
-6.1975 -39.128 | -0.227389 2.08678 | 3473.84 -3521.81
-5.73135 -38.9494 | -1.37316 1.28105 | -2344.64 10822.4
-5.26509 -38.7656 | -1.97898 -2.8468 | 4085.13 1294.1
-4.79077 -38.5926 | -1.2164 -1.30624 | 4697.33 -1150.32
