41.2806 22.8617 | -1.06374 -3.12408 | 148.657 -39.4763
41.7807 22.8725 | -1.15035 -1.61921 | 179.58 -228.856
42.2811 22.8676 | -1.20354 0.0813288 | 99.0252 -20.4438
42.7814 22.8537 | -1.23637 1.59607 | -135.136 -10.2255
43.2815 22.8376 | -1.2601 2.91993 | -441.571 285.249


-35.6022 -76.1107 | 0.257979 -10.1275 | -112.971 -861.738
-35.1026 -76.1251 | 0.326716 -6.58871 | -184.911 389.876
-34.6033 -76.1047 | 0.144782 -3.28822 | 62.7501 -230.345
-34.1072 -76.0453 | -0.069368 -0.860949 | -153.448 -54.0736
-33.6184 -75.9431 | 0.0616819 0.82144 | -682.766 1596.54
-33.1415 -75.7951 | 0.582832 0.849787 | -23.8468 -244.41
-32.6794 -75.6063 | 1.25189 -0.287478 | -373.164 836.555
-32.2335 -75.3812 | 2.12186 -1.86941 | 577.439 553.336
-31.802 -75.1282 | 3.06935 -3.28888 | 1547.2 -763.194
-31.3813 -74.8563 | 3.49035 -3.63683 | 456.456 -254.741
-30.9701 -74.5699 | 3.21723 -3.26992 | -74.1467 -691.413
-30.5677 -74.2719 | 2.34907 -2.47549 | -961.805 -709.146
-30.1742 -73.964 | 1.47598 -1.70929 | -1577.53 -269.716
-29.7889 -73.6479 | 1.43156 -1.92809 | -869.494 -580.795
-29.4084 -73.3276 | 1.73546 -2.3892 | -41.4396 -632.523
-29.0284 -73.0076 | 1.75023 -2.35118 | -453.367 597.079
-28.6455 -72.691 | 1.44121 -1.88575 | 227.756 -65.8319
-28.2549 -72.3839 | 0.992597 -1.38235 | 1388.72 -996.425
-27.8525 -72.0915 | 0.514548 -1.03796 | 162.077 795.366
-27.4388 -71.8142 | -0.245481 -0.0125518 | -9.02239 842.425
-27.0136 -71.5538 | -1.02964 1.36709 | 971.656 395.409
-26.5749 -71.3146 | -1.25647 1.72099 | 1651.77 -450.112
-26.1222 -71.1001 | -1.21697 1.4961 | 1003.73 -238.035
-25.6578 -70.9102 | -1.28651 1.71168 | -244.939 1912.01
-25.1844 -70.7422 | -1.18009 1.80313 | -230.946 250.644
