39.1078 31.654 | 1.38583 -1.95862 | 5086.99 -3564.81
39.5758 31.8147 | 2.20341 -3.43933 | 1278.77 242.334
40.0612 31.9198 | 1.52875 -4.97449 | -721.914 5230.85
40.5551 31.9775 | -0.0686249 -1.83637 | 3590.97 2699.83
41.054 31.9778 | -0.33517 -1.69857 | -3009.78 -4683.56
41.5445 31.9027 | 1.78354 -1.83927 | -7155.86 -4566.44
42.0144 31.7571 | 4.02409 -0.691256 | -2425.3 5491.28
42.4671 31.5722 | 4.28277 -0.365633 | 12091.6 -1193.37


11.3079 -44.0545 | 0.280064 -0.286744 | 5951.53 1783.97
11.8093 -44.12 | -0.317384 -0.822025 | 64.2097 -6180.64
12.3137 -44.1619 | 0.956857 -1.05195 | 284.216 4665.27
12.819 -44.1668 | 2.49292 0.136248 | -5982.31 1269.28
13.3192 -44.1392 | 0.104408 0.635289 | -2305.42 -887.881
13.8157 -44.0886 | -2.25236 0.355163 | 2493.55 -45.5632
14.3124 -44.0218 | -0.60855 2.00699 | 4942.67 -1693.81
14.8116 -43.9445 | 1.58845 -0.619054 | 5206 4847.85
15.3124 -43.8531 | 2.81476 -3.06435 | -6548.72 813.897
15.809 -43.7608 | 2.46269 -1.55217 | -1462.14 -10603.3
16.3056 -43.6867 | 1.8241 -0.410938 | -1214.06 5270.68
16.8009 -43.6102 | 2.54299 -2.42599 | -2600.29 4801.51
17.2949 -43.5321 | 3.65673 -0.729077 | 3878.28 -10626.7
17.7931 -43.4731 | 3.73345 -0.0240255 | -633.355 8916.57
18.2917 -43.4106 | 3.6266 -0.014468 | 2942.22 -1941.99
18.7933 -43.3569 | 2.70584 2.37488 | 1787.54 -344.536
19.2962 -43.3157 | 1.02307 3.4667 | -11862.6 3955.97
19.7918 -43.2888 | -0.493815 -0.529017 | -4713.94 -3001.51
20.2841 -43.2956 | -1.38675 0.755814 | 8240.03 1523.95
20.7794 -43.3423 | -1.19591 1.43609 | 1619.46 -3287.48
21.2698 -43.4402 | -1.55508 -0.507296 | 386.321 -5216.74
21.7499 -43.5875 | -1.06088 0.0307334 | 4361.04 3961.34
22.2227 -43.7632 | -1.05231 -1.15673 | -1173.23 -238.347
22.6841 -43.9656 | -0.881691 -3.46703 | -3124.74 2149.23
23.1319 -44.1906 | -2.36118 -3.35236 | 1638.51 1751.66
23.5676 -44.4388 | -5.04767 -3.17948 | 1328.31 -4520.18
23.9868 -44.7179 | -5.93805 -4.19795 | -1212.7 3231.73
24.3865 -45.0214 | -2.55973 -2.26096 | -4865.94 -3274
24.7631 -45.3522 | -2.98703 -1.93798 | 7001.52 -540.345
25.1316 -45.6988 | -2.41506 0.800385 | 5645.44 -7609.76
25.4929 -46.0617 | 0.278454 2.66296 | -6683.27 4361.51
25.8429 -46.4283 | -0.289455 0.291461 | 1496.1 11532.2
26.1904 -46.7889 | -0.848494 -0.525482 | -8747.23 -5454.44
26.521 -47.1621 | 0.356324 0.505148 | -209.483 -346.536
26.8495 -47.5383 | -0.578087 -1.49299 | 10423.6 -3727.24
27.1939 -47.909 | -0.572028 -0.000514603 | 595.793 1821.58
27.5487 -48.2702 | 0.782522 3.23687 | -6817.21 -3271.94
27.9068 -48.6253 | -1.60424 -0.242169 | 1207.38 3557.29
28.2828 -48.9587 | -1.06482 -2.74925 | 812.976 5552.09
28.6804 -49.2624 | 1.46853 1.73407 | -2336.08 -5342.42
29.0933 -49.5453 | 0.316763 -0.0449423 | -367.275 3195.05
29.5245 -49.7951 | 0.372384 -1.77973 | -4763.74 6453.17
29.9697 -50.008 | 2.12509 -1.33712 | -382.7 -5923.24
30.4256 -50.1982 | 3.4011 -1.58504 | -1728.21 -1290.71
30.8924 -50.3592 | 1.70112 -2.48561 | 2809.55 83.4947
31.3738 -50.48 | 0.49717 0.544251 | 9578.11 -2441.73
31.8708 -50.5548 | 0.151473 1.0515 | -6897.19 3460.77
32.3688 -50.5743 | 0.715648 1.34598 | -3743.85 -465.099
32.8638 -50.5427 | 0.877133 0.617496 | 6291.73 -524.513
33.3582 -50.4642 | 1.74903 -1.16832 | 5372.57 3652.37
33.8475 -50.3401 | 1.22363 1.5363 | -4022.37 -3174.72
34.3235 -50.183 | 0.435211 0.85324 | -11697.4 -1717.58
34.7811 -49.9974 | 1.00671 1.23488 | 9635.95 3184.83
35.2359 -49.7913 | -0.535331 2.73657 | 1815.85 -4222.08
35.6867 -49.5767 | 0.641849 1.57832 | -11365.9 1556.75
36.1253 -49.3499 | 3.0515 1.05375 | 10379.4 -789.986
36.5703 -49.1234 | 0.721975 2.14097 | 3900.27 -1439.35
37.0185 -48.896 | -1.16352 0.160673 | -1032.78 6930.14
37.4624 -48.6558 | 0.763244 0.361531 | 1154.33 375.833
37.9063 -48.4146 | 1.183 1.98809 | -4610.94 -4184.26
38.3515 -48.1848 | 0.399151 1.24423 | 1146.89 -1647.57
38.8032 -47.9703 | -0.0567036 2.06357 | -3541.6 -3344.53
39.2581 -47.7702 | 1.78154 4.08811 | -1628.54 4482.98
39.7155 -47.5753 | 3.99505 1.02632 | 4830.36 2089.41
40.182 -47.3939 | 1.1982 -2.03154 | -2377.9 -1100.63
40.6559 -47.2374 | 0.347328 -1.45608 | 1747.94 -3508.13
41.139 -47.1146 | 1.76188 0.627599 | -7555.81 -91.9977
41.6227 -47.0201 | 1.81127 -0.0301037 | -5178.79 2419.25
42.107 -46.9513 | 1.36275 -0.535216 | 3617.46 2610.45
42.5971 -46.9157 | 1.24604 0.938154 | 2561.39 -936.49
43.0908 -46.9278 | 2.18393 -0.478238 | 4795.51 247.097
43.5829 -46.9942 | 2.50257 2.57329 | -6142.93 -278.851
44.0598 -47.1198 | 0.866523 0.392936 | -700.852 794.259
44.5191 -47.3015 | 0.762846 -5.12287 | 13180.5 -9013.34
44.9654 -47.5377 | 3.85187 -1.10866 | -573.962 926.552
45.3929 -47.8084 | 1.35123 -0.720464 | -3377.91 1977.2
45.8032 -48.1003 | 1.54785 0.226962 | 4695.52 6256.57
46.2045 -48.4037 | 3.37805 -1.1819 | -7019.42 -6864.88
46.5847 -48.7326 | 4.08871 -1.56106 | 6230.76 178.35
46.9582 -49.0728 | 3.40926 0.105506 | 528.918 6753.66
47.3234 -49.4188 | 3.11289 0.0270644 | -3453.83 -4806.25
47.6696 -49.7851 | 2.16355 -0.737065 | 3338.19 -7843.99
48.0021 -50.1701 | 0.304546 0.420797 | -5659.12 6955.52
48.3253 -50.5555 | 2.4437 3.16377 | 2182.92 5769
48.6519 -50.9344 | 0.831431 -1.04892 | 136.401 -2265.9
48.979 -51.314 | -0.336458 -4.04526 | -5840.59 -5910.09
49.305 -51.6952 | 2.15249 -3.0572 | 3909.63 2552.55
49.6528 -52.0565 | 0.880277 -2.85398 | 4577.32 7339.03
50.0293 -52.3856 | -0.818961 -1.85264 | -6456.23 -668.085
50.4181 -52.6952 | -0.115907 0.0111141 | -3326.65 -2961.72
50.8188 -52.9877 | 0.103455 -0.543118 | 2801.7 -643.001
51.2406 -53.2518 | 1.488 -1.44955 | 2353.26 3477.92
51.6845 -53.4776 | 2.20924 -2.63055 | -2032.53 570.765
52.1427 -53.6707 | 0.946901 -0.065767 | 409.053 -5188.6
52.6123 -53.8393 | 0.00287804 0.661277 | 2520.33 974.108
53.0949 -53.9737 | -0.00586299 0.159269 | 2415.48 -2514.4
53.5886 -54.0713 | 1.4407 0.857704 | 128.541 -210.504
54.0892 -54.1212 | 2.57751 -0.939525 | -2593.86 9695.33
54.5904 -54.1119 | 2.64004 -1.00341 | 555.114 -7770.22
55.09 -54.07 | 1.95681 -2.86134 | -1391.13 1107.14


-26.6658 -42.9003 | 0.694655 -3.00223 | 852.113 -1083.96
-26.1681 -42.8478 | 1.27031 -4.6076 | -1934.47 -683.523
-25.6732 -42.7812 | -1.31463 -3.47391 | 1553.66 4327.61
-25.179 -42.6983 | 0.267212 -0.474387 | 4431 2445.24
-24.682 -42.6133 | 2.12324 -2.67575 | -3019.51 -8228.1
-24.1851 -42.5481 | 0.54993 -2.84236 | -4957.35 3008.38
-23.6903 -42.4937 | -0.867808 0.96414 | -440.368 -801.169
-23.1944 -42.4546 | 0.525113 -1.10359 | 5248.62 947.109
-22.6938 -42.432 | 3.30754 -1.03536 | 1119.42 -951.766
-22.1911 -42.4296 | 1.21696 0.261764 | 1622.69 3296.33
-21.6878 -42.4472 | -2.11716 -1.07128 | -1602.02 -3944.47
-21.1888 -42.4974 | -0.716302 -0.917738 | -10748.1 2966.57
-20.7021 -42.5761 | -1.4088 -2.22952 | -4823.11 2463.42
-20.2254 -42.6853 | -3.33873 -0.00429466 | 6816.49 -5948.31
-19.7537 -42.8313 | -2.61744 -0.391113 | -33.0294 3233.94
-19.2892 -42.9992 | -0.294487 0.0194496 | 1214.46 5057.37
-18.832 -43.1851 | 0.387517 2.2344 | -1772.11 -6671.91
-18.3879 -43.4036 | -0.430132 2.76482 | 5303.45 3501.74
-17.9509 -43.6425 | -1.54499 -1.34047 | 4834.04 -8312.31
-17.5238 -43.9087 | -1.17776 -3.67864 | -6968.95 3953.39
-17.1096 -44.1861 | -0.760529 -1.51243 | 2522.53 10252
-16.6982 -44.4637 | -2.24926 -0.671939 | 3112.4 -11134.7
-16.297 -44.7668 | -0.573224 2.5748 | 3380.19 -5455.89
-15.9056 -45.0901 | -0.0727779 2.36118 | 3187.09 6173.89
-15.5214 -45.4193 | 1.28063 1.70765 | -10052.2 5089.77
-15.1593 -45.7598 | 0.146218 2.98236 | -7626.84 7098.19
-14.8208 -46.1134 | -1.93719 2.29994 | 4183.81 -9233.48
-14.4972 -46.4883 | 0.29255 3.21652 | 6462.8 1666.73
-14.1797 -46.8724 | 1.81147 3.27991 | -4421.8 -5868.85
-13.8764 -47.2694 | -3.93015 0.551747 | 362.973 4693.38
-13.5746 -47.6638 | -0.411468 3.58956 | -1872.33 6714.98
-13.2696 -48.05 | 1.79301 3.77034 | -2409.95 -5839.51
-12.9617 -48.4347 | -0.533164 -1.67078 | -4314.66 3618.49
-12.64 -48.8032 | 3.11618 0.242745 | 5021.36 2286.74
-12.2881 -49.1446 | 1.8689 -2.3336 | 1001.77 -6034.2
-11.9098 -49.462 | -1.27728 -5.51204 | -37.9056 1274.19
-11.505 -49.7454 | 0.983053 0.406095 | 4131.81 -143.943
-11.0752 -49.9924 | -0.497803 -1.44965 | -9283.27 -1629.26
-10.6339 -50.2063 | -3.80144 -3.92991 | -6255.5 284.086
-10.1781 -50.3764 | -1.6598 1.10857 | 11671.5 -745.876
-9.69795 -50.4903 | 0.115007 -1.44536 | -1096.99 -586.548
-9.20672 -50.5458 | 0.0119627 -1.26378 | 2671.81 3771.96
-8.71017 -50.5438 | -0.174551 4.99734 | -699.418 1924.8
-8.21456 -50.5038 | 1.98981 3.96506 | 2969.89 -17780.5
-7.71707 -50.4546 | 2.38753 2.80056 | 14308.1 15086.8
-7.2169 -50.3533 | 0.22388 3.6649 | -10187.2 2657.84
-6.73162 -50.2103 | -1.71252 1.39789 | 1647.54 -7985.96
-6.25338 -50.0496 | -2.29705 3.07008 | -123.266 2245.29
-5.78512 -49.8635 | 0.863975 1.23479 | -9825.98 -1415.91
-5.33216 -49.6545 | -0.738378 1.41351 | 14236.4 3412.25
-4.87854 -49.4268 | -2.42571 -1.07951 | 380.299 -1918.49
-4.43328 -49.1822 | 0.684479 -3.16 | -7819.17 4635.97
-4.00576 -48.9141 | 1.90204 -2.9018 | -3350.32 1543.76
-3.58588 -48.6396 | 3.0261 -3.62664 | -6083.07 -10256.8
-3.15996 -48.3882 | 2.88052 -0.24419 | 10157.6 -2558.55
-2.71434 -48.1628 | 2.80506 1.44966 | 2801.17 2922.74
-2.26012 -47.9467 | 1.21551 0.261448 | -3558.27 4558.93
-1.80621 -47.7283 | 0.377645 1.02762 | 8654.43 4868.72
-1.3444 -47.5126 | -0.95622 1.15264 | -5537.63 -4432.05
-0.880056 -47.3139 | -1.88729 3.30927 | -6668.43 -3264.57
-0.414014 -47.137 | -1.32639 0.862073 | -3144.36 -5950.97
0.0549421 -46.9828 | -1.39294 0.102854 | -6316.28 6647.86
0.522796 -46.834 | -0.345868 -0.115373 | 5535.5 6362.52
1.00067 -46.7029 | 0.567095 0.051035 | 4379.93 -6225.22
1.49182 -46.6213 | 1.88366 1.20245 | -1198.9 662.209
1.98805 -46.5924 | 1.70551 1.04932 | -2572.67 -2029.94
2.48192 -46.62 | -0.0944667 4.83093 | -5126.65 3125.58
2.9668 -46.6961 | -1.24704 4.48082 | 2859.44 -588.768
3.44245 -46.8204 | -2.1096 2.194 | -6224.23 -1169.33
3.90167 -46.9864 | -1.90338 3.31184 | 1672.95 2029.3
4.35262 -47.1753 | 0.457914 1.66684 | 5177.17 152.126
4.80208 -47.3757 | 0.156637 2.0807 | 221.468 3116.45
5.24951 -47.5814 | -0.303838 3.29331 | 1925.37 -4300.54
5.69477 -47.7979 | -0.585183 2.25912 | 1316.76 1283.58
6.14011 -48.0177 | -1.3799 0.0794022 | 5339.73 2757.91
6.58818 -48.2402 | 0.470281 1.49987 | 4744.65 -7922.44
7.03304 -48.4824 | 1.49895 3.87452 | 3334.08 441.558
7.47144 -48.7407 | -0.589954 -0.348941 | -5553.84 -5708.09
7.8948 -49.0188 | 0.96232 -0.00563106 | -9890.58 8350.84
8.30835 -49.2936 | 1.00666 -0.206452 | -1712.01 11077.8
8.72375 -49.554 | -0.325728 -1.14951 | 1696.39 -5098.51
9.13818 -49.8204 | -1.43243 1.33609 | 1624.69 -8804.13
9.55072 -50.0977 | -2.45833 1.24116 | -663.05 3420.84
9.96875 -50.3652 | -0.829769 0.225997 | 1679.05 3053.34
10.3983 -50.6139 | -0.355449 0.326541 | 2808.48 843.747
10.838 -50.848 | -1.38504 1.36174 | 840.224 -7049.76
11.2826 -51.0794 | -1.63584 4.7323 | 390.095 1321.2
11.7336 -51.2982 | -0.0138372 5.61076 | 264.713 4780.19
12.1909 -51.5002 | -1.54084 2.69308 | -3625.43 -7212.26
12.6489 -51.6988 | -1.93177 1.29236 | -3498.48 -2653.52
13.1133 -51.8778 | -1.09157 1.51176 | 5004.13 6555.2
13.5944 -52.0076 | -0.900272 -0.241922 | -3847 5708.22
14.0829 -52.0867 | -1.17747 -0.770587 | -5850.45 -5562.09
14.5717 -52.1364 | -1.14043 0.0154062 | 2038.02 -1802.1
15.0648 -52.1563 | -0.749085 -2.0022 | 11410.1 2057.88
15.5664 -52.1408 | 2.21425 -0.644817 | 796.429 1073.77
16.0676 -52.0945 | 0.707218 1.67946 | -3289.66 -2800.93
16.5641 -52.0261 | -2.05226 1.63522 | 355.478 -3323.08
17.0565 -51.9346 | -0.49646 0.617797 | 723.305 8787.97
17.5423 -51.8059 | 2.73733 -0.335328 | -1962.65 -4480.24


