71.9428 -60.6956 | 0.404701 0.320429 | -133.328 -1216.79
72.4398 -60.7455 | 0.080823 2.14311 | -2729.57 -5615.92
72.9254 -60.8548 | 0.134756 0.379003 | -4375.72 4788.89
73.3983 -61.0031 | 0.104652 -0.65036 | 12206.3 -8121.49
73.8679 -61.1861 | 0.941767 1.7057 | -6723.79 8507.34
74.3278 -61.3777 | -0.23847 0.756654 | -5234.18 4985.43
74.779 -61.5777 | 1.26741 1.24468 | 7455.03 -6781.03
75.2252 -61.7977 | -1.78236 1.52793 | -13034.4 6938.43
75.6562 -62.0289 | -2.27748 1.36967 | 5959.78 -5701.66
76.0845 -62.2737 | 2.21739 2.86847 | 855.042 -1167.66
76.514 -62.5197 | 1.9248 3.00387 | 5330.81 49.7596


21.1724 10.2532 | -0.820521 1.5318 | 1084.82 3494.9
21.6024 10.5132 | 0.734185 -0.269566 | -502.693 981.354
22.054 10.7328 | -0.327563 0.458179 | 221.698 -2477.83
22.5276 10.8956 | -1.3116 0.606917 | -1910.99 -1746.36
23.017 10.9933 | -1.93676 -1.1184 | 776.78 -791.054
23.5155 11.0241 | -1.40819 -1.08071 | 871.451 -2984.95
24.0147 10.9909 | -0.0335421 -2.523 | -400.69 3475.41
24.5086 10.9102 | 0.560806 -4.00106 | 1514.5 -563.589
24.9946 10.7851 | 1.75693 -2.61989 | 940.87 -1981.67
25.4702 10.6204 | 2.38648 -1.47947 | 1671.09 58.2076
25.9357 10.4262 | 2.71614 -0.40937 | -1610.81 1114.58
26.3901 10.2104 | 3.19845 0.732569 | -2082.48 1138.54
26.8349 9.97814 | 3.79308 2.48255 | 3684.34 -1293.89
27.2749 9.73195 | 4.27625 2.70973 | 1848.34 146.172
27.7096 9.47454 | 3.39817 1.19727 | -3745.16 -502.891
28.1346 9.20578 | 2.95567 1.69757 | -3604.34 2224.57
28.552 8.93219 | 2.19478 1.91666 | -3660.23 1043.99
28.9661 8.65923 | 0.446143 1.23448 | -285.806 -1077.61
