-40.6998 -31.6967 | -4.01873 2.13824 | 3326.08 4697.47
-40.338 -31.3539 | -1.98059 -1.83399 | -13299.4 227.454
-39.9694 -31.0287 | -2.77476 -3.23756 | -988.316 -4464.47
-39.5702 -30.7486 | -0.836732 -1.60103 | 9236.87 -6287
-39.1304 -30.531 | -2.24263 -0.306598 | -3485.81 4254.18
-38.671 -30.3557 | -3.9283 2.54475 | 5600.08 5520.47
-38.1942 -30.2131 | 1.14924 1.15106 | 5962.35 -266.399
-37.703 -30.106 | 3.02288 3.1876 | 780.574 1039.5
-37.2041 -30.0299 | 2.83458 1.18623 | 3242.15 -3749.97
-36.6996 -29.9831 | 2.87861 -1.91013 | -2748.93 7478.24
-36.1951 -29.9482 | 0.647086 -0.251302 | 1678.44 1033.23
-35.6881 -29.9378 | 0.6423 -1.29045 | 2967.58 -7521.35
-35.1797 -29.9694 | -1.00688 -1.57381 | -9789.84 2602.45


22.1097 -76.5794 | -3.984 -2.54254 | 7084.66 5910.59
22.487 -76.2372 | -0.574589 2.68975 | 760.459 662.07
22.868 -75.8981 | -0.779873 -0.970029 | 917.465 -1825.02
23.2546 -75.5649 | -4.06805 -0.0909527 | 5006.74 2350.73
23.6462 -75.2333 | -1.67248 -0.0965736 | -8336.94 1207.86
24.031 -74.9004 | 0.222581 -3.40403 | -5718.08 -5094.9
24.4166 -74.5786 | -0.564742 -2.16433 | -6788.77 1286.36
24.8128 -74.2773 | 1.0001 -1.46958 | 6422.46 -5737.78
25.2399 -74.0241 | -0.268429 -2.11207 | -9100.04 -7205.62
25.6854 -73.8252 | 0.0694937 -0.497251 | -11531.3 2337.86
26.1399 -73.6695 | 1.10283 0.363957 | 2803.96 5099.16
26.6114 -73.5603 | 2.50538 -0.0965374 | 17119.9 -3609.9
27.106 -73.5115 | -1.80689 4.99047 | 10352.6 -1725.73
27.6122 -73.5084 | -3.90038 0.847727 | -3970.57 8848.33
28.1168 -73.5259 | -1.29694 -0.465199 | -881.945 316.351
28.6183 -73.5737 | -0.969586 -0.511426 | -1510.33 -6307.59
29.1124 -73.6627 | 0.939655 1.38859 | -8651.63 594.832
29.5949 -73.7777 | 2.55424 1.15401 | 2181.78 8088.49
30.0749 -73.9005 | 1.13747 -0.664771 | -631.062 -4940.82
30.5507 -74.0446 | 0.602144 -2.54513 | 9702.77 -6020.2
31.0297 -74.205 | 2.09581 0.3958 | 5618.64 9375.76
31.5118 -74.3619 | 3.25457 -2.10885 | -11915.1 -6845.15
31.9818 -74.5347 | 1.19227 -2.7802 | -369.135 7712.35
32.4482 -74.7069 | -0.40918 0.968413 | -3902.04 3178.64
32.9076 -74.8882 | -2.24595 -2.13129 | 1801.02 -9783.71
33.3604 -75.0959 | -1.94821 -1.05843 | 11186.7 694.303
33.8156 -75.314 | 1.04935 2.69769 | -8620.35 -1253.66
34.2618 -75.5409 | -0.62728 -0.120599 | -3382.38 1950.33
34.7075 -75.7629 | -0.155613 0.359877 | 4293.14 -1696.27
35.164 -75.9693 | 2.72545 4.46741 | 5712.97 813.388
35.6359 -76.1475 | 5.07813 4.13596 | -5.07867 10680.8
36.1171 -76.2929 | 5.66047 -2.90083 | -6189.48 -11048.5
36.596 -76.4417 | 5.29903 -0.871899 | 6712.23 -8035.82
37.0828 -76.5848 | 2.04848 1.63715 | 6079.99 12876.1
37.5806 -76.6871 | 1.74588 0.187175 | -17448.8 1133.14
38.0714 -76.7651 | 3.26533 -0.140986 | 454.166 -7634.05
38.5635 -76.8318 | 1.37761 0.194525 | 5855.35 -375.682
39.0624 -76.8696 | -1.73394 -0.330494 | -941.053 7137.38
39.5625 -76.8618 | -0.125406 -0.449146 | -1962.82 -3386.34
40.0605 -76.821 | 0.958992 0.557984 | 8718.53 -8991.23
40.5599 -76.7469 | 1.26304 -0.0182989 | 5945.82 11784.5
41.0481 -76.6011 | -0.704851 3.54952 | -15905 8772.58
41.5027 -76.387 | -3.93787 5.52253 | 1466.66 -14086.6
41.9424 -76.1501 | 0.383976 2.67258 | 8179.39 3280.96
42.3709 -75.8836 | 1.90839 0.468628 | 441.377 770.288
42.7771 -75.5836 | 2.01124 -1.9575 | -8011.53 155.598
43.1489 -75.2484 | 3.67044 -2.65692 | -947.414 -1261.46
43.4929 -74.8866 | 3.10141 -2.08686 | 1158.74 -328.319
43.8167 -74.5053 | 4.11829 -0.492009 | 2982.92 7040.28
44.1267 -74.1064 | 0.426199 -0.483931 | -316.776 -3500.77
44.4301 -73.7044 | -1.52202 -4.12571 | -2844.26 -2541.67
44.7318 -73.3038 | -0.758919 -0.905796 | 5589.5 2379.61
45.0426 -72.9063 | -1.05021 -0.0717109 | 829.156 -993.256
45.3589 -72.5128 | -2.44895 -0.188999 | -4277.33 633.778
45.6746 -72.1199 | -3.53821 0.893335 | 1756.66 7765.14
