53.8871 14.7545 | 1.87711 -2.18284 | -1213.02 10808.3
54.3261 14.5312 | -0.701297 -2.09679 | -1651.55 -9850.41
54.7725 14.3172 | -1.53775 -0.391395 | 9195.92 -7698.6
55.2377 14.1257 | 1.2647 -1.80688 | 3397.62 13238.1
55.7209 13.9882 | 1.32915 -1.26283 | -11109.6 -2467.6
56.2058 13.8835 | -1.76273 0.209089 | 3537.59 5410.62
56.6972 13.8052 | -3.28142 0.388416 | 6667.49 -16417.2
57.1945 13.723 | -0.196594 3.12832 | -4517.78 9033.77


-54.9614 -77.8759 | 1.61408 0.975559 | -12019 -8386.14
-54.4758 -77.9258 | -5.68544 -1.74267 | -2624.24 9980.35
-53.9896 -77.9398 | -1.98271 4.90601 | 2367.38 365.031
-53.4977 -77.9273 | 3.46272 -6.19975 | 36095.1 5003.41
-52.9822 -77.902 | 2.87235 2.08667 | -11564.7 -4609.3
-52.4735 -77.8935 | -5.86434 4.94677 | -31805.4 -7978.93
-51.9867 -77.9138 | -6.74133 4.01461 | 15361 8281.16
-51.495 -77.9412 | 2.56095 0.750339 | -12168.6 8007.03
-51.0123 -77.9878 | -6.38636 3.03073 | 1678.89 -11372.1
-50.5364 -78.0928 | -5.88619 -0.403992 | 14086 -8222.26
-50.0628 -78.2447 | -2.09077 1.45381 | -21216.8 14156.8
-49.6016 -78.406 | 3.15464 -5.70756 | 56390.2 -12675.6
-49.1084 -78.5862 | -1.2451 -1.91844 | -4508.07 4047.36
-48.6289 -78.793 | -4.92373 1.5773 | -52190.3 -4352.68
-48.2044 -79.0442 | -0.0323881 2.11918 | 30455.7 13315.8
-47.7701 -79.2928 | -1.05853 -0.238605 | -12704.1 12378.7
-47.3565 -79.5617 | 4.57065 3.07253 | 9599.78 -40074.9
-46.9725 -79.905 | 3.7238 2.70675 | 17827.6 3292.3
-46.5981 -80.272 | 4.33754 3.013 | -15369.3 9746.56
-46.2554 -80.6533 | -5.2718 0.170322 | -3576.9 11160.9
-45.94 -81.0464 | -2.96066 8.84341 | -2137.04 -11730.3
-45.657 -81.4687 | -5.18627 -0.0103092 | 7259.45 7335.45
-45.3945 -81.9061 | -0.547116 2.33049 | -4651.63 -38131.4
-45.1666 -82.3811 | -1.00205 2.17362 | 1005.58 50269.2
-44.942 -82.8267 | 2.63795 -2.52115 | -1519.4 2230.42
-44.7403 -83.2769 | 0.105494 4.22912 | -21525 -21197.7
-44.5852 -83.7535 | -7.8318 3.19441 | 32563.9 9827.13
-44.4013 -84.2236 | 3.54166 1.76637 | -13354.9 -15172.6
-44.2379 -84.7069 | 2.36792 3.25967 | -16302.4 8805.56
-44.0849 -85.1838 | -7.50813 1.54013 | 19375.7 15897.9
-43.8803 -85.6326 | -3.79367 -2.11124 | -10307 -474.67
-43.6525 -86.0667 | 0.964757 -0.543462 | -4978.75 -13787
-43.3955 -86.4879 | 1.5618 1.87645 | 6568.72 26568
-43.0818 -86.8528 | -1.50054 -1.67505 | -20559.9 -8231.63
-42.7467 -87.1901 | 2.14302 -0.385171 | 13749 2838.31
-42.3637 -87.4829 | 2.47201 6.9699 | 8175.02 -5816.58
-41.9488 -87.7515 | -5.36407 -5.69592 | 18840 -32215.3
-41.5101 -88.0254 | 0.0550048 -4.28266 | -8631.87 8797
-41.0549 -88.2557 | 0.523137 4.67011 | -9279.78 31950.3
-40.5843 -88.4115 | -1.41384 -7.99105 | -3521.14 -35656.3
-40.112 -88.5672 | 4.52253 -4.34026 | -3159.68 16257.7
-39.6306 -88.6575 | 2.1836 -1.54652 | -23404.1 12725.9
-39.1547 -88.679 | -3.61679 1.85903 | 30488.4 -15411.3
-38.656 -88.6817 | -0.288331 -1.46577 | 33562.1 2670.03
-38.1362 -88.6569 | 7.22584 4.22731 | -43785.6 -8789.05
-37.6451 -88.6064 | 1.49096 5.84562 | 1009.31 6993.96
-37.1649 -88.5052 | 0.138802 1.01732 | 1970.22 19950.2
-36.6927 -88.3604 | 1.36547 -3.18509 | -3742.29 -38819.5
-36.2171 -88.258 | 1.18405 -0.815004 | 2937.5 19944.2
-35.7409 -88.1331 | 3.91977 4.05881 | 12160.4 -3090.54
-35.2564 -87.997 | 1.01618 -5.84443 | 23226.5 11123.4
-34.7622 -87.8375 | -4.20322 -2.29157 | -24857.3 5625.2
-34.288 -87.6671 | 0.462815 5.46985 | -27990.6 -19694
-33.8236 -87.5387 | 0.595835 -1.63248 | 25304.6 434.846
-33.3333 -87.4515 | -2.25136 2.82247 | 25474.6 5537.46
-32.8201 -87.3897 | 3.62752 -1.95751 | -20660.4 6447.09
-32.3143 -87.3488 | 1.19233 0.54814 | 16191.9 -10138.9
-31.8016 -87.3552 | 5.40534 -0.301637 | -40091.7 4018.36
-31.3134 -87.3964 | -0.530517 -8.7097 | 33617.4 -3435.45
-30.8106 -87.4722 | 0.00212739 1.5022 | -1525.07 -141.947
-30.3147 -87.5775 | 2.50544 -2.23041 | -32940.6 3484.4
