-38.2531 -27.7561 | 2.14294 2.72084 | 5519.68 -4804
-37.8497 -27.4578 | -1.57704 1.21804 | -10684 -1797.26
-37.4329 -27.1899 | -4.41158 0.918685 | -1210.25 -176.111
-36.9972 -26.9559 | 2.4282 0.773214 | 7479.4 3919.96
-36.5367 -26.7597 | 4.11982 0.593815 | 5558.16 -405.114
-36.0559 -26.6096 | -1.81959 4.30494 | -10427.4 -3785.44
-35.57 -26.5068 | -0.93572 3.04042 | -2177.12 2985.39
-35.0795 -26.4435 | -0.872191 2.29146 | 2161.46 -951.502
-34.584 -26.4231 | 1.23679 0.82473 | 2447.91 4348.86
-34.0869 -26.4428 | 2.34575 1.59215 | -2077.5 -6740.02
-33.5958 -26.5148 | 2.23703 2.43173 | -4491.52 1874.22
-33.1136 -26.6216 | 3.80084 -0.751316 | 7738.4 3854.85
-32.6326 -26.7501 | -4.34861 -0.686619 | 476.909 -2535.19


24.2199 -73.9356 | -0.363356 -6.36024 | -2386.96 -2403.22
24.5699 -73.5801 | 2.77311 -1.5386 | 7083.8 13648.1
24.9341 -73.2258 | 1.75805 -0.922088 | -3009.05 -3278.4
25.3196 -72.8992 | 2.9175 -3.99924 | 3270.98 -16783.8
25.7359 -72.6234 | -0.490192 0.853076 | -7163.38 5100.42
26.161 -72.3686 | -1.61705 1.45606 | -12800 4319.07
26.5896 -72.1321 | -2.21789 0.826577 | 12531.4 -10756.8
27.0445 -71.9399 | -3.93503 3.03374 | 1245.02 11781
27.5117 -71.7652 | 0.251734 -1.58194 | 1371.47 3052.33
27.9915 -71.6188 | 0.280293 1.95136 | 6959.87 -9000.51
28.4867 -71.5205 | -1.94171 2.40564 | -2391.39 6673.51
28.9854 -71.4509 | 1.54059 -0.146775 | -9368.68 -3938.18
29.4805 -71.4176 | 2.02081 2.83168 | -4307.65 -3312.83
29.9731 -71.4142 | -0.0656167 0.703935 | 6804.18 13417.4
30.4699 -71.4207 | 0.746794 -0.212058 | 1953.49 -9645.87
30.9651 -71.47 | 0.710087 3.8281 | -13223.4 -367.034
31.4477 -71.5539 | 3.35084 0.407099 | 8123.4 9691.6
31.9304 -71.6567 | 0.272344 1.4116 | 5885.6 -12564.3
32.4075 -71.803 | -2.72463 1.27197 | -9495.31 5965.7
32.8722 -71.9704 | -0.806558 0.7136 | 11779 1693.47
33.3374 -72.1534 | -1.96041 3.74068 | -3116.79 -4262.61
33.7922 -72.361 | -3.18725 0.205705 | -3271.85 1663.26
34.238 -72.5848 | -0.666826 -2.11733 | 13137.4 -6236.24
34.6866 -72.8214 | -1.07586 0.562198 | -10869.2 9152.41
35.127 -73.058 | -0.228792 1.81463 | 2792.74 -9648.12
35.5664 -73.3047 | -1.39691 1.61892 | 6185.39 3526.26
36.0145 -73.5408 | 0.116916 -2.26335 | -7540.29 2512.3
36.465 -73.764 | 0.339792 -4.82387 | 10249 -9986.65
36.9293 -73.9752 | -2.27124 2.31734 | -5004.95 13802.8
37.4025 -74.1465 | -0.95377 0.600318 | -14222.3 -5549.41
37.8746 -74.294 | -0.187518 2.4066 | 7796.72 6616.48
38.3589 -74.4008 | -1.03964 -0.398529 | -12449.5 -4942.72
38.8424 -74.4797 | -2.81269 -2.49995 | 10344.4 4630.2
39.3371 -74.521 | -2.22594 1.56549 | 6521.81 -3987.94
39.8396 -74.5387 | -1.29813 -5.39834 | 4786 -3844.61
40.3463 -74.5333 | -3.31113 -7.39246 | -3092.39 8019.08
40.8499 -74.4903 | -2.7377 0.126205 | -2384.76 -4562.11
41.3499 -74.4267 | 0.133007 1.1876 | 8289.69 -5713.9
41.8513 -74.3413 | -1.07248 1.96127 | -5256.22 13069.8
42.3413 -74.2073 | -1.44844 0.733096 | 3733.39 -4346.05
42.8255 -74.0483 | -2.46874 -2.25392 | 4819.73 -1032.59
43.3021 -73.8672 | -0.203795 -1.88399 | -24229.5 -6543.38
43.7508 -73.6624 | 0.220036 2.20874 | 4198.99 -374.649
44.1864 -73.4321 | -0.781158 -1.06852 | 1156.23 -2928.2
44.6062 -73.1748 | -0.796696 -1.64804 | -5015.28 6660.02
45.002 -72.88 | -0.685607 -2.54511 | 10616.2 8045.88
45.3924 -72.5632 | -2.38315 0.331423 | 6562.25 -13724.3
45.7843 -72.2486 | -1.08491 4.71405 | -6036.4 15014.9
46.158 -71.9067 | 0.122994 1.72304 | 4993.32 -33.0777
46.5287 -71.5574 | 0.314243 2.4612 | 4802.91 -4224.57
46.901 -71.2113 | 0.837986 1.22478 | -19380.5 -3372.79
47.2569 -70.8656 | 1.62759 -2.80127 | -956.467 -11234
47.6202 -70.5369 | 0.570154 1.14885 | 10958.6 7686.46
47.9997 -70.2137 | 0.861939 3.71968 | -227.832 8631.97
48.3861 -69.8917 | 3.06394 2.29798 | 2492.42 -14005
48.7834 -69.5897 | -0.325722 6.07567 | -6085.55 10852.1
49.1745 -69.2793 | -2.56652 4.47411 | -3752.23 645.141
49.5676 -68.974 | -0.436302 0.744302 | 8089.63 -10888.6
49.9794 -68.6945 | 0.343838 -0.24697 | -7849.56 12710.2
50.3933 -68.4172 | -0.497834 3.16247 | 3733.09 -6072.4
50.8254 -68.1681 | -2.60639 2.33832 | 6446.66 -2714.65
51.2764 -67.948 | -3.95006 -0.988531 | -6235.77 14101.7
51.7334 -67.7397 | -1.3756 0.0213344 | -193.372 -5242.69
52.2078 -67.5817 | 1.38328 4.73103 | 2483.61 -10686.5
52.6999 -67.4955 | 2.57217 4.00247 | -1588.21 4265.9
53.1981 -67.4592 | 0.523284 -1.3196 | 1577.38 -1671.47
53.699 -67.4663 | 1.05482 -2.06187 | 2008.68 4796.23
54.1999 -67.5029 | 2.03482 0.942541 | -1138.18 -3031.01
54.6966 -67.5742 | -0.915786 0.638129 | -1388.32 -90.3169
55.1881 -67.6728 | -3.47275 -2.25988 | 3201.53 -2673.61
55.6776 -67.7909 | 0.495015 -1.57037 | 1466.79 2929.65
56.1652 -67.912 | 0.791093 0.327958 | -18807.7 2528.22
56.6415 -68.0301 | -0.239391 -2.33853 | 10618.8 -1285.47
57.1276 -68.1379 | 2.04117 -3.06541 | 19083.5 6739.65
57.6289 -68.2303 | 3.18484 -2.27776 | -14006 -10318.1
58.1212 -68.3378 | 1.2451 -1.22814 | 115.021 493.114
58.6131 -68.4456 | 1.04292 3.04781 | 8747.16 4066.81
59.1117 -68.541 | 2.82209 1.27815 | -11356.5 -596.733
59.6042 -68.6302 | 2.48385 0.728565 | 1195.05 1398.08
60.0964 -68.7124 | -0.297446 1.41049 | -9594.51 -5892.52
60.5828 -68.7916 | -1.23592 2.38632 | -1170.97 8085.92
61.071 -68.8447 | -2.39013 -4.43786 | 7620.92 -8617.48
61.5661 -68.8814 | -3.5416 -1.54513 | -1271.85 7055.61
62.0627 -68.88 | -1.6459 -2.1167 | 242.055 -2148.37
62.56 -68.8491 | -0.423955 -4.49512 | 12615.3 -298.844
63.0637 -68.7889 | 1.88885 -1.21149 | 315.987 5439.04
63.564 -68.6952 | 1.17026 2.42198 | -1011.22 -5100.49
64.0583 -68.5839 | 1.6017 -1.36693 | -10255.5 -872.888
64.539 -68.4522 | 0.535938 -1.47292 | -6373.35 -10472.8
65.0072 -68.3027 | -1.41232 -0.314228 | 4956.99 8049.46
65.4622 -68.1046 | -3.31105 2.56939 | 1485.95 13973.1
65.8995 -67.856 | 0.44159 -0.868772 | 10954.1 -8606.52
66.336 -67.5981 | 0.685922 3.19786 | -2658.56 -5219.79
66.7612 -67.3296 | 2.61718 3.77191 | -11693.5 -5479.89
67.16 -67.0379 | 2.46816 0.0217878 | 4494.99 7898.64
67.5347 -66.7094 | 0.849184 -1.10603 | 1048.41 2638.07
67.884 -66.3523 | 2.55206 -2.49086 | -7917.77 -10161
68.2072 -65.982 | 0.745139 0.00221025 | 384.109 4498.3
68.5155 -65.5967 | -1.83849 1.99645 | 6458.29 1773.04
68.8249 -65.2072 | -6.83662 2.40044 | 759.265 1433.67


-17.8296 61.2663 | -1.23593 -1.64817 | 8980.28 -1707.69
-17.3262 61.1998 | 0.0401603 -0.436505 | -6470.18 6267.6
-16.832 61.1086 | -2.1827 -1.31957 | -2953.82 -10451.7
-16.3483 60.9767 | -1.90588 -1.21193 | 1737.01 9648.38
-15.8691 60.8304 | 0.196539 0.585256 | 5666.03 -3978.51
-15.3948 60.6575 | 2.45023 0.343055 | -5168.03 -5100.41
-14.9348 60.4566 | 2.52904 0.565552 | -11587.2 9342.28
-14.4881 60.2508 | 1.08558 1.13773 | 1185.12 -1942.06
-14.0431 60.0419 | 2.91012 1.10397 | 3289.7 5967.22
-13.5939 59.8401 | 4.13497 1.48348 | -245.441 -10655.6
-13.1446 59.6298 | 3.53813 -0.344862 | 5576.37 2485.71
-12.6855 59.4324 | 0.569421 -1.18356 | 1962.18 293.333
-12.2162 59.2531 | -0.246233 2.82238 | 5507.4 -6345.5
-11.7349 59.0924 | 0.229896 1.98195 | 653.95 13648.5
-11.2441 58.9701 | 0.261442 3.54575 | -4108.87 -7245.31
-10.7537 58.854 | 0.247009 -1.39362 | -2263.22 -14529.7
-10.2624 58.7423 | -1.87145 -4.05043 | -2501.1 21263.5
-9.76438 58.6914 | -3.01361 0.198841 | 9453.78 -4855.27
-9.25792 58.6761 | 0.523727 1.33109 | -2162.14 284.233
-8.75311 58.6891 | -0.738556 0.0939936 | -12607.5 -1576.94
-8.25706 58.7215 | -1.21909 -0.58185 | 9518.28 -4243.12
-7.75695 58.7695 | 0.607337 -1.13046 | 3671.13 -2419.23
-7.25768 58.848 | -0.400291 0.38755 | -840.958 10775.6
-6.76994 58.9826 | -0.0490056 2.43788 | -5421.2 -623.936
-6.29987 59.1573 | -1.9743 2.40481 | -8985.78 -9897.05
-5.84687 59.3532 | -4.8757 1.55164 | 6575.36 6377.43
-5.40254 59.5796 | -0.283821 0.072867 | 7065.6 -1146.42
-4.9657 59.828 | 1.05034 -0.037471 | -8776.06 1655.78
-4.54921 60.1012 | 0.189322 -2.15264 | -3015.95 -4051.26
-4.14515 60.3859 | -1.03405 -2.88865 | 1335.49 -33.3239
-3.74492 60.6763 | -1.11206 -0.342663 | -1247.53 3732
-3.34405 60.9672 | -0.98607 3.03309 | 7977.71 -9391.13
-2.92992 61.2406 | 1.26309 -0.474887 | -5787.37 4870.82
-2.51944 61.5184 | 1.5517 0.35113 | 3385.91 1255.25
-2.10851 61.8012 | -0.444074 1.11996 | 6411.86 5208.72
-1.69579 62.0918 | 0.898983 -2.32305 | -1854.04 1640.89
-1.2859 62.386 | 0.310948 -1.71417 | -5167.92 -5270.92
-0.877097 62.6732 | 0.468439 -1.28395 | -1308.28 -337.663
-0.463519 62.9521 | 0.260934 1.23424 | 7344.74 4854.63
-0.0367722 63.2211 | -1.59974 0.78558 | -3205.69 591.262
0.400369 63.4711 | -0.443535 -2.23126 | -68.3543 -3302.84
0.853828 63.6884 | -1.55472 -3.324 | 6055.3 -1235.1
1.32617 63.8698 | -1.95005 -3.92 | -1323.01 735.514
