51.344 24.4687 | -2.8533 -0.065265 | 6039.35 -503.705
51.7131 24.1338 | -4.1877 0.00128688 | 286.462 2466.06
52.1055 23.8268 | -3.50812 2.91078 | 3908.21 2806.87
52.5203 23.5476 | -1.9587 5.81924 | 3034.01 -1734.12
52.9462 23.2807 | -3.16129 3.12012 | -6174.63 -7025
53.3693 23.011 | -4.2533 1.15745 | -1647.93 876.221
53.7979 22.7525 | -2.41149 3.07916 | 1562.3 2931.86


-43.6199 -86.5596 | -0.789286 0.71561 | -12830.6 5618.22
-43.3315 -86.9565 | 2.43354 3.64615 | 25010.2 -9297.94
-42.9861 -87.3251 | -1.72387 -2.40989 | -18165.3 -522.617
-42.6216 -87.6669 | -2.00141 -7.50848 | 10104.3 6038.51
-42.2194 -87.9672 | 0.826768 3.03824 | 347.452 -9044.11
-41.7945 -88.2411 | -1.85338 3.2822 | -2858.71 6730.28
-41.35 -88.4765 | -1.68948 1.35586 | 1034.62 -16201.4
-40.886 -88.6827 | -1.40266 8.83707 | 11225.7 10412.1
-40.3912 -88.8117 | 2.58136 2.63342 | -1975.71 312.89
-39.886 -88.8598 | -2.73979 -0.346356 | -21811.7 17835.6
-39.3951 -88.8179 | -5.77259 -0.401328 | -9469.78 -10229.3
-38.9123 -88.7487 | 0.231009 3.79993 | 30104.2 -3450.65
-38.41 -88.6777 | -7.10009 3.31278 | 2985.33 2721.83
-37.9036 -88.6058 | -10.0242 -0.0538265 | -10051.3 -7976.18
-37.4034 -88.5424 | -6.26534 -1.79326 | -3326.45 5575.79
-36.9084 -88.4695 | -1.87831 1.49699 | -5175.42 -7610.4
-36.4189 -88.3926 | 0.199478 2.71553 | 284.719 11008.2
-35.9331 -88.2897 | -2.63924 -0.511694 | 4380.64 -80.5106
-35.4449 -88.1825 | -1.90159 -0.685384 | -807.85 -7603.48
-34.9549 -88.0897 | -3.77134 6.22444 | -1771.08 13150.2
-34.4643 -87.9998 | -0.904803 -0.74894 | -2507.37 -9163.98
-33.9699 -87.9538 | 1.09286 1.36378 | 5206.62 -10894.5
-33.4693 -87.9561 | -1.08627 -0.441406 | 7522.41 18686.2
-32.9635 -87.9661 | -0.160683 -6.49028 | -4385.97 -10162.8
-32.4613 -88.0175 | -1.5237 -5.02525 | 9995 8535.23
-31.9605 -88.1038 | -4.88196 -3.79408 | -17775 -7573.29
-31.4876 -88.2542 | -1.02587 1.26603 | -12364.7 9017.27
-31.0456 -88.4548 | -5.51263 1.38529 | 6299.69 -5883.45
-30.6256 -88.7087 | -6.95257 3.07054 | 14770.7 7322.8
-30.2215 -89.0013 | -0.857553 4.51094 | 2980.07 -28410
-29.8587 -89.3626 | -2.99104 2.20603 | -12312.8 12146
-29.5349 -89.7439 | -1.58573 2.90743 | -2886.23 34172.3
-29.2269 -90.1136 | -2.85764 -2.83214 | -8184.97 -30952
-28.9493 -90.5189 | 4.08383 -2.57193 | 12450.4 9869.52
-28.6557 -90.9127 | 1.60111 0.644434 | -9723.22 5576.82
-28.3484 -91.2898 | 1.81133 0.484192 | 23034.2 -7751.52
-28.0043 -91.6534 | 4.40488 -1.80798 | -6282.47 -7747.53
-27.6572 -92.0181 | -1.38873 -1.66405 | 874.443 12579.3
-27.3082 -92.3749 | -1.14708 4.18228 | -1217.41 -14859.9
-26.9737 -92.753 | -2.72645 0.0697662 | -9102.88 -8613.68
-26.6499 -93.1389 | -1.46734 -1.60755 | 496.116 23523.7
-26.3005 -93.4821 | -0.531807 -2.14651 | -16267.3 9351.6
-25.9324 -93.7844 | -0.0427155 -3.51347 | 4320.25 -11677.6
-25.5318 -94.0535 | -1.21316 -3.48565 | 20438 4777.5
-25.0881 -94.2702 | 2.2591 1.24101 | -15192.4 -10153.9
-24.6375 -94.4632 | -0.75023 -2.37817 | 7546.46 -794.008
-24.1686 -94.6176 | -0.991291 10.0754 | -9499.91 -761.6
-23.69 -94.7232 | -4.01034 3.36431 | 22149.2 8493.08
-23.1891 -94.7655 | -1.70746 -5.80864 | -8085.99 -6967.06
-22.6914 -94.7751 | 1.82603 5.07492 | -21159.8 -3430.87
-22.2073 -94.7563 | -0.10447 2.20761 | 16014.7 13146.1
-21.7166 -94.7021 | 0.854234 -1.87362 | 2040.2 -14492
-21.2228 -94.6577 | 1.93631 2.45898 | 1312.01 6434.16
-20.7269 -94.6098 | 2.50116 0.798657 | 8247.34 -15369.7
-20.2256 -94.5705 | 3.80976 -3.16155 | -10845.9 22684.4
-19.7328 -94.4901 | 0.855158 4.04736 | 13355.7 -8004.33
-19.234 -94.4115 | -1.7555 1.46057 | -11791.6 -13650.5
-18.7426 -94.3423 | -0.738148 -2.89751 | -8684.37 10289.5
-18.2613 -94.2421 | -0.607983 4.25989 | 12924.4 10352.5
-17.7777 -94.1159 | -1.44741 5.65428 | -7239.2 -20039.4
-17.2968 -94.0037 | -1.90691 2.86465 | 3338.46 5323.03
-16.8182 -93.8709 | -3.21893 1.3884 | 6450.49 5780.36
-16.3443 -93.7027 | -3.9218 3.59941 | 5957.08 5388.32
-15.8786 -93.4995 | -4.2159 2.6802 | -11182.8 3315.12
