76.4725 -56.1016 | 4.45455 -3.6626 | 6771.77 522.785
76.9504 -55.9928 | 7.34349 0.383747 | -7534.15 -93.0096
77.4285 -55.8946 | 0.214095 4.14437 | 19748.1 7754.82
77.9192 -55.8015 | -2.9541 -2.08977 | -22632 -13546.5
78.4009 -55.7298 | -4.63049 -2.08504 | 19172.8 1441.51
78.8934 -55.6486 | 0.745876 0.386673 | 12297.4 7820.24
79.3874 -55.5255 | -2.11897 3.49762 | -11443.9 8288.42
79.8614 -55.3508 | -0.130794 -2.39263 | 3539.08 -12798.1
80.3231 -55.1508 | 1.91257 2.48904 | -9351.03 10753.7
80.758 -54.9029 | -7.19584 -3.25651 | 3791.12 -7026.7


-30.0577 27.5821 | -5.11757 1.72898 | 6452.48 139.841
-29.5531 27.6261 | -1.1494 -0.74328 | 2985.09 -5098.97
-29.0468 27.6342 | 0.616502 -0.541135 | -16914.5 8313.88
-28.5518 27.6285 | -2.14856 -0.211255 | 1800.98 1504.66
-28.0582 27.598 | 0.225184 -1.25143 | 1520.99 -1905.42
-27.5674 27.5268 | 2.82774 0.729797 | 3395.18 -4942.86
-27.0817 27.4083 | -0.0111584 -1.32985 | 8040.35 -1311.47
-26.6011 27.2535 | -0.340358 -0.390826 | -12039.1 535.591
-26.1365 27.0735 | 0.953446 -1.53852 | 1877.98 5743.55
-25.6748 26.8863 | -1.56913 -1.19821 | 11926.9 -5736.98
-25.2098 26.686 | -1.05256 0.778197 | -7532.47 3638.36
-24.7528 26.4779 | -2.2453 -0.0153822 | 2751.89 719.862
-24.3004 26.2592 | -3.06294 -0.369108 | 258.237 3597.03
-23.8585 26.0233 | -2.41421 -1.8386 | -5294.04 -3839.18
-23.4401 25.7521 | 0.239756 -0.255318 | -1154.11 -7658.7
-23.043 25.4462 | 1.14935 0.30257 | 3185.51 4141.89
-22.652 25.1308 | -0.932743 -0.0175732 | 221.39 -6125.43
-22.2613 24.8119 | -1.03696 1.554 | -2180.37 12609.9
-21.861 24.5145 | -3.15684 1.25783 | 1393.07 -2935.13
-21.4511 24.2279 | -2.61767 4.6701 | -2029.48 -13811.2
-21.0314 23.949 | -1.80427 2.18566 | 4548.08 20198
-20.5845 23.723 | -3.32128 -0.629121 | 2711.71 -6373.89
-20.1222 23.521 | -4.37251 -0.501364 | 992.695 -5801.17
-19.6515 23.3329 | -2.97094 -0.740145 | -2236.49 3442.5
-19.1741 23.1674 | -0.763527 2.81692 | 2427.9 -4821.96
-18.689 23.0224 | 3.33471 0.862132 | -9804.43 3186.8
-18.2019 22.9138 | 2.66492 -2.46353 | -2755.79 -459.442
-17.7091 22.8525 | 1.49991 0.175268 | 8507.56 3674.63
-17.2079 22.8522 | 1.10914 -2.68072 | -4019.18 3408.48
-16.7114 22.9091 | -1.7491 -4.69105 | 821.432 -3092.6
-16.2211 23.0044 | -2.35382 2.48622 | -4856.01 1122.77
-15.74 23.1308 | -0.269742 4.41793 | 7881.69 -2312.37
-15.2589 23.2744 | -0.184325 1.00976 | 6133.37 -3056.66
-14.7807 23.4355 | 1.41716 -1.19862 | -14803.8 2080.83
-14.3242 23.6286 | 1.10243 -0.160191 | -2957.97 -219.012
-13.8818 23.8472 | -1.70422 2.22299 | 9511.28 1964.12
-13.4408 24.0814 | -3.18022 0.926842 | -209.785 -2928.93
-13.005 24.3236 | -3.14071 -1.78379 | -7044.19 2448.49
-12.5794 24.5765 | -1.36741 1.40785 | -4553.36 4495.64
-12.1528 24.8258 | 0.129234 1.74278 | 15596 -6859.66
-11.6995 25.0372 | -1.61303 4.45451 | -6524.26 -1423.58
-11.2364 25.2156 | 0.0983997 1.63468 | -10019.6 417.015
-10.7695 25.3662 | -0.636456 0.381075 | 11581.8 1174.92
-10.2864 25.4866 | -3.77889 2.9689 | 94.0531 3406.54
-9.79479 25.5788 | -1.82317 -0.158866 | 5702.74 -6174.76
-9.29415 25.6339 | 0.587239 0.920834 | -731.825 5874.34
-8.79268 25.6699 | 1.46566 0.176647 | -13072.7 1434.61
-8.29855 25.6819 | 1.28442 1.01219 | 6551.57 -180.631
-7.8027 25.6582 | 0.266889 3.93626 | -6595.2 -4100.72
-7.31538 25.5897 | -0.204616 0.633029 | -3365.9 7888.35
-6.83717 25.4886 | -0.684659 -2.23808 | 3115.15 -4940.59
-6.36795 25.3406 | -1.18129 -0.944545 | 7947.56 -1640.15
-5.90714 25.1519 | -0.964662 0.185262 | 278.647 2444.88
-5.46202 24.9298 | -0.886023 0.670601 | -10563.7 -1046.96
-5.04152 24.6742 | -0.321933 2.03029 | 5801.75 3229.67
-4.62912 24.4016 | -1.33798 0.698071 | 9240.31 -755.873
-4.22175 24.1097 | -2.35754 -1.73275 | -2279.32 -12937.2
-3.83159 23.7858 | -0.279096 3.08315 | 11228 2014.47
-3.44249 23.4531 | -0.866508 2.48855 | -8098 6027.49
-3.06729 23.1141 | 0.711809 2.23531 | -4597.31 -1174.24
-2.70586 22.7637 | 1.04184 2.50255 | 8601.68 -14.6599
-2.34662 22.407 | -1.7729 0.746868 | -11102.5 -539.83
-2.00416 22.0411 | -1.03719 0.283069 | 1136.41 6843.99
-1.66296 21.6794 | -1.7841 -0.437653 | 173.325 3251.37
-1.32272 21.3191 | -2.96016 -1.49696 | 470.156 -5020.61
-0.98833 20.9491 | -1.65539 2.20728 | 11313.9 -1304.72
-0.657517 20.5691 | -1.06443 1.03968 | -13193 -3639.51
-0.359099 20.1673 | -3.74545 -0.834783 | -3341.3 1888.47
-0.0775523 19.7549 | -1.63819 1.36246 | 9584.2 -5577.77
0.212693 19.3403 | 0.948197 0.0894406 | 591.397 1971.13
0.513324 18.9331 | -0.55934 0.21156 | -2292.55 779.692
0.823566 18.5346 | -3.12152 0.00887396 | 842.787 -1457.31
1.14897 18.1471 | -2.70629 0.384642 | 1563.96 -467.082
1.49394 17.7765 | -1.32804 -2.76032 | -7172.09 2360.12
1.85708 17.4305 | 1.03045 -1.51296 | 3013.79 2360.8
2.25129 17.1219 | 0.0678675 3.05897 | -961.958 6814.24
2.67305 16.8574 | -0.572162 0.074649 | -2234.92 -8602.68
3.11381 16.6215 | -0.227687 1.52702 | 8830.28 -3518.2
3.58111 16.428 | -1.31871 4.35614 | -2672.65 7222.95
4.06633 16.2957 | -3.84133 -1.16651 | -4171.06 3803.43
4.56102 16.2185 | -4.2898 -4.44027 | 9288.6 -3265.53
5.06673 16.1768 | -3.40899 0.779833 | 2314.94 -475.824
5.57687 16.1615 | -2.20707 2.41298 | 1974.48 -1350.61
6.0884 16.1655 | -4.58834 -2.01292 | -5735.2 6250.02
6.59565 16.188 | -3.15992 -2.84461 | -1858.29 -7571.52
7.10155 16.2039 | -0.93792 -0.195063 | 5809.92 1045.15
7.6106 16.2178 | -0.858744 -3.19027 | -5164.62 -3335.04
8.116 16.23 | -0.911146 -2.15174 | -5998.1 4954.63
8.61667 16.2537 | 1.64296 0.993127 | 2222.04 -2003.92
9.1183 16.2818 | 2.81494 1.35586 | 4817.36 -1422.29
9.6226 16.3157 | 0.562076 -1.46257 | -2167.75 10395.8
10.1246 16.3636 | 1.20897 0.783793 | -5513.83 -3220.02
10.6231 16.3925 | 3.0632 -0.295411 | -6924 330.697
11.117 16.381 | 1.39134 -5.50728 | 5214.11 -12436.7
11.6095 16.3075 | 0.869153 -5.47787 | 4760.61 8009.06
12.0987 16.2007 | -0.343273 2.21936 | -3750.71 348.305
12.5752 16.0566 | -0.403984 3.03175 | -8208.09 1826.6
13.0326 15.8745 | 2.5905 -1.4423 | 4587.05 -3327.8
13.4774 15.6555 | 2.29329 -1.30783 | 6593.6 2306.58
13.9124 15.4096 | 2.85036 1.67228 | -1492.45 -1424.79


-17.0424 -68.9402 | -1.86155 0.466917 | -5879.92 -877.338
-16.5725 -69.0983 | -0.838807 1.43329 | 6890.27 -1173.87
-16.091 -69.2341 | -1.48031 -1.77148 | -1799.63 -254.257
-15.601 -69.3355 | -0.877972 -0.601135 | 7705.27 5695.81
-15.0995 -69.3899 | -0.752644 -1.01144 | -6322.63 -661.495
-14.5994 -69.4094 | 1.14657 0.58487 | -4814.33 -1131.34
-14.1024 -69.4029 | 2.67688 2.12515 | 2547.48 -2102.43
-13.6049 -69.375 | 3.89419 -1.81367 | 990.91 1727.84
-13.1078 -69.3225 | 3.51821 -2.23721 | 6290.72 -4166.92
-12.6101 -69.249 | 2.08075 2.11679 | -7191.17 4741.54
-12.1234 -69.1408 | 1.63505 0.564323 | -6558.88 -9507.17
-11.649 -69.0078 | 2.68239 -3.48246 | 5301.15 7364.06
-11.185 -68.8286 | 2.53159 -2.95023 | 2532.73 6822.77
-10.7338 -68.6076 | 1.40342 -1.30844 | 9140.49 -5032.8
-10.2868 -68.3686 | -0.18767 0.887788 | -3487.22 1742.73
-9.85479 -68.1066 | 0.368377 -1.32107 | -4488.07 -7201.7
-9.44109 -67.8274 | 1.88011 -4.07956 | -3635.41 -1248.21
-9.05156 -67.5213 | 1.81286 -3.67264 | -373.475 -1850.01
-8.68954 -67.1837 | -0.979825 -0.0924982 | 7447.59 12344.4
-8.35713 -66.8051 | -0.307561 -1.22838 | -6546.62 613.612
-8.06053 -66.4 | 1.26126 0.135442 | -1631.65 -11664.7
-7.78313 -65.9897 | 0.741832 -0.0271095 | 2484.97 4297.47
-7.51651 -65.5701 | 2.37704 -1.69899 | -119.678 -5508.71
-7.25759 -65.1484 | 1.90228 1.66113 | 1980.29 6130.05
-7.00706 -64.7167 | 0.269108 2.02696 | 577.97 4171.52
-6.76454 -64.2777 | -2.87329 0.41845 | -6231.56 -5732.73
-6.52712 -63.8415 | -4.79079 1.41613 | 1225.31 -262.446
-6.27668 -63.4125 | -5.05011 3.19623 | 3902.39 1556.94
-6.00087 -62.9951 | -3.93556 2.17478 | 2733.77 13603.7
-5.69594 -62.5878 | -2.56055 -0.792437 | 6337.52 -9898.51
-5.35022 -62.2173 | -3.75751 0.984833 | -5855.66 -8186.86
-4.98198 -61.8794 | -1.68213 5.15667 | -5806.54 4149.5
-4.60402 -61.555 | -1.40224 4.48546 | 1422.06 5376.24
-4.21054 -61.2458 | -4.37237 3.59124 | -3735.83 1154.99
-3.79578 -60.9693 | 0.366684 -2.40298 | 2154 -7845.53
-3.349 -60.753 | -0.659376 -0.871028 | -697.473 -287.805
-2.87816 -60.5958 | -1.97286 2.17578 | 5723.38 4073.62
-2.38891 -60.4928 | 0.0902239 -2.56626 | -8119.02 -2072.36
-1.89607 -60.4487 | -0.981136 -2.0328 | -985.716 1343.8
-1.40261 -60.4606 | -2.91336 -1.32155 | 2054.9 -2977.32
-0.911854 -60.5274 | -1.73039 -1.38319 | 789.969 1950.85
-0.427006 -60.6335 | 1.38176 2.58513 | 2600.72 488.258
0.0519096 -60.7704 | 2.17522 5.05025 | 976.583 3745.18
0.522532 -60.9316 | -0.31949 1.14021 | -4996.88 2032.37
0.976765 -61.1241 | 0.80345 -0.654702 | -4301.13 -7761.72
1.41147 -61.3553 | 1.30678 0.182345 | 579.051 5485.58
1.83945 -61.5979 | 1.23972 2.57952 | 9579.92 2574.41
2.27147 -61.8457 | 1.27734 2.98894 | 6991.22 -12974.6
2.70123 -62.1146 | 0.566087 2.36752 | -4512.49 6276.67
3.12513 -62.3871 | 1.00158 0.773774 | 432.012 -3416.52
3.54756 -62.6648 | 1.88828 -0.705447 | 3732.34 -3492.48
3.97652 -62.9394 | 3.30936 1.7724 | 3470.98 2845.06
4.41728 -63.196 | 2.83632 1.97545 | -5234.69 4800.4
4.86366 -63.4315 | -0.229841 2.68561 | -8148.85 -393.315
5.31228 -63.6512 | -0.539794 3.01869 | 3965.47 -2637.69
5.77368 -63.8492 | 0.886314 0.118766 | 4692.99 -121.413
6.25063 -64.0126 | 1.21443 1.61043 | -9067.82 7441.8
6.73348 -64.131 | 1.76174 2.79841 | -2008.94 437.606
7.22168 -64.2163 | 1.64291 3.50938 | 6699.39 -8762.33
7.71803 -64.2822 | 0.675403 0.451777 | -1556.3 -532.335
8.21835 -64.3114 | 1.12949 -1.82688 | 6133.98 10374.9
8.72381 -64.2846 | -0.795415 -2.63094 | 7780.14 -6247.77
9.23112 -64.2233 | -0.587729 -0.203869 | -8051.87 989.57
9.72612 -64.1213 | 0.191934 -0.170953 | -9748.12 2705.65
10.2041 -63.9794 | 0.108735 -0.986404 | 2605.77 -8232.69
10.6744 -63.8148 | 1.12498 0.780621 | 6336.98 3193.81
11.1347 -63.6127 | -1.26213 0.236521 | -3562.66 9408.96
11.5736 -63.3649 | -2.41601 1.09327 | -92.3974 -7565.2
11.9986 -63.0984 | 0.582361 -1.30749 | -161.475 1108.41
12.4116 -62.8135 | 0.486615 -3.07794 | -1728.79 6947.24
12.8159 -62.5143 | 2.54101 -2.97582 | 1884.01 -10366.3
13.2261 -62.2298 | 2.73667 -1.26357 | -2876.85 -6679.93
13.638 -61.9559 | 0.467547 -0.818556 | -4634.55 4545.23
14.0428 -61.6725 | 0.222065 -1.26543 | 3045.45 8632.04
14.4491 -61.3793 | -0.409526 -0.129073 | 19203.1 1422.76
14.8755 -61.0949 | -1.1348 -1.41589 | -7122.83 -959.522
15.3027 -60.8179 | -0.119233 -3.57431 | -9761 -3262.77
15.7279 -60.5509 | 1.3593 -2.99642 | 3083.17 2844.69
16.1637 -60.2986 | 1.35092 -1.19295 | 513.222 276.152
16.6146 -60.075 | -0.467964 0.580403 | -2561.27 -11947.5
17.0805 -59.8967 | 0.559054 -0.869194 | 702.545 4715.56
17.5557 -59.7392 | 1.34935 -2.43048 | 3778.05 5871.45
18.0397 -59.594 | 1.15727 -0.268344 | 6483.84 -68.1772
18.5349 -59.4706 | 0.0227869 0.180951 | 580.425 1455.74
19.0365 -59.3736 | -0.655589 0.550737 | -8087.39 -4048.13
19.5387 -59.314 | 2.81471 -1.1397 | 5433.23 -4755.04
20.0468 -59.292 | 1.41445 -0.819336 | 2921.49 4586.29
20.5577 -59.2895 | -2.81107 0.304046 | -1764.89 209.903
21.0672 -59.3069 | -1.03851 -1.21464 | -2377.67 -34.379
21.5729 -59.3463 | 2.53489 -1.51292 | -4944.72 -582.348
22.0722 -59.4096 | 2.51181 0.493969 | -2015.53 3701.73
22.5657 -59.4954 | -0.7424 3.62367 | 2029.2 -6532.16
23.0527 -59.6156 | -0.560683 3.14981 | -8266.5 1897.06
23.5271 -59.7563 | 2.0403 1.02295 | -7412.34 11877
23.9914 -59.9035 | 0.654019 1.95467 | 3966.38 -8591.35
24.448 -60.0808 | -1.08489 4.44727 | -2447.65 -1142.78
24.8947 -60.2784 | -0.748175 0.16046 | -4214.89 8972.06
25.3358 -60.4779 | 0.682099 -1.97964 | 5299.58 -7676.74
25.7773 -60.6895 | 0.387054 -0.664872 | 6380.97 -226.718
26.2242 -60.9009 | -1.18356 2.15892 | 3811.43 -2223.8


-24.4237 85.5781 | -0.980109 2.17354 | -10115.1 -746.124
-24.0033 85.8327 | 0.0317577 0.563424 | 6670.2 -4315.61
-23.587 86.0988 | -0.717551 0.355336 | -1673.28 4156.2
