40.392 29.5471 | 0.369368 2.20697 | -10796.5 2694.11
40.8715 29.6661 | -0.203591 0.443259 | -3589.58 9504.99
41.3548 29.7607 | -0.578641 2.73387 | 7675.77 -8796.02
41.8505 29.7964 | -0.559568 3.49396 | 5418.89 -1402.97
42.3516 29.7789 | -2.16481 -1.05199 | -1008.99 3693.71
42.8487 29.7219 | -4.35525 -3.59424 | -9933.34 -3192.89
43.3333 29.6256 | -0.853118 -0.860653 | 3619.15 5367.83
43.8139 29.5083 | 0.210693 -0.553313 | 4288.75 -2747.08


11.7584 -45.0951 | 4.69931 -1.76508 | -7883.78 -351.033
12.2368 -45.2157 | 1.72636 -5.65568 | 5957.72 4252.62
12.7277 -45.2966 | 0.662853 -3.64642 | 5528.05 -6588.76
13.2265 -45.3532 | 1.40311 -0.0694367 | -3562.63 3604.13
13.7246 -45.3784 | 3.73401 -3.04463 | -11208.7 -468.899
14.215 -45.3796 | 4.9012 -5.10255 | -1163.04 -4374.61
14.7032 -45.3626 | 4.04057 -2.64188 | 2247.32 1055.81
15.1916 -45.3175 | 3.80285 0.212754 | 6275.78 2923.96
15.6816 -45.2405 | 3.98824 1.20236 | 7428.34 -1926.47
16.1725 -45.1387 | 4.18608 -2.11651 | -2904.47 4100.46
16.6556 -45.0081 | 2.88088 -0.0499091 | -5940.12 3926.5
17.1313 -44.8617 | 2.29588 0.191517 | 5219.87 -10085.9
17.6128 -44.7312 | 2.36025 -1.07317 | -613.421 5554.36
18.0971 -44.6065 | 1.10335 -0.166642 | 4279.91 -2238.58
18.5874 -44.4985 | 1.3446 0.564923 | -4644.98 -1373.93
19.0777 -44.407 | 1.53716 1.37861 | -3743.4 1067.63
19.5674 -44.3286 | 0.699612 1.9241 | 1000.71 -3056.83
20.0595 -44.2652 | -1.08075 1.56596 | 2420.66 7714.44
20.5552 -44.206 | -0.435924 0.998292 | 6165.5 -4741.33
21.0568 -44.1693 | 2.38611 -1.27365 | -5593.17 -4340.12
21.5563 -44.1521 | 0.631901 0.425597 | 1704.02 13318.5
22.0573 -44.1344 | -0.784438 1.31152 | 5505.08 -7313.57
22.5615 -44.1491 | 2.25135 0.923687 | -7283.97 3233.06
23.0582 -44.1994 | 2.59891 0.770822 | -3767.03 -2816.87
23.5443 -44.2991 | 1.84197 0.29597 | -240.682 -4436.66
24.0188 -44.4477 | 1.87428 1.51117 | 8280.76 5162.08
24.4876 -44.6263 | -0.506579 -1.17535 | -1334.9 -6071.44
24.9411 -44.842 | 0.226175 -0.141932 | -6626.64 5528.7
25.3783 -45.0782 | -0.280445 1.59971 | 651.009 -2242.98
25.8069 -45.3305 | -1.86622 0.438145 | 3619.4 536.818
26.2352 -45.5871 | -0.891693 0.0812314 | 803.136 5907.04
26.6642 -45.8418 | -2.54593 -1.54846 | 3456.52 -6706.77
27.0899 -46.1109 | -2.41543 0.369614 | 519.767 -5682.26
27.5106 -46.3934 | -2.42135 -0.63811 | 3162.85 6207.51
27.9328 -46.6728 | 0.0939143 0.428297 | -3261.62 -4.62939
28.3491 -46.956 | 1.97613 1.11281 | -9107.25 -1430.24
28.7562 -47.2442 | -0.742582 -1.55132 | 5654.45 4348.49
29.1713 -47.5221 | 0.0201895 -0.107062 | 420.561 -432.791
29.5911 -47.7935 | -0.350922 1.06229 | -1489.86 -868.846
30.0122 -48.0616 | -1.47858 -0.248212 | -2575.15 -149.236
30.4343 -48.3249 | 0.140402 0.940538 | -1003.3 810.356
30.8617 -48.5782 | -0.649684 1.28641 | 5018.95 560.926
31.3001 -48.8181 | -0.617385 1.14133 | -926.972 -5017.9
31.7443 -49.0497 | 1.78449 1.4832 | -2483.99 796.507
32.1971 -49.2609 | 0.832434 -2.83568 | 3249.03 3918.3
32.6651 -49.4404 | 1.0564 -2.58338 | 6486.47 -3036.17
33.1467 -49.5946 | 0.631999 -0.826226 | -4934.15 -1845.12
33.6317 -49.7241 | -0.452142 -1.66436 | -10513.2 4413.89
34.1152 -49.8192 | -0.694047 -0.563006 | -8182.56 2846.7
34.5972 -49.8805 | 0.0136072 -1.14456 | 2956.96 -6620.81
35.0841 -49.9187 | 1.68553 -0.641865 | 9243.13 220.448
35.5796 -49.9212 | 1.66284 -0.830034 | 4510.04 6784.97
36.0774 -49.8802 | 1.29424 -0.658908 | -3629.24 -8778.26
36.5704 -49.8167 | 0.46595 3.58964 | -1222.98 3164.89
37.0573 -49.7187 | -0.855819 2.59943 | 5123.56 5029.03
37.5397 -49.5884 | -1.00592 4.13879 | -7349.88 -9911.45
38.0122 -49.4461 | -0.361123 5.08973 | -3754.94 4995.49
38.4756 -49.2801 | 0.56689 2.44199 | 9917.76 1685.29
38.9414 -49.1013 | -0.985799 4.23613 | 2010.84 0.536522
39.408 -48.9183 | -1.7811 2.53364 | -1948.68 -243.034
39.8737 -48.7369 | 0.283596 -2.53253 | -3802.79 -2381.64
40.3399 -48.5637 | -0.66915 -0.675118 | 5939.23 2265.28
40.814 -48.3993 | -2.06984 2.01831 | 3132.8 2638.28
41.2951 -48.2477 | 0.34271 -0.324475 | -3469.66 -1306.49
41.7806 -48.12 | 0.592285 -0.218928 | -3847.68 -5110.89
42.2705 -48.0252 | 1.06888 -2.53135 | 6106.84 3891.33
42.7687 -47.9547 | 1.31673 -2.4491 | 1566.86 1229.55
43.2709 -47.9127 | -0.537971 0.217154 | -8542.36 -4842.55
43.7685 -47.9075 | -0.137371 1.49664 | -3552.27 -1472.6
44.2625 -47.9289 | 0.489258 -0.651063 | 2355.72 8696.1
44.7563 -47.9592 | 1.89634 -0.375513 | -4199.79 -5810.29
45.2461 -48.0151 | 2.32989 -0.399738 | 4245.93 3066.07
45.7369 -48.0875 | 0.413296 0.335498 | 8656.47 1532.96
46.2296 -48.1805 | 0.177931 1.42594 | -6261.36 279.69
46.7104 -48.3063 | 0.521393 -1.44996 | -7490.52 1485.54
47.1724 -48.4722 | -0.70048 -3.19074 | -1676.6 2108.47
47.6146 -48.6811 | 0.0316254 -0.0694033 | 7406.56 -5169.82
48.0382 -48.9383 | 0.485132 -0.965857 | 5106.42 -3729.78
48.4396 -49.2373 | 0.491208 -2.17799 | -6134 2353.53
48.8126 -49.5664 | -0.247373 -0.914124 | 3032.94 -438.784
