-27.9934 90.1454 | 1.07396 3.53077 | -4251.88 309.238
-27.5646 90.4004 | -2.24115 1.93509 | 12307.9 3653.24
-27.1353 90.6737 | 2.0815 4.33652 | 10273.8 11819.2
-26.7065 90.9656 | 1.03145 0.283517 | -8352.85 -20927.2
-26.2875 91.2517 | -1.06856 -0.818824 | -10796.7 13380.6
-25.8914 91.5651 | -1.15103 4.31136 | 6997.83 -9336.99
-25.4964 91.8815 | -1.96505 2.89388 | 7728.55 13511.4
-25.1056 92.2167 | -0.353084 3.62038 | -11617.6 -1743.52
-24.7264 92.5562 | 4.11841 -3.03223 | -1912.38 -5603.5
-24.3383 92.8776 | 1.6256 4.16726 | 553.348 -3304.32
-23.9285 93.1666 | 2.13864 -1.83372 | -1586.31 -7877.42
-23.4952 93.4148 | -1.37593 -2.34148 | 15855.7 8014.61
-23.0372 93.6406 | 4.04682 3.93751 | -4583.27 -1238.19
-22.576 93.8511 | 4.24505 0.726271 | -24434.9 -852.221
-22.1279 94.0527 | 2.73649 -0.746274 | 7236.95 -3276.86
-21.6679 94.2302 | 2.28348 -6.50746 | 2665.66 2441.26
-21.1958 94.384 | -2.53155 2.11952 | 5164 1991.09
-20.7099 94.511 | -0.12309 0.444877 | 11813.1 4105.24
-20.2079 94.6066 | -1.1257 -1.43815 | -1019.38 -8934.51
-19.7013 94.6567 | -1.07332 -0.993543 | -17390.9 5653.34
-19.2051 94.6806 | 5.35555 -6.50339 | -3936.5 -1178.78
-18.712 94.6719 | 2.90812 1.6356 | 8500.42 -285.818
-18.2146 94.6293 | 0.0757694 2.45422 | 5499.44 2523.61
-17.7151 94.5524 | -0.785384 -1.05465 | 14395.9 -12831.4
-17.214 94.4279 | -1.01322 0.634587 | -10882.6 12230.9
-16.7261 94.2824 | -1.5094 -3.35601 | 2152.91 -3616.38
-16.2503 94.1005 | -1.72106 -0.300258 | -1299.22 1341.05
-15.7941 93.8785 | -3.22704 -2.51866 | -9095.55 -4064.79
-15.369 93.609 | -1.9287 3.78715 | 1815.36 -3234.78
-14.9642 93.306 | -5.89386 -1.56315 | 9925.87 4817.95
-14.567 92.9893 | -1.36799 -2.35117 | -18290.3 -1425.51
-14.1975 92.6528 | 0.715282 -2.64863 | 9518.5 8079.3
-13.8272 92.3166 | 2.75834 0.717054 | -8721.26 -14685
-13.4643 91.9669 | 5.56719 0.500061 | 19656.7 798.462
-13.0715 91.6383 | 2.20407 -2.25897 | -8115.96 12848.3
-12.665 91.3426 | 6.40804 -0.227527 | -16774.4 -4156.4
-12.2578 91.0647 | -1.46318 0.677034 | 6750.31 19844.6
-11.8284 90.8281 | -0.00407183 2.66264 | 2672.24 -24455
-11.3924 90.5804 | 9.50776 -1.95582 | 15522.6 -6684.58
-10.936 90.3449 | 4.43694 -0.602821 | -6015.1 11845
-10.4671 90.15 | -1.38598 0.561188 | -9471.16 -4273.94
-9.99039 89.9884 | 0.313953 -3.76508 | 17215 -2045.46
-9.48984 89.878 | 4.96994 2.39373 | -8996.31 7338.25
-8.98503 89.8383 | 0.214905 2.25036 | -8397.43 8567.38
-8.48467 89.8656 | -5.82282 1.94008 | 9727.71 -16747.2
-7.9821 89.9239 | -2.92139 4.02937 | -1773.23 11102.3
-7.49012 90.0461 | 3.93548 -3.42749 | 1696.06 828.029
-7.01281 90.2229 | -2.32983 -1.4284 | 3768.31 10584.9
-6.55266 90.4467 | -3.02508 -0.538384 | -23331.9 -14184.9
-6.11511 90.675 | -2.19367 -0.284347 | 6637.28 -16500.8
-5.67335 90.8902 | 0.989345 5.96112 | 5800.08 27300.4
-5.23663 91.1389 | -2.56552 6.90639 | 1227.79 -19094.1
-4.79793 91.3773 | -4.7576 -3.47372 | 142.834 6302.12
-4.36541 91.6317 | -2.93692 5.30829 | 3479.26 5049.53
-3.94047 91.9069 | -5.24025 2.94699 | 10605.3 -8500.9
-3.52319 92.1975 | 3.55028 -6.7009 | -18219.7 17588.1
-3.14913 92.5374 | 4.48274 -1.97402 | -1315.15 -16983.8
-2.79218 92.8853 | -3.5976 -1.98639 | 10219.9 11330.1
-2.44041 93.2501 | -3.28552 1.85562 | -10792.4 3099.24
-2.09932 93.6194 | 0.763504 -1.43678 | -385.279 -23937.6
-1.74353 93.9564 | -1.52505 1.52583 | -9129.8 7476.99
-1.38275 94.2851 | 0.727396 -1.15084 | 8281.19 4483.44
-0.996836 94.5939 | 4.4514 -7.43395 | 6082.85 867.26
-0.582556 94.8707 | 1.12074 -1.30728 | -3799.29 -8564.95
-0.15053 95.1099 | 5.43567 1.78554 | -5508.28 8442.9
0.288759 95.334 | 2.86921 -4.48939 | 3434.89 781.293
0.744184 95.5311 | -0.324916 -2.16094 | 9591.93 -3837.74
1.22 95.6923 | -0.266885 -2.82867 | 859.511 9330.45
1.70515 95.8337 | -0.872543 -4.03881 | -4475.47 -9134.93
2.19653 95.9387 | -2.7602 -3.39299 | 10285.6 11855.2
2.69781 96.0232 | 1.33048 -2.05777 | -17022.3 -10252.1
3.19401 96.0609 | 1.66921 -4.19749 | 5085.71 -6203.82
3.69447 96.0606 | 3.27571 -4.16656 | 12861.5 11465.5
4.20262 96.0566 | 4.50432 -0.766228 | -12349 -1688.8
4.70292 96.0379 | 0.365003 3.21232 | -6802.2 -314.418
