-5.28933 15.2074 | 0.227707 1.44535 | 5693.14 3125
31.7635 24.5959 | -0.876427 0.100812 | 767.883 -118.664
32.0501 25.0118 | 1.02283 -2.36765 | -1818.88 -4789.64
32.3541 25.4109 | -0.770596 -0.593591 | -3069.28 2420.44
32.6759 25.7959 | 0.979056 -1.85516 | 6596.14 276.783
33.0278 26.1588 | 2.03673 -3.65632 | 4809.05 2776.76
33.4056 26.5007 | 1.59951 -5.18996 | -4737.13 3966.44
33.7988 26.8227 | -0.595368 -5.61322 | -5383.09 -11663.7
34.2113 27.106 | -2.60032 -6.35503 | 610.641 1500.5


10.4341 -43.2201 | 0.252165 1.27329 | 2363.61 -2493.86
10.7743 -43.5906 | -0.374636 -0.142237 | -950.632 1392.55
11.1396 -43.9335 | 0.718558 0.0555246 | -5570.06 4535.33
11.5251 -44.2455 | 2.1432 -0.147683 | -195.992 -3927.94
11.9325 -44.5294 | 2.72262 -0.41087 | -788.404 -879.042
12.3642 -44.7742 | 1.40816 -1.92568 | 2770.23 3860.24
12.823 -44.9659 | -0.221627 -3.72145 | 4757.8 947.036
13.3024 -45.1099 | 0.719306 -3.2112 | -1048.29 -4365.91
13.7913 -45.2219 | 1.69654 -2.17643 | 1666.36 -109.532
14.2878 -45.3019 | 2.56698 -0.0891063 | 1798.03 533.597
14.7886 -45.3509 | 2.64905 -1.81984 | -7515.27 1098.38
15.2856 -45.372 | 2.8643 -0.564775 | -6026.46 672.905
15.7777 -45.3716 | 2.45339 1.32202 | -1428.75 413.074
16.268 -45.3593 | 2.49193 -0.832947 | 975.275 -2626.48
16.7588 -45.3474 | 1.03746 -1.36022 | 2160.91 -1712.61
17.251 -45.3375 | -0.69955 0.497882 | -2016.55 828.033
17.7421 -45.3243 | -0.562916 -0.663968 | 355.603 3749.55
18.2337 -45.3058 | -0.398714 0.316172 | 3267.37 -3203.29
18.7287 -45.2954 | 0.385103 3.86786 | 6244.25 3915.91
19.2289 -45.2931 | 0.0800259 5.69424 | 3296.89 -1942.98
19.7315 -45.3136 | -0.616318 4.46212 | -2404.93 -7784.3
20.2308 -45.3638 | 0.112027 2.65399 | -2411.85 5288.11
20.7263 -45.4192 | 0.405453 3.69723 | -6957.68 7358.26
21.2164 -45.4744 | -0.178275 -0.00906033 | 2404.28 -1457.5
21.7051 -45.5506 | -0.719725 -0.85961 | 4388.8 -2940.27
22.1904 -45.6628 | -2.27505 0.795326 | -1937.6 -3214.83
22.6647 -45.8147 | -3.73964 0.17811 | 893.061 1041.96
23.1291 -45.9954 | -2.8833 -0.643666 | 513.072 2304.21
23.584 -46.1983 | 0.148035 -0.962547 | -914.354 2072.2
24.0269 -46.4243 | 0.40024 -1.09216 | 2916.81 -3127.22
24.4567 -46.6804 | -2.39524 -0.660712 | 1922.92 -2211.11
24.8707 -46.9661 | -2.86801 0.127586 | 2294.63 16.5715
25.2679 -47.2774 | -1.26039 1.51779 | -654.558 -1877.87
25.6439 -47.6149 | -0.463805 1.45985 | -3121.39 116.974
25.9982 -47.9732 | -0.554161 0.193519 | 4684.71 1700.29
26.3392 -48.3454 | -0.88039 0.158211 | -7464.85 -3391.97
26.6591 -48.7338 | -0.668005 1.0402 | 241.385 769.27
26.9761 -49.1236 | -2.00752 1.50835 | 3721.1 5139.96
27.306 -49.5011 | -5.15145 -0.0620075 | 3208.52 1547.12
27.6473 -49.8698 | -7.1599 -3.09501 | -970.419 -6428.33
27.9884 -50.2419 | -5.32052 -3.76851 | -8792.2 -1946.58
28.3278 -50.6108 | -1.04872 -1.31673 | 2111.25 11127.5
28.6893 -50.9513 | 0.26751 -0.0810755 | 5184.59 1321.94
29.0741 -51.2693 | 1.73843 -1.02698 | 570.827 -12173.8
29.4701 -51.5831 | 1.90639 -2.6424 | 4711.84 3520.06
29.8821 -51.8778 | 0.0191628 -3.25622 | -9015.81 742.853
30.2994 -52.1551 | 0.351307 -3.63648 | -3832.42 25.1743
30.7295 -52.407 | 1.72315 -2.25872 | 8252.4 2755.59
31.1845 -52.6195 | 2.03481 1.11815 | 6.59462 -1241.82
31.6557 -52.7962 | 0.263508 1.20237 | -1544.55 -2575.73
32.1386 -52.9379 | -1.38909 -1.42873 | 3396.93 3823.46
32.6342 -53.0346 | 1.00175 -0.71236 | 981.493 1076.08
33.1366 -53.0922 | 1.65827 -1.41394 | -1785.7 -2957.37
33.6402 -53.1215 | 0.397517 0.0492234 | -3092 1727.81
34.1425 -53.1203 | 0.29942 1.04238 | 606.604 -962.189
34.6443 -53.0933 | 0.710758 0.264681 | 2579.15 -701.332
35.1458 -53.0408 | 1.57256 1.0366 | 14.058 248.791
35.6436 -52.9601 | 0.679564 0.855266 | -1622.08 621.202
36.1342 -52.8489 | -1.73764 1.41044 | -2468.66 -943.013
36.6154 -52.7085 | -3.18556 0.823935 | 1922.62 2070.53
37.0885 -52.5376 | -3.97762 2.4899 | 2546.76 970.401
37.5541 -52.341 | -2.80269 1.68237 | 1157.71 1690.15
38.0119 -52.1229 | -2.82534 -0.105938 | 2603.8 -4101.7
38.4634 -51.8908 | -3.56056 0.6676 | -3439.63 6609.12
38.9018 -51.6338 | -3.06375 1.7025 | 601.854 4804
39.3352 -51.3651 | -4.11511 1.29145 | 1623.6 -6858.74
39.7754 -51.1123 | -2.84501 -0.564281 | -9172.05 -2083.19
40.2198 -50.8816 | -2.09613 -2.59562 | -310.013 -4780.1
40.6777 -50.6848 | -2.62716 -1.41577 | 4938.45 -697.643
41.1501 -50.5187 | -1.281 -1.82123 | -3850.93 4003.07
41.6277 -50.3734 | -1.96488 -0.0402274 | -5190.77 2452.73
42.1092 -50.2565 | -1.51192 -0.426614 | 660.515 -7239.66
42.5989 -50.1883 | -1.48953 -2.48844 | -534.51 2020.11
43.0924 -50.1591 | -2.86086 1.54345 | 800.866 3708.82
43.5875 -50.1644 | -2.85236 2.5484 | 1543.79 -3919.8
44.0809 -50.2126 | -3.4461 -0.270628 | -4977.04 6001.05
44.5665 -50.2939 | -2.88601 1.12002 | 461.099 -2307.08
45.0444 -50.4182 | -2.90182 3.05849 | 10051.4 -4844.32
45.5181 -50.5848 | -3.47567 2.1753 | 6277.64 3780.6
