-5.28933 15.2074 | 0.227707 1.44535 | 5693.14 3125
66.3675 28.0205 | -3.07026 2.63668 | 8871.47 7633.72
66.4185 27.5231 | 0.808675 -0.973689 | -2975.52 -17673.9
66.4385 27.0137 | -0.719877 1.34234 | -4478.54 12025.1
66.429 26.5118 | 1.54448 -0.0730295 | 5248.08 12265.2
66.4085 26.0193 | 0.801688 0.50659 | -4358.96 -5179
66.3754 25.524 | -0.356555 3.75436 | 4696.33 -8297.06
66.3455 25.0214 | -0.48961 2.53809 | -6068.72 -12593.2
66.3141 24.5105 | -2.32317 1.09649 | 9916.54 13425
66.2986 24.0084 | -3.54039 -2.56648 | -11478.1 12678.7
66.2787 23.5158 | -3.30173 -0.450989 | 10075.7 -2031.32
66.2815 23.0207 | -1.15452 -0.848402 | -3570.42 -23283.5
66.2932 22.5109 | 0.68009 -1.77217 | -2955.22 9930.52
66.3148 22.0073 | 1.8954 -1.46212 | -1454.41 17653.6
66.3569 21.516 | 1.33709 -3.65935 | 3696.65 -22279.8
66.4334 21.0168 | 0.557132 -1.53486 | 355.274 14437.3
66.5484 20.5328 | -1.03117 -0.825583 | -1714.97 53.6042
66.6974 20.0587 | 0.20524 -1.82074 | -188.465 -11138.9
66.8817 19.5909 | 1.32003 -0.272046 | -5257.36 11354.3
67.1095 19.1494 | -2.78917 -1.51865 | 17853.1 -10399.4
67.3988 18.7314 | -2.72386 -1.3271 | -8182.88 -4463.26
67.7207 18.3368 | -6.18437 -0.353874 | 4640.37 7855.3
68.0822 17.9798 | -2.54841 -1.37698 | 3505.85 -4470.48
68.4707 17.6489 | 1.51268 4.01345 | -10108.2 4539.07
68.8697 17.3432 | 0.16066 2.98383 | -5953.38 2942.95
69.279 17.0633 | -1.51016 -1.40423 | -4371.25 11371.8
69.7002 16.8133 | -0.0594789 -0.509224 | 9893.27 -15529.5
70.1326 16.563 | -2.2485 4.04033 | -2829.46 -231.284
70.57 16.3237 | 1.38819 1.00449 | -5655.11 14368.7
71.0132 16.1089 | 6.0562 0.433444 | 13169.3 -15149.1
71.4633 15.8851 | 1.36576 2.86322 | -8430.64 4980.43
71.9066 15.6612 | 0.227005 -2.97502 | -8907.04 7052.78
72.3408 15.4365 | 5.36634 0.841492 | 4937.92 -5284.57
72.7716 15.197 | 1.62789 -0.114075 | 3459.54 -5953.01
73.1994 14.9431 | 0.987765 -0.0643546 | 25.0888 6880.94
73.6267 14.6909 | 0.425959 2.75065 | 931.881 -2917.58
74.0523 14.4311 | -2.80666 2.68527 | 9306.93 -3751.82
74.4792 14.1614 | -0.282986 0.0141934 | -4912.85 3270.99
74.8951 13.8817 | 1.31432 -1.29048 | -4457.65 4226.82
75.2947 13.5874 | 2.64904 -3.75451 | -6841.31 -450.189
75.6734 13.2702 | -1.58008 -2.09388 | 22990.9 -3605.79
76.0474 12.9296 | -4.17822 2.20638 | -10043.5 -2717.65
76.3761 12.5499 | -1.48784 3.42676 | -17259.2 8361.52
76.647 12.1396 | -5.1559 0.0965872 | 9352.06 -7645.32
76.8933 11.7077 | -1.47087 -0.671339 | -346.845 8171.45
77.1267 11.272 | 1.96123 -2.03054 | 3662.85 -9369.08
77.3557 10.8273 | -1.68223 -3.09024 | 8987.22 4402.68
77.5867 10.3833 | -2.72764 -0.831844 | -18386.8 3825.83
77.791 9.93401 | -1.85525 -0.43899 | 9363.05 -5974.12
78.002 9.48281 | -0.368417 1.22699 | 10212.6 9194.19
78.2246 9.03847 | -3.00486 0.0515845 | -9396.79 -6838.79
78.4198 8.57952 | -1.57434 2.51844 | -1450.3 -7335.96
78.589 8.10779 | -4.55172 1.80689 | -1614.96 20308.8
78.7445 7.64465 | -3.66039 2.15471 | -1324.68 -3546.29
78.8894 7.17743 | -3.25635 4.85155 | 7131.45 -2220.25
79.0336 6.70532 | -4.67012 1.4554 | -3620.63 -13988.7
79.1637 6.21956 | -1.5778 2.72674 | 4639.76 -487.48
79.2918 5.73172 | -3.55611 2.90234 | -10578.4 10291.6
79.413 5.24927 | -3.10549 0.918981 | 7442.54 -10618.9
79.5576 4.76568 | -2.92698 -1.28775 | 9662.56 -9.86494
79.734 4.28964 | -4.64063 0.139474 | -12728.3 388.643
79.9165 3.81925 | -5.50781 1.10848 | 862.034 2052.31
80.1259 3.36273 | 0.858384 -2.94351 | 5873.99 7936.14
80.3755 2.93052 | 2.93537 -1.85527 | -3547.36 -5087.85
80.6488 2.51266 | 0.0110072 -1.39694 | -4348.53 7592.89
80.9436 2.11774 | 0.0337344 -0.594436 | -8455.03 2296.35
81.2585 1.74434 | -1.60218 1.61948 | 12660.4 -7600.51
81.6127 1.39524 | -4.09774 1.00793 | -2828.57 1236.15
81.996 1.07638 | -1.20994 1.15108 | 16210.9 -5403.02
82.4126 0.784135 | -1.80241 1.59976 | -12559.7 -663.658
82.8353 0.510618 | -5.9383 2.63678 | 262.117 7869.68
83.2701 0.261421 | -1.32078 1.66358 | 5245.67 -15616.6
83.7151 0.0157563 | -0.871142 -0.813416 | -2038.74 10912.7
84.1719 -0.198873 | -3.41464 1.65083 | 26.3392 2068
84.6366 -0.391113 | -0.115033 2.89288 | -9040.01 -6757.4
85.1 -0.575432 | 0.305656 -0.295126 | 2413.05 6989.84
85.5733 -0.733155 | -2.23574 2.29814 | 8017.28 -7480.37
86.058 -0.873781 | -1.74291 5.17949 | -4462.1 10960
86.546 -0.984232 | -2.27107 1.23382 | -8779.37 -5657.23
87.0306 -1.09113 | -4.96239 0.790168 | 16541.9 3091.38
87.525 -1.19498 | -2.92766 1.84931 | -9118 -5210.87
88.0116 -1.31637 | -2.83157 -0.981701 | 454.826 1223.17
88.4945 -1.45244 | -1.53363 1.52908 | 5048.85 -3460.9
88.9761 -1.60545 | -2.34359 2.19095 | -3209.02 3616.31
89.452 -1.76828 | -0.685669 1.13802 | -281.013 -663.968
89.9221 -1.94553 | 2.48173 2.78876 | -3361.44 -3906.89
90.3842 -2.13821 | -5.34887 1.39363 | 2008.57 16273.8
90.8441 -2.32924 | -5.29333 0.447224 | -1896.74 -16678.8
91.2883 -2.56186 | -3.72925 -3.89196 | 2901 86.1235
91.7223 -2.81753 | -2.62547 -6.39042 | 2356.73 10671
92.1495 -3.08311 | -2.52605 -7.67416 | 3369.63 -15251.7
92.5604 -3.38624 | -2.79993 -4.47993 | 2478.45 419.577
92.9555 -3.7115 | -2.77766 0.0419511 | -6063.23 8701.64
93.3295 -4.04914 | -2.82063 1.79267 | -6449.7 6226.27
93.6773 -4.40357 | -0.44865 -4.22342 | 2420.17 -5005.92


30.7439 57.139 | -1.59765 -0.048652 | 4439.9 5171.17
31.1024 57.4967 | -0.300498 1.30559 | -1396.27 48.0018
31.45 57.8628 | 2.40195 -0.758329 | -4635.62 -6985.84
31.7912 58.2273 | 1.71672 -1.56714 | 2658.76 1310.8
32.1338 58.5922 | 0.147371 -0.648663 | 2477.29 2059.88
32.4783 58.9574 | 1.26918 -1.24341 | -4054.07 -5048.23
32.8196 59.3193 | 0.958451 -0.38421 | -4000.49 -2039.05
33.1561 59.6812 | -2.24229 2.44719 | 2241.83 1042
33.4934 60.0451 | -2.38277 2.16677 | 4847.06 8005.69
33.8342 60.415 | -0.714351 -0.289445 | -1749.01 2949.22
34.1797 60.7825 | -0.111452 -1.48469 | -1811.63 -1930.24
34.5411 61.1318 | -1.12885 -0.172716 | 1497.17 -2269.51
34.9304 61.4477 | 0.318692 -1.41932 | -834.807 -2827.28
35.3486 61.72 | 0.961876 -2.9623 | 320.778 -7174.79
35.7912 61.9444 | 0.490742 -1.18402 | -7949.31 4897.91
36.2423 62.1417 | 0.617514 -0.175946 | -1569.25 1444.69
36.7043 62.3091 | 0.836946 1.0122 | 5344.47 -1029.8
37.181 62.4387 | 1.73572 2.9128 | -5827.29 2966.92
37.6633 62.5327 | 2.05211 2.96649 | 1780.22 2657.54
38.1537 62.5817 | 1.86048 0.554815 | 7242.58 -4300.91
38.6517 62.5701 | 2.25289 -1.45981 | 2463.15 -1500.54
39.1477 62.5031 | 2.25569 -1.12285 | -3100.83 1843.83
39.6335 62.3934 | 1.60397 -0.36952 | -6409.98 701.051
40.106 62.2489 | 0.610971 -0.499951 | 4685.44 -1443.03
40.5734 62.0802 | 0.592693 -1.83225 | 2543.33 392.987
41.0382 61.9004 | 1.35375 -2.23232 | -5564.22 2238.11
41.4992 61.7196 | 1.05284 -1.06494 | 6052.28 2318.05
41.966 61.5437 | 0.0113099 0.786733 | 6259.75 62.157
42.4375 61.364 | -1.34113 2.03528 | 4304.4 -11071
42.9083 61.1639 | -0.936188 1.6701 | 4511.41 -1619.03
43.3815 60.9599 | 0.949595 1.43629 | -3036.45 6232.5
43.8561 60.7685 | 1.27897 0.275597 | -4008.38 2489.67
44.3305 60.5883 | 0.849992 -0.977277 | -4702.07 1720.04
44.8033 60.4145 | 1.40148 -1.31337 | 529.196 -5098.39
45.2781 60.2406 | 2.02513 -1.27925 | 8080.11 -3793.26
45.7633 60.0783 | 0.993019 -2.38837 | -123.021 6434.05
46.2572 59.9471 | -1.3017 -1.96705 | -2505.79 2987.97
46.7554 59.8442 | -1.50208 -0.0510051 | -1041.48 -2179.37
47.2556 59.758 | -0.460396 -0.496421 | -2008.26 -2723.43
47.7565 59.6869 | -1.16453 -3.44765 | -2134.16 4646.15
48.2575 59.6417 | -1.54921 -2.61151 | -7623.11 -2210.85
48.7544 59.6158 | -1.26926 -1.37769 | 2011.66 942.083
49.2531 59.6127 | -0.125355 -0.506113 | 5350.59 665.58
49.7545 59.6318 | 0.596302 -0.496906 | -5151.99 -4557.02
50.2514 59.669 | -0.0818219 0.0850318 | -3656.58 3439.89
50.7426 59.7367 | -1.17676 -0.572797 | 2240.54 148.796
51.2313 59.8314 | -1.00948 -1.57698 | 7362.06 -1374.44
51.72 59.9496 | -0.035458 -0.985638 | -533.458 3665.33
52.2013 60.0969 | 0.755956 -0.855227 | -5385.97 -81.666
52.6723 60.2646 | 0.550802 1.06549 | 1342.49 63.6683
53.1404 60.4402 | -0.408958 1.95907 | -1192.54 -3834.16
53.6084 60.6112 | -1.71525 1.40354 | -1672.42 91.0284
54.0773 60.7775 | -2.23426 2.64233 | 5447.46 1361.34
54.5522 60.9377 | -1.93898 4.34245 | -263.851 823.384
55.0304 61.0899 | -0.286804 2.42368 | -1093.33 -515.99
55.5119 61.2288 | 0.086202 1.88907 | 315.992 -808.35
55.9985 61.3504 | -0.669128 0.807942 | 3864.32 1.055
56.4918 61.4538 | -0.653066 -0.693496 | -983.516 108.548
56.9872 61.5401 | -0.48641 -1.93535 | -8325.5 -553.192
57.4796 61.609 | -0.66757 -2.64403 | 858.47 1319.11
57.9741 61.6593 | -1.15048 -0.963553 | 2506.73 2603.72
58.4717 61.6846 | -1.71197 0.322192 | -4082.98 -2995.81
58.9663 61.6698 | -1.27417 0.692736 | -5799.83 1165.98
59.4535 61.6135 | -0.460395 1.7924 | 1174.52 1313.96
59.9345 61.514 | 0.704741 3.43475 | 5605.88 -2616.73
60.408 61.3678 | 1.00848 -0.473742 | 2096.57 1423.26
60.8685 61.1802 | 0.363619 -3.53939 | -2464.66 184.277
61.3087 60.9516 | 2.1905 -0.351887 | 2477.61 908.47
61.7279 60.6854 | 3.20352 0.947296 | -3106.57 96.9293
62.1188 60.3822 | 2.75566 0.846807 | 83.455 3106.63
62.4819 60.0487 | 3.00179 1.4374 | -1020.86 333.35
62.8141 59.6856 | 2.10094 0.810245 | -2178.68 -2445.05
63.1166 59.2967 | 1.25436 0.285727 | 5268.99 1169.72
63.4042 58.8946 | -0.193186 -0.972623 | -524.6 -33.4107
63.6765 58.4818 | 0.0441452 -0.427287 | 302.253 -993.657
63.9371 58.0606 | 1.62735 0.569582 | 3913.68 1160.62
64.191 57.6348 | 2.14056 0.732729 | -3258.53 2770.25
64.4291 57.2029 | 2.33488 0.119964 | -756.21 -1106.78
64.6509 56.7616 | 3.19672 1.27202 | 1695.31 -5458.28
64.8613 56.3098 | -0.0849209 0.307763 | 4821.75 -2492.96
65.067 55.8521 | -0.323139 -0.486705 | -5450.29 -951.176
65.2613 55.3901 | 1.22411 0.26649 | -2910.14 3162.28
65.4584 54.9317 | -1.50864 -0.320809 | 8783.09 -1993.55
65.68 54.4805 | -1.14607 -0.829445 | -479.763 -3982.84
65.9191 54.0352 | 0.414779 -1.16262 | -1971.15 1522
66.1756 53.6009 | -0.407852 -2.35781 | 1956.22 649.955
66.4554 53.1805 | -0.736914 -2.72751 | 906.257 -2131.17
66.758 52.7739 | -0.570326 -2.62711 | 1385.35 -2342.31
67.0842 52.3834 | -0.451864 -2.33026 | 806.834 2196.46
67.4346 52.0157 | -0.351524 -3.14899 | -3321.21 1597.08
67.805 51.6727 | 1.36999 -3.3315 | -3764.99 2676.71
68.1955 51.3591 | 2.04626 -2.75381 | -1209.85 106.65
68.6092 51.0797 | 0.930036 -2.89883 | -910.494 -164.357
69.0475 50.843 | 1.22921 -1.41738 | 450.654 4268.24
69.5094 50.6597 | 1.34735 0.0713427 | -360.302 3528.07
69.9872 50.5235 | 0.277651 -1.04299 | 4674.79 -4650.42
70.4763 50.4115 | -1.07571 -2.41577 | 6231.4 -6809.33
70.9746 50.3134 | -2.44456 0.796635 | 1856.3 1381.44
71.4783 50.2411 | -1.73565 5.66928 | -7918.56 4392.39
71.9802 50.2007 | 0.0993722 2.77155 | -2236.04 -831.47


-64.0511 53.2047 | 2.98721 -3.6892 | 5892.34 -664.141
-63.5478 53.2458 | 5.39602 -3.88006 | -1468.39 3343.36
-63.0465 53.2667 | 0.970127 -0.208078 | -22357.5 -2200.28
-62.5594 53.2615 | 4.28784 -2.53348 | 10780.1 -1507.51
-62.0669 53.2332 | 1.08916 2.1129 | 10339.1 6199.04
-61.568 53.1915 | -0.813311 -1.89667 | -2215.22 -8871.78
-61.073 53.1197 | 0.949347 -2.63895 | -8097.98 3388.26
-60.5847 53.0374 | -0.276124 -1.57883 | 7234.41 3977.39
-60.0929 52.9536 | -3.3149 3.71281 | 2098.63 -858.58
-59.6012 52.859 | -0.704637 2.27558 | -4198.09 -11772.6
-59.1145 52.7462 | -2.81193 4.52833 | -166.046 17942.9
-58.6251 52.6557 | -3.04136 -1.51649 | 5958.63 -10906.5
-58.1324 52.5573 | -2.76799 1.84644 | -5146.66 -5482.1
-57.6403 52.4607 | -2.39004 2.54204 | 11604.9 8465.8
-57.1376 52.3981 | -3.28514 4.88422 | -10930.2 -10886.6
-56.6408 52.3651 | 2.50707 1.09154 | -22870.2 11685.7
-56.1596 52.4029 | 1.5244 0.987402 | 15890.2 8452.69
-55.676 52.4997 | -2.16471 -1.01867 | 11577 -14078.2
-55.1888 52.6115 | 3.50512 0.229235 | -11192.4 6251.02
-54.715 52.7541 | 1.21025 -0.327162 | 1008.92 -5871.08
-54.2465 52.9113 | -1.56088 -0.959215 | 6148.37 -2996.12
-53.7806 53.0892 | 3.0998 -0.628758 | 6271.4 20314.9
-53.3234 53.311 | 2.82826 2.67174 | 3591.95 -14245.7
-52.8707 53.5341 | 3.49439 -1.21888 | -30795.8 -1996.49
-52.442 53.7657 | -0.991553 3.46714 | 22271.8 1484.84
-51.9953 53.9889 | -1.07094 -3.06406 | 16546.8 -4498
-51.534 54.2061 | 5.51214 -0.927275 | -12317.2 8044.39
-51.0922 54.4527 | 4.33023 0.0346137 | -4043.66 694.63
-50.6703 54.725 | 1.36398 -1.18928 | -3423.4 -14211.6
-50.2655 55.0095 | 3.03878 -2.05977 | -3699.62 15462.9
-49.8852 55.3331 | 2.66733 0.351907 | 9354.2 5314.81
-49.5068 55.6714 | 3.56732 -7.34092 | 8480.16 -8469.94
-49.1195 56.0012 | 1.48052 -1.28043 | -7510.93 1551.78
-48.7419 56.3353 | 1.35013 1.91253 | -9569.76 -6513.46
-48.3766 56.6696 | -0.575268 1.63646 | -5071.68 -4274.35
-48.0153 57.0015 | -0.533229 3.02493 | 14372.8 7085.91
-47.6421 57.3336 | -5.1263 1.383 | -9211.21 -2190.31
-47.2727 57.6642 | -4.56438 1.55861 | -617.955 3390.02
-46.8972 57.9911 | -4.74924 5.54141 | 14169.8 5842.16
-46.4978 58.303 | -1.98675 -0.213748 | -11472.6 -5305.53
-46.0868 58.5862 | -0.184225 -3.13043 | -3325.67 155.497
-45.6546 58.8272 | -2.04215 2.69446 | 36.9766 -12568.8
-45.1943 58.9987 | -2.27813 3.48414 | 4869.54 3919.33
-44.7135 59.1212 | 2.5147 1.58314 | 4913.42 7470.87
-44.2199 59.2087 | 2.74841 6.10438 | -331.05 -2441.52
-43.7202 59.2515 | 7.08737 2.25848 | -122.715 1190.43
-43.2195 59.2507 | 2.79503 -1.61237 | -7298.29 -1960.06
-42.726 59.2033 | -0.0397055 -0.00893467 | 847.084 3364.77
-42.2378 59.1165 | 2.0464 -3.95512 | 5537.27 -1980.02
-41.7553 58.9857 | 1.02177 -0.776421 | 911.919 -8910.26
-41.2851 58.8118 | -3.26259 -4.58155 | -9520.05 21854.9
-40.8296 58.6308 | -1.0787 -0.243318 | -6270.65 -14371.1
-40.3941 58.4076 | 0.0691973 -2.513 | 10995.1 4426.38
-39.9601 58.1693 | -2.45302 -2.11118 | -1455.9 -5616.08
-39.531 57.9147 | -1.93802 4.03078 | 20202.8 373.202
-39.0907 57.6582 | 1.01266 -0.866393 | -16082.7 193.547
-38.6664 57.3914 | 3.851 -0.916169 | -3005.04 7417.8
-38.25 57.122 | 2.5747 -0.571696 | 751.968 -12699.7
-37.839 56.8396 | 1.17151 2.06884 | -4022.31 17589.1
-37.4244 56.5783 | -1.34455 -2.79411 | -8840.44 -3111.27
-37.0113 56.3201 | 6.43994 -3.40292 | 20002.8 -8194.12
-36.5784 56.0657 | 2.36777 -2.10906 | 4940.12 -9969.72
-36.1344 55.8175 | 5.73276 -1.73258 | -13139.3 9703.27
-35.6855 55.6043 | 4.09356 -2.94699 | -8370.88 15539.3
-35.2294 55.4378 | 0.167465 -1.52406 | -12468 -26510.7
-34.7728 55.2818 | 3.64849 -0.0758411 | 15713.8 24601.7
-34.2875 55.21 | 0.606526 2.16603 | 22340.4 -7365.04
-33.7813 55.1816 | -0.0510326 0.947996 | -13369.9 -4182
-33.2821 55.1755 | 3.88831 2.33615 | -15734.3 -7020.06
-32.7935 55.1866 | 2.48661 1.5317 | 14706.2 11429
-32.3001 55.2368 | 0.458505 2.3627 | -13531.1 -7333.46
-31.8154 55.3017 | 0.257301 3.30649 | 14358.5 2537.96
-31.3244 55.3816 | 1.09487 -9.69145 | -1937.94 -11433.5
-30.836 55.4705 | 2.01577 -3.11067 | -3499.11 24417.7
-30.3576 55.6061 | 0.418673 0.510417 | 1906.04 -19627.6
-29.8774 55.7274 | 3.07347 -0.909201 | 1232.34 6963.22
-29.3961 55.8507 | 0.55452 1.56338 | -3104.83 -5813.85
-28.9136 55.9654 | 1.02672 -0.190726 | 12798.8 3742.56
-28.4219 56.0834 | 2.72654 2.76672 | 7322.94 4481.72
-27.9268 56.2101 | -1.73436 -2.50209 | -12742.6 -12212.4
-27.4428 56.3379 | -0.777407 3.90774 | -11663.7 11491.9
-26.975 56.4967 | 2.10828 -0.0351498 | 13233.1 -13535.9
-26.5056 56.6629 | 1.01329 -1.57722 | -5813.69 11866.3
-26.0545 56.8721 | 1.36088 1.40685 | -5422.09 3990.64
-25.62 57.1108 | 2.31852 2.89158 | 5190.7 -1641.78
-25.1833 57.3464 | -3.35712 -1.74142 | -14090 -17675.9
-24.7457 57.5538 | -3.4895 -7.28643 | 12060.8 12247.9
-24.2964 57.7585 | -1.73168 -1.97513 | 4002.16 2102.53
-23.838 57.9537 | 1.52705 -1.85321 | -27.6204 1496.19
-23.3731 58.1323 | 2.49015 3.68619 | -14144.8 2420.27
-22.9068 58.2818 | 2.84978 -1.18299 | 5393.08 -10854.4
-22.4223 58.3699 | 1.93889 -1.44578 | 23654 11521.1
-21.9165 58.4138 | -2.20311 1.53327 | -20629.4 -9777.69
-21.421 58.3947 | 0.140341 0.508168 | -2695.6 -4639.5
-20.9317 58.3332 | -0.0189055 -8.73484 | 6578.99 21537.3
-20.4399 58.271 | 0.631243 0.574083 | 756.996 -13314.5
-19.9536 58.1624 | 2.77479 3.02274 | 2951.2 -1299.88
-19.476 58.0157 | 2.51988 3.35521 | -10369 8055.56
-19.0155 57.8446 | -0.160773 1.49553 | -756.665 -1226.96
-18.5693 57.6429 | -0.232072 -0.173674 | 9887.86 -4144.73


63.8629 42.3778 | 2.17024 1.12308 | 1575.14 -6351.87
64.2638 42.0721 | 3.28718 2.16381 | -4336.2 2446.43
64.6914 41.8112 | 2.08547 2.26426 | 12706.6 13691.1
65.1539 41.6106 | 0.290068 -6.18486 | -6182.04 -14504.7
65.6224 41.4242 | 4.47126 0.506307 | -4952.09 2410.37
66.0962 41.262 | -2.27734 2.89765 | 5281.13 6647.14
66.5803 41.1296 | -0.931741 6.1373 | -6792.67 -4144.82
67.0637 41.0043 | 1.20473 -1.63147 | 10399.3 -2719.1
67.5544 40.882 | -1.39872 0.483471 | -4530.95 -87.3382
68.0429 40.7633 | -1.17575 0.889577 | -8331.16 3239.7
68.5264 40.6514 | -1.61584 -4.49596 | 115.028 365.515
69.0095 40.5426 | -2.03757 -0.214414 | 61.8116 1578.57
69.4928 40.4326 | 0.45341 3.80318 | 6368.17 -3088.93
69.9781 40.3105 | 0.353422 -1.25394 | -140.922 -2530.48
70.46 40.1733 | -0.878864 -2.62335 | -6006.95 -2895.63
70.9364 40.028 | -2.09851 -1.34191 | 5594.75 11797.6
71.4185 39.8963 | -0.704465 1.26279 | 5009.52 -8701.41
71.9017 39.7507 | 0.657952 3.19296 | -3425.29 -579.067
72.3795 39.5936 | -0.987561 -1.58759 | -3137.23 1919.14
72.8527 39.4321 | -0.191546 0.48764 | 1926.19 5109.66
73.3249 39.2694 | -2.39853 -1.09033 | -2327.8 -2651.24
73.7894 39.0894 | -2.06317 0.10819 | -2554.2 5704.18
74.2428 38.8899 | -2.77941 4.30167 | -2107.17 -11245.7
74.6806 38.6515 | -3.4255 2.36317 | 14483.8 -846.26
75.1181 38.395 | 1.05112 2.42156 | -2690.83 4172.73
75.5457 38.127 | -0.22557 3.37774 | -6960.11 6363.98
75.9559 37.8437 | -2.65999 3.08094 | 5704.2 -1003.39
76.3474 37.5299 | -2.52239 1.58289 | -8798.97 -18391.7
76.7037 37.1688 | -0.228745 1.73405 | 18463.2 1171.55
77.0612 36.7991 | -0.490328 0.595498 | -7153.14 21616.5
77.4049 36.4336 | -1.35299 -1.35702 | -10509.1 -10654.3
77.7127 36.0371 | -0.558715 -2.20936 | 10923.2 -12068.5
78.0032 35.6159 | -0.994144 3.23747 | -4828.57 10607.3
78.2749 35.1916 | 1.61778 4.37402 | -16356.7 9622.62
78.5283 34.7691 | -2.91044 -0.404915 | 21503 -7194.62
78.8066 34.3515 | -2.22671 2.53575 | -187.949 8469.09
79.0859 33.9395 | 0.614285 5.162 | -17228 -1261.29
79.334 33.5139 | 0.0872973 3.48604 | 5033.23 -9405.79
79.5753 33.078 | -0.592471 -2.09861 | 3469 12206.6
79.8225 32.6502 | 0.254871 -3.38465 | -5219.38 -10334.2
80.066 32.2145 | 1.30865 0.591061 | 12664.9 -7420.98
80.3273 31.779 | -4.40053 -1.76881 | -7355.56 1192.82
80.5944 31.3513 | -1.33224 0.430436 | -4517.62 14809.9
80.8762 30.947 | -0.993438 2.43143 | -2517.97 7196.39
81.1733 30.5603 | -1.72579 0.386215 | 5368.28 -15918.5
81.4843 30.1716 | 0.32556 0.00617756 | -102.974 1654.51
81.8106 29.7929 | 0.281796 -1.70892 | 4872.18 -10089
82.1581 29.4232 | -1.2517 -1.89705 | 3932.69 4182.39
82.5328 29.0805 | 1.10093 -2.03334 | -8474.59 660.484
82.9255 28.7659 | -2.05687 -2.1113 | 3126.99 2984.98
83.3465 28.4913 | -1.98453 0.791761 | 1257.05 3238.96
83.792 28.2584 | 6.02321 3.55704 | 738.848 -4041.82
84.2541 28.0555 | 5.99442 1.9405 | 3669.95 2453.85
84.7301 27.8839 | 3.33391 4.58484 | -7578.82 -643.965
85.2086 27.7327 | 3.3232 3.88798 | 3254.93 -3877.49
85.6942 27.5988 | 4.37908 -0.929238 | -243.129 11061.9
86.1851 27.4926 | 5.1463 5.23164 | -1778.91 -14249.2
86.6756 27.3816 | 0.395374 2.54798 | 3811.61 10753.3
87.1704 27.2895 | 0.310411 -0.20598 | -8465.79 -1880.53
87.6599 27.1964 | 2.50264 3.06066 | 1928.85 -7239.89
88.1496 27.0936 | 1.66972 1.04794 | 7008.71 5814.27
88.6446 26.9997 | 3.38778 0.597339 | -7157.08 -9249.21
89.1356 26.9076 | 0.187078 -1.37343 | -5253.31 14268.3
89.6259 26.8501 | -4.64249 0.80343 | 444.285 -1445.68
90.1167 26.8058 | 0.928891 2.91134 | -5038.34 798.778
90.6038 26.7589 | 1.82873 -3.38528 | 1106.75 -515.049
91.0889 26.6921 | -4.84692 -4.3912 | 759.739 -2470.74
91.5695 26.5922 | -6.62893 -1.61004 | 3598.48 3241.49
92.0437 26.4582 | -4.27344 -0.0667494 | -761.413 -6847.52
92.5031 26.2772 | -0.893482 -0.429139 | -3653.03 7484.9
92.9461 26.0663 | -3.40172 -1.47724 | 4957.3 -6604.2
93.3761 25.8197 | -2.12078 -0.804355 | 1080.72 -3135.82
93.7961 25.5505 | 1.50559 0.673039 | 9867.76 9078.58
94.2182 25.2774 | -1.06194 0.439789 | 5223.88 -9139.42
94.6282 24.9749 | -3.15428 0.794461 | 564.274 2478.72
95.0098 24.6403 | -1.22791 -3.35845 | -12377.8 6315.77
95.337 24.2668 | -1.00137 -1.48061 | -9470.62 5034.91
95.6006 23.8554 | 0.283944 2.19601 | 4685.94 -152.997
95.8151 23.4143 | 1.04831 -1.3301 | 6912.46 -9705.35
95.9855 22.947 | -2.25882 -2.96805 | -9339.11 11663.3
96.104 22.4702 | 0.147499 -0.363716 | 8305.3 -13911.2
96.1962 21.9777 | 5.02678 -2.40751 | -895.18 -2248.17
96.2646 21.4782 | 2.85874 -2.99348 | -4217.82 1953.64
96.3175 20.9775 | 2.69943 -3.84981 | 7089.71 -4001.96
96.3799 20.4745 | 2.72559 2.53478 | 1787.32 -2326.34
96.4504 19.9707 | -1.55465 6.0243 | 951.036 3799.71
96.5223 19.4699 | -1.15746 -0.493592 | -4702.83 5311.98
96.5838 18.9716 | -0.0275103 -1.14947 | -649.608 -6603.65
96.6394 18.4701 | -0.786235 3.02362 | 4596.06 8963.96
96.6969 17.9751 | -3.37818 2.41979 | -5145.19 8862.23
96.7427 17.4852 | -3.55163 1.29298 | 241.991 -10039.2
96.7818 16.9883 | -3.71165 1.96671 | 3632.99 -7503.16
96.8208 16.4864 | -2.18018 1.95041 | -10354.9 12560.5
96.8523 15.9915 | -3.12056 0.230057 | 5842.12 -3794.58
96.9077 15.4964 | -0.514015 -0.660993 | 4405.13 -6228.46
96.9953 15.0017 | 1.95867 3.19754 | -8488.03 6210.86
97.1071 14.517 | -0.392634 1.76996 | 7229.09 4028.33
97.2638 14.0467 | 0.772374 -3.39718 | -646.985 -4430.65
97.4536 13.5864 | -1.31643 -0.849762 | -4535.87 997.169
97.6692 13.1392 | -0.531918 -1.72686 | 3563.04 -2644.15


-28.2773 44.854 | 2.95281 0.428845 | 4941.68 3489.97
-27.8923 44.5316 | -0.116183 0.656412 | -2506.69 -10269.1
-27.5402 44.1692 | -1.37115 -0.437458 | -4838.17 170.137
-27.216 43.7832 | -0.505878 -0.669309 | 5886.45 3009.73
-26.8974 43.3906 | -0.26042 -1.88033 | 3818.05 -3263.78
-26.5812 42.9912 | -1.32081 -4.0173 | 5561.16 -21.2864
