-34.4114 -25.1321 | -1.38345 2.99307 | -3613.98 -171.891
-34.1823 -24.6913 | -2.70419 3.45406 | -25.671 -3251.03
-33.9524 -24.2534 | -1.97768 2.18355 | 1029.88 -1409.81
-33.7107 -23.8227 | -0.326653 0.87639 | -773.346 2527.33
-33.4526 -23.4003 | 1.19317 -0.296566 | 1051.5 -634.975
-33.1699 -22.9939 | 1.72666 -1.87454 | -1425.38 -170.742
-32.8603 -22.6083 | -0.335051 -1.97534 | -450.905 2140.41
-32.5192 -22.2484 | -1.74185 -2.05529 | 4852.65 1423.46
-32.1394 -21.9241 | -0.826802 -4.13995 | 2947.99 2152.4
-31.7247 -21.6401 | -1.81933 -3.87763 | 256.765 512.127
-31.2812 -21.4017 | -3.11893 -1.98498 | 1644.83 -4671.52
-30.814 -21.2147 | -1.59977 -4.0981 | -2535.69 2220.6
-30.3341 -21.0662 | 1.0972 -10.2379 | -2230.77 119.474


27.7507 -70.4442 | -0.631047 0.1354 | -3743.73 -2469.47
28.2439 -70.5 | 0.832393 1.21736 | -1497.36 -1609.41
28.7378 -70.5369 | 1.67126 0.951087 | 1717.98 2778.33
29.2339 -70.5415 | 1.75179 0.652602 | 1758.16 3695.83
29.7309 -70.5122 | 1.84252 -0.0761756 | 925.503 1220.21
30.2278 -70.4623 | 1.94716 -1.08549 | 2533.08 1039.37
30.7268 -70.4097 | 2.04074 -1.82363 | 1319.56 1007.91
31.2282 -70.3753 | 2.26524 -0.842685 | -1982.83 -4877.44
31.7286 -70.384 | 1.96173 -0.605879 | -3540.81 -3503.15
32.2232 -70.441 | 1.28795 -1.50187 | -2736.11 554.707
32.7096 -70.536 | 1.00119 -1.16739 | -1118.27 -160.488
33.1892 -70.6579 | 0.891201 0.535581 | 1203.3 402.624
33.6661 -70.7933 | 1.22286 3.39363 | 3715.08 1188.64
34.1449 -70.9309 | 0.837397 4.3582 | 3362.08 1817.2
34.6263 -71.0669 | 0.0360491 4.54568 | -1542.81 -388.499
35.1062 -71.2063 | -0.549174 4.55553 | -1214.13 1301.51
35.5836 -71.3508 | -1.23957 2.60004 | 1951.36 203.09
36.0589 -71.506 | -1.5007 0.80152 | -1090.03 -3242.36
36.5281 -71.6786 | -1.49357 -0.882973 | -2284.54 -776.343
36.9917 -71.8618 | -0.144282 -0.274012 | 852.243 2965.8
37.4557 -72.0433 | 1.59269 2.6014 | 2177.87 1223.44
37.9222 -72.2225 | 1.5497 3.90553 | 2542.58 165.44
38.3893 -72.4049 | 0.574983 2.14076 | -1594.05 -868.361
38.8512 -72.5987 | 0.337657 0.0163808 | -2200.45 46.5527
39.3056 -72.8068 | 0.505152 -0.634029 | 2626.31 -146.283
39.7547 -73.0304 | -0.254643 -0.826882 | 3265.63 -3494.66
40.1976 -73.2734 | -1.23044 0.322239 | -357.836 -2531.8
