-5.87162 12.0564 | -0.0273435 2.70499 | -780.765 -348.841
-5.3789 12.1397 | -2.38616 -2.74948 | 2134.22 801.584
-4.87988 12.1924 | -2.46097 0.219445 | 4195.7 1523.04
-4.37491 12.2156 | -1.61081 -0.0587857 | 5235.05 -1607.71
-3.86627 12.2053 | -0.527763 -2.2608 | -6055.39 -3188.96
-3.364 12.163 | -0.308683 -0.600286 | -9755.97 6042.55
-2.8718 12.1031 | -0.129466 0.220837 | -3048.66 -5054.03
-2.3864 12.0195 | 0.252113 -2.17323 | -3065.14 1624.99
-1.90463 11.9291 | -0.159992 -1.50193 | 3236.44 3640.39
-1.41965 11.8444 | 0.531542 0.235941 | 5828.95 -428.542
-0.929219 11.7615 | 1.09953 -1.3748 | 5985.11 -1288.01
-0.434524 11.6748 | 0.0639904 -1.73553 | -1290.81 -2792.08
0.0586865 11.5804 | -1.21487 -1.4742 | -3680.5 490.804
0.549683 11.4853 | -1.04176 1.21689 | 5850.67 5060.23
1.04429 11.396 | -0.347917 -0.514681 | -3626.3 -5655.03
1.53533 11.2964 | -0.6079 -1.46741 | -1656.49 491.364
2.0246 11.1937 | -1.10457 -0.633703 | 2142.78 -568.178
2.51596 11.0935 | -1.25841 -3.06559 | 429.222 -3584.58
3.01021 11.0024 | -2.78903 -6.57852 | 511.964 2818.32
3.50914 10.9405 | -1.34033 -1.60429 | 1306.86 3519.44
4.01133 10.9163 | 1.11679 0.42636 | -5415.99 -2859.64
4.50986 10.9246 | 1.0452 -1.33689 | -3526.55 3570.57
5.00272 10.9707 | -0.3185 -0.0978239 | -5342.06 -2497.85
5.48813 11.0431 | -0.454921 1.51342 | 2445.2 -5614.43
5.97041 11.1368 | 0.689711 -0.300516 | -318.824 7501.92
6.44572 11.2673 | 0.592405 0.776311 | 5188.19 -3010.26
6.91841 11.4192 | 0.738582 2.46586 | 6460.63 -2950.47
7.38742 11.592 | 0.117111 4.93918 | -7817.27 3286.3
7.8378 11.7996 | -1.21568 6.12752 | -2665.79 -2126.33
8.27174 12.0354 | -1.29702 3.01622 | 8583.85 -2277.03
8.69617 12.2967 | -1.13855 -0.451538 | -1354.92 13628.8
9.09986 12.5979 | -1.92729 -1.14909 | 4729.73 -5686.31
9.49512 12.9109 | -0.847264 -1.53131 | -3012.45 -4194.48
9.87832 13.2328 | -0.756776 -2.49761 | -2811.81 -2046.75
10.2461 13.5675 | -2.40954 -1.69009 | -2591.18 3958.12
10.5973 13.9194 | 0.218829 -3.02263 | -2100.65 -1020.71
10.9415 14.2766 | 1.92394 -3.18472 | 6344.09 -3886.11
11.2938 14.6277 | -1.2189 1.25489 | -696.087 5516.27
11.6472 14.9812 | -1.53259 1.72773 | -1497.49 789.697
12.0045 15.3306 | 0.190413 0.992377 | -1208.13 -509.317
12.3738 15.666 | -2.32588 4.76493 | 106.003 -2202.41
12.7638 15.9763 | -0.347226 4.79185 | 6830.18 -96.7426
13.18 16.2578 | 4.20547 0.380267 | 3366.5 2600.64
13.6141 16.5172 | 1.26242 1.53249 | -6643.1 3623.34
14.0552 16.758 | 0.690974 0.280079 | -5605.98 -3741.29
14.5082 16.9635 | 1.16643 -1.9792 | 2488.64 -6501.19
14.9788 17.1221 | -0.221063 -0.618658 | -151.749 4218.86
15.4603 17.2488 | 1.31931 -0.770357 | 1356.24 3143.38
15.9513 17.3445 | 2.1557 -1.66913 | 8429 -3623.76
16.4544 17.4005 | 1.51589 -2.5593 | 1234.2 5924.69
16.9616 17.4259 | 0.166003 -1.45464 | -4097.88 -6967.97
17.4667 17.4061 | -1.89722 -0.44492 | 1116.96 -3406.23
17.9701 17.353 | -1.05968 0.37692 | 3108.1 10652.5
18.4729 17.2906 | 0.381796 0.0911964 | -7520.26 -6990.5
18.9666 17.2002 | 2.8235 0.735203 | -5881.4 1053.19
19.4529 17.0939 | 3.89796 -1.69671 | 7018.24 7423.55
19.9422 16.9823 | 2.06544 -2.49251 | 8682.82 -11350.3
20.4324 16.8431 | 1.76005 -0.0537512 | -3193.49 3395.63
20.9164 16.6908 | 2.34273 2.91352 | -5696.97 3640.96
21.3916 16.5284 | 4.11991 3.61524 | -1972.42 -2157.19
21.8593 16.35 | 4.04156 2.76828 | -2287.86 -3424.81
22.3219 16.1603 | -0.109242 0.890876 | 3970.65 3243.47
22.7895 15.9787 | 0.926714 1.42116 | -1545.04 -3597.45
23.2619 15.8087 | 1.23134 -0.287901 | 2384.01 -471.868
23.7455 15.6686 | 0.325955 2.59404 | 3703.58 2829.65
24.2416 15.5771 | 0.552365 4.88577 | -8788.93 3724.19
24.7384 15.5418 | -0.254217 1.31347 | -4085.71 1620.86
25.2331 15.5584 | -0.14909 -1.02012 | 4157.58 -334.143
25.7277 15.6144 | 0.301753 -0.587819 | 1532.37 -3451.08
26.2197 15.698 | -2.02494 2.1281 | 1349.13 -2761.62
26.706 15.8105 | -1.25227 0.979403 | -7263.43 8176.33
27.1781 15.9634 | -1.57518 1.83501 | 3419.73 -2416.65
27.6466 16.1311 | -1.64642 2.72521 | 4769.65 -6328.88
28.1166 16.2997 | -0.245192 1.71996 | -2814.74 653.001
28.5806 16.4824 | -0.68691 1.50191 | 4816.85 3838.65
29.0393 16.6877 | -0.0960757 1.71014 | -1014.31 -1925.36
29.4871 16.9142 | 1.44954 0.283561 | -3222.39 1886.65
29.9199 17.1668 | 2.2778 -0.495249 | 5131.06 3076.34
30.3433 17.4426 | 0.924732 0.0636294 | 2608.51 -850.229
30.7565 17.7363 | -2.3182 -0.779493 | -263.875 178.171
31.1538 18.0496 | -0.529504 -1.15803 | -8806.72 -2957.51
31.5273 18.382 | 2.44678 0.484727 | 740.615 -1248.17
31.8856 18.7298 | 2.751 0.478324 | 3930.86 4282.75
32.2331 19.0928 | 2.84175 0.848113 | -4864.74 -2590.66
32.568 19.4635 | 3.68554 0.199559 | 1300.71 -1358.62
32.9001 19.8358 | 3.29509 0.0678701 | 2576.65 -3057.17
33.2318 20.2072 | 2.37431 0.455379 | -5297.65 1424.85
33.5539 20.5856 | 1.81961 0.983059 | 4571.15 4447.8
33.875 20.9696 | 1.01504 0.147754 | -3280.88 -1860.72
34.1954 21.3516 | -0.480923 -1.50163 | -4712.86 17.2631
34.5226 21.7253 | -0.211081 1.32744 | 7224.15 605.808
34.8766 22.0777 | 0.183522 3.16749 | -1631.85 -2958.82
35.2547 22.4012 | -0.75455 -0.254525 | -721.955 -3120.78
35.6539 22.6956 | -1.64624 -0.913545 | -1835.52 3907.7
36.0686 22.9706 | -0.422235 -2.03937 | 11936.4 1795.67
36.5057 23.2245 | 2.86142 -4.00477 | -2097.32 6745.82
36.9514 23.4658 | 5.63562 -6.01252 | -9129.03 -3915.92
37.4048 23.6791 | 3.50548 -5.83009 | 9789.07 -1909.62
37.8793 23.8534 | 1.31384 -2.66128 | -2152.66 -72.3277
38.3651 23.9909 | -1.52109 -1.36271 | -4665.57 -1015.93


9.14762 -45.0911 | 1.4095 0.733127 | 5683.04 -200.009
9.60303 -45.3095 | 1.15188 -1.0017 | -2235.06 -5925.63
10.0697 -45.5015 | 1.29987 -5.16469 | -3499.53 7184.61
10.5479 -45.6488 | 2.71835 -1.42737 | -871.179 -425.617
11.0354 -45.7564 | 1.71227 1.88179 | -412.881 -6816.72
11.5299 -45.8267 | 0.983924 -0.665397 | 1705.2 4854.11
12.0301 -45.836 | 1.84274 0.768302 | 1276.81 10335.6
12.5294 -45.7812 | 1.15241 0.734551 | 2438.06 -9786.87
13.0271 -45.7001 | -0.28705 -1.36031 | 4471.44 2920.33
13.5229 -45.5903 | -2.01063 0.780005 | -1815.87 2658.22
14.0123 -45.4574 | -1.86058 -0.661287 | -1898.42 -8097.99
14.4967 -45.3172 | -2.21183 -0.945546 | -4052.7 9184.54
14.9735 -45.1565 | -2.39412 1.12649 | 3213.57 -2850.66
15.4532 -44.9989 | -1.26276 0.959811 | 4744.95 -5519.51
15.9398 -44.8549 | -1.86147 2.19622 | 524.428 5723.45
16.4284 -44.7107 | -2.32759 0.771447 | 1715.85 -1192.19
16.9196 -44.573 | -2.53304 1.83027 | -4624.37 2766.28
17.4099 -44.4435 | -2.19669 3.34617 | -5344.15 -1716.3
17.9015 -44.3386 | 0.143314 3.44672 | 3088.58 -6422.35
18.4003 -44.2727 | 0.939333 2.69181 | -1575.32 967.92
18.9005 -44.235 | -0.598883 1.66838 | -5364.61 -298.299
19.398 -44.2189 | -2.34501 1.59083 | -249.892 3843.24
19.8946 -44.2168 | -1.76845 3.43598 | -3291.91 2753.98
20.389 -44.2361 | 0.0238284 1.99051 | 3737.65 -1394.27
20.8835 -44.2936 | -1.04582 -2.74669 | 7495.21 -5181.67
21.3761 -44.4004 | -2.5911 -1.64445 | 1454.93 -737.543
21.8589 -44.5501 | -3.7346 -1.76175 | -4836.31 5103.42
22.3246 -44.7348 | -4.68797 -1.62059 | -4439.74 919.662
22.7675 -44.9609 | -3.72698 1.58653 | -120.664 -4158.88
23.1865 -45.2311 | -4.01949 -0.600324 | 2450.89 -3509.39
23.5866 -45.5334 | -3.35518 -3.78886 | 2244.53 6016.85
23.9745 -45.8491 | -0.946507 -3.09199 | -1000.26 4550.03
24.3459 -46.1801 | -1.86231 -1.83245 | -2562 -3161.04
24.6912 -46.5382 | -2.29227 0.269553 | 1230.48 -3000.56
25.0119 -46.922 | -2.25468 2.02301 | 4287.37 -2474.51
25.313 -47.326 | -1.43708 2.75277 | 345.788 -358.162
25.5915 -47.7465 | -0.789713 3.20274 | -6065.03 -1311.57
25.8442 -48.1807 | -1.41536 3.82392 | 1202.89 6610.18
26.0885 -48.6151 | -1.5243 3.04108 | -851.146 1392.29
26.329 -49.0492 | 0.315176 2.81008 | 1498.28 2657.44
26.5698 -49.4805 | -1.58918 1.74949 | -5863.82 4754.16
26.8041 -49.9093 | -3.47119 -0.592007 | -2618.43 193.845
27.039 -50.3365 | -0.112385 -0.19333 | 3883.16 -3276.43
27.2894 -50.7596 | 3.10754 1.63348 | 5985.49 -6054.42
27.5611 -51.1771 | 0.536877 -0.0166756 | -972.885 -1815.09
27.8489 -51.5857 | -1.11892 -0.321798 | -1788.92 201.581
28.1543 -51.9811 | -2.15711 1.13408 | 1056.31 -2986.13
28.4849 -52.3584 | -1.74344 2.52508 | 3478.82 1184.34
28.8477 -52.7066 | -1.36658 0.564635 | -2029.06 -729.607
29.2383 -53.0218 | -0.697443 -2.53203 | -130.743 3009.39
29.6573 -53.2947 | 0.510758 -2.19601 | -3947.37 809.506
30.0983 -53.5239 | -0.119312 -2.46392 | -1432.79 -566.601
