-10.5314 93.0017 | -5.00943 0.38198 | 29968.5 14707
-10.1429 93.337 | 1.13898 4.21201 | 8791.14 6588.67
-9.76205 93.6884 | 4.31701 8.20022 | -40241.2 -33401.6
-9.42848 94.0398 | -5.13796 -1.48945 | -4924.93 12609.2
-9.11727 94.4138 | -5.23063 -4.42912 | 37889.3 9524.2
-8.7753 94.7888 | -2.38207 -0.302104 | -11563.3 -1341.36
-8.44549 95.1692 | -4.1863 1.50941 | -4959.39 -14633.7
-8.13592 95.551 | -3.01881 4.85575 | -21485.6 3297.5
-7.86475 95.9534 | 0.428806 -0.696301 | 23528 8713.98
-7.57592 96.3592 | -1.41921 -1.64971 | -2203.84 -22.6147


-36.8141 66.4184 | 2.91313 -1.29577 | 2052.65 -31.0158
-36.4887 66.7983 | -0.308356 -2.48817 | -6419.7 -4398.99
-36.1673 67.1756 | -1.31998 -3.34364 | 2127.97 6631.33
-35.8401 67.5521 | 0.383464 0.0621236 | 66.6284 -5607.05
-35.4983 67.912 | 1.16672 0.778436 | -1143.11 -46.8204
-35.1409 68.255 | 0.263778 -1.00863 | 410.544 832.055
-34.7661 68.5783 | -2.22777 -0.729058 | -5610.31 -6978.42
-34.3765 68.8758 | -1.9074 0.111241 | 5534.77 8741.16
-33.9684 69.1587 | -0.847043 1.39124 | 5747.2 -1532.17
-33.5406 69.4189 | 0.174349 1.56919 | 1107.55 4168.72
-33.1008 69.6648 | 1.96564 -0.856734 | 485.833 5706.7
-32.6501 69.8948 | 2.1347 -1.9639 | -825.69 -8496.71
-32.1857 70.0884 | -0.324554 0.95364 | -2304.81 3689.06
-31.7123 70.253 | 0.269404 0.21342 | -6373.78 -3402.79
-31.2322 70.3796 | 0.785792 -0.920782 | 2321.85 626.217
-30.7417 70.4675 | -0.468912 -3.17251 | 9949.51 17.5783
-30.2393 70.5158 | 0.0467346 -1.51796 | -6647.95 -1549.85
-29.7383 70.5279 | -0.154064 -2.915 | 313.109 3673.56
-29.2379 70.5131 | -0.806686 -2.78776 | -1209.1 -1937.69
-28.7405 70.4659 | -1.54189 -3.21806 | -1175.11 -1459.14
-28.2472 70.3897 | -0.812375 -0.558207 | 3145.33 1234.97
-27.7557 70.2939 | -1.647 2.38676 | -3214.72 1346.48
-27.269 70.1826 | -3.02855 3.62454 | 2649.34 -2267.12
-26.7834 70.0559 | -1.83955 2.04203 | 7820.87 -635.783
-26.2943 69.9201 | -2.35495 -0.0576628 | -3212.22 -9529.15
-25.8067 69.7784 | -2.43386 -2.08347 | 2890.77 17632.6
-25.3118 69.6715 | 0.0494669 0.516896 | -6234.34 -4673.42
-24.8183 69.573 | 0.767812 0.221549 | 3268.96 -8480.34
-24.3212 69.4779 | 0.800005 -1.36185 | 3023.65 7535.57
-23.8188 69.4133 | 2.41049 2.12457 | -9519.1 4985.95
-23.3197 69.3766 | 1.3332 2.93967 | 2340.42 -3992.31
-22.8188 69.3485 | -0.337748 3.24047 | 5674.87 -2311.84
-22.3138 69.3252 | -2.14527 1.18313 | -2660.16 5647.06
-21.8098 69.311 | -0.735236 0.444158 | 1871.91 -12939.3
-21.3059 69.2875 | 0.156606 -2.69835 | -8539.4 2705.69
-20.8077 69.2869 | 1.1981 -3.23517 | -6518.51 7055.14
-20.3157 69.3305 | 1.21908 -3.00158 | 9166.84 -2077.53
-19.8221 69.4094 | 0.826522 -2.44913 | 5291.08 41.451
-19.3317 69.5248 | 0.943584 -0.4381 | -4518.14 1314.96
-18.8551 69.6798 | 0.0376646 1.47259 | -6841.91 4299.41
-18.395 69.869 | 0.973386 0.332225 | 2116.94 -6160.66
-17.938 70.0648 | 1.86364 1.38683 | 9311.8 -5034.5
-17.4779 70.2646 | 0.499603 -0.0837213 | -5641.49 7426.27
-17.0312 70.4915 | -0.218533 -1.23819 | 894.52 -280.531
-16.5944 70.7373 | 0.213883 -0.823631 | 619.942 -4278.98
-16.1657 70.9953 | 1.18863 -2.38978 | -1440.07 2558.61
-15.7491 71.2741 | 3.61969 -1.89069 | 4594.47 7714.12
-15.3399 71.5734 | 2.71588 0.809186 | 3809.72 -2988.69
-14.9322 71.8767 | 3.75737 -0.823281 | -6810.47 -3849.53
-14.5316 72.1813 | 1.54691 -1.71965 | 3335.4 2389.21
-14.1315 72.4891 | -2.61465 -1.10932 | -3576.82 -5039
-13.7344 72.7959 | -3.31921 0.10494 | 4857.56 4378.55
-13.3374 73.1103 | -1.93565 -0.308616 | 3249.03 6241.78
-12.9427 73.4353 | -0.519708 0.105609 | -1539.89 -1018.61
-12.5505 73.7619 | 1.51307 -0.373338 | -3704.93 856.751
-12.1581 74.0833 | 3.32581 -1.87928 | -5315.89 -12568.2
-11.7586 74.3811 | 2.05869 -0.0214859 | -3785.17 -494.472
-11.3527 74.6648 | 1.62964 -1.40847 | 2784.93 7911.87
-10.9354 74.939 | 0.700501 -3.8248 | 1907.66 -4125.57
-10.5 75.1862 | -0.37224 -1.7549 | 5367.21 7004.66
-10.0447 75.4075 | -1.07853 -0.545438 | 1667.14 -1427.39
-9.57031 75.5858 | 0.433176 -2.68548 | -4879.25 -7926.85
-9.08347 75.7091 | 0.149891 -2.53998 | 664.066 1847.02
-8.58842 75.7911 | -1.23983 -0.782331 | -5892.89 2366.24
