-36.1331 -36.2311 | 0.980159 -1.119 | -2796.7 2159.64
-35.6873 -36.0205 | 1.75745 1.30525 | 116.077 170.352
-35.233 -35.83 | 2.56565 0.96566 | -1439.35 165.291
-34.7692 -35.6672 | 2.16595 0.689463 | -1613.94 5793.03
-34.2946 -35.5399 | 2.48328 -1.62132 | 2583.45 -3231.18
-33.8057 -35.4771 | 3.08423 -3.89532 | 6835.93 -7865.35
-33.3069 -35.4893 | 3.67207 -0.00882128 | 6074.61 1907.76
-32.8065 -35.5509 | 2.60958 0.643733 | -2483.19 3390.69
-32.3124 -35.6448 | -0.0464916 2.09641 | -2522.39 5445.83
-31.827 -35.7661 | -0.811278 3.07851 | 514.232 -3291.15
-31.3533 -35.9295 | -0.322326 0.486645 | 2476.22 -1548.82
-30.8945 -36.1365 | 1.78296 2.83011 | 329.283 -3766.56
-30.4551 -36.386 | 0.701173 -0.0562743 | -3725.05 4948.89


21.718 -80.2059 | 3.18749 3.51192 | 6647.32 5478.41
22.1185 -79.891 | 2.36496 2.03797 | 6750.18 -1173.03
22.5206 -79.5724 | -0.29622 3.10059 | 853.313 8647.69
22.9146 -79.2386 | -4.18605 6.17312 | -8049.74 -6237.88
23.2969 -78.9027 | -2.50515 5.30072 | -7390.99 -4240.33
23.6725 -78.5709 | -0.834846 3.5602 | -5041.49 -4507.35
24.0523 -78.2533 | -0.458009 1.449 | 1445.42 -4383.41
24.448 -77.9577 | 1.11044 -0.983565 | 3486.19 8758.06
24.8608 -77.6768 | 0.217401 -1.90184 | 299.335 1003.52
25.2942 -77.4259 | 1.89383 -2.62918 | 6748.78 -9136.65
25.7533 -77.2211 | 2.89236 -1.13628 | -2827.17 12971
26.2235 -77.0389 | 1.32108 1.11896 | -533.033 -7488.32
26.7072 -76.9044 | -0.696511 2.32814 | -1734.75 -5305.88
27.1992 -76.8165 | -2.2221 1.97376 | -3991.54 4834.34
27.6936 -76.7541 | -0.0648375 1.95091 | 8484.47 -2720.96
28.1958 -76.7156 | 3.0216 -0.613377 | 2738.02 5256.19
28.7006 -76.6861 | 1.78023 -2.6997 | -9052.64 1613.58
29.2001 -76.6702 | 0.938718 -0.421316 | -1717.17 -2537.11
29.6973 -76.6794 | -0.42323 -1.24529 | -1871.39 1359.32
30.1919 -76.7145 | -1.20941 -3.13077 | 2504.19 -3475.44
30.685 -76.7805 | -0.135452 -0.818286 | 830.31 5066.67
31.1747 -76.8679 | -0.0826496 -0.986906 | -5838.86 -4810.59
31.6558 -76.9864 | 0.355648 -0.974898 | 9924.51 -4569.84
32.1393 -77.1239 | -0.133186 -0.200247 | 3429.07 6630.47
32.6261 -77.2571 | 0.428202 -0.614785 | -2732.54 1505.28
33.1115 -77.3912 | 1.86744 -0.115771 | 5982.31 -45.2192
33.5973 -77.5358 | 3.29524 3.17041 | -3759.59 -1841.01
34.0736 -77.704 | 3.45921 4.45133 | -4188.73 -9284.16
34.5392 -77.9009 | 1.44567 1.14436 | 7510.43 1623.33
35.0106 -78.0957 | 0.829185 0.513978 | 6100.01 8765.11
35.4909 -78.2706 | 0.0713223 0.756102 | -10309.2 -2799.75
35.964 -78.4432 | -3.97144 -3.57981 | -16184 3730.15
36.426 -78.6105 | -2.52803 -3.15984 | 3216.98 -1028.36
36.8925 -78.7679 | -0.804882 1.06524 | 5139.66 -2904.76
37.3682 -78.9079 | -3.09324 0.364625 | -3548.92 3732.26
37.85 -79.0171 | -2.72901 4.26055 | 4570.58 1046.22
38.3399 -79.0964 | -2.05204 3.95684 | -2653.25 -6857.19
38.8313 -79.1548 | -0.68218 0.535966 | -6417.39 2331.15
39.3213 -79.1746 | -0.276879 0.573191 | 2540.51 4262.42
39.8129 -79.1488 | 0.301327 -0.474881 | 4242.41 -2608
40.3065 -79.0908 | 0.376454 -2.12395 | 14793.3 -4515
40.8066 -79.0032 | -2.11706 -1.32733 | 1587.37 9056.49
41.2992 -78.8651 | -0.396508 -3.1839 | -3009.49 110.562
41.7771 -78.6863 | 2.47269 -1.7376 | 1730.96 -2617.75
42.2415 -78.476 | 2.59976 -0.275477 | -7368.17 813.169
42.6837 -78.2322 | 2.86754 -1.38082 | 214.694 -6550.53
43.1079 -77.9624 | 2.57274 0.657314 | 2803.25 7136.66
43.5086 -77.6526 | 3.02942 2.25193 | -3342.49 8337.4
43.8811 -77.307 | 4.28987 2.05742 | -1493.61 -12824.2
44.2391 -76.9569 | 1.78319 2.40833 | -6492.43 -7280.63
44.582 -76.6017 | -0.0175241 1.09086 | 4923.41 3992.22
44.9151 -76.2318 | 1.22749 -0.640024 | 6692.31 8960.31
45.2362 -75.8415 | 1.11693 -0.549345 | -6353.21 -775.653
45.5364 -75.4375 | 2.34595 0.97594 | -2659.19 -3462.05
45.8264 -75.0293 | 2.80644 3.4338 | 3641.41 3702.47
46.1216 -74.6202 | 3.42057 3.06595 | 4937.75 3644.16
46.431 -74.2173 | 5.20579 1.86324 | -4310.94 -6761.3
46.7525 -73.8308 | 4.18426 1.79583 | -5602.93 -2238.73
47.0879 -73.461 | 0.243227 1.69088 | 6087.76 7002.2
47.4515 -73.1108 | -0.612026 2.14475 | 3474.7 -1567.74
47.8482 -72.7961 | -1.09916 1.90154 | -1858.77 -4441.51
48.2729 -72.5245 | -1.6214 2.89331 | -72.731 4377.86
48.7211 -72.2918 | -1.82415 3.17606 | 223.606 -1100.69
49.1918 -72.1106 | -2.72862 2.83835 | -1671.03 -6243.26
49.6794 -71.9914 | -1.11749 -0.528923 | -2235.07 6798.02
50.1761 -71.9229 | -0.466907 -2.15451 | 5333.57 -6100.75
50.6808 -71.9212 | -1.8986 1.96544 | 302.253 -7212.43
51.1834 -71.9776 | -2.77353 2.72972 | -2627.69 12853.1
51.6807 -72.0558 | -2.98335 -0.33323 | 1463.57 -5215.56
52.1719 -72.17 | -1.4235 0.904094 | -1459.34 -525.286
52.6532 -72.3144 | -0.0717185 1.08483 | -5842.73 9032.64
53.1212 -72.4797 | -0.00790627 -1.11234 | -3133.54 -4123.41
53.5717 -72.6842 | 2.01173 0.355563 | 3134.19 -4453.73
54.0076 -72.9256 | 2.03707 1.5647 | 3101.46 -3169.21
54.4339 -73.1898 | 0.702433 1.79861 | -1823.43 4525.34
54.8558 -73.4566 | -0.0306708 1.36895 | -424.795 4582.31
55.2787 -73.7192 | -0.106711 0.974639 | 3219.98 -8646.51
55.7047 -73.9858 | -0.00552111 -0.0560054 | 2354.42 1888.72
56.1391 -74.2404 | 0.258113 0.308107 | 573.202 7516.44
56.5807 -74.4755 | 0.962206 3.01974 | -11441.8 -453.391
57.0154 -74.7081 | 1.32832 4.9475 | -5246.41 -6485.95
57.449 -74.9396 | 0.562065 3.49187 | 9761.83 5323.32
57.9021 -75.1422 | 0.380739 -0.311049 | 6572.99 -1821.42
58.3718 -75.3189 | 2.51282 -0.238941 | -3238.5 -8855.12
58.8488 -75.4745 | 2.3888 0.206105 | -5527.3 7674.69
59.3349 -75.5783 | 1.73186 -1.50116 | 6187.2 3445.22
59.8333 -75.6255 | 0.611499 -4.75965 | 4926.12 286.601
60.337 -75.6283 | -1.02509 -3.93295 | -10683.4 1551.38
60.8327 -75.6014 | -0.860466 -1.28373 | -4462 -13433.8
61.3237 -75.5679 | -0.456746 0.0445279 | 2858.41 3113.19
61.8132 -75.4981 | 0.646151 -1.60248 | 7931.6 4802.79
62.2995 -75.3764 | 0.320922 0.922856 | 6297.81 1798.57
62.7749 -75.2027 | 0.56509 0.288715 | -9576.62 5740.01
63.2252 -74.979 | -0.192401 2.76913 | 4876.68 -8368.43
63.6638 -74.7339 | -2.558 3.56747 | 546.669 -5213.73
64.085 -74.4625 | -0.630686 -0.543607 | -3849.31 10951.6
64.4745 -74.1429 | -1.25277 0.0515138 | 7287.31 4939.88
64.8422 -73.7897 | -0.73293 -0.648883 | -1803.22 -6163.07
65.1876 -73.419 | 2.5323 -1.78561 | -6612.84 818.484
65.5081 -73.0305 | 0.255058 1.59104 | 875.403 -4535.64


-36.2842 71.1593 | -2.98211 -2.93859 | 304.487 -1572.54
-35.8442 70.9186 | -1.75784 -2.15056 | 3839.54 -377.144
-35.4174 70.6508 | 0.146583 -0.158059 | 768.2 3231.5
-35.008 70.3581 | 0.576256 1.75587 | -1512.59 -1743.9
-34.6254 70.0313 | -1.22555 0.445877 | -3327.47 -6638.37
-34.2747 69.6687 | -3.28619 -2.50682 | -1932.1 11.0905
-33.9431 69.2903 | -3.8323 -2.98906 | -770.443 6198.43
-33.6117 68.9174 | -4.46831 -2.22173 | 678.117 5641.86
-33.2687 68.5587 | -2.18376 -1.63116 | 4888.84 -2664.29
-32.9124 68.208 | -0.87884 -2.55102 | 832.134 -2953.27
-32.5513 67.8599 | -0.0126595 -2.94727 | -8276.39 2696.87
-32.1928 67.517 | 1.49404 0.0010978 | -3410.85 1407.11
-31.8268 67.1861 | -0.129657 -0.824581 | 7806.35 1493.9
-31.4382 66.8755 | 0.693954 -1.5029 | 5577.29 -3892.81
-31.0325 66.5769 | 2.08546 0.535376 | 4584.44 -6659.35
-30.6165 66.2821 | 1.88034 0.773041 | -323.707 830.424
-30.1959 65.9951 | 1.49678 0.139408 | -9180.36 3307.52
-29.777 65.7178 | 0.518453 -2.10203 | -1462.28 2597.96
-29.3525 65.4544 | 1.23373 -2.7499 | 280.115 -4242.69
-28.9184 65.2044 | 1.94155 0.721845 | 2123.13 973.357
-28.4688 64.9822 | 0.623356 0.937527 | -2077.87 4827.78
-28.0052 64.7971 | -1.40171 -2.45677 | -1520 -2925.12
-27.5303 64.6427 | -2.13628 -4.91389 | 7128 -3913.73
-27.0404 64.5236 | 0.404362 -1.60297 | -1826.96 3972.42
-26.5428 64.4548 | 0.338333 3.36257 | -7105.88 2272.04
-26.046 64.4362 | -0.991377 3.33582 | -412.5 -1017.88
-25.5499 64.4598 | 0.509955 4.22846 | 4500.91 1202.74
-25.0534 64.5201 | 2.52321 1.81905 | 4350.03 -3266.23
-24.5582 64.6071 | 3.53717 -1.20814 | -3579.48 -5904.64
-24.0728 64.7247 | 1.66443 0.276846 | -4667.52 9452.54
-23.6053 64.8952 | -0.16772 1.13724 | 2083.63 -3147.95
-23.1512 65.0989 | 1.24222 -3.04658 | -2837.87 -1482.02
-22.7118 65.328 | 0.653427 -3.82309 | -3055.63 2673.73
-22.284 65.5765 | 0.586869 -3.26625 | 5917.32 -4558.66
-21.8531 65.8256 | 0.22775 -0.82186 | 7139.19 5117.51
-21.4179 66.0808 | -0.839586 1.55097 | 5015.76 2169.1
-20.9814 66.3412 | -0.544153 -0.0177878 | -8131.7 -6084.51
-20.5548 66.6042 | 0.021476 -1.82442 | -7772.75 2259.03
-20.1401 66.8778 | -0.199153 0.132599 | 3824.93 605.05
-19.7231 67.1515 | -0.890423 2.22849 | 3120.54 -2292.83
-19.2987 67.4165 | 0.713501 2.09459 | 330.09 4722.38
-18.8691 67.677 | 3.21979 0.423995 | -292.093 -2184.88
-18.4307 67.9227 | 3.23537 -0.48583 | 4728.1 222.452
-17.9795 68.1518 | 1.65616 -1.20784 | 4228.83 5014.77
-17.5174 68.3676 | -1.16312 -0.209791 | -5631.11 -3352.55
-17.0494 68.5603 | -2.72198 2.399 | -2722.73 3606.67
-16.5722 68.7265 | -2.51325 3.21922 | 7247.53 -484.255
-16.0766 68.8453 | -2.95276 5.74169 | 3618.34 -2522.81
-15.5675 68.8998 | -2.4525 3.53112 | -130.599 -4372.82
-15.0564 68.8806 | -2.22166 0.518504 | -4327.68 -893.487
-14.5563 68.7913 | -3.05717 2.55368 | -6039.22 -2216.47
-14.0772 68.6368 | -3.98177 4.46963 | -4815.58 1842.86
-13.6209 68.4334 | -4.4958 3.15027 | 3528.49 5756.39
-13.182 68.1948 | -2.33684 3.53872 | 212.397 -3164.49
-12.7687 67.9121 | 0.61746 3.926 | -1947.76 -3912.16
-12.3861 67.5875 | 1.85368 2.51758 | 3385.24 1826.58
-12.0268 67.2357 | -0.196275 -0.0273895 | -1178.79 -494.901
-11.6926 66.8601 | 1.94863 2.97424 | -1831.57 -1779.44
-11.3805 66.4658 | 3.80209 3.01478 | 2050.22 3236.71
-11.0799 66.0638 | 0.0180848 0.331613 | -51.316 1322.77
-10.7899 65.6544 | -0.0850652 3.14193 | -381.979 -7196.89
-10.51 65.2329 | -0.383084 5.55219 | 1109.6 -2063.01
-10.2284 64.8091 | -2.67655 3.14997 | 3497.13 -2124.12
-9.93194 64.3916 | -1.9483 0.440032 | 6339.83 50.9075
-9.61301 63.988 | -1.22463 0.644944 | -2350.72 5139.7
-9.28234 63.5999 | -1.2571 0.906349 | -11584.3 3174.59
-8.95171 63.2231 | -1.98718 -0.105367 | -542.945 10448.3
-8.6091 62.866 | -2.2223 0.972503 | -458.66 -4493.58
-8.2582 62.5146 | -3.26774 2.42413 | 2878.7 -9522.61
-7.89537 62.1668 | -3.76841 1.7564 | 1774.5 5130.21
-7.51279 61.8425 | -1.50846 2.31678 | -1246.72 7108.45
-7.11431 61.5441 | 0.422284 3.22364 | -3805.78 -5477.79
-6.70987 61.2539 | 0.620497 4.1696 | 3105.21 -2970.49
-6.29323 60.9747 | -0.664122 4.39172 | 5552.5 -191.005
-5.85943 60.7134 | -0.984945 3.3253 | 5821.28 -4438.59
-5.40943 60.4678 | -0.960665 -0.156079 | 5766.06 819.658
-4.94527 60.2415 | -1.56092 -1.33095 | -4228.07 -1587.5
-4.47785 60.0293 | -2.37079 0.50899 | -10300.3 5088.33
-4.01167 59.8373 | -3.64657 0.0225444 | -3452.04 7979.16
-3.54387 59.6666 | -3.40773 1.2592 | -5125.95 -6546.05
-3.07999 59.4953 | -2.31911 1.30047 | -4727.19 1104.49
-2.61743 59.3318 | -2.93704 0.155991 | -1506.36 -839.57
-2.15077 59.1855 | -3.77982 1.53565 | 689.557 1338.06
-1.67566 59.0696 | -3.30749 2.57282 | 3010.69 5161.55
-1.19158 58.9892 | -1.93669 3.13154 | 1833.43 -3119.04
-0.703283 58.9241 | -0.519944 1.27706 | -304.852 -853.923
-0.214589 58.8639 | -0.634894 0.311606 | -4765.9 393.312
0.27111 58.8015 | -0.66333 0.782623 | 3304.02 -3366.71
0.758748 58.7297 | 1.14848 0.479075 | 9679.69 1328.81
1.25279 58.6535 | 1.37315 2.43826 | 1891.09 4358.51
1.74667 58.5689 | 0.925976 2.03174 | -6797.06 -3631.85
2.23009 58.4541 | 1.69834 3.26201 | -3415.32 -2515.45
2.70227 58.3065 | 2.07647 3.85827 | 2250.31 -357.859
3.16833 58.1371 | 2.02225 1.44169 | 1335.82 3347.43
3.63043 57.9576 | 0.884061 -0.788484 | -3885.31 -2431.6
4.08582 57.7672 | 0.107441 -1.39558 | 801.1 6712.9
4.54061 57.579 | 0.712824 -0.315554 | 2914.13 617.651
4.99306 57.381 | 0.319527 1.70583 | -2415.44 -5727.49
5.43443 57.158 | 0.30812 1.37882 | 4425.67 6001.4
5.86813 56.9188 | 0.69263 -0.208138 | 1534.23 -6302.29


-37.8518 -16.8212 | -0.536155 0.190681 | 3642.32 -354.306
-37.415 -16.5724 | 0.0801856 2.35651 | -5125.16 3766.7
-36.9962 -16.2967 | 3.14793 0.721093 | 2321.41 -891.23
-36.5838 -16.0085 | 3.49079 -0.288656 | 5825.62 5523.19
-36.1687 -15.714 | 2.43479 -0.830816 | 5751.62 -1688.76
-35.7449 -15.4273 | 2.71891 -1.53897 | -3913.52 -8120.65
-35.3208 -15.1516 | 1.05256 -0.999019 | -12107.6 1795.4
-34.9078 -14.871 | 1.83717 -1.34766 | 5646.03 167.954
-34.4914 -14.5911 | 3.60948 -3.57608 | 3681.49 1340.29
-34.0711 -14.3127 | 1.27391 -2.61855 | -6672.22 883.595
-33.6537 -14.0368 | 0.297849 -2.39451 | -3246.37 -4832.1
-33.232 -13.7757 | 0.913104 -2.27469 | 1947.67 -2543.73
-32.8011 -13.5318 | 1.85583 -1.96429 | -3703.4 3099.81
-32.3675 -13.2981 | 1.65583 -1.65039 | -9004.12 -3616.41
-31.9323 -13.084 | 0.654567 -4.25582 | -6111.26 -21.2892
-31.4894 -12.8964 | -1.0197 -1.09219 | 8406.34 1856.56
-31.0261 -12.7465 | -1.74123 2.54183 | 8718.54 879.081
-30.5436 -12.6394 | -1.4647 1.3981 | 1250.2 4210.87
-30.0524 -12.5721 | -2.31283 -0.70639 | -7692.16 -128.877
-29.5619 -12.5537 | -2.28949 -0.66867 | 220.516 -3804.45
-29.0723 -12.591 | 0.0599783 -3.81799 | 5808.15 468.451
-28.5834 -12.6712 | 0.961729 -4.04611 | 970.035 744.84
-28.0982 -12.7824 | 0.0358833 -1.44995 | 9282.34 6423.59
-27.6133 -12.9164 | -0.7135 -1.38681 | -1070.08 -8353.52
-27.1418 -13.0949 | -1.00373 -1.5851 | -6136.05 1762.3
-26.6897 -13.3073 | 1.65973 2.05157 | -2342.36 6772.15
-26.2544 -13.5429 | 3.1154 2.80121 | -2887.78 -1627.67
-25.8385 -13.8092 | 2.56549 0.255251 | 3859.89 -4639.56
-25.4366 -14.1036 | 3.63209 0.624335 | 2815.39 -2923.16
-25.0424 -14.4146 | 2.53413 0.849082 | 2904.29 568.2
-24.6475 -14.7282 | 2.1279 0.654439 | 3787.09 -700.566
-24.2475 -15.0388 | 1.82277 3.26424 | -1873.33 6082.48
-23.8465 -15.3425 | -0.276619 5.0469 | -2382.27 1141.14
