-37.0937 -36.1698 | 0.116945 -1.23731 | 2134.49 13213.4
-36.6838 -35.879 | -1.09046 1.52498 | -2690.2 4342.41
-36.2831 -35.5732 | -1.90477 0.841829 | -660.628 -4055.25
-35.8736 -35.2839 | -1.54557 -1.86873 | -1561.49 -8705.83
-35.4453 -35.0337 | -1.60248 -1.12315 | -5616.72 -4311.02
-35.0022 -34.8217 | -1.07052 0.904368 | 1965.13 6631.06
-34.5438 -34.6368 | 0.00515288 1.09297 | 6108.19 765.007
-34.0668 -34.4878 | 0.754807 0.356856 | 7318.15 -1625.22
-33.573 -34.3778 | 0.516326 -0.0359067 | 4026.27 4322.21
-33.0694 -34.2973 | 1.30196 -2.33603 | -472.39 -5669.41
-32.5623 -34.2517 | 2.37712 -1.96778 | -5897.13 3095.67
-32.0586 -34.225 | 3.00018 2.56297 | -6499.52 4958.12
-31.5593 -34.2151 | 1.93766 3.50511 | 1876.2 -5019.3


19.8636 -77.872 | 1.82261 0.883034 | 9788.68 2627.41
20.3323 -77.6734 | -0.815647 1.20964 | -7423.61 3627.12
20.7942 -77.468 | -0.979858 -0.261165 | 1398.91 -2761.04
21.2614 -77.2763 | -3.20211 -1.30141 | 2813.6 -5240.53
21.7388 -77.1094 | -4.80475 -1.1892 | 2155.16 2021.35
22.223 -76.9573 | -4.54317 0.0762732 | -2437.28 -624.589
22.7086 -76.8163 | -3.71848 -1.88631 | -4996.54 -189.744
23.1934 -76.6826 | -2.88529 0.0246926 | 6874.29 -6.06639
23.6846 -76.555 | -1.25152 1.71361 | 4317.16 7525.11
24.1804 -76.4271 | 0.912067 -3.27491 | -1399.12 -3727.43
24.6789 -76.3181 | -0.168315 -3.28449 | -6855.47 -8928.7
25.1758 -76.2344 | -0.339024 0.0232668 | -3888.83 6309.13
25.6702 -76.1521 | 1.78865 -0.846216 | 3196.62 4597.36
26.1679 -76.0741 | 1.77767 0.581281 | 1502.75 -3769.28
26.6699 -76.0203 | 2.31843 -0.476104 | -90.3572 -2130.32
27.1745 -75.995 | 3.34153 -1.15808 | 3371.02 5024.89
27.682 -75.9947 | 2.91877 2.40985 | -1431.33 -4333.25
28.1864 -76.0359 | 1.18426 3.56772 | -4771.43 -4952
28.6815 -76.1187 | -0.814577 2.54666 | -8511.63 9696.4
29.165 -76.2218 | -1.72934 0.584245 | -1270.48 -5173.95
29.6397 -76.3562 | -2.86681 -1.00068 | 3386.57 3642.8
30.1096 -76.51 | -3.48834 -1.97919 | -1647.39 2176.97
30.5713 -76.6858 | -1.67429 -3.00074 | 4164.15 -10318.8
31.0258 -76.893 | -0.581621 -3.17507 | 4982.04 6029.7
31.4793 -77.1074 | 0.383439 0.16073 | -1489.04 1592.2
31.9265 -77.3323 | 0.166741 0.43229 | -2207.37 -4496.83
32.3638 -77.5753 | -0.136746 -1.75532 | -649.111 2182.07
32.7963 -77.8255 | 0.122508 -1.48315 | 5869.5 541.157
33.2295 -78.0797 | -1.81171 -0.942685 | -6329.79 -2779
33.6548 -78.3425 | -2.82773 -2.30775 | -1644.95 27.4264
34.0811 -78.6027 | -0.91761 -1.14688 | 7920.86 -1094.16
34.5213 -78.8477 | -0.19673 0.747022 | -4109.43 -305.255
34.9711 -79.0691 | -0.127149 -0.628842 | -2915.24 6509.41
35.4325 -79.2523 | 0.110364 -2.95496 | -5779.78 7312.71
35.9006 -79.4016 | -0.220969 -3.81445 | 1649.26 -10929
36.3749 -79.5458 | -1.47395 -2.28799 | 15810 -7908.6
36.8665 -79.6752 | -1.12279 2.01128 | 1231.86 6473.18
37.3689 -79.762 | 1.1839 0.907708 | -2970.8 2769.53
37.8752 -79.8037 | 3.04122 0.496698 | 1703.83 -451.877
38.3838 -79.8058 | 1.80373 5.42247 | -3790.38 554.937
38.889 -79.7704 | 1.45462 7.55763 | 3079.01 -2597.52
39.3918 -79.7005 | 1.81632 5.86962 | -1994.74 4139.34
39.8847 -79.5874 | 2.29247 0.339543 | -9564.15 609.369
40.3613 -79.4392 | 1.18358 -0.795702 | -1086.76 -5154.41
40.8286 -79.273 | -0.481138 0.565726 | -90.6225 -2446.03
41.2882 -79.0894 | 1.80875 -3.23134 | 3696.33 -3303.78
41.738 -78.8815 | 1.52274 -3.73144 | -6460.51 3556.53
42.1625 -78.6308 | -0.0474435 -1.31958 | -294.613 5909.5
42.5642 -78.3398 | 1.8432 -0.523757 | 10218.3 825.435
42.9597 -78.0293 | 1.10422 0.841944 | 5170.62 -4437.42
43.3479 -77.7065 | 0.503655 -0.47633 | -2505.49 6695.56
43.7133 -77.3557 | 0.299091 -1.72561 | -336.89 -639.741
44.0547 -76.9823 | -2.13552 1.32281 | -5278.04 693.056
44.3701 -76.5891 | -2.05719 0.77157 | 2758.94 -1427.86
44.6735 -76.186 | -2.70418 -1.66435 | 718.974 1170.24
44.9682 -75.775 | -2.38125 -1.91335 | -4562.45 6507.51
45.2576 -75.3586 | 1.24782 -3.47828 | -113.571 -5946.95
45.5653 -74.9604 | 0.512921 -2.16239 | 18.2059 -8455.67
45.9048 -74.5956 | 0.875402 -1.60504 | 3226.15 2276.72
46.2764 -74.2607 | 3.73647 -3.73961 | -3296.78 2515.68
46.6723 -73.9559 | 2.25687 -1.39587 | -1172.4 -2264.87
47.0947 -73.6924 | -1.01099 3.09583 | 2557.56 -6805.96
47.5427 -73.4764 | 0.321213 2.43993 | -454.315 4253.67
48.0034 -73.2856 | 1.33156 1.90725 | 209.736 7524.93
48.4725 -73.1109 | 1.17858 1.65002 | -2710.64 328.922
48.9516 -72.9692 | 1.78226 -0.717617 | 5156.15 -2636.99
49.4465 -72.8808 | 2.68203 -0.580784 | 4693.43 -2957.9
49.9525 -72.8524 | 4.34115 0.896243 | 4335.04 -839.968
50.4622 -72.8783 | 2.68544 -3.02093 | -725.123 -2803.63
50.9672 -72.9516 | 0.976049 -3.95583 | -5213.15 2944.57
51.4621 -73.0566 | 3.21465 0.0683944 | -2633.08 3474.38
51.9473 -73.188 | 3.68649 2.95212 | -2018.96 -3019.45
52.4209 -73.3518 | 3.24497 1.92838 | -3718.31 -3063.99
52.8831 -73.5406 | 2.10271 -0.0963736 | 1021.42 4422.49
53.3437 -73.7321 | 0.592566 -1.68238 | 3765.34 1965.24
53.8077 -73.9214 | 2.06908 0.036573 | 2755.16 -3894.27
54.2736 -74.1147 | 0.424873 0.0577067 | 21.0833 363.021
54.7408 -74.3074 | 0.568079 -0.540202 | 2278.35 -2345.56
55.2123 -74.4977 | 3.52935 1.02553 | 7303.38 -1753.2
55.6931 -74.6789 | 2.1925 -0.122113 | -209.246 2192.38
56.1789 -74.8436 | 2.48482 0.688829 | -8101.68 66.0048
56.664 -74.9911 | 2.64271 1.10422 | -5398.44 4186.73
57.1512 -75.1127 | 2.55469 -2.9914 | 3503.24 -4040.28
57.6465 -75.2102 | 4.09918 -1.12856 | 5109.39 -3447.52
58.1511 -75.2708 | 2.27832 -0.490626 | -2891.77 12467.8
58.6572 -75.2685 | 0.983354 -2.31122 | -817.074 109.849
59.16 -75.2246 | 0.0144151 -2.20098 | -6318.58 -11807.9
59.6541 -75.1601 | -0.550997 0.492997 | -8796.38 2102.68
60.1335 -75.0524 | -0.197753 3.08875 | -1769.68 6543.27
60.599 -74.895 | -0.845887 1.0993 | 9984.8 -6168.42
61.06 -74.7106 | -0.415479 1.12676 | 1694.46 98.2791
61.5072 -74.4918 | -0.805437 2.90028 | -5595.86 3973.88
61.9293 -74.2317 | -0.469177 1.308 | 5492.33 -11483.7
62.3313 -73.9452 | 1.10093 3.41324 | -7579.4 4797.56
62.6896 -73.6089 | 1.86379 3.70259 | 912.518 5209.84
63.0057 -73.2283 | -0.442906 2.99799 | 5185.94 -3215.05
63.2915 -72.8219 | -1.47915 2.76155 | -380.37 7333.82
63.5456 -72.3884 | -1.8068 1.34368 | 6228.58 7700.19
63.7814 -71.9363 | -3.66819 1.56847 | -539.254 -3197.33
64.002 -71.4776 | -2.84547 -0.988356 | -3995.69 -7920.81


-33.2686 74.9804 | 1.4923 -0.568869 | 1398.78 -1631.64
-32.7931 74.8171 | 0.441465 1.53815 | 5470.93 -971.234
-32.3255 74.6232 | -0.604556 -0.0709627 | -1041.1 1544.86
-31.8711 74.4019 | -0.548099 -0.944412 | -2302.27 -587.183
-31.4344 74.151 | -0.638191 -3.19656 | -807.571 4002.88
-31.0172 73.8736 | -0.532781 -3.55523 | -2576.38 -1343.63
-30.6272 73.5622 | 0.701948 -1.71621 | -3709.79 -906.091
-30.2674 73.2197 | -1.26079 -3.45775 | -2783.8 5953.35
-29.9317 72.8592 | -2.47783 -3.18985 | 5342.33 727.892
-29.6125 72.4817 | -1.65481 -1.81363 | -505.585 -6415.84
-29.3174 72.0805 | -2.95921 -3.21132 | -3454.68 -3648.39
-29.0418 71.6637 | -1.97455 -2.06169 | 2932.56 631.115
-28.7625 71.2477 | -1.73331 -0.245833 | 2470.17 85.9167
-28.4654 70.8426 | -1.69343 0.865129 | 6585.13 398.796
-28.143 70.4537 | -1.03277 0.895928 | -143.524 1784.82
-27.8075 70.0775 | -0.634386 -0.146886 | -5064.63 1776.39
-27.4727 69.7059 | -1.8491 0.407445 | -3441.9 -484.862
-27.142 69.3343 | -3.15005 1.51643 | -4842.51 3765.39
-26.812 68.9671 | -1.67095 1.36234 | 5355.68 -344.237
-26.4714 68.6061 | 1.00903 -0.768762 | 2282.27 -7314.62
-26.1229 68.2459 | -0.384888 -3.38105 | -3414.04 -654.116
-25.7653 67.8956 | -3.08188 -2.95545 | 2439.25 5067.48
-25.3877 67.5696 | -4.20265 -2.10824 | -4082.88 -14.3205
-24.9947 67.2662 | -3.80278 -1.73659 | -152.029 2116.8
-24.5835 66.9896 | -2.65267 -0.285081 | 2783.23 -2872.43
-24.1541 66.7362 | -3.95509 -0.667558 | 3923.79 -180.378
-23.7076 66.5066 | -3.07797 0.860375 | 3299.35 -2478.07
-23.2487 66.2946 | -0.6168 2.9602 | -877.636 -6581.59
-22.7819 66.0973 | 0.596717 4.45604 | -2505.53 5892.95
-22.3051 65.9364 | 1.2733 5.11726 | -2821.02 4161.76
-21.8201 65.8161 | 0.696523 2.8643 | -2070.62 1473.54
-21.3306 65.7276 | 0.39286 3.49408 | -995.175 -2099.49
-20.839 65.6572 | -0.450058 3.71363 | -1992.49 -2805.23
-20.347 65.5993 | -2.17817 0.969714 | 1952.57 3538.3
-19.852 65.5592 | -2.59022 -2.46638 | 1909.63 531.12
-19.3553 65.5273 | -2.47746 -5.10396 | -1891.11 -1079.01
-18.8601 65.4907 | -4.71305 -2.6445 | -1632.4 -1558.36
-18.3675 65.4415 | -7.09015 1.48774 | -1434.45 1301.85
-17.8777 65.3791 | -6.61853 1.98901 | -662.774 23.2882
-17.3906 65.2987 | -4.39104 4.02172 | 3479.37 3737.02
-16.9047 65.197 | -3.91015 5.87483 | 7753.27 -6320.74
-16.4222 65.0544 | -4.83511 5.13086 | 719.497 -5949.57
-15.9513 64.871 | -4.17775 0.711168 | -5079.13 8909.71
-15.4948 64.6673 | -1.83169 -0.320225 | -3677.76 1886.86
-15.0548 64.4369 | 0.260742 1.5381 | 284.331 -8230.36
-14.6307 64.1723 | 2.36441 4.99829 | 8161.46 2907
-14.2111 63.8926 | 3.06877 7.02976 | 2009.97 -286.331
-13.8011 63.5955 | 0.297119 3.1148 | -966.89 -698.244
-13.4082 63.2758 | -3.54525 -0.450672 | -530.264 -5310.15
-13.0358 62.9303 | -2.48035 1.8136 | -1998.87 6279.15
-12.6817 62.5725 | -2.08802 2.09689 | -1242.76 9505.05
-12.3479 62.2029 | -2.82197 0.768221 | -384.853 -7347.94
-12.0475 61.8014 | -2.22095 -0.784208 | -679.219 -10141
-11.7842 61.3674 | -2.33623 -2.54505 | 2072.07 773.33
-11.5453 60.9192 | -1.40411 -1.70746 | -1985.95 9299.8
-11.3248 60.4693 | 0.621096 -1.61523 | -2854.22 5013.67
-11.1209 60.0165 | 0.232659 -3.41787 | -604.286 -6154.2
-10.9281 59.5557 | -0.240523 -3.84458 | 1895.26 -1167.29
-10.7329 59.0949 | 1.46808 -2.93187 | -495.65 7383.84
-10.5275 58.6437 | 0.704764 -1.2464 | -872.778 914.843
-10.3097 58.1986 | 0.76497 -0.129649 | 2824.77 -9621.97
-10.0749 57.7542 | 0.879634 0.06012 | -382.901 -6536.33
-9.81688 57.3182 | -0.647648 0.0351503 | 1116.65 7081.53
-9.52011 56.9122 | -0.281802 0.086754 | 2190.72 4980.7
-9.181 56.5435 | 2.22824 1.73475 | -1566.17 -1814.17
-8.81004 56.2069 | 1.83761 1.95611 | -1978.53 2498.89
-8.41222 55.9051 | -0.545611 0.712498 | 3726.81 1415.45
-7.98994 55.6346 | 0.366257 1.36992 | -82.4822 -7720.66
-7.55307 55.3809 | 2.71289 1.93558 | 5268.99 -1124.59
-7.09824 55.1528 | 2.07006 0.0363814 | -1947.22 3427.26
-6.63081 54.9577 | 1.26975 1.03557 | -6691.47 1877.34
-6.15655 54.7941 | 0.501898 1.72073 | 772.31 -3173.88
-5.67233 54.6606 | 0.126877 3.09335 | 3208.94 2831.66
-5.17641 54.5679 | 0.0804672 4.22373 | 3796.27 -1537.51
-4.67174 54.5141 | -0.911546 1.99526 | 193.792 -521.608
-4.16444 54.5028 | -1.22775 -1.13632 | -5459.03 3657.67
-3.66238 54.5404 | -0.905848 -3.21522 | -2493.55 1246.26
-3.16728 54.6197 | -1.09649 -4.03623 | 851.172 -2075.23
-2.67752 54.7278 | -0.878906 -2.65 | 1493.28 555.068
-2.19307 54.8605 | -0.532061 -3.13637 | -1535.51 -2784.46
-1.7163 55.0119 | -0.501723 -1.47744 | -5515.21 322.286
-1.25106 55.1843 | 0.227934 0.531733 | -939.745 -2409.95
-0.794158 55.3729 | 0.828632 2.87628 | -552.428 2000.86
-0.344807 55.5795 | 1.38938 5.85126 | 1959.47 200.541
