78.1541 -55.1039 | -1.27351 -3.37638 | -6833.9 -23596.9
78.6583 -55.0883 | 2.66165 1.22093 | -12151.4 23520.2
79.1538 -55.0385 | 0.940039 3.26061 | 21254.4 -8933.55
79.6583 -54.9753 | -5.78715 2.59552 | -20720.8 10242.1
80.1446 -54.8787 | -4.12862 -1.31791 | -10781 -9664.74
80.6182 -54.7776 | 2.88959 -1.23807 | -8166.93 -7489.3
81.0828 -54.6721 | 5.48921 -4.77542 | -1849.46 12518
81.5435 -54.5403 | 0.924461 5.14305 | 28927.7 -11378.6
82.0247 -54.4121 | -3.20351 -0.434035 | 7977.73 14736.8
82.5073 -54.2504 | -9.48658 -2.67223 | -10405 -6209.05


-19.3036 23.97 | -5.12244 0.862021 | -5816.68 1714.93
-18.8131 23.9083 | -0.874702 -2.68359 | 2513.02 938.746
-18.328 23.8059 | 1.13122 1.03246 | -1307.66 -5202.28
-17.855 23.6573 | -4.44672 -0.0651222 | -1479.84 6573.88
-17.3946 23.4798 | -5.86424 1.16047 | -234.303 -1702.39
-16.9478 23.2693 | -0.434419 6.38636 | 919.106 -4882.33
-16.5128 23.0299 | -1.60937 2.99069 | 6991.84 5793.84
-16.0798 22.7811 | -1.64505 3.39973 | 2313.81 -4411.02
-15.6555 22.5137 | -0.66782 3.56435 | -11296.7 4198.51
-15.249 22.2329 | 0.87834 2.08717 | 2839.89 3742.88
-14.8484 21.9441 | 2.82863 2.13223 | 3076.42 -7774.37
-14.4533 21.638 | 2.28289 1.45928 | 8740.76 -5397.18
-14.0558 21.3227 | -0.452614 -1.88685 | -3399.85 1460.11
-13.659 21.0089 | 1.01814 -2.58353 | -3201.31 2503.88
-13.2571 20.7058 | 1.72788 -2.14094 | 8432.35 1330.05
-12.8395 20.4191 | 2.68832 1.6335 | -5947.21 -343.979
-12.4183 20.1421 | 1.83287 1.45811 | -41.379 826.715
-11.9903 19.8758 | 0.367021 0.396426 | 3361.39 -7441.33
-11.5518 19.6178 | -1.81672 0.0123853 | 5014.9 2125.43
-11.0973 19.3867 | -5.15946 -2.91189 | -13347.4 5134.28
-10.6374 19.192 | -4.13345 -1.25183 | -6595.59 7191.72
-10.1687 19.041 | -3.89038 -0.334203 | 3807.01 -4243.03
-9.68837 18.9207 | -2.37611 -0.40608 | 5319.66 -2618.2
-9.19788 18.8304 | -2.9036 3.93712 | -8029.18 -209.413
-8.70667 18.7747 | -3.6975 3.51214 | 3744.09 1683.24
-8.21052 18.7602 | -0.40017 -0.0682171 | 1459.58 3248.41
-7.71266 18.7842 | 0.144313 1.11466 | 4908.45 -6415.14
-7.21235 18.8299 | -0.811252 -0.226986 | 5936.52 1220.81
-6.71216 18.9064 | -1.75126 1.69098 | -9724.11 5615.19
-6.22513 19.0196 | -3.15302 1.74161 | -5444.65 -10532.5
-5.74795 19.1478 | -0.490334 1.20933 | 3382.13 5943.36
-5.27768 19.3057 | 0.787158 -0.923371 | -4883.75 4067.54
-4.8173 19.4848 | -3.73918 2.92435 | 1580.14 -6559.28
-4.35553 19.6569 | -3.80923 5.71109 | 117.607 -5001.3
-3.89066 19.8188 | -2.5211 1.84486 | 2009.01 3441.68
-3.42459 19.9866 | -0.373339 -0.128175 | 5542.84 6666.87
-2.95634 20.1661 | 1.08163 -1.78838 | 4870.18 1353.58
-2.48376 20.3449 | -2.0338 -1.19473 | -3061.63 -8090.46
-2.00981 20.5099 | -3.09003 -1.73023 | -1551.3 -338.216
-1.53816 20.6752 | -2.88336 -2.39809 | -5728.51 7119.21
-1.07388 20.8539 | -3.11971 -1.20812 | 1348.23 -1738.79
-0.607766 21.0272 | -3.35126 1.47221 | -75.6555 -5477.05
-0.137306 21.1831 | -1.17076 -1.16423 | -2693.51 -716.629
0.333622 21.3301 | 0.378327 1.50369 | -1983.38 4044.05
0.80378 21.4777 | 0.218966 0.419922 | 5091.39 -2565.43
1.2779 21.6186 | -0.784671 -3.5015 | -10314 5734.87
1.74737 21.7591 | -0.568278 -2.40114 | 7873.1 -7048.65
2.22652 21.8773 | -1.49762 0.326131 | 2151.96 2997.53
2.71044 21.9847 | -0.3982 -0.867666 | -4577.47 4216.41
3.19498 22.0843 | -0.297227 -0.799264 | 8778.05 177.903
3.68941 22.1616 | -2.13563 -1.15042 | -455.286 1563.39
4.18865 22.2064 | -3.05797 0.491938 | 996.619 -11417.3
4.69065 22.2031 | -3.48463 2.19678 | 1752.48 7370.71
5.19363 22.1822 | -3.25288 -0.328978 | 281.721 2168.59
5.6967 22.1447 | -0.348261 -1.33444 | 6429.06 -1189.54
6.20155 22.0825 | -0.406833 0.765683 | -3195.33 -1581.67
6.69987 21.9905 | -1.45584 0.788858 | -5769.96 -2927.22
7.1882 21.8701 | -1.83291 0.514443 | 3510.66 8306.76
7.67225 21.7368 | -1.23918 -1.23282 | -11012.4 -798.189
8.14036 21.5739 | 1.20942 -1.67566 | 8196.05 -1354.39
8.5999 21.3763 | -1.12503 -1.17472 | -294.592 -7486.9
9.04303 21.1382 | -2.77013 -4.14282 | -3647.93 -4294.72
9.47413 20.8782 | -3.05138 -3.64199 | 10829.3 7965.19
9.91443 20.6305 | -1.58807 -4.05015 | -13774.8 10438.1
10.3484 20.3943 | 0.766505 -2.68065 | -5099.47 -11490.8
10.7767 20.1483 | -1.68611 1.0659 | 12648.3 6257.54
11.2198 19.9184 | -3.46756 -2.92479 | -3836.19 -2305.33
11.6655 19.6945 | -1.28198 -1.14305 | -328.125 -5316.37
12.1157 19.4764 | -2.85289 4.58802 | 948.232 3537.57
12.5778 19.2825 | -2.68413 3.08576 | 7040.87 -3549.61
13.0582 19.1161 | 0.477354 4.02944 | 16507.4 -2685.62
13.5608 18.9859 | -0.613455 0.828072 | -14148.8 2015.81
14.0649 18.9022 | -2.42728 2.39429 | 1380.44 9622.34
14.5741 18.8777 | -3.57215 0.887666 | -1847.59 -2094.21
15.0814 18.8913 | -1.91199 0.0368689 | -7771.16 -3556.9
