-75.6461 -33.2632 | -0.618725 1.66984 | 1330.22 -4313.97
-75.1911 -33.4785 | -1.01231 1.16738 | 2734.6 -151.96
-74.7434 -33.7121 | -1.68071 -0.858911 | -780.757 1462.03
-74.3004 -33.9531 | -1.43108 -0.881881 | 411.002 -1031.2
-73.8578 -34.1954 | -0.433977 1.3696 | 2494.47 5026.13
-73.411 -34.4294 | 0.381222 3.79816 | -1461.32 3052.29
-72.966 -34.663 | 1.4848 4.7322 | -1696.75 -3494.15
-72.5289 -34.9112 | 2.05325 4.5131 | 589.539 -1144.1
-72.0985 -35.1722 | 0.102594 1.96427 | 795.777 1010.16
-71.6722 -35.4386 | -2.30707 -1.5631 | -6365.66 422.35
-71.2512 -35.7047 | -4.32313 -3.87751 | -2613.43 6300.18
-70.8265 -35.9563 | -5.85387 -4.21704 | 2179.87 2031.99
-70.3943 -36.1955 | -5.33591 -1.4413 | -1353 -8580.91
-69.9592 -36.4335 | -3.64512 1.75276 | 667.431 896.612
-69.5132 -36.6517 | -2.80731 1.64975 | 2766.86 4510.2
-69.0509 -36.8359 | -2.41753 1.14576 | 2845.87 -2575.73
-68.5754 -36.9925 | -3.32143 -0.441262 | 2179.91 -3744.09
-68.0893 -37.1227 | -3.67135 -1.43026 | -1369.76 1300.73
-67.5956 -37.2154 | -2.9851 -2.20185 | -718.71 1738.71
-67.0962 -37.2637 | -1.98925 -3.85297 | 1884.62 -77.6916
-66.5931 -37.2673 | -1.60998 -4.36681 | 2012.54 -1031.33
-66.0903 -37.2256 | -1.84022 -5.10806 | -1178.5 2246.63
-65.5951 -37.1337 | -0.613762 -6.17385 | -4495.28 2253.62
-65.1138 -36.9955 | 1.02823 -5.1589 | -1466.11 -3641.62
-64.6452 -36.8269 | 1.5704 -3.1522 | -2002.95 -4422
-64.1901 -36.6328 | 0.792504 -1.56685 | -3697.84 -1229.8
-63.7537 -36.4068 | -0.871454 -0.593002 | -1374.22 1935.7
-63.3375 -36.1458 | -2.23005 -0.214926 | 2995.07 2502.69
-62.936 -35.8569 | -2.93073 -1.09807 | 7289.84 -2013.5
-62.5422 -35.5511 | -3.01282 -1.77169 | 972.915 2329.75
-62.1646 -35.2225 | -2.23398 -0.736396 | -5677.86 4640.49
-61.8097 -34.8703 | -1.17839 0.375539 | -446.891 -2431.32
-61.4613 -34.5134 | -0.539319 0.217522 | 3968.44 -2264.83
-61.1042 -34.1639 | 0.586849 -1.58487 | 3519.72 1302.61
-60.7362 -33.8217 | 2.60226 -3.14613 | 3285.91 -1694.97
-60.361 -33.4852 | 1.59452 -0.537829 | -1102.77 896.398
-59.9915 -33.1422 | -0.635967 2.09372 | -3090.5 6353.32
-59.6351 -32.783 | -0.722593 1.15173 | 449.77 2655.34
-59.2822 -32.4175 | -1.69894 1.62106 | 3905.78 -2675.24
-58.9194 -32.0599 | -0.423989 1.57025 | 156.435 3267.28
-58.5456 -31.7109 | 2.46806 -0.0763424 | 2853.22 -888.164
-58.154 -31.3803 | 2.44291 0.446437 | 2884.25 -6844.05
-57.7438 -31.0758 | 1.82816 1.2864 | -5517.1 1259.34
-57.3255 -30.7883 | 1.7932 0.416355 | -2771.05 -2221.35
-56.8935 -30.529 | 2.28106 -1.41795 | 133.176 -6959.34
-56.4399 -30.3173 | 2.55287 -1.73749 | -956.041 -2424.76
-55.9673 -30.1563 | 1.57811 0.0275499 | 2825.87 -1270.93
-55.4789 -30.0425 | 0.242815 0.276192 | 4654.22 703.309
-54.9795 -29.9642 | -1.09114 -0.481713 | 2074.98 3845.65
-54.4745 -29.9093 | -2.21133 1.55779 | -707.876 1117.26
-53.9677 -29.88 | -2.18619 2.07906 | -1229.03 -1917.48
-53.4611 -29.8837 | -1.70148 -0.329267 | -1118.19 -2816.91
-52.9572 -29.9215 | -1.15302 0.736424 | -2076.11 489.696
-52.4577 -29.9839 | -0.370257 -0.0205976 | -1880.64 5854.57
-51.9635 -30.0629 | 0.304819 -3.56023 | -5188.09 -3546.08
-51.4792 -30.172 | 0.502606 -2.33823 | -4428.15 -1847.37
-51.0047 -30.3067 | 0.240894 1.28388 | 2303.5 5381.93
-50.5326 -30.4512 | 0.360481 2.24571 | 3478.19 -317.045
-50.0632 -30.6109 | 1.76923 3.02078 | -122.933 -23.3605
-49.6018 -30.792 | 1.70623 0.92724 | -3651.76 -2646.89
-49.1532 -30.9996 | -0.364916 -2.15934 | 31.8697 -2065.21
-48.712 -31.2249 | -1.44133 -3.39892 | 4074.84 -1230.47
-48.2681 -31.4523 | -1.19795 -4.41716 | 1240.8 -2084.22
-47.816 -31.6674 | -0.759886 -3.61643 | 1863.64 1770.86
-47.349 -31.8508 | -0.558026 -1.70106 | 3808.33 5886.88
-46.8657 -31.9908 | -0.0647644 -1.00277 | -655.963 848.512
-46.3751 -32.101 | 0.352766 -2.90165 | -3137.66 -3867.61
-45.8831 -32.1981 | 0.384956 -3.71562 | 782.756 -3110.36
-45.3879 -32.2824 | -0.0563114 -2.05384 | 2751.58 1356.77
-44.8875 -32.3425 | 0.0936354 -0.252204 | -1831.69 476.795
-44.3858 -32.3728 | 0.915465 0.56505 | -3048.46 -802.528
-43.8856 -32.3697 | 0.719861 -0.369442 | -387.492 4994.96
-43.3879 -32.326 | 0.381717 -2.08529 | -887.258 1267.05
-42.894 -32.2554 | 0.632725 -1.96856 | -566.856 -3986.53
-42.4022 -32.1778 | 0.677965 -1.45075 | 1677.03 -2041.16
-41.9099 -32.0975 | -0.00262475 -2.07215 | 371.436 -2994.71
-41.4185 -32.0111 | -1.09545 -2.29155 | 1017.8 -4676.62
-40.9311 -31.9036 | -1.99729 -0.0228338 | 181.473 7442.66
-40.4574 -31.7429 | -3.33479 2.4399 | 542.985 4191.54
-40.0049 -31.5264 | -4.1632 2.96595 | 101.628 -2297.01
-39.5768 -31.2666 | -1.85604 0.942946 | -5395.79 50.9847
-39.1786 -30.9683 | 1.05463 0.120702 | -875.657 -1834.81
-38.8033 -30.6436 | 1.88997 -0.170742 | 229.697 2856.24
-38.4424 -30.3004 | 2.17746 -2.25606 | 2446.77 682.221
-38.0821 -29.9531 | 1.51525 -2.81278 | 8187.32 -1942.95
-37.7106 -29.6121 | -0.63436 -0.49229 | -1250.47 5051.63
-37.3376 -29.2695 | -2.03822 1.91418 | -262.484 -2479.41
-36.9617 -28.9321 | -1.22904 1.90819 | -698.414 -3423.42
-36.584 -28.6001 | -0.095175 0.134557 | -5557.79 3549.01
-36.2099 -28.2661 | -0.168861 -0.375695 | 2572.53 1486.58
-35.8263 -27.9401 | 0.100246 -1.06185 | 3262.51 -1523.32
-35.4256 -27.634 | 0.246982 -1.93093 | -3315.9 -2809.18
-35.0115 -27.3519 | -0.169568 -3.1222 | -3965.95 895.44
-34.5848 -27.0942 | -0.825634 -5.44912 | 401.115 -1529.71
-34.14 -26.8705 | -1.44415 -5.06818 | 383.227 1127.02
-33.6772 -26.6852 | -1.09502 -2.99451 | 1517.19 -239.453
-33.1973 -26.5453 | 0.049066 -2.90438 | 3373.32 1220.06
-32.7022 -26.4539 | -0.175396 -3.78791 | 6691.89 -2023.71
-32.1952 -26.4162 | -2.08801 -5.1688 | 745.703 -2520.01
-31.6853 -26.4279 | -3.68989 -5.08258 | -10305.1 3114.79


25.6564 -75.6336 | 2.67863 1.45169 | 6682.43 2062.91
26.117 -75.4212 | 2.32964 -1.62996 | 6109.52 1370.52
26.5809 -75.2062 | -0.56621 1.36342 | 487.837 -1444.19
27.0467 -74.995 | -1.63858 2.83359 | -2999.89 -2843.55
27.5116 -74.7889 | -0.454502 -1.03288 | -2642.98 252.234
27.9738 -74.5825 | -1.02994 -2.89902 | 390.335 -660.238
28.4347 -74.3748 | -2.44555 -1.36361 | -2745.19 -47.6923
28.891 -74.163 | -2.80788 -0.171606 | -4262.98 1733.15
29.3423 -73.9471 | -3.43964 0.850872 | -3347.68 431.015
29.7943 -73.739 | -4.52822 1.83447 | -923.252 -3567.3
30.2552 -73.5567 | -4.94476 2.54983 | 1314.02 -1744.1
30.7279 -73.4064 | -3.64787 3.27211 | 547.58 3060.98
31.21 -73.286 | -1.86612 3.9324 | -47.4143 831.009
31.7003 -73.2029 | -1.24243 3.09489 | 1415.6 -1941.63
32.1972 -73.1662 | -0.659637 0.158035 | 897.953 -1946.26
32.6964 -73.1752 | 0.628393 0.932778 | 1061.79 1780.25
33.1945 -73.22 | 1.89744 1.51026 | 373.207 -1360.38
33.6888 -73.297 | 2.33278 0.56538 | -3008.4 1001.49
34.1764 -73.3965 | 1.64259 0.263096 | -2349.17 5509.12
34.6578 -73.5102 | 0.248647 0.67105 | -1061.47 2201.11
35.131 -73.6482 | -1.18131 1.35748 | -72.5677 -494.425
