28.9455 14.181 | -2.64262 -2.04537 | 2004.5 -524.962
29.4355 14.2905 | -2.95054 -1.64566 | 236.099 -2721.03
29.9236 14.4061 | -3.07046 -1.45428 | -2201.37 -1300.81
30.407 14.5315 | -2.95497 -1.25968 | -3410.77 1456.89
30.8831 14.6734 | -2.69245 -1.51148 | -1820.31 1701.32
31.3534 14.83 | -2.4978 -2.06236 | 810.564 678.7
31.8231 14.9911 | -2.65396 -1.45214 | 1720.54 785.532
32.2967 15.1447 | -2.92862 -0.370002 | 2308.4 -1653.36


3.92009 -28.5713 | 0.46079 3.04516 | -361.614 -1844.46
4.31586 -28.8784 | -0.468398 0.423255 | 1108.45 115.794
4.72258 -29.1722 | 0.436721 0.0053269 | 2765.63 2101.89
5.14472 -29.4454 | 1.97897 0.720609 | 915.959 -1425.17
5.5792 -29.7015 | 3.14572 0.784229 | 1378.79 -831.143
6.02469 -29.9413 | 3.76239 0.437657 | 2812.24 2104.18
6.48 -30.1649 | 3.41086 -0.279477 | -62.4099 -1593.59
6.93836 -30.3832 | 1.78443 -1.93845 | -2057.17 -3020.18
7.39594 -30.6022 | -0.300363 -3.88405 | -817.118 -557.777
7.85567 -30.8159 | -1.10053 -4.47377 | -305.709 -67.0126
8.32167 -31.0151 | -0.36981 -2.59692 | 1070.81 2531.01
8.79759 -31.1896 | 0.919518 1.02355 | 1296.1 2424.98
9.28254 -31.338 | 1.87227 3.82173 | -703.807 -1468.44
9.77222 -31.4684 | 2.22414 4.75145 | -2029.59 -1249.31
10.2644 -31.5825 | 1.7856 3.29617 | -2029.25 260.252
10.7593 -31.6756 | 0.695993 0.512935 | -694.759 129.383
11.2576 -31.7419 | -0.396636 -0.993871 | 121.398 1009.15
11.7586 -31.7757 | -0.941163 -0.840557 | -1742.32 1007.27
12.2591 -31.7749 | -0.828106 -1.48337 | -2948.74 1975.42
12.756 -31.7416 | -0.264119 -2.12485 | -1748.26 1263.58
13.2495 -31.6867 | 0.0929315 -1.79762 | -89.2328 -3044.05
13.7418 -31.6273 | 0.114033 -1.0649 | 70.6204 -4352.73
14.2339 -31.569 | 0.024964 0.601379 | 109.837 -258.414
14.7248 -31.5001 | 0.000314383 2.35329 | 1862.36 2711.92
15.2136 -31.4085 | 0.317758 2.81681 | 2179.09 1595.24
15.6991 -31.2925 | 0.582537 2.6566 | 128.872 -728.095
16.1792 -31.1553 | 0.194729 2.52989 | -913.414 847.93
16.6525 -30.997 | -0.320323 1.86638 | 183.039 2607.3
17.1206 -30.8212 | 0.0175431 -0.0172235 | 2117.12 -125.041
17.5886 -30.6402 | 0.907853 -2.35254 | 672.08 -293.231
18.0587 -30.4635 | 1.2106 -3.16952 | -2320.14 2274.39
18.5318 -30.2984 | 1.00138 -2.19275 | -2185.84 887.891
19.0123 -30.1629 | 0.95278 -0.770625 | -158.686 -3203.48
19.5035 -30.0809 | 0.780959 0.527264 | 1059.54 -2731.81
20.0018 -30.0637 | 0.217337 2.40347 | 1597.78 -2063.32
20.4998 -30.1099 | -0.272644 3.94056 | 793.767 -297.18
20.9915 -30.2082 | -0.69944 2.61398 | 493.52 1969.78
21.474 -30.3461 | -1.46217 -1.06529 | -94.4948 113.68
21.9448 -30.5196 | -2.23412 -3.35201 | -262.508 -251.154
22.4026 -30.7246 | -2.59822 -3.57646 | -109.176 1536.9
22.8469 -30.956 | -2.0494 -1.96837 | -901.546 105.824
23.2758 -31.2132 | -0.442151 1.03728 | -181.776 24.1975
23.689 -31.4944 | 1.1286 2.98783 | -348.211 365.27
24.0862 -31.797 | 1.97649 3.1224 | -2354.23 -1089.83
24.4674 -32.1179 | 2.0529 2.53248 | -656.449 385.684
24.8399 -32.4475 | 0.767077 1.34037 | 1573.19 3807.68
25.212 -32.7754 | -0.307451 0.912116 | 18.6454 3807.45
25.5819 -33.1026 | 0.128573 1.73761 | -2297.17 -149.573
25.941 -33.4396 | 0.593113 2.06106 | -1250.49 -2928.13
26.2867 -33.7917 | 0.394968 1.66774 | 1811.81 -2409.11
26.6249 -34.1545 | 0.669026 1.77784 | 1694.26 -1273.71
26.9618 -34.5211 | 0.702502 1.49611 | 613.651 -63.0584
27.3023 -34.8852 | 1.41475 1.65411 | 233.543 195.607
27.6502 -35.2422 | 3.5578 3.62902 | -1171.14 78.2583
28.008 -35.5884 | 3.16999 3.69516 | 639.293 1853.15
28.3801 -35.9184 | 0.217422 0.900083 | 2206.77 1301.21
28.766 -36.2331 | -1.13565 -0.723867 | -1603.56 -3479.52
29.1579 -36.5411 | -0.987203 -1.18835 | -2770.53 -2593.08
29.5569 -36.8395 | -0.451812 -1.30468 | 1421.1 2228.58
