12.6298 -62.5983 | -1.4132 0.647203 | 3886.33 9626.57
13.121 -62.6444 | -0.862762 5.23289 | 10025.7 -2751.25
13.618 -62.7121 | 1.32708 3.05298 | 7756.73 -4024.14
14.1167 -62.8059 | 0.594414 -3.95935 | -9523.81 7006.31
14.6051 -62.9172 | 0.275743 -2.27227 | -3288.61 -2794.54
15.0837 -63.0595 | 1.67097 -0.358231 | 10889.4 81.6849
15.5586 -63.2336 | 0.164855 -0.388828 | -1663.27 -4180.94
16.0167 -63.4484 | -0.220899 -1.87673 | -10657.1 -3911.78
16.4516 -63.6969 | -1.10971 1.08369 | 5127.05 10545.9
16.8833 -63.9485 | -2.40136 3.63098 | 716.802 -2451.54
17.3085 -64.2129 | 1.17503 0.900278 | 3060.42 1737.19
17.7243 -64.4919 | 2.76147 -1.11398 | -13476.5 -874.646
18.1155 -64.7933 | 3.38695 -2.67871 | 8689.85 -1611.89


-36.7825 55.9313 | 0.340793 4.04955 | -981.187 3821.37
-36.2832 55.9487 | -1.01476 1.42589 | 5037.75 -7207.57
-35.7824 55.9842 | -0.338614 1.07799 | -7814.46 172.83
-35.2898 56.0536 | -1.12167 -0.772025 | 3964.31 6330.58
-34.8037 56.1689 | -0.136847 -1.83193 | -2748.19 -5795.02
-34.33 56.3172 | -0.663242 -4.31363 | -6756.32 -3660.27
-33.8753 56.5034 | -3.4434 -2.44652 | 5110.7 8107.48
-33.4377 56.7381 | -2.51864 -0.38479 | 3296.4 -2222.15
-33.0161 57.0053 | -3.46147 -0.226786 | 2613.49 4466.27
-32.6112 57.3028 | -0.78251 -2.06356 | -712.615 -5614.91
-32.2222 57.6176 | -0.663558 -2.2619 | -769.284 2512.44
-31.8509 57.9546 | -0.557776 -3.64346 | 1991.93 5971.42
-31.4934 58.3107 | -2.40352 -0.613555 | -1699.91 -8013.59
-31.143 58.6687 | -2.46416 -2.35909 | 1119.17 3419.09
-30.7963 59.0333 | 0.152937 -4.78032 | 3729.46 4544.04
-30.448 59.4021 | 1.2987 -4.43177 | 1008.97 -4684.86
-30.0965 59.7657 | -1.98166 -2.55012 | -954.882 -2531.53
-29.7476 60.1293 | -1.03213 -1.74355 | -3065.03 3024.78
-29.4089 60.5024 | -0.28205 -2.60243 | 7.61013 2517
-29.0759 60.8826 | -3.65734 -2.18335 | 5906.21 1141.45
