-1.95054 -42.6908 | -2.97486 3.6994 | -461.989 361.853
-1.48056 -42.522 | -2.97275 3.52354 | -410.618 122.19
-1.02449 -42.3195 | -2.93202 3.2118 | -418.538 -54.4311
-0.58404 -42.0859 | -2.90955 2.89061 | -605.535 46.0751
-0.15988 -41.8248 | -3.0248 2.72352 | -782.061 64.3119
0.24916 -41.5416 | -3.38806 2.82351 | -694.106 -276.629
0.646668 -41.2435 | -3.93526 3.09621 | -274.312 -889.114
1.03795 -40.9386 | -4.37824 3.22572 | 296.556 -1483.45
1.42786 -40.6329 | -4.52985 3.04445 | 1030.7 -2148.01
1.81825 -40.3286 | -4.43085 2.62537 | 1834.67 -2797.41


-45.8552 44.7314 | -0.20398 3.66134 | -709.168 659.274
-45.4751 45.0559 | 0.60834 2.69373 | -1017.3 675.002
-45.0706 45.3487 | 1.29475 1.84661 | 302.476 -809.796
-44.6395 45.6 | 1.47756 1.49243 | -178.131 169.763
-44.184 45.8028 | 1.45637 1.5842 | 308.872 -1386.72
-43.7078 45.9502 | 1.2471 2.1791 | 468.486 -920.76
-43.2175 46.0419 | 1.03507 2.82163 | 513.61 42.0582
-42.7198 46.0839 | 0.944437 2.91118 | 334.693 -810.066
-42.2198 46.0838 | 0.775948 2.70345 | 382.755 981.442
-41.7203 46.0533 | 0.632523 1.60105 | 547.46 407.59
-41.222 46.0009 | 0.467102 0.437406 | 465.929 465.141
-40.7252 45.9335 | 0.253312 -0.565065 | 321.469 1133.18
-40.2297 45.8561 | 0.110342 -1.38615 | -67.526 -280.813
-39.7356 45.7696 | 0.114342 -1.1566 | 152.07 131.486
-39.2428 45.6756 | 0.224636 -0.791095 | 68.2063 -645.201
-38.751 45.5757 | 0.440386 -0.0492898 | -111.098 -601.305
-38.2596 45.4736 | 0.625658 0.764782 | -98.0214 159.113
-37.7675 45.3756 | 0.660101 0.81602 | 10.5179 756.959
-37.2736 45.2875 | 0.695641 1.12984 | 10.0511 455.892
-36.7777 45.2123 | 0.670143 0.957208 | 27.386 1047.48
-36.2799 45.1509 | 0.666363 0.714702 | 334.574 161.423
-35.7806 45.1004 | 0.696559 0.831368 | 446.96 -784.28
-35.2804 45.0568 | 0.629477 0.314066 | -235.196 62.1917
-34.78 45.0186 | 0.400709 -0.0109099 | -551.151 -1142.6
-34.2797 44.984 | 0.167292 -0.644283 | -10.834 -44.9689
-33.7791 44.9555 | 0.181796 -1.43147 | 256.079 822.121
-33.278 44.9351 | 0.350223 -1.75954 | 114.067 -836.68
-32.7767 44.9214 | 0.474841 -1.48055 | -296.958 730.355
-32.2755 44.9156 | 0.443745 -0.956743 | -1092.14 -750.612
-31.7753 44.9155 | 0.428446 0.172346 | -1187.19 -716.159
-31.2761 44.9214 | 0.573806 0.716409 | -380.484 997.215
-30.7775 44.9359 | 0.781963 0.288292 | 201.357 -262.886
-30.2791 44.957 | 1.02674 -0.294163 | -464.534 407.283
-29.7815 44.9834 | 1.24107 -1.21514 | -893.653 542.988
-29.2846 45.0117 | 1.27674 -1.56887 | -293.983 -773.722
-28.788 45.0358 | 1.15321 -1.90347 | -170.567 -2274.91
-28.2912 45.0527 | 1.07826 -3.05057 | -427.305 285.393
-27.7945 45.0683 | 1.163 -3.22291 | 120.16 987.261
-27.2977 45.0873 | 1.17151 -2.78613 | 528.883 1263.4
-26.8005 45.11 | 1.16324 -3.12339 | 380.367 -1994.94
-26.3031 45.1316 | 1.19706 -2.73796 | -152.345 -2355.95
-25.806 45.155 | 1.11974 -0.566536 | -321.514 2728.54
-25.3099 45.1921 | 1.03075 0.8525 | 231.211 1190.94
-24.815 45.2433 | 1.09388 -0.0946518 | 339.276 -2449.36
-24.3211 45.3034 | 1.10799 -1.26471 | -356.36 -123.153
-23.8294 45.3762 | 0.965342 -0.996664 | -307.002 2618.59
-23.3403 45.4651 | 0.622804 0.389491 | 632.94 -1875.16
-22.8525 45.5617 | 0.482132 0.559039 | -147.087 -1018.86
-22.3662 45.6641 | 0.51103 -0.246143 | -577.536 1159.66
-21.8816 45.7732 | 0.634644 -0.91103 | 159.868 -891.242
-21.3972 45.8832 | 0.685287 -0.6534 | 89.7471 -607.385
-20.9121 45.9903 | 0.431997 0.383711 | -291.597 1545.33
-20.4257 46.0919 | 0.25176 1.08338 | 457.581 -1005.9
-19.936 46.1781 | 0.487063 0.368108 | 502.588 -1929.31
-19.4429 46.2433 | 0.869292 -1.41188 | -177.967 2675.75
-18.9476 46.2903 | 0.921112 -1.7318 | 132.752 -209.378
-18.4504 46.3124 | 0.704087 -0.437071 | -92.0721 -2208.95
-17.953 46.3045 | 0.608365 1.03318 | -521.09 1302.23
-17.4571 46.272 | 0.51987 0.776972 | -605.712 2025.57
-16.9641 46.216 | 0.30031 0.122365 | -804.431 -2734.6
-16.4756 46.1311 | 0.29415 1.09457 | -208.983 -1229.95
-15.9914 46.0245 | 0.387341 2.17604 | 395.1 2004.35
-15.5093 45.9089 | 0.358829 1.81177 | 213.67 1527.09
-15.028 45.79 | 0.39876 1.31238 | 794.879 655.688
-14.5471 45.6675 | 0.287431 1.01837 | 546.233 -2143.22
-14.067 45.538 | -0.179315 -0.381916 | 692.171 -518.925
-13.5866 45.4065 | -0.474253 -1.53543 | 879.016 983.21
-13.1046 45.279 | -0.398714 -1.78878 | 271.842 737.247
-12.621 45.1571 | -0.349394 -2.01015 | -149.625 -52.8759
-12.1365 45.039 | -0.327665 -1.75925 | 341.313 615.097
-11.6514 44.9232 | -0.472952 -2.18993 | -151.556 -1561.5
-11.1668 44.8051 | -0.701963 -2.93205 | -470.233 -1436.67
-10.6826 44.6861 | -0.757071 -3.09473 | -432.632 267.14
-10.1974 44.5728 | -0.760818 -3.28281 | -562.066 -681.674
-9.7099 44.4711 | -0.656242 -2.99828 | 70.0377 1566.46
-9.21896 44.389 | -0.512938 -2.35391 | -22.4374 899.127
-8.72509 44.3281 | -0.526961 -2.04542 | 118.348 -581.563
-8.22922 44.2852 | -0.604533 -2.28849 | 246.404 93.362
-7.73207 44.2586 | -0.590169 -2.55823 | -197.918 -1620.64
-7.23441 44.2453 | -0.594951 -3.49217 | 140.525 -624.256
-6.73637 44.248 | -0.560902 -3.83375 | 463.803 601.781
-6.23844 44.2717 | -0.558134 -3.84509 | 368.4 586.564
-5.74166 44.318 | -0.567335 -4.07621 | 415.501 1481.48
-5.24673 44.3854 | -0.591296 -3.92178 | 683.984 432.83
-4.75318 44.4663 | -0.517845 -4.76668 | 829.569 -853.473
-4.25976 44.5513 | -0.422554 -5.72929 | 534.687 -1306.68
-3.76564 44.6343 | -0.446428 -6.31906 | 421.949 -705.594
-3.27064 44.7146 | -0.590088 -6.68303 | 538.716 -473.013
-2.77498 44.7939 | -0.944588 -5.69922 | -90.5331 1242.89
-2.27958 44.8757 | -1.43137 -4.55033 | -286.884 519.875
-1.78448 44.9586 | -1.89464 -3.21603 | -312.671 172.646
-1.28919 45.0389 | -2.31497 -1.89727 | -191.045 371.912
-0.792912 45.1117 | -2.61117 -1.5328 | 1.26754 -1334.36
-0.294982 45.1708 | -2.72411 -1.35617 | -401.942 -215.022
0.204238 45.2145 | -2.72987 -1.95034 | -115.154 -641.895
0.704533 45.2408 | -2.65244 -2.83321 | -49.4818 -524.777
1.20536 45.2485 | -2.55617 -3.40711 | -276.431 971.908
1.70589 45.2372 | -2.49892 -3.56638 | -169.434 -319.648
2.20517 45.2025 | -2.27666 -2.5861 | -18.6382 921.868
2.70183 45.1416 | -2.06409 -1.24648 | -460.684 -837.671


5.44489 -22.7319 | 3.67565 -0.162499 | -55.1204 -207.421
5.72055 -23.1492 | 4.22974 0.205854 | -351.15 -330.152
6.02229 -23.5481 | 4.76451 0.581094 | 521.65 287.766
6.35263 -23.9238 | 4.75965 0.60812 | -165.771 -352.223
6.7113 -24.2727 | 4.63683 0.463859 | 313.575 269.784
7.09807 -24.5902 | 4.21487 -0.0400141 | 211.2 62.2946
7.51087 -24.8733 | 3.7503 -0.646869 | -48.6966 -405.389
7.94658 -25.1199 | 3.56948 -0.930426 | 150.21 234.014
