77.8613 -56.7321 | -0.211301 2.7882 | 5761.61 7252.79
78.3495 -56.6221 | 2.60623 -1.39684 | -21115.4 13210.2
78.8238 -56.4958 | -5.6797 -0.412673 | 17276 -25639
79.3135 -56.4113 | -2.0183 1.25071 | -960.478 14259.5
79.8028 -56.3166 | 1.35497 4.47026 | -10526.8 -3909.74
80.2849 -56.2162 | -4.84494 5.32551 | 10790 11456.3
80.7721 -56.1037 | -7.02239 5.95303 | 895.51 -20525.9
81.2637 -56.0122 | 5.85621 3.5278 | 11182.2 13416.6
81.7558 -55.893 | 3.34116 -0.932122 | -28036.3 -4708.15
82.222 -55.7468 | -1.14646 -3.4284 | 15888.2 2369.05


-32.2912 29.3518 | 1.63836 7.20612 | 1903.23 2644.74
-31.7898 29.3507 | -0.622731 -0.0703486 | -2562.74 -2183.79
-31.2924 29.3022 | -2.05463 -1.24253 | 1809.41 3517.33
-30.8017 29.206 | -2.35977 1.37741 | 617.108 -3477.94
-30.3271 29.0488 | -2.18409 1.35003 | -9906.29 -4045.02
-29.8808 28.8329 | -1.84248 -1.91027 | 3715.62 -2618.31
-29.4483 28.5842 | -0.120447 -1.11563 | 6691.81 6447.53
-29.0152 28.3322 | 0.912607 1.27992 | -354.922 1265.85
-28.5843 28.0763 | -0.792475 -1.42221 | 2730.38 -2076.21
-28.1571 27.8111 | -0.872429 -2.09608 | -2825.58 5775.19
-27.7403 27.5362 | -2.79262 0.330589 | -1745.11 -3076.92
-27.3418 27.2367 | -1.26834 2.73001 | -6977.95 -7541.04
-26.9647 26.9116 | -1.13827 -1.17104 | 3040.41 6144.99
-26.5845 26.5913 | -1.30895 -1.88924 | 8193.27 5115.59
-26.1918 26.2839 | -1.21395 1.54935 | -11220.1 -7976.94
-25.8051 25.9728 | -2.5763 -0.705456 | 1780.36 2634.48
-25.4057 25.6789 | 0.832322 1.69226 | 5541.34 6919.53
-24.9849 25.4141 | 0.36305 4.16994 | 2560.88 -8793.41
-24.553 25.1589 | -2.65396 2.24018 | 1059.49 6282.86
-24.1142 24.9186 | -1.88518 -0.0763627 | -9333.72 -7677.17
-23.6814 24.675 | -0.816087 -0.853483 | -1716.47 5318.43
-23.2434 24.4473 | -2.51021 -2.42491 | 3428.98 -447.188
-22.7939 24.239 | -2.36148 1.39519 | -3593.46 -5748.61
-22.3349 24.0513 | -1.07437 4.3226 | 9845.17 6047.53
-21.8551 23.9074 | 1.19093 4.22544 | 2479.39 -1387.36
-21.3643 23.7984 | 0.930519 5.65982 | -10483 -5899.18
-20.8747 23.7182 | -0.298664 5.73378 | -5225.76 2347.97
-20.3834 23.6877 | -1.71389 1.50326 | 11738.9 6698.98
-19.8844 23.7182 | -2.82901 0.586496 | 1299.78 2982.99
-19.3877 23.7919 | -0.647056 -0.356714 | -3789.03 -10688
-18.8961 23.8788 | -1.33271 -1.9515 | 939.949 781.129
-18.4076 23.9895 | -2.50651 -1.48272 | 13730.3 -411.753
-17.9182 24.1328 | -0.362916 -4.10483 | -3457.43 15611.4
-17.4451 24.3287 | -2.42491 -2.75398 | -5608.24 -5157.99
-16.9842 24.5409 | -1.57603 -1.43743 | 2211.39 -13445.7
-16.5235 24.7487 | 2.21093 -1.68876 | 3931.12 15965
-16.0678 24.9812 | -0.000475573 0.218018 | -2652.73 -2742.13
-15.6159 25.2158 | -1.40774 1.34233 | -5256.47 -8866.92
-15.1643 25.4367 | -0.300508 -1.17677 | -1163.98 -332.546
-14.711 25.6516 | -0.405626 -2.14772 | 4117.44 5389.78
-14.2538 25.8673 | -0.517014 -2.48242 | -1903.71 5657.24
-13.7927 26.0758 | 0.0711283 -0.862513 | 832.723 -10162.9
-13.3189 26.2471 | -0.2125 2.03338 | -3118.28 2097.65
-12.8365 26.3867 | -0.736399 -4.04548 | 1272.59 4530.64
-12.3432 26.4895 | -1.79308 -2.47257 | 6475.79 -7902.21
-11.8373 26.5324 | -2.34757 0.0166182 | 991.186 8022.65
-11.3286 26.5246 | -5.16584 -2.86494 | -4614.87 -13691.7
-10.8286 26.4411 | -4.67905 -3.06439 | 3406.38 -5.10066
-10.3379 26.3091 | -2.55406 -0.108656 | -9127.11 9511.36
-9.86376 26.1527 | -0.814564 -0.356472 | -11116.8 5403.08
