50.9339 27.2114 | 4.48995 -0.121466 | -7674.89 848.373
51.3837 26.9899 | 5.12618 1.8362 | -4078.48 533.676
51.8263 26.7596 | 3.34651 3.52915 | 8461.31 -4200.34
52.2746 26.5255 | 0.442445 3.23273 | 3278.47 -6589.06
52.731 26.2972 | -0.410508 3.68578 | -2227.23 5761.01
53.1997 26.103 | -0.77391 2.51269 | -753.345 7319.25
53.6824 25.9553 | -1.91389 2.16901 | -776.437 -1512.96
54.174 25.8425 | -3.52509 1.6152 | -4566.9 -957.287


-44.1067 -88.9175 | 0.443057 5.48108 | -3081.65 -2646.54
-43.6394 -89.0936 | -3.49706 -3.57733 | 10040.6 -1690.72
-43.1517 -89.2232 | -0.847569 -0.131369 | -8039.19 9810.56
-42.6586 -89.2942 | -0.616277 -0.0673192 | -7136.51 -480.191
-42.1676 -89.3296 | 3.6988 -1.70282 | -4254.69 -16881.8
-41.678 -89.3502 | 3.89979 -2.21491 | 10463 21967.6
-41.1823 -89.3094 | 0.618495 -2.65983 | 6427.06 -12064.5
-40.6855 -89.2515 | 2.05861 2.84184 | -22338 2083.5
-40.2052 -89.1729 | 1.78208 0.988692 | 8906.46 -3106.36
-39.722 -89.087 | 4.01594 1.1191 | 8885.27 -968.638
-39.2353 -88.9922 | 6.65183 -6.14603 | -13203.8 -1415.58
-38.7604 -88.8803 | 0.895515 5.37649 | 1333.48 3328.7
-38.2901 -88.7455 | 5.8961 -7.04752 | 8051.99 2500.51
-37.8168 -88.5958 | 1.77999 -9.44394 | 10458.7 -246.49
-37.3368 -88.4419 | -1.38243 -1.53339 | -5537.95 4959.4
-36.859 -88.284 | 0.0527673 -1.56473 | 8250.75 -5201.5
-36.3735 -88.1426 | -5.05567 -1.34393 | -14105.6 -3738.95
-35.8946 -88.0151 | 2.54595 2.38019 | -8658.87 9533.37
-35.4186 -87.8935 | 2.84634 3.64593 | 12686.3 -4133.21
-34.9261 -87.8135 | 0.684999 -9.17057 | 10816 6390.64
-34.4206 -87.7862 | 0.0790697 1.48655 | -13347 -19162.4
-33.9245 -87.8451 | 4.09235 0.00695008 | 2530.66 2466.13
-33.4323 -87.9465 | 3.71374 -10.7426 | 21721.9 18714.5
-32.9323 -88.0597 | 1.21762 -2.9932 | -23534.9 -14124.8
-32.4617 -88.2359 | 0.905468 -0.479506 | 17768.1 7181.9
-32.0058 -88.4601 | -1.76601 -1.4045 | -24874.3 -17405.5
-31.6025 -88.7547 | -4.21017 -0.341405 | -3868.53 21199.7
-31.2174 -89.0566 | 0.356617 -0.560978 | 14515.9 -6120.61
-30.8277 -89.3661 | 2.67906 0.822602 | -2252.09 5350.31
-30.4419 -89.6803 | -2.37194 -4.17799 | 9557.03 -12719.7
-30.0608 -90.016 | 2.51252 -3.99609 | 1789.98 1171.4
-29.6924 -90.3651 | 3.00517 -6.3394 | -19192.9 8510.35
-29.3519 -90.7234 | 3.30085 -1.75676 | 345.948 -2966.92
-29.0157 -91.0825 | 1.83105 2.23966 | 4607.92 20719.2
-28.6661 -91.4174 | 6.89022 4.79763 | -13018.3 -11080.9
-28.3282 -91.7648 | 6.65394 -2.15517 | 19256.3 -16884.9
-27.9728 -92.1162 | 2.58242 0.427184 | -5054.1 22908.4
-27.6048 -92.4398 | -1.54171 3.8177 | -3656.49 -8220.96
-27.2388 -92.7687 | -2.22135 -3.28383 | 8440.18 -20252.2
-26.8679 -93.1085 | 1.27954 -0.470735 | -13519.1 25083.8
-26.4874 -93.4131 | 4.49535 9.9565 | 621.006 -9223.8
-26.0883 -93.6963 | -2.12906 5.59663 | 14189.7 10696.7
-25.6599 -93.9413 | -3.61661 6.22796 | -18435.4 -19698.1
-25.2352 -94.187 | 2.92561 5.06773 | 11751.5 20538.6
-24.7849 -94.3877 | 4.7648 3.86057 | 13475.3 -26092.2
-24.3192 -94.5864 | 4.51972 11.0575 | -21136.1 18108.6
-23.8544 -94.745 | -2.09827 0.139819 | -623.178 1686.39
-23.3804 -94.8771 | 0.0884593 0.547947 | 31846.4 -23637
-22.8789 -95.0047 | 0.41526 6.51472 | 6281.43 13529
-22.3631 -95.0805 | -6.44081 1.23762 | -22485.2 -2143.05
-21.8576 -95.1101 | -2.06498 2.83379 | -2373.76 11485.1
-21.3563 -95.0811 | 2.80267 0.138334 | -1550.01 -5411.21
-20.8597 -95.025 | -2.97568 1.30567 | -1512.04 -13377.9
-20.3679 -94.9527 | -4.86982 1.63302 | 460.107 5323.04
-19.8876 -94.824 | -1.08229 0.412675 | -1889.55 22105.3
-19.43 -94.6224 | 2.1859 0.126897 | -3497.43 -22507.5
-18.9838 -94.4171 | 2.29158 0.547064 | -13081 -6801.31
-18.5524 -94.2018 | -1.07762 -1.07116 | 23394.5 6563.36
-18.1195 -93.9596 | -3.05023 -7.67958 | -16439.3 17903.6
-17.7134 -93.6764 | -7.56103 -4.52055 | 5103.48 -15357.6
-17.2967 -93.4132 | -1.13263 0.660032 | 15835.9 -7975.34
-16.8594 -93.1725 | -1.24762 2.32091 | -15512.7 17083.5
-16.4345 -92.9123 | -3.38936 -3.52119 | 15622 -2581.66
-15.9958 -92.6608 | -1.16639 -2.79614 | -2992.29 2211.13
-15.5547 -92.4214 | -1.3493 4.18703 | -32848.3 -22170.1
-15.1244 -92.2136 | 1.17613 -3.55695 | 22769.4 15549.8
-14.6726 -92.0102 | -2.13035 2.94895 | 26463.8 7038.34
-14.1946 -91.8165 | -4.58733 2.42425 | -13108.9 2127.41
-13.7173 -91.6341 | -4.47054 1.76857 | -773.06 -3832.68
-13.2331 -91.4797 | -0.402405 -1.4811 | -5901.16 -2134.11
-12.7429 -91.3603 | -1.14278 1.46752 | 12667.4 8743.72
-12.2386 -91.2805 | -1.6889 6.34561 | -18765.5 -18276.9
-11.7415 -91.2762 | -0.163811 0.559339 | -9343.96 4285.19
-11.2522 -91.3155 | -0.703894 0.57898 | 21661.1 7650.41
-10.7552 -91.3814 | -4.72828 1.97677 | -26004.3 -6703.36
-10.2796 -91.4897 | -1.48902 0.578483 | 12362.9 425.151
-9.80328 -91.6169 | 3.01391 1.77963 | 3402.97 24282.3
-9.32938 -91.746 | 3.54839 -1.29606 | -14840.3 -21851
-8.88606 -91.9522 | -0.512522 0.959769 | 24854.4 -11962.3
-8.45139 -92.2137 | -1.58793 -0.507854 | 1046.24 17772.8
-8.03384 -92.4952 | 2.98613 -1.16846 | -13196.6 -12508
-7.65796 -92.824 | 2.31777 -1.02829 | -2251.54 19781.4
-7.30856 -93.1672 | -0.248389 1.72076 | -4026.82 -13124.9
-6.98767 -93.5448 | 2.71437 1.2318 | 18644.3 -19580.8
-6.66321 -93.9404 | 0.571009 -1.52338 | -6147.37 27204.6
-6.33431 -94.3104 | 3.48617 0.370081 | -20708.4 14838.8
-6.01796 -94.6678 | 0.67042 -1.74967 | 12858.7 -9005.9
-5.69581 -95.0324 | 1.54381 1.60093 | -1010.1 -16686.3
-5.37654 -95.4152 | 5.11105 2.1015 | 17131 -12256.5
-5.03286 -95.796 | -2.53274 -7.35847 | -4006.47 12664.6
-4.66817 -96.1482 | 1.49259 -7.68312 | 1561.16 3731.14
-4.2855 -96.4765 | 5.21546 -5.61705 | -9695.09 -234.031
-3.90129 -96.7931 | 5.88409 -2.75896 | -3845.04 14120
-3.5129 -97.0931 | 7.23152 -0.407028 | 7900.71 -25145.5
-3.12332 -97.4118 | 1.2542 -5.91344 | -9426.78 5347.6
-2.72747 -97.7154 | 0.28507 -5.6666 | 6790.92 5278.86
-2.30042 -97.9785 | 5.98367 -3.10502 | 22334.6 3073.92
-1.83735 -98.2013 | 5.0542 -2.37868 | -14640.7 -11434.2
-1.37606 -98.4193 | 5.11139 3.08309 | -363.603 889.447
