78.0699 -54.7249 | 0.332946 0.365752 | 5358.57 -8539.67
78.5454 -54.591 | 2.24516 6.37693 | 18004.3 5083.76
79.0334 -54.4662 | -1.29935 0.512865 | -29842.5 -2335.63
79.5009 -54.3423 | -4.12816 -0.595021 | -12551.5 -16241.1
79.9573 -54.2216 | -2.8289 -6.13013 | 20710.7 22676.3
80.4173 -54.0539 | -0.772978 4.05543 | 14169.6 -11142.1
80.8806 -53.8653 | -2.85398 -1.61938 | 10280.1 17527.1
81.3289 -53.6231 | -0.58524 -2.84023 | -34348.2 -10746.2
81.735 -53.3487 | 1.78233 3.81221 | 23844.2 -53.2987
82.1437 -53.0601 | 6.75117 2.81829 | -3711.86 356.585


-13.6455 18.8359 | -1.95239 -4.1655 | -4163.47 -1936.25
-13.1557 18.9194 | -0.377446 -1.43104 | 6663.08 5865.7
-12.6567 18.9714 | -0.782147 -1.0165 | -1501.11 -8012.13
-12.1544 18.9766 | -2.58377 3.98951 | 10538.6 4227.44
-11.6465 18.9521 | -1.89748 0.417547 | -9580.8 479.015
-11.1468 18.8974 | 0.367343 -2.74321 | -6641.12 -4822.8
-10.6545 18.8119 | 0.0948947 -1.67689 | 19169.7 2409.34
-10.1518 18.7148 | -1.79136 -0.0511077 | 1086.77 4293.19
-9.64916 18.6065 | -1.16526 2.92529 | -695.036 -7435.94
-9.15326 18.4688 | 0.0872704 0.577765 | -4205.31 -2638.78
-8.66723 18.31 | 0.573141 1.39635 | -9262.78 9147.87
-8.18966 18.1509 | -1.55566 2.69819 | 5230.49 -4071.26
-7.71183 17.9854 | -2.23077 1.74213 | -4748.36 20.508
-7.23729 17.8204 | -1.35839 2.29964 | -4115.53 7130.48
-6.76294 17.6671 | -1.16088 1.02608 | 5086.85 -10910.9
-6.28409 17.5132 | -0.943103 -0.176698 | -1143.08 7168.08
-5.79981 17.3847 | -0.860663 2.57209 | -2363.06 1206.45
-5.31269 17.2813 | -0.522722 1.46124 | -10009.4 -202.845
