-35.5835 -3.46049 | -1.72031 4.08431 | 2848.96 -13973.8
-35.136 -3.24755 | -1.63961 5.79757 | 2720.73 10862.7
-34.7001 -3.00175 | 0.342265 2.61847 | -1162.48 6474.31
-34.2797 -2.72515 | -0.457076 3.36827 | 4723.47 -6008.68
-33.8634 -2.43929 | -0.220609 0.4787 | 4174.02 8354.03
-33.4519 -2.13719 | 1.72487 -1.05996 | -2063.92 -2443.57
-33.0454 -1.832 | 4.7935 1.09106 | -4869.86 -5409.88
-32.6421 -1.5318 | 3.40656 1.45992 | -549.768 -5163.07
-32.2391 -1.23655 | 2.03166 3.57506 | -3263.88 7134.1
-31.8412 -0.932897 | -0.55402 5.30215 | 3533.02 1631.57
-31.4371 -0.63368 | -0.691443 2.92404 | -261.65 -3805.36
-31.0228 -0.352954 | -1.7878 6.5301 | -8268.61 -5163.56
-30.6019 -0.0951531 | 1.0208 3.76096 | 6674.09 4697.99


-55.4871 -31.8779 | 4.02803 1.71551 | 106.027 5959.14
-55.252 -32.3145 | 2.12518 1.58065 | -3954.44 -7782.62
-55.0485 -32.7715 | -2.73553 -0.181943 | 2528.68 -6225.35
-54.8585 -33.24 | -1.31294 -0.555548 | 6083.46 2697.41
-54.6649 -33.7071 | 1.13701 -0.982134 | -1103.1 5811.6
-54.4737 -34.1712 | 3.41513 -0.522162 | -5866.42 -2424.39
-54.2926 -34.6394 | 1.68104 -2.59996 | 4698.23 -6255.56
-54.1051 -35.1103 | 3.23222 -3.86439 | 4865.12 5020.57
-53.9071 -35.5744 | 2.02628 -2.38245 | -13666 5588.58
-53.7162 -36.0339 | -0.663555 0.210001 | 9427.83 -1108.77
-53.5069 -36.4878 | 0.351011 0.642593 | -1644.05 -2295.95
-53.2878 -36.9382 | 1.13781 -0.563597 | -3205.19 735.462
-53.0595 -37.3824 | -0.957332 0.63711 | 2738.72 4721.89
-52.8132 -37.8147 | -0.806843 1.89033 | -3845.59 -5246.62
-52.5548 -38.2419 | -0.852057 0.75623 | 6701.62 -1182.91
-52.2717 -38.6563 | 0.593721 -0.247097 | -6050.73 4007.68
-51.9737 -39.0536 | 4.31839 0.100408 | -5734.94 8377.55
-51.6597 -39.4294 | 4.59788 -1.3198 | 5049.15 -4986.01
-51.3239 -39.7915 | 0.362533 -2.84291 | 102.737 -7337.59
-50.9706 -40.1422 | -0.462828 -1.94197 | -2193.27 3566.62
-50.5956 -40.4659 | 0.0419348 -1.62379 | 247.207 2000.8
-50.1954 -40.7553 | 0.781553 0.650817 | -4569.92 -942.945
-49.7745 -41.0093 | 1.93606 2.16525 | 1825.95 -1001.18
-49.3286 -41.2201 | 1.13302 -1.11707 | 7170.24 -1678
-48.8572 -41.3822 | 1.06528 -2.16331 | 1111.94 -50.6634
-48.3698 -41.4936 | 1.17247 -0.0412282 | -1522.64 2661.36
-47.875 -41.556 | 0.737487 1.4473 | -1013.14 -1238.62
-47.3786 -41.582 | 0.0526309 -2.09741 | -9178.17 -1072.33
-46.8876 -41.5804 | -0.346619 -0.861748 | 1358.04 -2093.6
-46.3956 -41.5567 | 0.0997982 0.15741 | 13105.6 4066.69
-45.8952 -41.5092 | 2.4362 -1.03176 | 6704.62 -3964.58
-45.3902 -41.4501 | 3.16164 -1.77631 | 1155.77 -3163.32
-44.8878 -41.3733 | 2.2717 -3.66764 | -12466.5 7563.3
-44.4004 -41.2593 | 0.226282 -2.71579 | -4107.36 2969.82
-43.9209 -41.1231 | -0.321973 -0.425481 | 10830.1 -3113.56
-43.4327 -40.9936 | 0.693848 -1.47166 | 3054.82 -4005.81
-42.9384 -40.8806 | 1.81455 -3.89254 | -4048.31 2178.76
-42.4448 -40.7763 | 1.63505 -0.679504 | -4079.32 3753.64
-41.9521 -40.6838 | 0.426258 2.79637 | -3404.77 -8214.73
-41.4583 -40.6235 | 0.128971 1.24364 | -744.025 1573.73
-40.9628 -40.5852 | 0.806983 -1.7563 | 3644.9 -667.087
-40.4642 -40.564 | 0.984121 -2.69033 | -692.424 3990.76
-39.9661 -40.5513 | 0.15472 0.16875 | -6373.14 292.041
-39.4726 -40.5534 | -0.894146 1.50261 | -2718.09 846.255
-38.9814 -40.5768 | -4.04164 -0.0392357 | 5798 -6290.76
-38.4881 -40.6301 | -5.3946 -4.19682 | 4202.24 3767.8
-37.9931 -40.6964 | -2.76664 -3.95932 | 1187.48 3231.79
-37.499 -40.7743 | -0.494706 -2.67628 | -3472.59 -7999.31
-37.0105 -40.8752 | -0.211121 -2.92185 | 364.631 10107
-36.5236 -40.9764 | -0.280246 -4.1629 | -250.737 -4041.1
-36.041 -41.0942 | -1.38783 -1.65125 | -7083.2 -633.073
-35.5673 -41.2271 | -3.01547 0.0614796 | -824.371 1083.88
-35.0964 -41.3649 | -3.06676 0.659343 | 2311.81 -1627.81
-34.6232 -41.5004 | -2.35455 0.78976 | 2480.21 6962.09
-34.1457 -41.6212 | -2.57238 0.590665 | -4360.33 -5276.89
-33.6708 -41.7439 | -2.35417 0.940884 | -269.169 7585.79
-33.1965 -41.8612 | -0.588362 -0.0481912 | -2391.32 -4290.07
-32.7276 -41.9946 | -0.755519 -1.31845 | -2300.33 -4513.37
-32.2633 -42.1454 | -1.26352 3.44701 | 11472.2 488.022
-31.7902 -42.2962 | -0.838015 6.10833 | 8345.86 -5809.01
-31.3084 -42.4418 | -0.251617 4.38654 | -11878 6070.05
-30.8269 -42.5621 | -0.0137912 2.91557 | 6661.7 -631.654
-30.3346 -42.6535 | 1.1372 1.40335 | 9282.63 -498.898
-29.8313 -42.714 | 0.474262 -2.04966 | -5572.72 8536.5
-29.329 -42.7429 | -1.08419 0.863805 | -5404.13 -7848.07
-28.8313 -42.7725 | -0.551706 2.67775 | -4594.13 -4002.12
-28.3363 -42.8029 | 0.313249 -0.0696477 | 8738.7 4499.68
-27.8353 -42.8169 | -0.997936 -0.0568382 | 762.319 -5604.39
-27.3341 -42.8169 | -1.1134 1.7637 | -12976.5 1066
-26.8425 -42.7841 | -2.12025 0.24914 | 1098.36 6110.31
-26.3553 -42.7069 | -4.26289 1.86198 | 7214.18 -7031.85
-25.8681 -42.5997 | -3.14539 1.97484 | 11885.7 7741.6
-25.3836 -42.4462 | -0.516717 0.523242 | -5315.51 4174.96
-24.9172 -42.2516 | 1.29564 1.03584 | -14851.5 -13322.8
-24.4716 -42.0411 | 2.12887 2.17662 | 6263.23 350.593
-24.035 -41.8069 | 1.44797 0.0885421 | 4681.84 8017.97
-23.6111 -41.5386 | 0.855829 0.482658 | 3980.54 -1860.39
-23.2009 -41.2464 | 0.523665 0.599619 | -5190.42 1927.23
-22.8134 -40.9283 | 1.70752 -1.51576 | -5518.15 -3667.59
-22.4443 -40.5958 | -0.642134 0.299673 | 7712.45 -4248.5
-22.0802 -40.2574 | -1.36588 1.42368 | -5918.86 -722.978
-21.7365 -39.903 | 0.84014 1.59291 | -5517.35 2356.32
-21.4143 -39.5306 | 1.4878 -1.15758 | 6075.89 2041.79
-21.0943 -39.1516 | -2.85535 -0.355512 | -2735.48 -1573.28
-20.7718 -38.7748 | -2.16182 2.21452 | 11280.9 4774.27
-20.4315 -38.4032 | 0.0767493 0.47996 | 1519.31 3462.08
-20.0824 -38.0349 | 0.601676 -0.973421 | -5955.33 3821.66
-19.7295 -37.6716 | 1.70721 -1.85524 | -440.664 -4591.44
-19.3575 -37.3333 | 2.56429 -1.76653 | -3409.55 -10663.3
-18.9613 -37.0339 | 1.08738 0.8993 | 6288.18 3975.22
-18.5415 -36.7602 | 0.949446 -1.33184 | 1551.85 2727.53
-18.1083 -36.5035 | 0.0622909 -2.10742 | -5509.74 1662.33
-17.6698 -36.2601 | 0.00377452 0.190024 | 2555.68 2163.71
-17.2189 -36.0368 | 1.69645 -0.157429 | 36.6943 -4480.74
-16.7542 -35.8461 | 4.26559 -1.95252 | 1161.23 1362.14
-16.2781 -35.6848 | 1.96161 -0.751132 | -4150 847.746
-15.7964 -35.5538 | -0.396848 -0.758323 | -8915.48 -3903.36
-15.3122 -35.4611 | -0.936294 -4.01316 | 8692.66 -1651.1
-14.8173 -35.4029 | -2.73186 -6.23771 | 3326.34 7278.19
-14.317 -35.3648 | -1.67821 -4.69789 | -2438.48 -3605.24


-12.7967 -43.6216 | -3.04663 2.70084 | -3783.96 5641.79
-12.3262 -43.4562 | -3.31977 -2.47787 | 7765.56 -8072.36
-11.849 -43.3033 | -1.17496 -2.44726 | -6358.17 -4531.57
-11.3748 -43.1558 | -2.8828 -0.907743 | -3237.4 9825.04
-10.9057 -42.9944 | -1.22597 -1.9026 | 1368.52 -875.153
-10.4325 -42.8402 | 1.08455 -2.48555 | 10390.7 -5429.82
-9.94613 -42.7086 | 0.202238 2.75912 | 2569.89 -1231.22
-9.45515 -42.5864 | -0.133823 3.66408 | -6845.74 9739.01
-8.96988 -42.4535 | -2.55799 -0.0503087 | -147.176 -4914.23
-8.48394 -42.3304 | -0.535908 -1.40918 | -3900.08 -2034.42
-7.99838 -42.2201 | 4.6326 0.871597 | -2140.98 1388.05
-7.51163 -42.1199 | 3.25307 -1.16555 | 7468.56 2575.34
-7.01764 -42.0337 | 1.2437 1.48924 | -5199.63 -2891.25
-6.52325 -41.9714 | -0.917786 2.96433 | -267.306 -1133.2
-6.02766 -41.9325 | 1.80716 0.536217 | -3702.29 1607.5
-5.53342 -41.9114 | 4.33241 -0.0846776 | -1368 3375.1
-5.03766 -41.9087 | 1.15568 0.0348365 | 20325.8 -9507.45
-4.52872 -41.938 | -0.342737 2.76897 | -504.085 4906.18
-4.01957 -41.9767 | -0.22423 3.25553 | -7249.92 8797.33
-3.51586 -42.0207 | -0.125617 1.14403 | 621.504 -8504.9
-3.01598 -42.0992 | 2.73367 -0.653863 | 710.441 -451.174
-2.52127 -42.2087 | 1.00552 0.20702 | 2940.13 -74.854
-2.03286 -42.3454 | -0.114272 1.29545 | -16002.5 743.055
-1.56151 -42.506 | 0.804764 -3.34289 | 12187.7 4333.76
-1.0883 -42.6802 | 3.31489 -0.445566 | 4639.15 -13600.2
-0.619422 -42.8837 | 2.47465 -1.75274 | -1553.8 10068.5
-0.154134 -43.089 | -0.492916 -2.63077 | 1481.76 -940.221
0.305923 -43.305 | -2.44315 -3.1774 | -9520.26 2855.11
0.751334 -43.5363 | -1.21805 -0.199958 | 2571.53 -5045.38
1.18795 -43.7888 | 0.829345 -0.182404 | 1353.24 -4548.33
1.62011 -44.0535 | -2.28392 -2.98521 | -2218.97 6344.13
2.05494 -44.3088 | 1.56502 0.952069 | 5978.75 1096.22
2.4995 -44.5527 | 1.54195 1.95821 | -2183.12 -6605.26
2.94724 -44.7928 | -3.2326 -0.201009 | -1281.82 1820.04
3.40349 -45.0122 | -2.98417 0.228079 | -142.108 9414.52
3.87134 -45.1966 | -0.449165 4.0214 | -5234.73 833.633
4.34224 -45.3633 | -0.106696 3.52154 | 2753.15 -10661
4.81781 -45.5286 | 0.540965 2.67258 | 4590.42 1823.31
5.30333 -45.6718 | -2.80605 0.418562 | -2504.85 7125.4
5.7941 -45.7818 | -4.07947 -1.57087 | -8914.11 -5053.42
6.2833 -45.8732 | -2.67337 -4.88622 | 3571.74 -1660.27
6.77927 -45.9362 | 0.580181 0.388898 | 6696.98 938.846
7.28314 -45.9556 | 2.42669 -1.09031 | -3533.47 5708.06
7.78455 -45.9221 | 1.88052 -4.26382 | 989.052 -7210.17
8.2808 -45.8489 | 1.32778 -2.00594 | -7573.4 7697.83
8.76159 -45.7214 | -0.826266 0.272118 | 202.987 -4701.75
9.23111 -45.5602 | -1.45284 1.98018 | 6054.64 -4583.51
9.69129 -45.3687 | 0.058146 0.541111 | -5848.87 4014.44
10.1271 -45.1309 | 0.206068 -2.90639 | 1863.66 3895.95
10.5405 -44.8518 | -1.42568 -1.80363 | 409.709 -2339.24
10.9356 -44.5479 | -2.03698 -1.45661 | -1162.47 -1193.31
11.3159 -44.227 | -3.34219 1.91738 | 282.063 5535.78
11.6876 -43.8941 | -2.85695 2.9838 | -3680.7 -9038.6
12.0611 -43.5726 | -0.398321 -0.122497 | -160.857 -4197.83
12.4431 -43.2657 | 1.17872 1.64688 | -4232.19 7477.94
12.8315 -42.9659 | 1.37007 0.734611 | 6990.36 -9788.12
13.2416 -42.6945 | -0.101073 0.765503 | 6892.72 6571.27
13.6629 -42.4286 | 2.37036 0.0988235 | -9214.39 5079.04
14.0788 -42.1574 | 2.98763 0.511019 | 9288.92 -2808.05
14.5046 -41.8933 | 1.52913 -0.53594 | -2670.09 9711.55
14.9329 -41.628 | -1.0067 1.2251 | 2768.99 -2268.37
15.3762 -41.3858 | -1.91609 4.28167 | 5174.85 -6392.26
15.8385 -41.1811 | 0.72749 0.505644 | -10115 1408.21
16.3048 -41.0023 | -0.674896 -1.16027 | -3189.14 -3712.34
16.7783 -40.8526 | 1.03982 -2.83391 | 7953.26 4446.37
17.2645 -40.7235 | 3.49805 -0.319496 | 5574.78 6372.24
17.7616 -40.6171 | 0.314287 1.62475 | -1131.3 -6392.37
18.2649 -40.5564 | 1.49174 -0.117558 | -4743.52 -3200.31
18.7676 -40.5408 | 2.15922 -0.303939 | -4415.6 5183.59
19.2667 -40.5592 | 2.08808 0.59217 | 2055.2 -3833.66
19.7629 -40.6209 | 0.664857 -0.316059 | -3972.48 -6909.16
20.2513 -40.7191 | -0.436865 1.40578 | 316.561 7986.73
20.7381 -40.8179 | -1.42939 -0.155238 | -1634.67 2600.56
21.2255 -40.912 | 0.132534 3.92952 | 10717.8 -1420.66
21.7205 -41.0067 | 2.14119 3.92383 | 1475.68 2560.83
22.2166 -41.1065 | 2.27138 1.06069 | -1295.62 -3241.85
22.7082 -41.2272 | -1.20249 -0.249786 | 4213.81 -1277.4
23.1948 -41.3724 | -1.59107 -0.731561 | -10589.4 2202.68
23.6651 -41.5429 | -2.33875 0.555192 | -7199.96 -7754.13
24.1221 -41.7404 | -2.78278 0.830227 | 12875.4 1703.18
24.5892 -41.9315 | -1.10188 -1.08656 | -1554.58 1369.39
25.0635 -42.1005 | -1.74771 -0.0303714 | -5919.75 5754.43
25.5435 -42.2346 | 0.304774 2.94406 | 83.6775 3494.99
26.0306 -42.3375 | 0.506307 1.86831 | 3215.6 -7478.54
26.5238 -42.4271 | -1.1019 0.0733757 | 4093.32 -881.328
27.0234 -42.4941 | -0.856306 -0.0631188 | -6191.42 -1159.07
27.523 -42.5277 | -1.35359 0.693929 | 2605.77 10345.5
28.0253 -42.5107 | -1.48493 1.01341 | 7664.29 -3021.04
28.5306 -42.4672 | 0.10827 -0.991161 | -7183.63 -12548.7
29.0293 -42.4077 | -1.86137 -1.08869 | -2400.57 17893.6
29.5181 -42.2957 | -1.35147 5.63341 | -51.5147 -9335.1
30.001 -42.1658 | 0.937304 4.97418 | 4479.43 -3960.07
30.4787 -42.0171 | 1.85524 0.918843 | -15752.3 2946.51
30.9336 -41.8341 | 1.59687 0.294886 | -6105.02 -3282.98
31.3746 -41.6287 | 0.942481 1.65749 | 23116.7 1768.02
31.823 -41.4065 | -0.241239 0.711044 | 1275.73 -128.299
32.2577 -41.157 | 1.71088 -0.231781 | -18842.4 -5184.92
32.6546 -40.8708 | 5.43307 -4.94632 | 7007.88 3550.17
33.0256 -40.5457 | 4.33392 -2.95257 | 1243.13 7460.79
33.3701 -40.1857 | 2.88617 -3.96536 | 3753.99 -2982.73


-16.9357 26.7666 | -2.74122 1.40495 | 3403.77 2298.1
-16.4634 26.9387 | -1.84986 -0.389967 | -5824.42 -8960.27
-16.0054 27.1322 | 0.665943 -0.924277 | 2895.63 9344.24
-15.5631 27.3654 | -0.0015231 -2.91328 | -6998.72 -1444.37
-15.1384 27.6236 | -0.174382 -2.2387 | 11220.5 -3807.74
-14.7144 27.8917 | 0.753937 -0.903469 | 511.247 3109.61
-14.3024 28.18 | 0.302841 -0.447551 | -10536.9 -870.364
-13.9119 28.4885 | 1.8808 -0.238395 | 2882.08 9348.89
-13.5268 28.8086 | -0.491749 -0.458323 | -3248.26 -15674.7
-13.1317 29.1029 | -1.96604 0.951735 | -1723.02 -719.986
-12.7249 29.3765 | -0.652387 0.236008 | -1717.44 6216.83
-12.3069 29.633 | -2.18692 0.314094 | -2582.84 -12137
-11.8726 29.853 | -0.518125 3.14624 | 11438.7 13091.1
-11.421 30.0612 | -0.0211725 3.617 | -1792.32 1326.04
-10.9597 30.2497 | -0.662826 3.34647 | 383.706 -3445.31
-10.4866 30.4074 | -2.74838 2.4007 | 7588.14 -764.695
-10.0011 30.538 | -4.08943 -2.73716 | -9493.38 9179.08
-9.51558 30.6538 | -0.220875 -3.57853 | 4536.96 -9357.83
-9.02056 30.7271 | 0.687172 -1.86928 | 1648.37 1977.48
-8.5206 30.7688 | 0.173784 -0.475086 | -4603.25 8142.07
-8.02081 30.7835 | 1.08627 -0.915155 | 11067.5 -17987.4
-7.51651 30.7426 | -0.373617 0.579566 | -13515.2 11297.3
-7.02248 30.6891 | 0.714833 1.17844 | -2106.69 8267.35
-6.53208 30.625 | 1.04399 1.06599 | 10041 -11716
-6.04148 30.5202 | -0.151284 0.256572 | -4299.47 5080.43
-5.56013 30.3884 | 0.196007 0.389804 | -2947.66 -2919.19
-5.0894 30.2262 | 0.159075 1.8846 | 4192.78 1740.07
-4.62261 30.0437 | -1.00026 -3.74882 | 11229.3 -1281.94
-4.1567 29.8394 | -0.88163 -1.53872 | -4467.15 -4356.96
-3.70623 29.6057 | 0.0883124 2.6844 | -5098.49 9044.54
-3.27271 29.3532 | -0.397739 -1.10149 | -573.242 -10642.2
-2.85767 29.067 | -1.93958 -2.37426 | 2720.2 6485.61
-2.45199 28.7686 | -2.26529 -1.3767 | -390.819 -1548.6
-2.05849 28.4539 | -1.71638 -1.31872 | -1576.43 -4417.62
