-38.1083 -35.1039 | -2.5162 -1.00084 | -6829.36 3721.52
-37.6593 -34.901 | -1.27847 -0.0934574 | 9396.72 4716.51
-37.1967 -34.7122 | -0.669211 1.45369 | 988.812 -795.058
-36.7223 -34.5497 | -1.1481 2.16869 | 3149.91 -1320.01
-36.2354 -34.4199 | -2.35209 3.42479 | 3365.88 -532.654
-35.7399 -34.3212 | -0.25097 2.84303 | -9401.85 -730.541
-35.2468 -34.2486 | 2.29699 -1.05927 | -6218.39 6462.43
-34.7558 -34.1978 | 1.43031 -0.819478 | 13.6691 -304.778
-34.263 -34.1923 | 1.23166 -2.01691 | 2104.27 -11823.9
-33.7704 -34.2514 | 0.409451 -2.58875 | 11173.3 1082.91
-33.2744 -34.3452 | -0.528552 1.20199 | 4014.59 11309.9
-32.7783 -34.4528 | -0.246705 0.770636 | 232.562 -9529.29
-32.2903 -34.6004 | 6.20814 0.456678 | -9552 4262.96


20.98 -77.8448 | -1.46162 3.20836 | -2109.54 -1324.98
21.2824 -77.4512 | -0.651737 2.6218 | -9204.32 -5345.44
21.5862 -77.0655 | -1.59565 1.64377 | 12039.8 7765.06
21.9177 -76.6928 | -3.13319 0.0202393 | -2090.23 -3788.93
22.2738 -76.3446 | -1.2099 -1.84009 | 2011.92 2559.86
22.6561 -76.02 | 0.43082 -1.48611 | 10965.4 7037.84
23.0683 -75.7192 | 0.625063 0.368281 | -2699.89 -7807.5
23.4976 -75.4503 | -0.321388 1.05661 | -9247.37 4415.12
23.9313 -75.1989 | -2.08853 1.44903 | -6304.65 -5384.54
24.3753 -74.979 | -2.25629 2.1646 | 5764.51 1599.68
24.8382 -74.7946 | -1.51309 0.8334 | 1476.77 -316.924
25.3154 -74.6502 | -0.27025 0.835304 | -13591.1 -2074.02
25.7954 -74.547 | -0.705363 4.78293 | 16624.9 -754.574
26.2923 -74.4837 | -3.36713 1.45151 | 343.874 914.164
26.7925 -74.4475 | -2.60724 -3.10135 | -11203.5 5852.27
27.2859 -74.4271 | 1.63178 3.30743 | -4003.95 -3768.15
27.7758 -74.4352 | 1.16059 3.78876 | 491.3 3535.87
28.266 -74.4678 | -1.50082 -0.65279 | 13700.3 999.527
28.763 -74.5337 | -0.773248 1.43886 | 4909.36 -13888.9
29.2578 -74.6482 | -0.93387 0.68092 | -885.644 8624.99
29.7481 -74.7762 | -1.89624 -1.01598 | -108.029 5512.72
30.2328 -74.9163 | -0.0218789 0.732722 | -7829.68 -1822.34
30.7021 -75.0867 | 3.14727 0.322907 | -4727.81 -5103.02
31.1565 -75.2917 | 3.11023 -1.14274 | 15330.1 -3736.93
31.6141 -75.5145 | 0.42222 0.3869 | -210.868 249.689
32.0702 -75.7415 | -0.155579 0.604442 | -9500.6 1921.53
32.523 -75.9612 | 0.774211 -1.38737 | 6304.4 6289.28
32.9866 -76.1583 | 0.593761 -2.23515 | -4951.73 -1625.72
33.4515 -76.3432 | -0.736265 -3.74081 | -8190.88 -1919.1
33.9149 -76.5142 | -1.79806 -4.72051 | -5875.79 7175.61
34.3823 -76.6535 | 0.558098 -0.0631254 | 691.383 -744.729
34.8575 -76.7662 | 1.9336 0.785757 | 8263.14 -3464.63
35.3432 -76.8575 | 0.477266 -1.09335 | -2893.68 7901.46
35.8314 -76.9257 | 2.87446 3.06152 | 3055.16 -15007.9
36.3222 -77.002 | 3.56017 4.65343 | 4262.55 -176.195
36.8187 -77.0596 | 2.61745 -1.31933 | -3046.57 8741.69
37.3162 -77.0733 | 2.93758 -3.50758 | -1317.24 -9604.06
37.812 -77.0538 | 2.02734 -2.17588 | -254.236 5798.28
38.3023 -76.9749 | -0.473677 -0.340446 | 4352.55 8427
38.7831 -76.8364 | -3.0993 0.0500394 | -2566.97 -11462.2
39.2506 -76.6697 | -2.84906 -0.412467 | -7920.21 -1660.56
39.698 -76.4669 | -1.28863 -0.34341 | 9349.13 6593.88
40.1316 -76.2234 | -0.284278 -1.53525 | -5913.57 -4665.88
40.5431 -75.9523 | 1.01899 -3.84378 | -6199.68 1923.02
40.935 -75.659 | 1.4359 -4.56653 | 7843.12 -4957.42
41.3274 -75.3647 | 2.18346 -0.75084 | -5350.04 -6307.08
41.713 -75.0682 | 2.23088 3.35456 | 5293.25 7722.36
42.0924 -74.7541 | 0.90051 2.33264 | 4513.06 4244.65
42.4648 -74.4243 | -0.118739 -0.0189572 | -2769.62 -1190.26
42.8278 -74.0853 | 1.29859 -1.80518 | 3834.86 1248.4
43.1881 -73.741 | 0.6788 -0.778592 | -6504.28 -2046.17
43.5422 -73.3962 | 0.758486 -2.42751 | -1094.29 -952.381
43.9011 -73.0586 | 0.232604 -3.0877 | 6259.57 -3336.39
44.2752 -72.7365 | 0.602738 -0.832986 | -8665.08 2616.11
44.6513 -72.4212 | 0.611174 -0.505294 | 1960.28 1055.22
45.0416 -72.1219 | 0.303136 0.3193 | 4449.5 -3428.55
45.4524 -71.8481 | -0.017894 1.0229 | -1674.63 7742.72
45.8762 -71.5904 | 0.164489 3.27832 | 2720.61 2298.58
46.3189 -71.3642 | 0.380817 2.72753 | -8921.81 -11084.9
46.7763 -71.191 | -2.42569 3.30559 | 4647.29 -3102.11
47.2491 -71.0577 | -2.06928 1.12982 | 2884.38 11100.7
47.7282 -70.9321 | -2.76232 -0.935591 | -4747.54 8445.5
48.2108 -70.8206 | -3.40479 -0.115645 | 10415.6 -12485.3
48.709 -70.763 | -1.31224 -0.45755 | 6330.88 2541.17
49.216 -70.7443 | 0.285581 1.65258 | 2421.62 3736.98
49.7249 -70.7578 | 2.11267 3.83506 | -8076.61 -3228.52
50.225 -70.8122 | 3.48213 -2.91159 | -7541.46 830.435
50.7147 -70.9023 | 4.46672 -0.873738 | 8311.48 -5406.92
51.2025 -71.0236 | 1.93367 0.439394 | -4114.16 4995.1
51.684 -71.1539 | -2.69593 -2.65786 | -8693.01 5616.54
52.1584 -71.2867 | -0.239656 1.3426 | 7275.12 -7536.17
52.6356 -71.4309 | 3.21399 5.64135 | 7294.99 5988.71
53.1189 -71.572 | -0.0948861 1.71307 | 2806.47 -3294.19
53.6018 -71.7243 | 1.14827 0.184977 | -3738.48 -2900.31
54.0768 -71.8922 | 3.42079 1.96479 | -10902.1 5280.65
54.5414 -72.0654 | 0.543214 -0.371932 | 4350.75 -5331.86
55.0074 -72.2438 | -1.40674 -2.14222 | 5013.29 5556.32
55.481 -72.4109 | -1.56368 -0.900127 | 4365.79 -3099.81
55.9602 -72.5762 | -0.969299 -2.19119 | 5856.16 -7184.28
