75.7301 -56.2961 | -0.301044 -0.259079 | -4617.06 11767.5
76.19 -56.1188 | -1.61629 4.86073 | 9931.05 -2777.78
76.6713 -55.9874 | 0.226309 -1.80743 | 1933.8 -502.19
77.1647 -55.8962 | -1.88022 -2.75991 | 7259.25 -5800.87
77.6662 -55.8342 | 0.996701 -3.02305 | -18034.1 10649.8
78.1574 -55.7654 | 0.160681 -1.55733 | 11822.2 -4376.74
78.6557 -55.7009 | -0.129238 -1.13343 | 5569.76 -1190.55
79.1569 -55.6309 | -0.197447 -0.0257359 | -13335.9 7429.05
79.648 -55.5392 | 0.311431 -1.53865 | 11378.4 -6669.2
80.1439 -55.4429 | 3.11551 1.64917 | -6976.28 1376.72


24.5648 14.7347 | 0.756198 5.56454 | -2128.83 815.841
25.0627 14.7132 | -0.229178 4.63773 | 2989.68 -412.304
25.5596 14.6513 | -1.31296 3.72304 | 846.41 -6074.33
26.0514 14.5471 | -2.74438 3.76221 | 2500.55 2350.06
26.5397 14.4211 | -3.42004 2.72315 | 600.717 5748.4
27.0249 14.283 | -2.37737 2.97538 | 3040.52 -1988.21
27.5054 14.1194 | -2.19426 4.70101 | 3017.74 -6121.15
27.9769 13.9206 | -5.4553 0.0102947 | 1320.55 -2804.68
28.4383 13.6939 | -5.66499 -2.29612 | 748.435 280.477
28.8918 13.4515 | -2.83113 -1.90907 | -3251.84 4614.88
29.3371 13.2027 | -3.27353 -3.85754 | -4612.22 1447.87
29.7729 12.9456 | -3.58728 -2.44661 | -1983.32 -1058.5
30.202 12.6805 | -0.883046 -0.159412 | -204.41 2254.84
30.6293 12.4145 | 0.281789 0.55446 | -522.998 -5937.02
31.0572 12.1481 | 1.22036 4.04768 | -3447.26 5675.25
31.4924 11.9042 | 0.669309 2.98589 | -3353.3 11939.8
31.9375 11.6939 | 0.290673 2.5487 | -5315.45 -6132.48
32.3843 11.4915 | -0.0696945 1.83906 | 1700.85 -6105.71
32.8388 11.2984 | -2.75325 -1.02615 | 11773.6 7608.06
33.3113 11.1347 | -3.52981 0.141235 | -1804.81 -5262.16
33.7876 10.9804 | -2.10338 0.146018 | -5959.16 -5351.3
34.2645 10.8344 | -1.70046 0.595319 | 6192.93 1796.4
34.7533 10.7199 | -1.26424 4.60815 | 1489.04 3427.23
35.251 10.6495 | -1.3448 1.71596 | -2884.11 2849.76
35.7507 10.6217 | -1.13396 -0.534828 | -3443.17 -3333.54
36.2487 10.6237 | -0.361243 0.655781 | 586.781 648.184
36.7459 10.6559 | -0.580828 -0.661687 | 3120.32 -1378.36
37.2425 10.7151 | -1.2739 0.642595 | -1976.6 -1393.17
37.7334 10.8034 | -1.51467 -0.505993 | -1476.74 1911.49
38.2156 10.9264 | -2.87793 -1.39504 | 108.208 -890.111
38.6877 11.0802 | -3.44838 -1.22891 | -6960.99 -2970.68
39.1441 11.2611 | -2.19599 -2.72853 | -533.264 -2515.54
39.5878 11.4682 | -0.612159 -5.03402 | 4536.81 1833.59
40.0197 11.7065 | -2.35295 -4.43654 | 3053.44 5099.43
40.4369 11.9775 | -4.82502 -2.95164 | 399.31 432.2
40.8398 12.2697 | -3.73847 -3.02748 | -5391.51 -5227.98
41.2302 12.57 | -0.818952 -3.37771 | -1669.39 -1266.32
41.6159 12.8735 | 0.0921547 -0.601862 | 4902.21 440.324
42.0061 13.1757 | 0.485888 0.259735 | -1391.2 5884.97
42.3994 13.4777 | -0.260338 -0.912129 | 3169.52 637.897
42.8072 13.7626 | -0.292909 -3.10187 | -1081.83 -6417.35
43.233 14.0148 | 0.884641 -4.19274 | -3183.96 4519.77
43.6739 14.2392 | 1.38458 -3.31582 | 9438.17 -6582.88
44.1381 14.4231 | 0.155079 -2.298 | -626.384 6141.66
44.6112 14.5886 | -2.19013 -1.44701 | -3481.76 6865.48
45.0894 14.7366 | -1.34034 -1.575 | 3069.4 -13604.6
45.5787 14.8395 | 0.432196 -1.79155 | -3768.3 7982.61
46.0701 14.9238 | 0.193151 -1.73529 | 280.949 6243.26
46.5651 14.9841 | -1.22621 -0.913965 | -1371.77 -8925.23
47.0621 14.9905 | -2.03189 -1.14343 | -707.247 1294.99
47.5565 14.95 | -1.60995 -1.29386 | -2410.66 3578.33
48.0431 14.867 | -0.751309 -1.10102 | -3990.2 -4666.37
48.5166 14.7356 | 1.38 0.0139637 | 1463.8 3534.51
48.9811 14.5741 | 3.05745 1.47449 | 4027.43 6066.79
49.4381 14.388 | 2.43892 3.3162 | 4039.59 -5197.68
49.8796 14.1585 | 0.159648 2.34276 | 317.333 -2316.72
50.2954 13.884 | -1.62938 0.169325 | -5271.43 6036.59
50.6781 13.5726 | -0.577772 1.49555 | 1744.51 -3443.7
51.0274 13.2215 | 0.418902 4.70538 | 2365.18 900.734
51.3439 12.8386 | -1.98136 3.44858 | 818.121 -4035.56
51.6252 12.4246 | -4.32262 0.409686 | 2350.11 -7941.39
51.8757 11.984 | -5.97923 -0.759645 | 1778.52 656.852
52.1044 11.5301 | -4.51867 0.429465 | 1705.35 1303.29
52.3151 11.0679 | -2.47026 0.305431 | 956.829 990.392
52.504 10.5967 | -1.62495 0.188211 | -6407.68 -5383.71
52.6617 10.1123 | 2.08827 0.804205 | -343.417 -307.134
52.8051 9.62372 | 1.47473 0.449152 | 4686.85 10715.1
52.9511 9.14194 | -2.03445 -1.82566 | -4975 -5373.05
53.0913 8.65688 | -3.63244 -3.36521 | -2502 -1001.29
53.2387 8.17411 | -2.51302 -1.75108 | 3244.95 5641.61
53.4155 7.70484 | -1.6576 -0.933951 | -807.547 -425.83
53.6267 7.25174 | 0.349923 0.176054 | -1229.3 9032.37
53.8768 6.82579 | 1.59562 2.75747 | -975.789 -887.77
54.1627 6.42258 | 0.876326 -0.312642 | 2180.57 -8352.36
54.4837 6.03916 | 2.14122 -0.143747 | 6170.69 3174.73
54.843 5.6873 | 1.5128 2.9266 | 30.5871 -6551.11
55.2267 5.35731 | -1.84013 2.23656 | -4086.13 149.85
55.6308 5.05647 | -3.56106 1.10731 | -88.3352 5605.39
56.0598 4.79796 | -1.64464 -0.0928351 | -249.368 5305.05
56.5077 4.57957 | -0.62662 -1.23637 | -5892.35 -2655.18
56.963 4.38072 | -1.19603 -1.34863 | 10656.7 -8973.9
57.433 4.19312 | 0.0613137 1.33813 | 7538.95 4468.11
57.917 4.0301 | -1.78611 0.501681 | -8381.07 -3426.72
58.401 3.8812 | -2.49708 -1.156 | -938.382 94.7285
58.8891 3.75469 | -1.10046 0.356728 | -5732.44 8387.81
59.3794 3.6617 | -0.10768 2.04924 | 1183.45 -5289.05
59.874 3.58433 | 0.797245 1.59136 | 7392.45 428.061
60.3766 3.52471 | -0.453694 2.94906 | 1722.41 3779.74
60.8835 3.48041 | -1.01305 4.66203 | 7922.99 -2061.36
61.3958 3.43331 | 0.124139 1.31624 | -2884.52 -1042.23
61.9053 3.37105 | 0.690411 -2.28439 | -1977.28 -6230.15
62.41 3.28429 | -0.166502 -1.83366 | -504.072 2440.96
62.9108 3.18692 | -2.3881 1.1681 | -10088.1 718.109
63.4026 3.08386 | -0.899694 2.58613 | -3369.7 15.6819
63.8906 2.98323 | 2.32708 2.49414 | -1978.59 4797.18
64.3785 2.89647 | 1.67864 3.48348 | -75.5877 -2737.98
64.8676 2.81766 | -0.951842 3.68333 | 2805.47 4458.63
65.3601 2.75175 | -2.13358 -0.151853 | -1291.54 7915.76
65.852 2.6851 | -3.03274 -1.84577 | 3693.27 -14175.7
66.3398 2.57348 | -5.35351 -2.70163 | -698.446 3261.3


-22.0071 -61.9985 | 0.0548163 -0.576407 | -1390.93 8060.57
-21.9927 -62.4907 | -2.39829 1.0663 | -3286.12 -3494.65
-21.9681 -62.985 | -2.29908 0.715214 | 4953.6 -1112.26
-21.9111 -63.4779 | -0.0238284 -2.32848 | -665.98 -535.437
-21.8202 -63.9667 | 1.92294 -2.02742 | 86.1569 -2088.32
-21.6922 -64.4493 | 3.4731 0.577673 | 2544.21 -3173.86
-21.5232 -64.9225 | 4.61814 1.84294 | -807.384 -3771.23
-21.3162 -65.3824 | 3.57172 3.25744 | -706.156 6570.52
-21.0684 -65.8163 | 2.97607 2.35693 | -4227.53 5796.13
-20.7834 -66.2206 | 0.0742882 -1.07456 | -1018.01 -5053.82
-20.4603 -66.5981 | -0.577738 -0.593853 | 5759.59 -6640.59
-20.0908 -66.9391 | 0.340041 1.05204 | 1910.1 -306.914
