77.0804 -56.2815 | -1.40572 1.59043 | 1461.85 -4849.39
77.5329 -56.0803 | 1.59737 1.03533 | 2614.29 4342.39
77.9891 -55.8766 | 1.05546 1.63722 | 10210.3 7274.93
78.4514 -55.6656 | -0.149162 3.76609 | -4457.71 -1776.84
78.9119 -55.4568 | 0.203492 2.29927 | -3880.16 -8111.28
79.371 -55.2566 | -0.38799 0.923199 | -374.599 8124.53
79.827 -55.0472 | -2.5072 0.148034 | -1903.29 -2268.31
80.2833 -54.8412 | -1.22644 1.53919 | 5403.9 -4919.61
80.7467 -54.6444 | -0.0250405 0.837311 | 6925.76 5441.14
81.2129 -54.4385 | -2.2192 2.04998 | -10758.3 -3298.99


24.3241 12.2052 | -2.84768 1.20642 | -965.917 3260.97
24.8192 12.1536 | -2.02264 -2.01737 | -6659.63 -6993.96
25.3031 12.054 | -1.40282 -1.37835 | -435.638 4307.75
25.7801 11.9263 | -1.45854 0.516097 | 9557.32 2524.56
26.2573 11.7745 | -1.69927 0.203016 | 9199.37 -4251.22
26.7294 11.5856 | -1.49542 1.23572 | -399.374 -2001.39
27.1828 11.3533 | -1.82877 -0.123645 | -5133.64 199.18
27.6067 11.0768 | -1.2619 -0.781078 | -4016.45 -1230.77
27.9982 10.7596 | 0.463183 0.90475 | 1998.5 1221.01
28.3642 10.4131 | 0.849548 -0.703904 | 1309.75 3627.34
28.7038 10.0425 | 2.22156 -1.90758 | -5845.92 -5011.76
29.0075 9.64162 | 2.778 -2.3822 | -939.828 -5033.76
29.2898 9.22279 | 2.34073 -1.72096 | 1564.52 5753.11
29.5746 8.80941 | 2.59857 0.895406 | -464.66 5165.26
29.8739 8.41143 | 3.49621 1.89484 | 2061.37 5092.96
30.1919 8.03149 | 4.49168 2.83639 | -4210.36 -958.798
30.5173 7.65985 | 2.90276 2.24972 | -1151.54 -1733.06
30.8511 7.29516 | 1.99379 1.2577 | 5011.01 1058.44
31.1995 6.94155 | 1.38151 1.16426 | -3544.63 -5437.27
31.5535 6.5926 | 0.667051 -0.0778106 | -2612.8 4004.67
31.9197 6.26149 | 0.370885 -0.951483 | -3884.47 788.875
32.3033 5.95456 | 1.2769 -1.085 | 4521.47 -3758.36
32.7158 5.68051 | 2.90092 -2.79459 | 8352.26 4722.68
33.1599 5.45271 | 2.4353 -3.80319 | -4116.26 -4686.09
33.6178 5.25566 | 0.70282 -1.78739 | -5060.09 -1495.79
34.0855 5.092 | -0.514383 0.693287 | 1198.36 3313.04
34.567 4.97354 | -0.952262 1.38288 | 5969.93 -774.299
35.0613 4.89682 | -0.687265 1.4712 | 692.262 -263.024
35.5613 4.85644 | -1.28885 2.84542 | -542.205 -4561
36.0628 4.84646 | -1.34057 -0.299709 | 865.083 3321.88
36.5644 4.8788 | -0.0147963 -3.83412 | 2184.08 983.551
37.0636 4.95219 | -0.669671 -1.26382 | 2590.35 -1164.22
37.5581 5.06273 | -2.34668 1.81798 | -737.589 4967.44
38.0427 5.21348 | -3.98204 1.61321 | 960.205 1817.81
38.5195 5.39072 | -3.33941 0.71494 | -753.579 -1996.2
38.9912 5.57805 | -2.32008 2.46558 | -2241.29 -2840.28
39.459 5.7689 | -1.89776 1.96278 | -303.943 2848.65
39.9235 5.96852 | 0.0607121 1.00806 | -278.98 1357.69
40.3854 6.17535 | 1.39293 0.406269 | 4201.35 -1752.72
40.8471 6.38624 | 1.44618 -0.838635 | -5492.28 2406.74
41.2997 6.60877 | 1.04495 -0.70778 | -6514.23 -4047.93
41.744 6.83599 | 1.00694 -0.540293 | 3750.81 1560.46
42.1881 7.06792 | 1.92557 1.54151 | -413.558 4401.81
42.6324 7.30212 | 3.92169 0.10244 | -2829.82 -498.837
43.0825 7.5208 | 3.98581 -1.37443 | 2727.45 -4294.07
43.5484 7.70455 | 2.6863 2.44872 | 1842.88 -2118.58
44.0283 7.85117 | 2.60118 1.12422 | 1775.69 3383
44.5175 7.96833 | 2.61324 -2.05074 | -6369.38 -2022.52
45.0082 8.0517 | 1.70561 -0.270171 | -8458.98 -1522.83
45.4971 8.10174 | 0.732071 0.264163 | 3844.29 964.486
45.99 8.12328 | 1.1353 1.31696 | 1670.95 -1064.67
46.4849 8.11974 | 0.473085 0.910012 | 1598.49 5856.03
46.9806 8.10076 | -0.900706 -1.08054 | -1499.51 -199.95
47.4734 8.05381 | -0.582537 1.18842 | -2063.43 -705.209
47.9604 7.96938 | -0.0852948 2.43368 | 6489.97 1295.56
48.4426 7.84335 | 0.484048 0.479188 | 192.998 -7352.36
48.9112 7.66494 | 1.04739 0.559339 | 4712.21 554.261
49.3683 7.45003 | 1.44132 2.34102 | 4982.59 2790.5
49.8127 7.20565 | 0.554692 2.08791 | -9723.29 -5706.21
50.23 6.92379 | 0.661397 2.89946 | -75.8001 3522.33
50.6327 6.62532 | 2.07324 2.04988 | 1087.75 6153.14
51.0275 6.32122 | 0.438566 -2.73641 | -8529.93 -4022.46
51.4079 6.00507 | 0.121578 -3.39146 | 2305.44 5175.49
51.7907 5.69608 | 1.98519 -0.99147 | -4147 7550.57
52.1755 5.399 | 1.38532 -0.186389 | -3632.32 -3430.36
52.5594 5.10235 | 0.0724722 -0.293857 | 3215.77 -2051.7
52.9503 4.811 | -1.09752 -0.828386 | 2625.4 2469.51
53.3508 4.53147 | 1.31905 0.527913 | -1301.11 -212.417
53.7542 4.25727 | 2.82646 -1.08781 | -5868.28 -3506.75
54.1569 3.98342 | 1.6665 -1.76167 | 9486.53 -4170.38
54.576 3.72092 | 2.00918 1.40305 | 7680.62 -801.315
55.0137 3.48059 | 1.79036 2.46595 | -9771.71 1353.73
55.4576 3.26528 | 0.258678 0.946301 | -4714.14 1935.56
55.911 3.08229 | 0.0848432 1.22382 | 1695.26 412.221
56.3789 2.93611 | 0.136556 2.50174 | 5563.49 -5382.11
56.8615 2.82502 | 1.1769 3.44173 | 3198.39 3746.94
57.3553 2.76088 | 0.755035 2.35073 | 454.96 2408.64
57.8539 2.7363 | -0.286014 1.34291 | 4562.6 -352.143
58.3558 2.73241 | 0.0428973 2.9161 | -4221.26 -6338.49
58.8549 2.7305 | 0.193426 1.81572 | -3964.75 -75.3786
59.3513 2.73635 | 0.233991 0.445682 | 3316.53 2584.34
59.8497 2.75565 | 0.682057 -0.305946 | 3917.03 -5511.04
60.3512 2.78365 | 0.269363 -1.58883 | 3344.5 4807.22
60.8532 2.8377 | -0.0323494 -1.76412 | -2749.42 3148.85
61.3502 2.91662 | -0.769919 -1.67011 | -4572.3 -1167.42
61.8413 3.00579 | -2.07492 -0.753526 | -3471.75 -948.319
62.3295 3.09244 | -2.81998 3.19241 | -871.983 -4086.51
62.8191 3.16525 | -3.0039 5.11068 | 5664.62 -2325.45
63.3143 3.22915 | -1.84508 2.85949 | 4621.86 3488.81
63.8126 3.30064 | 0.344732 -2.86397 | -752.906 78.1017
64.3088 3.38424 | 1.02879 -4.54597 | -2206.33 1457.13
64.8008 3.48426 | -0.395622 -0.449186 | -126.383 4158.46
65.2902 3.59873 | -0.927393 2.46251 | 3724.19 -1275.25
65.7823 3.70996 | 1.7386 1.92181 | -4768.02 -1463.23
66.2738 3.80702 | 4.04038 -1.31816 | -3687.42 645.111
66.7664 3.88195 | 3.24285 -3.24501 | 2667.67 -2638.43
67.2642 3.92238 | 1.52228 -4.40342 | 2064.48 2412.84
67.7653 3.92757 | 1.0136 -6.8513 | -506.967 -332.809
68.2642 3.88799 | 1.29222 -7.73743 | -3975.47 -6057.63
68.7542 3.79628 | 0.811151 -8.19427 | 2828.54 4804.03


-22.6982 -53.9445 | -0.981045 -0.674259 | 1316.23 1589.61
-22.2586 -54.1846 | -2.12937 -0.166792 | -692.053 -5440.03
-21.8197 -54.4295 | -1.76978 -0.653169 | 3450.32 -1375.84
-21.3727 -54.6648 | -0.818043 -1.51786 | 948.491 3130.56
-20.9137 -54.8748 | 0.756709 -2.14775 | -2447.76 3004.44
-20.4451 -55.0548 | 1.92872 -1.3279 | -3479.93 1509.01
-19.9701 -55.2068 | 1.68188 -0.324388 | -2862.94 -4142.94
-19.4897 -55.3355 | 0.752475 -1.12355 | 1489.73 319.25
-19.0006 -55.4274 | -0.538087 -1.59195 | -740.362 2233.24
-18.5053 -55.4718 | -0.587172 -2.87416 | 1322.49 -2420.01
-18.0066 -55.4682 | 0.203539 -1.94021 | 5614.07 -412.396
-17.5074 -55.4082 | -0.188318 0.543506 | -89.4859 7321.02
-17.0192 -55.2816 | 0.200378 0.0907791 | -757.69 627.724
-16.5461 -55.1056 | 0.263823 -0.808885 | -257.049 -3298.31
-16.0864 -54.8987 | -0.966883 0.26214 | 2552.79 -800.925
-15.6375 -54.6655 | -1.55622 -0.431773 | 3416.8 1687.7
-15.2013 -54.4042 | -2.0499 -2.80778 | -3269.87 2531.53
-14.7852 -54.114 | -2.90643 -4.42999 | -2382.14 -4513.27
-14.3869 -53.8052 | -4.18004 -4.92265 | 713.274 -3315.09
-14.0058 -53.4775 | -3.3837 -4.88471 | 827.417 4703.2
-13.6485 -53.1204 | -2.04409 -3.97909 | 1771.33 2295.43
-13.3186 -52.7354 | -1.83221 -3.98666 | -5896.87 965.134
-13.0222 -52.3264 | -1.52046 -4.54519 | -3098.58 -1295.43
-12.747 -51.9058 | -3.62751 -2.53862 | 122.722 -3539.97
-12.4735 -51.4871 | -4.34459 -0.0280825 | 926.152 -2439.76
-12.1877 -51.0779 | -1.36375 -0.872505 | 6178.82 1405.56
-11.8814 -50.679 | -0.542556 -2.50787 | 3980.6 2231.68
-11.5626 -50.2854 | -0.287659 -2.17015 | -3367.49 3947.02
-11.2455 -49.8898 | 1.0661 -2.06764 | -7218.98 -2245.24
-10.9306 -49.4995 | 0.871004 -2.06904 | -4701.01 -8129.45
-10.6032 -49.1292 | 0.306802 -2.12227 | -214.583 258.515
-10.2504 -48.7845 | -1.04012 -1.79882 | 3153.69 3072.36
-9.86347 -48.4742 | -1.33359 -0.709751 | 878.559 343.272
-9.44155 -48.2119 | -1.2708 0.305542 | 1643.68 -3058.1
-8.98763 -48.0091 | -2.11786 1.24381 | 537.972 -1262.76
-8.51189 -47.862 | -2.21648 1.04583 | 569.669 2987.36
-8.02364 -47.7585 | -2.66607 -0.524831 | -1374.94 4042.24
-7.52937 -47.6953 | -3.10531 -1.14564 | -3132.71 3167.21
-7.03416 -47.6842 | -2.86749 -1.04785 | -1664.94 -4437.98
-6.54513 -47.7481 | -2.64894 -0.664356 | -2525.5 -5778.74
-6.07274 -47.8868 | -1.69778 -1.78462 | -733.543 5008.54
-5.61745 -48.0706 | -1.00971 -3.10773 | 177.157 4861.55
-5.17723 -48.2851 | -0.398926 -3.15568 | -513.734 -1249.56
-4.75308 -48.5305 | 1.48415 -2.17821 | 2656.15 -1570.69
-4.34065 -48.8003 | 2.34746 -0.758486 | 4579.92 -1709.95
-3.93445 -49.0861 | 0.844082 -0.668997 | 3710.34 2732.65
-3.53321 -49.3808 | -0.216279 -0.45034 | -1276.25 3452.37
-3.14641 -49.6899 | 0.405414 -0.315617 | -5286.35 -763.894
-2.78687 -50.0251 | -0.185953 -3.21537 | -2761.56 2044.72
-2.45563 -50.3837 | -1.59412 -4.98645 | -3096.78 1585.13
-2.1492 -50.7604 | -1.3895 -4.16842 | -417.508 -280.045
-1.85535 -51.1468 | 0.0996938 -2.65627 | 264.316 -1125.69
-1.55889 -51.532 | 1.81381 -0.590633 | 2764.3 2464.88
-1.24462 -51.9025 | 1.50473 -0.0432089 | 2042.15 3271.85
-0.911522 -52.2555 | -0.244409 -0.564493 | -1983.3 -2427.55
-0.570543 -52.6018 | 0.375899 -0.490384 | -629.767 -5092.56
-0.223474 -52.9458 | 0.282597 -1.71942 | 1179.19 -3326.53
0.137094 -53.2792 | -0.433669 -3.08463 | 108.752 1565.02
0.518706 -53.5879 | 2.28624 -1.67328 | 322.02 -196.914
0.924678 -53.8649 | 3.85243 -0.388524 | 1646.06 -2138.97
1.356 -54.1056 | 3.49105 1.02215 | 3816.95 -3886.85
1.81312 -54.3045 | 2.80884 2.70976 | 8078.85 2853.22
2.29539 -54.4501 | 1.63837 2.34938 | -706.059 -636.519
2.78926 -54.5504 | 1.78134 1.89208 | -5566.9 -3086.24
3.28594 -54.6114 | 0.44773 3.02448 | -1061.89 5843.96
3.78484 -54.6249 | -2.30931 1.99912 | 1951.4 1466.4
4.28488 -54.6065 | -2.43736 -0.909485 | 1547.34 -3909.95
4.78511 -54.5779 | -2.10159 -2.52338 | -3156.79 -3627.61
5.28291 -54.5461 | -1.74823 -2.90769 | -1582.26 1313.96
5.77928 -54.5043 | -1.29335 -1.07131 | 4855.35 3793.58
6.27817 -54.4518 | -0.833717 -0.595689 | 1293.82 -2589.01
6.77858 -54.4019 | 0.488023 -4.01154 | -403.914 -3068.05
7.2798 -54.3574 | -0.182781 -2.52355 | 2680.9 490.659
7.78341 -54.3096 | -1.56505 0.164385 | 6399.38 -1261.55
8.29028 -54.2505 | -0.782473 -2.59321 | -162.888 4722.54
8.79294 -54.165 | 0.381213 -3.37103 | -11488.5 4214.24
9.28287 -54.0554 | 1.97841 -2.72574 | -4862.53 -7540.01
9.76709 -53.9453 | 2.45546 -3.77463 | 2801.65 -2556.52
10.251 -53.8327 | 1.13369 -2.67633 | -1428.67 3098.06
10.73 -53.7052 | 0.463252 0.498213 | -3951.72 -982.066
11.202 -53.5636 | 0.348489 -0.113315 | -1309.15 2991.56
11.6699 -53.4085 | 0.0807893 -2.23673 | 4912.85 3387.94
12.1427 -53.2528 | -1.85047 0.043818 | 6764.91 -2518.81
12.6266 -53.1172 | -3.124 1.12411 | -344.316 1487.76
13.1177 -53.0068 | -2.31091 -2.49112 | 461.253 -2567.5
